Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Волгодонская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК  2456	УИК  2479					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2700	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	433	6	3	13	8	3	9	3	7	2	2	6	5	5	7	8	0	10	15	8	6	5	5	3	4	9	13	16	11	14	18	13	5	9	8	3	6	12	9	5	12	8	14	11	13	4	9	12	2	8	4	7	12	8	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	340	6	7	15	6	3	10	3	3	3	1	7	4	0	6	4	4	4	5	3	19	13	6	12	3	12	8	7	2	9	1	16	5	3	5	9	4	7	9	6	7	19	7	5	8	4	3	6	5	3	4	5	5	2	7					
14	Число погашенных открепительных удостоверений	2267	44	47	37	42	47	41	47	43	48	48	44	45	45	43	42	50	40	35	42	44	45	45	47	46	41	37	34	39	36	32	37	45	41	42	47	44	38	41	45	38	42	36	39	37	46	41	38	48	42	46	43	38	42	35					
15	Число открепительных удостоверений выданных ТИК	5	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																													
18	"1. ""ЕДИНЕНИЕ"""	457	6	16	8	17	11	4	8	9	6	5	10	8	4	10	8	2	7	7	3	8	13	5	6	10	8	2	12	8	7	9	6	9	7	8	8	5	9	10	7	7	7	10	9	31	9	8	9	1	5	7	8	15	10	15					
		0.76%	0.42%	1.44%	0.80%	1.20%	0.81%	0.39%	0.69%	0.75%	1.26%	0.51%	1.06%	0.84%	0.54%	0.90%	0.79%	1.05%	0.55%	0.55%	0.31%	0.69%	1.35%	0.40%	0.67%	1.03%	0.72%	0.14%	0.86%	0.76%	0.54%	0.73%	0.48%	0.70%	0.61%	0.67%	0.64%	0.46%	0.73%	0.86%	0.56%	0.58%	0.56%	0.80%	0.76%	2.48%	0.75%	0.67%	0.81%	0.12%	0.57%	0.82%	0.65%	1.23%	0.89%	1.06%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1585	37	23	18	26	23	10	10	11	16	12	25	23	15	25	25	3	29	44	14	23	17	29	19	52	16	48	54	41	34	43	56	45	28	35	51	39	33	29	38	31	39	33	26	42	29	33	32	39	27	19	35	24	26	31					
		2.64%	2.61%	2.08%	1.80%	1.83%	1.70%	0.99%	0.87%	0.92%	3.37%	1.22%	2.67%	2.42%	2.04%	2.26%	2.47%	1.57%	2.31%	3.45%	1.48%	2.00%	1.77%	2.34%	2.13%	5.40%	1.45%	3.57%	3.88%	3.90%	2.65%	3.49%	4.51%	3.52%	2.44%	2.94%	4.10%	3.64%	2.67%	2.52%	3.06%	2.59%	3.16%	2.65%	2.20%	3.36%	2.41%	2.76%	2.88%	4.89%	3.08%	2.24%	2.84%	1.97%	2.32%	2.19%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1860	46	45	34	54	57	31	45	50	22	33	34	45	27	47	31	6	45	56	18	21	34	31	22	14	32	54	45	17	51	37	52	43	38	35	41	47	35	32	35	33	29	40	42	29	20	31	21	27	9	16	25	35	16	45					
		3.10%	3.25%	4.07%	3.40%	3.81%	4.22%	3.07%	3.93%	4.20%	4.64%	3.37%	3.63%	4.74%	3.67%	4.25%	3.07%	3.15%	3.59%	4.40%	1.91%	1.83%	3.54%	2.50%	2.47%	1.45%	2.91%	4.01%	3.23%	1.62%	3.97%	3.00%	4.19%	3.36%	3.31%	2.94%	3.29%	4.38%	2.84%	2.78%	2.82%	2.76%	2.35%	3.22%	3.55%	2.32%	1.66%	2.59%	1.89%	3.38%	1.02%	1.88%	2.03%	2.88%	1.43%	3.19%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3355	75	55	45	52	56	41	39	69	24	38	30	47	43	51	57	11	81	72	56	58	47	34	60	59	72	78	85	52	92	71	87	65	81	82	84	76	106	81	69	81	96	70	74	71	56	71	81	32	29	31	59	78	65	80					
		5.59%	5.30%	4.98%	4.50%	3.67%	4.15%	4.06%	3.41%	5.80%	5.06%	3.88%	3.20%	4.95%	5.85%	4.61%	5.64%	5.78%	6.46%	5.66%	5.95%	5.05%	4.90%	2.74%	6.74%	6.13%	6.55%	5.80%	6.11%	4.95%	7.17%	5.77%	7.01%	5.09%	7.07%	6.89%	6.75%	7.09%	8.60%	7.04%	5.56%	6.78%	7.79%	5.63%	6.27%	5.68%	4.67%	5.95%	7.31%	4.01%	3.31%	3.65%	4.80%	6.42%	5.82%	5.67%					
22	"5. ""За Русь Святую"""	233	10	4	5	5	7	4	1	7	1	5	4	0	1	4	6	0	7	6	7	6	4	2	5	4	2	2	7	3	2	1	6	8	3	2	2	6	1	4	5	8	6	8	7	3	3	4	1	8	4	2	5	6	3	6					
		0.38%	0.70%	0.36%	0.50%	0.35%	0.51%	0.39%	0.08%	0.58%	0.21%	0.51%	0.42%	0.0%	0.13%	0.36%	0.59%	0.0%	0.55%	0.47%	0.74%	0.52%	0.41%	0.16%	0.56%	0.41%	0.18%	0.14%	0.50%	0.28%	0.15%	0.08%	0.48%	0.62%	0.26%	0.16%	0.16%	0.56%	0.08%	0.34%	0.40%	0.67%	0.48%	0.64%	0.59%	0.24%	0.25%	0.33%	0.09%	1.00%	0.45%	0.23%	0.40%	0.49%	0.26%	0.42%					
23	"6. ""Объединенная Российская партия ""Русь"""	146	4	1	0	2	6	2	0	1	0	3	2	6	3	4	4	0	4	5	1	4	5	2	4	5	3	3	3	1	2	1	0	0	1	5	3	1	2	4	2	6	3	3	1	9	1	2	5	1	6	2	4	2	2	0					
		0.24%	0.28%	0.09%	0.0%	0.14%	0.44%	0.19%	0.0%	0.08%	0.0%	0.30%	0.21%	0.63%	0.40%	0.36%	0.39%	0.0%	0.31%	0.39%	0.10%	0.34%	0.52%	0.16%	0.44%	0.51%	0.27%	0.22%	0.21%	0.09%	0.15%	0.08%	0.0%	0.0%	0.08%	0.42%	0.24%	0.09%	0.16%	0.34%	0.16%	0.50%	0.24%	0.24%	0.08%	0.72%	0.08%	0.16%	0.45%	0.12%	0.68%	0.23%	0.32%	0.16%	0.17%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	475	7	6	3	6	9	5	11	6	5	4	7	2	3	9	8	0	13	17	3	11	4	6	6	10	10	6	11	7	8	15	15	10	10	11	7	9	8	8	6	8	18	11	8	16	13	9	14	4	11	6	10	17	12	16					
		0.79%	0.49%	0.54%	0.30%	0.42%	0.66%	0.49%	0.96%	0.50%	1.05%	0.40%	0.74%	0.21%	0.40%	0.81%	0.79%	0.0%	1.03%	1.33%	0.31%	0.95%	0.41%	0.48%	0.67%	1.03%	0.91%	0.44%	0.79%	0.66%	0.62%	1.21%	1.20%	0.78%	0.87%	0.92%	0.56%	0.84%	0.64%	0.69%	0.48%	0.67%	1.46%	0.88%	0.67%	1.28%	1.08%	0.75%	1.26%	0.50%	1.25%	0.70%	0.81%	1.40%	1.07%	1.13%					
25	"8. ""Народно-республиканская партия России"""	62	2	2	3	2	1	1	1	7	1	0	1	1	1	0	0	0	2	0	1	1	2	3	0	0	1	1	2	0	2	0	0	1	0	1	0	2	1	1	0	1	1	1	1	0	1	1	2	0	2	1	1	2	0	4					
		0.10%	0.14%	0.18%	0.30%	0.14%	0.07%	0.09%	0.08%	0.58%	0.21%	0.0%	0.10%	0.10%	0.13%	0.0%	0.0%	0.0%	0.15%	0.0%	0.10%	0.08%	0.20%	0.24%	0.0%	0.0%	0.09%	0.07%	0.14%	0.0%	0.15%	0.0%	0.0%	0.07%	0.0%	0.08%	0.0%	0.18%	0.08%	0.08%	0.0%	0.08%	0.08%	0.08%	0.08%	0.0%	0.08%	0.08%	0.18%	0.0%	0.22%	0.11%	0.08%	0.16%	0.0%	0.28%					
26	"9. ""Российская экологическая партия ""Зеленые"""	278	4	6	2	10	2	7	6	0	3	4	2	3	6	7	4	0	7	13	4	5	6	0	6	4	5	2	6	7	4	10	5	12	8	6	7	4	5	7	7	5	7	2	9	4	10	4	7	1	6	2	5	2	6	2					
		0.46%	0.28%	0.54%	0.20%	0.70%	0.14%	0.69%	0.52%	0.0%	0.63%	0.40%	0.21%	0.31%	0.81%	0.63%	0.39%	0.0%	0.55%	1.02%	0.42%	0.43%	0.62%	0.0%	0.67%	0.41%	0.45%	0.14%	0.43%	0.66%	0.31%	0.81%	0.40%	0.94%	0.69%	0.50%	0.56%	0.37%	0.40%	0.60%	0.56%	0.41%	0.56%	0.16%	0.76%	0.32%	0.83%	0.33%	0.63%	0.12%	0.68%	0.23%	0.40%	0.16%	0.53%	0.14%					
27	"10. ""Аграрная партия России"""	1287	52	29	17	20	45	41	33	27	13	18	18	22	34	16	23	4	29	30	27	22	15	46	14	23	29	22	23	18	24	27	18	21	29	22	15	15	24	24	20	25	32	29	16	26	27	32	25	25	18	11	17	17	18	20					
		2.14%	3.68%	2.62%	1.70%	1.41%	3.33%	4.06%	2.88%	2.27%	2.74%	1.84%	1.92%	2.32%	4.63%	1.44%	2.27%	2.10%	2.31%	2.35%	2.87%	1.91%	1.56%	3.71%	1.57%	2.39%	2.64%	1.63%	1.65%	1.71%	1.87%	2.19%	1.45%	1.64%	2.53%	1.85%	1.20%	1.40%	1.94%	2.08%	1.61%	2.09%	2.59%	2.33%	1.35%	2.08%	2.25%	2.68%	2.25%	3.13%	2.05%	1.29%	1.38%	1.40%	1.61%	1.41%					
28	"11. ""Истинные патриоты России"""	62	1	2	1	0	0	0	0	0	0	2	1	0	0	1	0	2	0	2	0	0	3	2	6	2	0	0	2	1	0	1	4	0	2	2	0	1	2	1	1	1	2	0	0	0	0	2	1	3	2	4	1	2	1	1					
		0.10%	0.07%	0.18%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.10%	0.0%	0.0%	0.09%	0.0%	1.05%	0.0%	0.15%	0.0%	0.0%	0.31%	0.16%	0.67%	0.20%	0.0%	0.0%	0.14%	0.09%	0.0%	0.08%	0.32%	0.0%	0.17%	0.16%	0.0%	0.09%	0.16%	0.08%	0.08%	0.08%	0.16%	0.0%	0.0%	0.0%	0.0%	0.16%	0.09%	0.37%	0.22%	0.47%	0.08%	0.16%	0.08%	0.07%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	1233	33	31	22	25	23	20	25	15	8	23	22	25	18	13	18	1	29	33	21	16	23	30	24	11	22	39	27	27	23	24	22	32	23	20	16	15	14	22	19	27	31	25	26	28	18	31	29	23	17	25	31	26	18	24					
		2.05%	2.33%	2.80%	2.20%	1.76%	1.70%	1.98%	2.18%	1.26%	1.68%	2.35%	2.35%	2.63%	2.45%	1.17%	1.78%	0.52%	2.31%	2.59%	2.23%	1.39%	2.39%	2.42%	2.69%	1.14%	2.00%	2.90%	1.94%	2.57%	1.79%	1.95%	1.77%	2.50%	2.00%	1.68%	1.28%	1.40%	1.13%	1.91%	1.53%	2.26%	2.51%	2.01%	2.20%	2.24%	1.50%	2.59%	2.61%	2.88%	1.94%	2.94%	2.52%	2.14%	1.61%	1.70%					
30	"13. ""Демократическая партия России"""	89	2	0	1	1	2	1	3	3	2	0	0	3	1	1	3	1	1	2	1	3	0	6	1	1	2	5	2	1	1	4	4	4	1	1	0	0	0	1	2	0	2	0	3	2	2	3	1	1	1	1	0	2	1	3					
		0.14%	0.14%	0.0%	0.10%	0.07%	0.14%	0.09%	0.26%	0.25%	0.42%	0.0%	0.0%	0.31%	0.13%	0.09%	0.29%	0.52%	0.07%	0.15%	0.10%	0.26%	0.0%	0.48%	0.11%	0.10%	0.18%	0.37%	0.14%	0.09%	0.07%	0.32%	0.32%	0.31%	0.08%	0.08%	0.0%	0.0%	0.0%	0.08%	0.16%	0.0%	0.16%	0.0%	0.25%	0.16%	0.16%	0.25%	0.09%	0.12%	0.11%	0.11%	0.0%	0.16%	0.08%	0.21%					
31	"14. ""Великая Россия - Евразийский Союз"""	88	1	2	2	1	6	1	2	0	1	1	2	2	3	0	3	2	1	2	4	3	2	2	1	0	1	0	1	0	0	1	4	4	0	1	2	1	1	5	1	2	1	2	0	2	2	3	2	0	0	0	0	0	3	5					
		0.14%	0.07%	0.18%	0.20%	0.07%	0.44%	0.09%	0.17%	0.0%	0.21%	0.10%	0.21%	0.21%	0.40%	0.0%	0.29%	1.05%	0.07%	0.15%	0.42%	0.26%	0.20%	0.16%	0.11%	0.0%	0.09%	0.0%	0.07%	0.0%	0.0%	0.08%	0.32%	0.31%	0.0%	0.08%	0.16%	0.09%	0.08%	0.43%	0.08%	0.16%	0.08%	0.16%	0.0%	0.16%	0.16%	0.25%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.35%					
32	"15. ""Партия СЛОН"""	92	0	1	1	2	1	4	3	1	0	1	0	3	0	1	2	0	1	2	1	4	4	1	3	3	1	1	1	0	0	3	2	3	3	5	3	1	1	0	4	2	3	2	1	0	2	2	1	1	1	1	0	5	2	2					
		0.15%	0.0%	0.09%	0.10%	0.14%	0.07%	0.39%	0.26%	0.08%	0.0%	0.10%	0.0%	0.31%	0.0%	0.09%	0.19%	0.0%	0.07%	0.15%	0.10%	0.34%	0.41%	0.08%	0.33%	0.31%	0.09%	0.07%	0.07%	0.0%	0.0%	0.24%	0.16%	0.23%	0.26%	0.42%	0.24%	0.09%	0.08%	0.0%	0.32%	0.16%	0.24%	0.16%	0.08%	0.0%	0.16%	0.16%	0.09%	0.12%	0.11%	0.11%	0.0%	0.41%	0.17%	0.14%					
33	"16. ""Родина"" (народно-патриотический союз)"""	8077	232	154	143	183	185	116	159	157	59	148	123	113	98	116	127	9	178	188	113	136	130	159	132	112	152	217	182	163	199	241	182	145	146	167	172	123	170	157	198	161	160	186	146	166	186	149	130	108	107	105	143	138	137	171					
		13.48%	16.41%	13.94%	14.32%	12.93%	13.71%	11.50%	13.91%	13.20%	12.44%	15.14%	13.14%	11.91%	13.35%	10.50%	12.58%	4.73%	14.20%	14.77%	12.02%	11.85%	13.55%	12.83%	14.84%	11.64%	13.84%	16.14%	13.08%	15.53%	15.51%	19.59%	14.67%	11.36%	12.75%	14.04%	13.83%	11.48%	13.79%	13.65%	15.98%	13.48%	12.98%	14.97%	12.37%	13.29%	15.51%	12.48%	11.73%	13.55%	12.24%	12.38%	11.63%	11.36%	12.27%	12.12%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	107	4	1	0	3	2	7	4	0	2	2	0	2	2	1	1	1	1	2	2	2	2	0	2	0	0	0	4	4	2	1	2	3	2	1	3	2	0	2	2	1	1	3	0	5	2	3	3	3	1	3	4	3	3	1					
		0.17%	0.28%	0.09%	0.0%	0.21%	0.14%	0.69%	0.34%	0.0%	0.42%	0.20%	0.0%	0.21%	0.27%	0.09%	0.09%	0.52%	0.07%	0.15%	0.21%	0.17%	0.20%	0.0%	0.22%	0.0%	0.0%	0.0%	0.28%	0.38%	0.15%	0.08%	0.16%	0.23%	0.17%	0.08%	0.24%	0.18%	0.0%	0.17%	0.16%	0.08%	0.08%	0.24%	0.0%	0.40%	0.16%	0.25%	0.27%	0.37%	0.11%	0.35%	0.32%	0.24%	0.26%	0.07%					
35	"18. ""ЛДПР"""	10023	152	162	149	170	184	186	182	155	56	152	171	133	121	259	191	56	192	170	175	217	149	244	166	163	171	217	225	153	194	172	196	201	212	208	200	160	207	160	170	203	194	208	228	206	215	240	202	128	172	173	291	209	245	308					
		16.72%	10.75%	14.67%	14.92%	12.01%	13.63%	18.45%	15.92%	13.03%	11.81%	15.55%	18.26%	14.02%	16.48%	23.46%	18.92%	29.47%	15.32%	13.36%	18.61%	18.91%	15.53%	19.69%	18.67%	16.94%	15.57%	16.14%	16.17%	14.58%	15.12%	13.98%	15.80%	15.75%	18.51%	17.49%	16.09%	14.93%	16.80%	13.91%	13.72%	17.00%	15.74%	16.74%	19.32%	16.49%	17.93%	20.11%	18.23%	16.06%	19.67%	20.40%	23.67%	17.21%	21.95%	21.84%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	952	24	20	20	30	30	19	38	48	9	19	15	13	10	16	13	1	22	12	13	14	16	16	13	16	16	19	13	12	9	12	12	15	25	13	26	9	15	16	21	26	27	17	23	12	22	15	8	13	8	12	21	31	14	23					
		1.58%	1.69%	1.81%	2.00%	2.12%	2.22%	1.88%	3.32%	4.03%	1.89%	1.94%	1.60%	1.37%	1.36%	1.44%	1.28%	0.52%	1.75%	0.94%	1.38%	1.22%	1.66%	1.29%	1.46%	1.66%	1.45%	1.41%	0.93%	1.14%	0.70%	0.97%	0.96%	1.17%	2.18%	1.09%	2.09%	0.84%	1.21%	1.39%	1.69%	2.17%	2.19%	1.36%	1.94%	0.96%	1.83%	1.25%	0.72%	1.63%	0.91%	1.41%	1.70%	2.55%	1.25%	1.63%					
37	"20. ""Политическая партия ""Единая Россия"""	17999	392	347	305	491	372	301	276	301	170	291	295	311	196	322	292	71	323	369	302	351	255	339	246	316	365	389	407	342	373	344	331	397	351	353	389	342	403	383	385	356	339	366	374	353	348	325	327	246	286	260	368	381	395	487					
		30.03%	27.74%	31.43%	30.56%	34.69%	27.57%	29.86%	24.14%	25.31%	35.86%	29.78%	31.51%	32.80%	26.70%	29.16%	28.93%	37.36%	25.77%	29.00%	32.12%	30.60%	26.59%	27.36%	27.67%	32.84%	33.24%	28.94%	29.25%	32.60%	29.07%	27.96%	26.69%	31.11%	30.65%	29.68%	31.29%	31.93%	32.71%	33.30%	31.07%	29.81%	27.51%	29.46%	31.69%	28.26%	29.02%	27.24%	29.51%	30.86%	32.72%	30.66%	29.94%	31.38%	35.39%	34.53%					
38	"21. ""Российская Конституционно-демократическая партия"""	83	0	1	0	2	1	3	2	1	0	0	3	3	2	3	3	0	2	3	2	1	2	4	1	1	0	3	3	1	2	1	2	4	0	0	2	0	1	1	1	1	4	2	3	2	0	2	0	0	1	1	1	1	3	1					
		0.13%	0.0%	0.09%	0.0%	0.14%	0.07%	0.29%	0.17%	0.08%	0.0%	0.0%	0.32%	0.31%	0.27%	0.27%	0.29%	0.0%	0.15%	0.23%	0.21%	0.08%	0.20%	0.32%	0.11%	0.10%	0.0%	0.22%	0.21%	0.09%	0.15%	0.08%	0.16%	0.31%	0.0%	0.0%	0.16%	0.0%	0.08%	0.08%	0.08%	0.08%	0.32%	0.16%	0.25%	0.16%	0.0%	0.16%	0.0%	0.0%	0.11%	0.11%	0.08%	0.08%	0.26%	0.07%					
39	"22. ""Развитие предпринимательства"""	201	4	1	2	2	4	3	3	3	0	0	1	1	1	4	2	1	6	6	6	1	4	3	1	7	4	5	7	2	4	5	4	7	2	5	5	3	2	7	3	3	5	9	5	8	6	3	5	2	5	1	2	8	3	5					
		0.33%	0.28%	0.09%	0.20%	0.14%	0.29%	0.29%	0.26%	0.25%	0.0%	0.0%	0.10%	0.10%	0.13%	0.36%	0.19%	0.52%	0.47%	0.47%	0.63%	0.08%	0.41%	0.24%	0.11%	0.72%	0.36%	0.37%	0.50%	0.19%	0.31%	0.40%	0.32%	0.54%	0.17%	0.42%	0.40%	0.28%	0.16%	0.60%	0.24%	0.25%	0.40%	0.72%	0.42%	0.64%	0.50%	0.25%	0.45%	0.25%	0.57%	0.11%	0.16%	0.65%	0.26%	0.35%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	6588	210	120	142	258	245	127	197	204	57	132	104	103	93	108	98	10	171	148	93	147	115	196	91	76	87	143	150	111	133	101	135	149	94	112	93	110	113	114	147	104	125	119	107	122	114	123	121	73	78	79	99	107	78	102					
		10.99%	14.86%	10.86%	14.22%	18.23%	18.16%	12.59%	17.23%	17.15%	12.02%	13.51%	11.11%	10.86%	12.67%	9.78%	9.71%	5.26%	13.64%	11.63%	9.89%	12.81%	11.99%	15.81%	10.23%	7.90%	7.92%	10.63%	10.78%	10.58%	10.36%	8.21%	10.88%	11.67%	8.20%	9.41%	7.48%	10.27%	9.17%	9.91%	11.86%	8.71%	10.14%	9.58%	9.06%	9.76%	9.50%	10.31%	10.92%	9.15%	8.92%	9.31%	8.05%	8.81%	6.98%	7.23%					
																																																													
41	Против всех	4084	98	60	66	40	63	62	80	92	14	69	61	63	49	74	80	6	96	74	66	82	90	67	57	69	86	78	108	75	102	96	89	88	77	86	114	98	68	75	93	98	85	86	62	105	88	97	73	42	69	82	94	96	51	45					
		6.81%	6.93%	5.43%	6.61%	2.82%	4.67%	6.15%	6.99%	7.73%	2.95%	7.06%	6.51%	6.64%	6.67%	6.70%	7.92%	3.15%	7.66%	5.81%	7.02%	7.14%	9.38%	5.40%	6.41%	7.17%	7.83%	5.80%	7.76%	7.14%	7.95%	7.80%	7.17%	6.89%	6.72%	7.23%	9.17%	9.15%	5.51%	6.52%	7.50%	8.20%	6.89%	6.92%	5.25%	8.40%	7.33%	8.13%	6.58%	5.26%	7.89%	9.66%	7.64%	7.90%	4.56%	3.19%					
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
