Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Октябрьская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	8	4	0	0	3	0	1	0	0	0	0									
		0.17%	0.41%	0.00%	0.00%	0.56%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	63	24	12	5	18	0	2	2	0	0	0									
		1.34%	2.44%	1.60%	1.13%	3.34%	0.00%	0.72%	0.81%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	38	5	10	2	16	4	1	0	0	0	0									
		0.81%	0.51%	1.33%	0.45%	2.97%	0.99%	0.36%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3828	761	609	352	320	356	245	235	376	397	177									
		81.64%	77.34%	81.09%	79.46%	59.37%	88.56%	88.13%	95.53%	98.69%	84.29%	91.24%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	9	3	2	0	4	0	0	0	0	0	0									
		0.19%	0.30%	0.27%	0.00%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	1	5	0	1	0	0	0	0	0	0									
		0.15%	0.10%	0.67%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	125	31	16	18	43	3	4	3	2	2	3									
		2.67%	3.15%	2.13%	4.06%	7.98%	0.75%	1.44%	1.22%	0.52%	0.42%	1.55%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	7	1	3	1	2	0	0	0	0	0	0									
		0.15%	0.10%	0.40%	0.23%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	12	3	1	4	3	0	1	0	0	0	0									
		0.26%	0.30%	0.13%	0.90%	0.56%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	2	0	0	0	0	0	0	0	0	0									
		0.04%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	20	4	2	2	11	0	1	0	0	0	0									
		0.43%	0.41%	0.27%	0.45%	2.04%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	348	74	46	37	65	24	18	5	3	70	6									
		7.42%	7.52%	6.13%	8.35%	12.06%	5.97%	6.47%	2.03%	0.79%	14.86%	3.09%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	78	26	13	6	17	10	3	1	0	2	0									
		1.66%	2.64%	1.73%	1.35%	3.15%	2.49%	1.08%	0.41%	0.00%	0.42%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	80	21	18	8	18	5	2	0	0	0	8									
		1.71%	2.13%	2.40%	1.81%	3.34%	1.24%	0.72%	0.00%	0.00%	0.00%	4.12%									
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
