Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																												
Дата голосования: 04.12.2011																																																																																												
																																																																																												
"Наименование Избирательной комиссии:    Уфа, Октябрьская"																																																																																												
																																																																																												
Сводная таблица результатов выборов																																																																																												
																																																																																												
		Сумма	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3822	38	45	25	44	45	45	50	41	41	40	35	20	47	30	55	40	60	40	43	51	42	45	45	47	45	50	60	48	36	30	50	40	30	35	52	50	45	45	45	50	45	65	45	62	35	50	50	60	45	46	40	40	66	49	60	55	60	40	40	60	59	60	40	45	50	40	55	40	40	59	46	65	65	71	45	55	50	55	86	28	10	20	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	3748	35	45	22	42	44	44	42	41	40	35	35	20	47	30	54	34	60	40	43	51	42	45	45	44	45	50	60	48	36	30	49	40	30	35	52	46	45	35	42	48	45	65	45	62	35	48	50	57	45	46	40	40	66	49	60	55	60	40	40	60	59	60	40	45	50	40	53	40	40	59	46	62	65	71	45	55	50	55	85	23	6	20	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2678	83	31	57	12	20	37	11	25	8	25	12	30	14	22	29	46	22	28	154	19	15	22	19	23	16	74	16	66	15	11	14	34	118	9	24	24	20	34	44	16	26	52	83	31	21	17	15	47	23	2	37	95	39	23	12	11	15	33	18	13	66	76	16	11	13	12	24	15	4	28	12	23	19	24	24	19	13	25	79	33	6	29	50	99	46					
14	Число погашенных неиспользованных открепительных удостоверений	74	3	0	3	2	1	1	8	0	1	5	0	0	0	0	1	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	4	0	10	3	2	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	1	5	4	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	73	0	1	1	0	0	1	0	0	0	2	2	0	1	1	1	2	0	0	0	1	1	0	1	2	0	1	3	0	1	3	3	1	0	1	2	1	1	1	0	0	1	2	1	0	2	0	1	1	1	0	2	0	3	0	1	2	0	0	0	0	0	1	0	0	2	0	1	0	0	2	0	0	0	4	3	2	1	1	3	1	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	11020	85	247	114	113	135	80	41	196	193	190	158	155	146	67	140	136	185	189	142	167	49	210	194	126	169	172	163	46	51	73	137	76	112	123	55	106	30	266	233	200	203	219	146	165	177	154	197	102	34	240	27	74	29	112	91	57	62	62	82	195	71	67	128	135	166	171	193	123	102	91	101	208	172	207	169	180	183	155	198	107	27	61	33	43	31					
		9.03%	10.29%	13.17%	12.75%	7.23%	7.34%	5.17%	2.47%	11.59%	14.05%	10.90%	16.92%	15.56%	14.87%	8.54%	11.35%	10.79%	10.65%	10.56%	7.95%	9.91%	2.18%	10.01%	8.77%	5.69%	13.48%	10.12%	8.75%	4.20%	6.41%	8.25%	12.23%	8.24%	12.95%	7.43%	2.36%	5.68%	2.14%	15.07%	15.03%	15.65%	17.12%	14.67%	11.60%	15.32%	17.27%	15.89%	14.71%	7.32%	1.86%	12.36%	2.01%	4.64%	1.90%	6.74%	5.34%	3.56%	4.19%	4.88%	6.60%	14.13%	4.49%	3.61%	8.01%	10.49%	11.13%	12.33%	13.82%	7.86%	8.12%	4.60%	5.66%	10.43%	9.64%	11.28%	9.30%	16.68%	14.07%	7.99%	9.66%	8.60%	7.54%	6.55%	13.75%	10.72%	11.19%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	12097	61	43	81	57	136	98	42	158	139	182	55	150	125	69	145	126	148	135	98	102	239	199	189	159	141	210	176	121	41	211	167	85	135	134	211	166	166	172	217	173	137	181	128	143	126	121	210	116	177	169	201	105	188	106	171	215	142	102	78	176	144	194	148	186	140	128	199	233	101	185	88	180	268	209	124	179	174	215	216	112	41	129	30	3	17					
		9.91%	7.38%	2.29%	9.06%	3.65%	7.39%	6.33%	2.53%	9.34%	10.12%	10.44%	5.89%	15.06%	12.73%	8.79%	11.75%	10.00%	8.52%	7.54%	5.48%	6.05%	10.66%	9.49%	8.54%	7.18%	11.24%	12.35%	9.45%	11.04%	5.15%	23.84%	14.91%	9.22%	15.61%	8.09%	9.06%	8.90%	11.87%	9.75%	14.00%	13.54%	11.55%	12.12%	10.17%	13.28%	12.29%	12.49%	15.68%	8.32%	9.67%	8.71%	14.94%	6.58%	12.33%	6.38%	10.04%	13.45%	9.59%	8.03%	6.28%	12.75%	9.10%	10.46%	9.26%	14.45%	9.38%	9.23%	14.24%	14.89%	8.04%	9.35%	4.93%	9.02%	15.02%	11.39%	6.82%	16.59%	13.37%	11.08%	10.54%	9.00%	11.45%	13.86%	12.50%	0.75%	6.14%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1000	2	6	11	8	3	11	5	11	22	11	13	1	9	7	2	16	16	9	12	9	16	16	25	19	19	16	15	13	5	9	10	10	9	15	5	9	6	13	19	2	17	21	7	19	11	10	19	3	16	18	4	15	3	2	17	16	13	13	9	23	17	15	14	2	19	14	18	5	13	17	22	21	20	19	6	9	15	10	25	8	3	8	4	1	4					
		0.82%	0.24%	0.32%	1.23%	0.51%	0.16%	0.71%	0.30%	0.65%	1.60%	0.63%	1.39%	0.10%	0.92%	0.89%	0.16%	1.27%	0.92%	0.50%	0.67%	0.53%	0.71%	0.76%	1.13%	0.86%	1.52%	0.94%	0.81%	1.19%	0.63%	1.02%	0.89%	1.08%	1.04%	0.91%	0.21%	0.48%	0.43%	0.74%	1.23%	0.16%	1.43%	1.41%	0.56%	1.76%	1.07%	1.03%	1.42%	0.22%	0.87%	0.93%	0.30%	0.94%	0.20%	0.12%	0.99%	1.00%	0.88%	1.02%	0.72%	1.67%	1.07%	0.81%	0.88%	0.16%	1.27%	1.01%	1.29%	0.32%	1.04%	0.86%	1.23%	1.05%	1.12%	1.04%	0.33%	0.83%	1.15%	0.52%	1.22%	0.64%	0.84%	0.86%	1.67%	0.25%	1.44%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	24332	213	373	200	315	325	305	379	341	333	397	79	334	230	99	257	373	310	145	315	244	485	468	374	296	255	335	348	105	94	274	276	199	196	220	509	349	384	406	401	387	299	451	288	295	299	256	388	327	280	404	282	328	313	353	258	243	258	209	192	330	271	363	479	238	259	263	338	294	136	298	364	389	369	230	224	300	286	220	386	205	42	193	62	87	55					
		19.93%	25.79%	19.89%	22.37%	20.15%	17.66%	19.70%	22.82%	20.17%	24.24%	22.78%	8.46%	33.53%	23.42%	12.61%	20.83%	29.60%	17.85%	8.10%	17.63%	14.47%	21.62%	22.31%	16.91%	13.37%	20.33%	19.71%	18.69%	9.58%	11.81%	30.96%	24.64%	21.58%	22.66%	13.29%	21.85%	18.70%	27.45%	23.00%	25.87%	30.28%	25.21%	30.21%	22.88%	27.39%	29.17%	26.42%	28.98%	23.46%	15.30%	20.81%	20.97%	20.56%	20.52%	21.24%	15.15%	15.20%	17.43%	16.46%	15.45%	23.91%	17.12%	19.58%	29.96%	18.49%	17.36%	18.96%	24.19%	18.79%	10.83%	15.07%	20.39%	19.50%	20.68%	12.53%	12.32%	27.80%	21.98%	11.33%	18.84%	16.48%	11.73%	20.73%	25.83%	21.70%	19.86%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3590	2	43	66	37	32	16	39	89	76	13	14	3	49	15	5	2	73	48	68	43	46	97	106	48	74	92	122	16	20	15	52	23	59	59	8	8	15	113	22	52	94	108	17	87	91	62	92	5	31	86	6	85	10	9	26	19	20	13	29	67	20	32	36	5	49	50	63	11	2	82	28	18	69	49	21	60	55	7	104	17	20	41	9	2	3					
		2.94%	0.24%	2.29%	7.38%	2.37%	1.74%	1.03%	2.35%	5.26%	5.53%	0.75%	1.50%	0.30%	4.99%	1.91%	0.41%	0.16%	4.20%	2.68%	3.81%	2.55%	2.05%	4.62%	4.79%	2.17%	5.90%	5.41%	6.55%	1.46%	2.51%	1.69%	4.64%	2.49%	6.82%	3.56%	0.34%	0.43%	1.07%	6.40%	1.42%	4.07%	7.93%	7.23%	1.35%	8.08%	8.88%	6.40%	6.87%	0.36%	1.69%	4.43%	0.45%	5.33%	0.66%	0.54%	1.53%	1.19%	1.35%	1.02%	2.33%	4.86%	1.26%	1.73%	2.25%	0.39%	3.28%	3.60%	4.51%	0.70%	0.16%	4.15%	1.57%	0.90%	3.87%	2.67%	1.16%	5.56%	4.23%	0.36%	5.08%	1.37%	5.59%	4.40%	3.75%	0.50%	1.08%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	68145	457	1137	407	1008	1201	1008	1130	848	582	936	604	352	417	499	657	578	970	1243	1120	1095	1372	1076	1296	1552	569	833	1014	767	566	286	449	508	337	1079	1520	1197	776	774	634	461	403	477	669	342	298	340	408	837	1273	961	809	959	973	1075	1114	1041	960	826	839	551	1041	1168	779	720	852	751	554	861	893	1282	1162	1154	849	1091	1250	328	555	1298	1091	785	218	482	94	255	162					
		55.83%	55.33%	60.64%	45.53%	64.49%	65.27%	65.12%	68.03%	50.15%	42.36%	53.70%	64.67%	35.34%	42.46%	63.57%	53.24%	45.87%	55.84%	69.44%	62.67%	64.95%	61.17%	51.29%	58.59%	70.10%	45.37%	49.00%	54.46%	69.98%	71.11%	32.32%	40.09%	55.10%	38.96%	65.16%	65.24%	64.15%	55.47%	43.85%	40.90%	36.07%	33.98%	31.95%	53.14%	31.75%	29.07%	35.09%	30.47%	60.04%	69.56%	49.51%	60.15%	60.13%	63.80%	64.68%	65.41%	65.10%	64.86%	65.04%	67.50%	39.93%	65.76%	62.99%	48.72%	55.94%	57.10%	54.15%	39.66%	55.02%	71.10%	64.81%	65.10%	57.84%	47.59%	59.46%	68.76%	30.40%	42.66%	66.87%	53.25%	63.10%	60.89%	51.77%	39.17%	63.59%	58.48%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	678	4	9	8	8	2	7	6	9	13	5	6	1	6	7	6	4	10	8	5	13	12	10	11	4	8	13	10	12	7	5	9	4	7	8	5	6	8	10	9	2	11	12	0	6	6	9	9	2	12	4	4	11	3	2	5	5	13	38	14	10	6	6	9	1	6	7	10	19	3	18	8	17	12	12	8	10	14	7	15	8	2	5	2	0	0					
		0.56%	0.48%	0.48%	0.89%	0.51%	0.11%	0.45%	0.36%	0.53%	0.95%	0.29%	0.64%	0.10%	0.61%	0.89%	0.49%	0.32%	0.58%	0.45%	0.28%	0.77%	0.53%	0.48%	0.50%	0.18%	0.64%	0.76%	0.54%	1.09%	0.88%	0.56%	0.80%	0.43%	0.81%	0.48%	0.21%	0.32%	0.57%	0.57%	0.58%	0.16%	0.93%	0.80%	0.00%	0.56%	0.59%	0.93%	0.67%	0.14%	0.66%	0.21%	0.30%	0.69%	0.20%	0.12%	0.29%	0.31%	0.88%	2.99%	1.13%	0.72%	0.38%	0.32%	0.56%	0.08%	0.40%	0.50%	0.72%	1.21%	0.24%	0.91%	0.45%	0.85%	0.67%	0.65%	0.44%	0.93%	1.08%	0.36%	0.73%	0.64%	0.56%	0.54%	0.83%	0.00%	0.00%					
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
