Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																									
Дата голосования: 02.12.2007																																																																																									
																																																																																									
"Наименование Избирательной комиссии:    Уфа, Октябрьская"																																																																																									
																																																																																									
Сводная таблица результатов выборов																																																																																									
																																																																																									
		Сумма	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	4067	40	46	34	40	40	50	50	44	46	40	40	60	60	60	50	50	35	50	50	50	60	50	55	49	52	55	34	40	40	40	40	30	55	50	55	60	50	50	65	50	50	70	47	60	60	60	60	60	50	50	60	40	60	60	60	60	39	40	40	60	40	60	60	60	60	60	60	60	60	62	70	50	71	84	58	40	61	25	25	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	3975	32	46	34	40	40	45	50	44	46	36	31	58	60	60	42	50	35	50	50	50	60	50	55	48	52	55	34	40	36	40	40	30	55	50	45	60	50	50	64	50	49	70	45	60	60	60	60	60	48	50	60	40	60	60	60	58	39	40	40	60	40	54	60	60	60	60	60	48	60	62	70	50	71	84	55	39	61	14	25	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	3157	19	18	10	8	11	47	23	303	51	6	31	729	48	17	29	12	19	193	24	18	5	21	15	12	28	20	17	4	6	9	10	46	4	13	9	16	22	20	38	27	8	79	12	34	9	10	25	2	14	15	19	11	3	19	16	11	10	16	25	0	10	12	12	11	21	7	16	21	6	11	18	10	21	16	28	39	50	1	16	49	444	42					
14	Число погашенных неиспользованных открепительных удостоверений	92	8	0	0	0	0	5	0	0	0	4	9	2	0	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	10	0	0	0	1	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	12	0	0	0	0	0	0	3	1	0	11	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	33	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	1	0	2	0	2	0	0	0	2	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	0	2	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																									
18	1.Политическая партия «Аграрная партия России»	1618	27	28	20	15	27	28	0	33	12	35	0	6	30	3	33	22	17	29	38	7	14	30	2	22	27	25	36	10	0	7	14	10	30	36	36	11	26	20	40	31	32	33	37	15	31	33	7	24	5	9	25	18	29	17	29	22	21	8	12	47	19	29	26	22	30	17	20	11	0	29	5	6	29	11	15	13	13	2	15	6	5	4					
		1.10%	2.31%	1.65%	1.71%	1.02%	1.51%	1.56%	0.00%	1.61%	0.60%	2.84%	0.00%	0.19%	1.48%	0.13%	1.99%	1.14%	0.76%	1.63%	1.64%	0.37%	0.61%	1.30%	0.09%	1.16%	1.38%	1.20%	1.93%	0.84%	0.00%	0.49%	1.34%	1.01%	1.39%	1.46%	1.68%	0.57%	1.55%	1.19%	2.37%	1.99%	1.78%	1.42%	2.13%	0.81%	1.20%	1.43%	0.32%	1.02%	0.28%	0.49%	1.06%	1.10%	1.68%	1.39%	1.39%	1.00%	1.20%	0.47%	0.67%	1.90%	1.09%	1.65%	1.20%	1.00%	1.36%	0.73%	1.03%	0.58%	0.00%	1.63%	0.25%	0.33%	1.83%	0.65%	0.78%	0.68%	0.90%	0.52%	2.19%	2.46%	0.77%	0.85%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1095	15	28	23	8	13	25	0	19	4	21	22	4	17	11	20	13	12	18	13	4	9	31	8	10	25	17	21	3	2	19	7	10	11	14	18	5	10	3	35	15	27	28	25	14	21	17	5	16	6	15	17	22	18	9	13	22	5	0	5	0	6	19	21	27	13	19	20	12	0	18	4	11	16	19	13	8	3	2	6	3	1	6					
		0.74%	1.29%	1.65%	1.96%	0.54%	0.73%	1.40%	0.00%	0.92%	0.20%	1.70%	2.95%	0.13%	0.84%	0.47%	1.21%	0.67%	0.54%	1.01%	0.56%	0.21%	0.39%	1.34%	0.37%	0.53%	1.28%	0.82%	1.12%	0.25%	0.15%	1.33%	0.67%	1.01%	0.51%	0.57%	0.84%	0.26%	0.60%	0.18%	2.07%	0.96%	1.50%	1.20%	1.44%	0.76%	0.81%	0.74%	0.23%	0.68%	0.34%	0.81%	0.72%	1.34%	1.04%	0.73%	0.62%	1.00%	0.29%	0.00%	0.28%	0.00%	0.34%	1.08%	0.97%	1.23%	0.59%	0.82%	1.03%	0.63%	0.00%	1.01%	0.20%	0.60%	1.01%	1.12%	0.68%	0.42%	0.21%	0.52%	0.88%	1.23%	0.15%	1.28%					
20	3.Политическая партия «Демократическая партия России»	256	1	5	3	2	2	11	1	3	0	2	0	1	3	0	1	9	0	4	3	3	1	5	2	2	5	1	23	0	0	0	2	0	2	8	0	2	2	2	4	3	1	2	8	0	7	2	4	5	4	6	1	10	2	1	1	2	5	0	0	0	10	2	4	1	7	7	2	2	0	5	2	0	4	5	17	2	2	2	0	2	1	0					
		0.17%	0.09%	0.29%	0.26%	0.14%	0.11%	0.61%	0.04%	0.15%	0.00%	0.16%	0.00%	0.03%	0.15%	0.00%	0.06%	0.47%	0.00%	0.22%	0.13%	0.16%	0.04%	0.22%	0.09%	0.11%	0.26%	0.05%	1.23%	0.00%	0.00%	0.00%	0.19%	0.00%	0.09%	0.32%	0.00%	0.10%	0.12%	0.12%	0.24%	0.19%	0.06%	0.09%	0.46%	0.00%	0.27%	0.09%	0.18%	0.21%	0.23%	0.33%	0.04%	0.61%	0.12%	0.08%	0.05%	0.09%	0.29%	0.00%	0.00%	0.00%	0.57%	0.11%	0.19%	0.05%	0.32%	0.30%	0.10%	0.11%	0.00%	0.28%	0.10%	0.00%	0.25%	0.29%	0.89%	0.10%	0.14%	0.52%	0.00%	0.82%	0.15%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	16642	161	203	166	138	207	195	62	307	312	189	81	158	209	195	206	186	278	263	124	243	213	228	247	248	182	222	223	120	70	125	71	122	151	134	262	268	158	273	270	254	216	267	190	174	305	162	309	258	231	239	307	119	182	217	199	192	224	265	238	359	225	198	210	287	185	301	296	303	321	221	257	274	227	205	266	270	9	36	57	30	33	54					
		11.31%	13.80%	11.98%	14.16%	9.37%	11.54%	10.88%	2.65%	14.93%	15.65%	15.32%	10.87%	5.03%	10.31%	8.38%	12.46%	9.64%	12.51%	14.79%	5.35%	12.89%	9.22%	9.84%	11.39%	13.09%	9.33%	10.65%	11.94%	10.06%	5.22%	8.78%	6.77%	12.26%	6.97%	5.43%	12.24%	13.85%	9.44%	16.20%	16.00%	16.33%	12.02%	11.45%	10.94%	9.39%	11.79%	7.04%	13.95%	11.01%	13.09%	12.98%	13.03%	7.26%	10.56%	17.71%	9.52%	8.74%	12.84%	15.54%	13.20%	14.51%	12.91%	11.24%	9.72%	13.06%	8.37%	12.92%	15.24%	15.95%	16.08%	12.42%	12.90%	14.91%	14.32%	12.07%	13.91%	14.12%	0.62%	9.42%	8.32%	12.30%	5.08%	11.49%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1116	21	15	24	9	14	5	3	21	3	15	19	3	18	7	22	17	20	22	3	3	6	26	6	7	23	17	8	11	0	12	3	8	15	9	16	6	20	25	14	38	16	11	13	16	18	26	6	23	11	9	39	20	15	20	26	16	8	0	2	14	23	14	13	20	13	3	11	12	28	21	8	12	14	23	29	12	11	4	2	0	0	0					
		0.76%	1.80%	0.88%	2.05%	0.61%	0.78%	0.28%	0.13%	1.02%	0.15%	1.22%	2.55%	0.10%	0.89%	0.30%	1.33%	0.88%	0.90%	1.24%	0.13%	0.16%	0.26%	1.12%	0.28%	0.37%	1.18%	0.82%	0.43%	0.92%	0.00%	0.84%	0.29%	0.80%	0.69%	0.36%	0.75%	0.31%	1.19%	1.48%	0.83%	2.44%	0.89%	0.47%	0.75%	0.86%	0.70%	1.13%	0.27%	0.98%	0.62%	0.49%	1.66%	1.22%	0.87%	1.63%	1.24%	0.73%	0.46%	0.00%	0.11%	0.57%	1.32%	0.79%	0.60%	0.91%	0.59%	0.13%	0.57%	0.63%	1.40%	1.18%	0.40%	0.65%	0.88%	1.35%	1.52%	0.63%	0.76%	1.05%	0.29%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	450	5	2	2	1	6	3	0	10	0	5	1	1	5	4	7	3	6	5	0	2	10	1	3	5	4	11	0	12	0	0	3	2	6	19	5	3	5	4	4	4	1	5	8	5	1	11	9	1	4	6	7	5	7	9	1	6	4	0	3	11	5	7	8	7	9	23	10	4	29	6	2	0	5	12	33	5	7	0	1	1	2	1					
		0.31%	0.43%	0.12%	0.17%	0.07%	0.33%	0.17%	0.00%	0.49%	0.00%	0.41%	0.13%	0.03%	0.25%	0.17%	0.42%	0.16%	0.27%	0.28%	0.00%	0.11%	0.43%	0.04%	0.14%	0.26%	0.21%	0.53%	0.00%	1.01%	0.00%	0.00%	0.29%	0.20%	0.28%	0.77%	0.23%	0.16%	0.30%	0.24%	0.24%	0.26%	0.06%	0.21%	0.46%	0.27%	0.04%	0.48%	0.41%	0.04%	0.23%	0.33%	0.30%	0.31%	0.41%	0.73%	0.05%	0.27%	0.23%	0.00%	0.17%	0.44%	0.29%	0.40%	0.37%	0.32%	0.41%	0.99%	0.51%	0.21%	1.45%	0.34%	0.10%	0.00%	0.32%	0.71%	1.73%	0.26%	0.48%	0.00%	0.15%	0.41%	0.31%	0.21%					
24	7.Политическая партия «Либерально-демократическая партия России»	5574	49	46	58	29	93	78	43	111	51	57	0	64	98	100	101	80	88	91	62	1	58	116	121	93	114	106	21	70	8	105	63	46	65	65	111	60	108	87	72	92	108	93	97	98	113	109	21	135	13	24	40	82	99	84	93	83	38	15	96	12	83	108	129	82	133	77	34	31	35	94	64	35	120	87	10	30	0	21	39	14	6	8					
		3.79%	4.20%	2.71%	4.95%	1.97%	5.19%	4.35%	1.84%	5.40%	2.56%	4.62%	0.00%	2.04%	4.83%	4.30%	6.11%	4.15%	3.96%	5.12%	2.67%	0.05%	2.51%	5.01%	5.58%	4.91%	5.84%	5.08%	1.12%	5.87%	0.60%	7.37%	6.01%	4.62%	3.00%	2.63%	5.18%	3.10%	6.45%	5.16%	4.27%	5.92%	6.01%	3.99%	5.59%	5.29%	4.37%	4.74%	0.95%	5.76%	0.74%	1.30%	1.70%	5.00%	5.74%	6.86%	4.45%	3.78%	2.18%	0.88%	5.32%	0.49%	4.76%	6.13%	5.97%	3.73%	6.02%	3.30%	1.75%	1.63%	1.75%	5.28%	3.21%	1.90%	7.57%	5.12%	0.52%	1.57%	0.00%	5.50%	5.69%	5.74%	0.92%	1.70%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	8219	59	82	52	107	90	89	2	121	40	67	61	23	80	35	120	109	94	49	83	129	133	120	125	114	117	111	86	92	9	75	36	67	286	301	125	162	103	40	82	95	97	93	95	115	130	31	155	159	132	147	165	79	103	78	118	73	138	154	126	198	114	106	95	80	113	165	139	170	140	86	158	146	118	57	133	141	7	16	32	17	5	24					
		5.58%	5.06%	4.84%	4.44%	7.26%	5.02%	4.97%	0.09%	5.89%	2.01%	5.43%	8.19%	0.73%	3.95%	1.50%	7.26%	5.65%	4.23%	2.76%	3.58%	6.84%	5.76%	5.18%	5.76%	6.02%	5.99%	5.32%	4.60%	7.71%	0.67%	5.27%	3.44%	6.73%	13.21%	12.20%	5.84%	8.37%	6.15%	2.37%	4.86%	6.11%	5.40%	3.99%	5.47%	6.21%	5.02%	1.35%	6.99%	6.79%	7.48%	7.98%	7.00%	4.82%	5.97%	6.37%	5.64%	3.32%	7.91%	9.03%	6.99%	8.00%	6.54%	6.02%	4.40%	3.64%	5.11%	7.08%	7.16%	8.95%	7.01%	4.83%	7.93%	7.94%	7.44%	3.35%	6.96%	7.37%	0.48%	4.19%	4.67%	6.97%	0.77%	5.11%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	967	12	4	15	10	21	15	5	19	14	13	5	3	7	5	15	9	8	7	10	127	16	19	14	8	21	17	3	4	0	2	7	5	8	7	15	10	10	8	23	11	9	16	17	24	15	4	18	5	11	7	8	9	10	13	10	8	5	14	10	17	16	8	18	12	8	43	13	5	0	13	6	7	5	17	7	9	4	1	4	3	2	4					
		0.66%	1.03%	0.24%	1.28%	0.68%	1.17%	0.84%	0.21%	0.92%	0.70%	1.05%	0.67%	0.10%	0.35%	0.21%	0.91%	0.47%	0.36%	0.39%	0.43%	6.74%	0.69%	0.82%	0.65%	0.42%	1.08%	0.82%	0.16%	0.34%	0.00%	0.14%	0.67%	0.50%	0.37%	0.28%	0.70%	0.52%	0.60%	0.47%	1.36%	0.71%	0.50%	0.69%	0.98%	1.30%	0.58%	0.17%	0.81%	0.21%	0.62%	0.38%	0.34%	0.55%	0.58%	1.06%	0.48%	0.36%	0.29%	0.82%	0.55%	0.69%	0.92%	0.45%	0.83%	0.55%	0.36%	1.85%	0.67%	0.26%	0.00%	0.73%	0.30%	0.38%	0.32%	1.00%	0.37%	0.47%	0.28%	0.26%	0.58%	1.23%	0.31%	0.85%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	108405	783	1225	772	1134	1276	1284	2219	1356	1493	792	528	2853	1518	1955	1059	1428	1666	1236	1920	1347	1814	1712	1631	1343	1373	1513	1417	856	1250	1045	806	707	1553	1841	1505	1398	1183	1193	1088	961	1230	1751	1210	1344	1909	1873	1661	1646	1339	1363	1717	1231	1233	741	1548	1729	1274	1227	1305	1794	1211	1215	1583	1585	1629	1663	1363	1328	1399	1232	1466	1325	990	1225	1370	1386	1374	295	519	162	575	352					
		73.64%	67.10%	72.27%	65.87%	76.99%	71.17%	71.65%	94.71%	65.95%	74.87%	64.18%	70.87%	90.86%	74.89%	84.05%	64.07%	74.03%	74.94%	69.52%	82.83%	71.46%	78.56%	73.92%	75.20%	70.87%	70.37%	72.57%	75.86%	71.75%	93.14%	73.38%	76.91%	71.06%	71.73%	74.59%	70.29%	72.25%	70.67%	70.80%	64.49%	61.80%	68.45%	75.09%	69.70%	72.53%	73.76%	81.40%	74.99%	70.25%	75.86%	74.04%	72.88%	75.11%	71.52%	60.49%	74.03%	78.73%	73.05%	71.96%	72.38%	72.51%	69.48%	68.96%	73.29%	72.11%	73.71%	71.37%	70.19%	69.89%	70.09%	69.21%	73.59%	72.09%	62.46%	72.10%	71.65%	72.49%	95.15%	77.23%	75.77%	66.39%	88.60%	74.89%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	2018	24	53	26	20	40	34	0	44	18	31	25	8	24	2	59	30	27	41	42	2	23	28	10	33	34	35	27	15	0	15	9	15	29	17	38	10	46	30	48	40	48	26	35	44	26	31	12	41	7	9	13	39	26	27	37	33	6	15	4	22	25	33	36	63	43	2	27	18	29	44	9	17	36	23	10	25	10	0	5	2	1	7					
		1.37%	2.06%	3.13%	2.22%	1.36%	2.23%	1.90%	0.00%	2.14%	0.90%	2.51%	3.36%	0.25%	1.18%	0.09%	3.57%	1.56%	1.21%	2.31%	1.81%	0.11%	0.99%	1.21%	0.46%	1.74%	1.74%	1.68%	1.45%	1.26%	0.00%	1.05%	0.86%	1.51%	1.34%	0.69%	1.77%	0.52%	2.75%	1.78%	2.85%	2.57%	2.67%	1.11%	2.02%	2.37%	1.00%	1.35%	0.54%	1.75%	0.40%	0.49%	0.55%	2.38%	1.51%	2.20%	1.77%	1.50%	0.34%	0.88%	0.22%	0.89%	1.43%	1.87%	1.67%	2.87%	1.95%	0.09%	1.39%	0.95%	1.45%	2.47%	0.45%	0.92%	2.27%	1.35%	0.52%	1.31%	0.69%	0.00%	0.73%	0.82%	0.15%	1.49%					
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
