Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																					
Дата голосования: 02.12.2007																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Южно-Сахалинская городская																																																																																					
																																																																																					
Сводная таблица результатов выборов																																																																																					
																																																																																					
		Сумма	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1742	25	20	25	20	25	20	25	20	30	20	20	20	20	25	20	35	30	20	20	15	15	20	35	30	20	15	27	20	20	20	25	25	25	20	35	25	15	25	35	35	40	35	35	40	30	45	40	40	40	45	40	40	30	20	35	30	30	25	30	10	35	5	20	10	5	5	25	10	5	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	868	18	14	3	0	9	11	12	12	16	6	7	10	7	7	1	26	7	10	10	2	7	12	34	17	7	9	26	16	8	10	12	20	9	16	14	18	15	10	18	18	24	12	23	10	16	23	20	17	19	24	18	13	19	9	13	21	18	9	15	0	28	0	10	0	5	3	10	5	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1088	13	10	4	11	5	13	10	11	12	7	14	10	13	7	5	21	20	18	13	2	10	42	30	16	11	5	11	9	16	15	16	22	10	40	14	18	16	16	28	13	17	13	20	16	6	30	17	12	23	16	14	8	8	13	12	11	19	12	27	4	26	6	5	0	5	35	9	28	1	2	10	3	5	13	6	15	2	42					
14	Число погашенных неиспользованных открепительных удостоверений	874	7	6	22	20	16	9	13	8	14	14	13	10	13	18	19	9	23	10	10	13	8	8	1	13	13	6	1	4	12	10	13	5	16	4	21	7	0	15	17	17	16	23	12	30	14	22	20	23	21	21	22	27	11	11	22	9	12	16	15	10	7	5	10	10	0	2	15	5	5	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																					
18	1.Политическая партия «Аграрная партия России»	795	9	12	14	8	12	17	11	8	7	11	5	14	8	16	8	10	8	7	10	4	7	12	13	13	8	9	14	19	9	10	11	29	14	11	11	12	11	4	10	16	12	17	16	20	16	21	18	18	18	16	15	11	10	8	14	18	9	11	9	3	11	0	14	1	0	8	15	6	0	3	5	0	0	1	0	4	1	4					
		1.10%	0.84%	1.24%	1.55%	1.67%	1.06%	1.61%	0.87%	0.65%	0.52%	1.60%	0.83%	1.57%	0.99%	1.47%	1.34%	0.79%	0.79%	0.83%	1.44%	1.11%	1.20%	0.83%	0.88%	1.07%	0.88%	1.24%	1.13%	1.57%	0.74%	0.87%	1.11%	2.07%	1.35%	1.07%	0.76%	0.96%	1.00%	0.56%	0.80%	1.27%	0.78%	1.12%	1.27%	1.61%	1.31%	1.28%	1.27%	1.17%	1.22%	1.08%	1.10%	1.02%	1.03%	1.05%	1.10%	1.20%	0.90%	1.19%	0.72%	1.80%	0.63%	0.00%	1.78%	0.41%	0.00%	2.18%	1.53%	1.05%	0.00%	1.67%	2.30%	0.00%	0.00%	1.19%	0.00%	1.88%	1.72%	0.73%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1091	19	10	10	9	18	10	19	21	25	3	10	11	14	13	5	22	10	12	3	5	5	27	29	27	14	18	9	23	15	16	18	24	16	30	21	27	20	12	18	31	20	20	18	24	20	25	20	26	30	32	22	18	24	19	22	15	14	8	22	0	9	2	10	2	0	1	3	2	1	5	4	1	0	0	0	0	1	2					
		1.51%	1.77%	1.03%	1.11%	1.88%	1.60%	0.95%	1.51%	1.71%	1.84%	0.44%	1.65%	1.23%	1.74%	1.19%	0.84%	1.74%	0.99%	1.42%	0.43%	1.39%	0.86%	1.87%	1.95%	2.22%	1.54%	2.49%	0.73%	1.91%	1.23%	1.39%	1.82%	1.71%	1.54%	2.92%	1.46%	2.16%	1.83%	1.69%	1.45%	2.46%	1.31%	1.32%	1.43%	1.93%	1.64%	1.52%	1.41%	1.70%	2.03%	2.16%	1.61%	1.68%	2.46%	2.50%	1.74%	1.00%	1.40%	0.87%	1.75%	0.00%	0.51%	1.98%	1.27%	0.82%	0.00%	0.27%	0.31%	0.35%	0.97%	2.78%	1.84%	1.92%	0.00%	0.00%	0.00%	0.00%	1.72%	0.37%					
20	3.Политическая партия «Демократическая партия России»	117	4	3	2	0	1	0	2	5	1	0	0	1	1	1	1	2	1	0	1	0	0	4	4	4	1	1	4	1	1	3	1	2	1	3	1	0	1	3	4	1	1	2	2	0	2	3	3	0	3	4	3	2	2	2	1	3	2	0	1	1	2	0	0	0	0	0	2	1	0	5	2	0	0	0	1	0	0	1					
		0.16%	0.37%	0.31%	0.22%	0.00%	0.09%	0.00%	0.16%	0.41%	0.07%	0.00%	0.00%	0.11%	0.12%	0.09%	0.17%	0.16%	0.10%	0.00%	0.14%	0.00%	0.00%	0.28%	0.27%	0.33%	0.11%	0.14%	0.32%	0.08%	0.08%	0.26%	0.10%	0.14%	0.10%	0.29%	0.07%	0.00%	0.09%	0.42%	0.32%	0.08%	0.07%	0.13%	0.16%	0.00%	0.16%	0.18%	0.21%	0.00%	0.20%	0.27%	0.22%	0.19%	0.21%	0.26%	0.08%	0.20%	0.20%	0.00%	0.08%	0.60%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.18%	0.00%	2.78%	0.92%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	0.18%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	12163	152	170	145	67	173	152	201	194	210	116	81	134	163	156	69	241	96	150	112	29	67	237	250	267	206	128	266	257	302	229	184	245	199	186	291	183	229	100	199	257	235	307	261	220	191	310	223	305	258	250	232	173	176	100	222	235	151	121	263	19	156	11	109	33	16	95	122	107	17	9	34	6	19	14	5	49	4	12					
		16.86%	14.18%	17.53%	16.09%	13.96%	15.35%	14.37%	15.93%	15.80%	15.49%	16.91%	13.37%	15.02%	20.30%	14.33%	11.56%	19.11%	9.47%	17.77%	16.16%	8.06%	11.53%	16.39%	16.84%	21.98%	22.61%	17.70%	21.54%	21.29%	24.82%	19.93%	18.64%	17.45%	19.21%	18.13%	20.21%	14.63%	20.91%	14.08%	15.99%	20.38%	15.36%	20.30%	20.73%	17.70%	15.64%	18.89%	15.77%	19.90%	17.46%	16.86%	16.99%	16.11%	18.07%	13.16%	17.52%	15.69%	15.07%	13.10%	20.92%	11.38%	8.88%	10.89%	13.83%	13.52%	10.26%	25.89%	12.46%	18.80%	16.50%	5.00%	15.67%	11.54%	19.00%	16.67%	4.55%	23.00%	6.90%	2.20%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	660	8	6	6	1	6	6	7	4	8	4	7	18	20	11	7	11	14	10	2	6	4	18	14	13	9	9	9	8	8	15	6	10	12	14	21	15	14	1	13	10	9	8	11	10	18	17	12	21	18	20	10	18	11	12	16	14	8	7	5	1	12	0	6	0	1	0	1	2	0	2	2	0	0	0	1	0	1	1					
		0.91%	0.75%	0.62%	0.67%	0.21%	0.53%	0.57%	0.55%	0.33%	0.59%	0.58%	1.16%	2.02%	2.49%	1.01%	1.17%	0.87%	1.38%	1.18%	0.29%	1.67%	0.69%	1.24%	0.94%	1.07%	0.99%	1.24%	0.73%	0.66%	0.66%	1.31%	0.61%	0.71%	1.16%	1.36%	1.46%	1.20%	1.28%	0.14%	1.05%	0.79%	0.59%	0.53%	0.87%	0.80%	1.47%	1.04%	0.85%	1.37%	1.22%	1.35%	0.73%	1.68%	1.13%	1.58%	1.26%	0.93%	0.80%	0.76%	0.40%	0.60%	0.68%	0.00%	0.76%	0.00%	0.64%	0.00%	0.10%	0.35%	0.00%	1.11%	0.92%	0.00%	0.00%	0.00%	0.91%	0.00%	1.72%	0.18%					
23	6.Политическая партия «Партия социальной справедливости»	191	2	5	3	0	8	1	4	1	2	0	1	2	4	2	1	3	4	3	4	0	1	2	2	5	2	1	5	0	4	1	3	2	3	3	2	7	1	2	2	0	5	3	3	5	1	6	6	6	6	2	2	3	4	2	1	3	4	1	5	1	4	0	2	0	0	1	3	2	0	0	5	0	0	0	2	1	0	4					
		0.26%	0.19%	0.52%	0.33%	0.00%	0.71%	0.09%	0.32%	0.08%	0.15%	0.00%	0.17%	0.22%	0.50%	0.18%	0.17%	0.24%	0.39%	0.36%	0.58%	0.00%	0.17%	0.14%	0.13%	0.41%	0.22%	0.14%	0.40%	0.00%	0.33%	0.09%	0.30%	0.14%	0.29%	0.29%	0.14%	0.56%	0.09%	0.28%	0.16%	0.00%	0.33%	0.20%	0.24%	0.40%	0.08%	0.37%	0.42%	0.39%	0.41%	0.13%	0.15%	0.28%	0.41%	0.26%	0.08%	0.20%	0.40%	0.11%	0.40%	0.60%	0.23%	0.00%	0.25%	0.00%	0.00%	0.27%	0.31%	0.35%	0.00%	0.00%	2.30%	0.00%	0.00%	0.00%	1.82%	0.47%	0.00%	0.73%					
24	7.Политическая партия «Либерально-демократическая партия России»	7781	132	96	94	49	123	130	121	143	176	84	69	106	88	114	61	149	98	70	70	39	62	150	177	128	82	85	104	132	132	129	95	131	84	97	135	135	96	76	155	114	163	165	134	137	143	152	145	159	140	145	143	95	108	71	160	153	113	116	113	21	201	3	67	24	12	29	99	61	13	11	30	3	14	7	11	17	11	281					
		10.78%	12.31%	9.90%	10.43%	10.21%	10.91%	12.29%	9.59%	11.64%	12.98%	12.24%	11.39%	11.88%	10.96%	10.47%	10.22%	11.82%	9.66%	8.29%	10.10%	10.83%	10.67%	10.37%	11.92%	10.53%	9.00%	11.76%	8.42%	10.94%	10.85%	11.23%	9.63%	9.33%	8.11%	9.45%	9.38%	10.79%	8.77%	10.70%	12.46%	9.04%	10.65%	10.91%	10.64%	11.02%	11.71%	9.26%	10.25%	10.37%	9.47%	9.78%	10.48%	8.85%	11.09%	9.34%	12.63%	10.21%	11.28%	12.55%	8.99%	12.57%	11.45%	2.97%	8.50%	9.84%	7.69%	7.90%	10.11%	10.72%	12.62%	6.11%	13.82%	5.77%	14.00%	8.33%	10.00%	7.98%	18.97%	51.47%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	4768	74	59	64	22	63	56	63	81	69	47	28	61	63	86	54	99	60	71	70	23	29	89	104	79	60	43	88	75	68	88	67	93	68	84	114	95	68	46	61	95	94	99	100	72	65	118	91	111	113	108	99	73	67	71	76	101	69	36	92	11	96	13	36	16	5	17	67	45	4	6	8	2	5	13	9	13	1	19					
		6.61%	6.90%	6.08%	7.10%	4.58%	5.59%	5.29%	4.99%	6.60%	5.09%	6.85%	4.62%	6.84%	7.85%	7.90%	9.05%	7.85%	5.92%	8.41%	10.10%	6.39%	4.99%	6.15%	7.00%	6.50%	6.59%	5.95%	7.13%	6.21%	5.59%	7.66%	6.79%	6.62%	6.56%	8.19%	7.92%	7.59%	6.21%	6.48%	4.90%	7.53%	6.14%	6.55%	7.94%	5.79%	5.32%	7.19%	6.44%	7.24%	7.65%	7.28%	7.25%	6.80%	6.88%	9.34%	5.99%	6.74%	6.89%	3.90%	7.32%	6.59%	5.47%	12.87%	4.57%	6.56%	3.21%	4.63%	6.84%	7.91%	3.88%	3.33%	3.69%	3.85%	5.00%	15.48%	8.18%	6.10%	1.72%	3.48%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	731	8	7	3	6	10	9	15	9	9	11	9	11	6	11	7	13	14	10	14	2	3	18	16	11	11	14	12	7	12	9	11	6	8	19	17	12	12	5	23	14	9	19	17	8	13	19	16	11	15	10	17	10	14	11	15	16	11	8	11	1	24	0	4	2	0	3	5	3	1	5	2	1	0	0	1	2	0	3					
		1.01%	0.75%	0.72%	0.33%	1.25%	0.89%	0.85%	1.19%	0.73%	0.66%	1.60%	1.49%	1.23%	0.75%	1.01%	1.17%	1.03%	1.38%	1.18%	2.02%	0.56%	0.52%	1.24%	1.08%	0.91%	1.21%	1.94%	0.97%	0.58%	0.99%	0.78%	1.11%	0.43%	0.77%	1.85%	1.18%	0.96%	1.10%	0.70%	1.85%	1.11%	0.59%	1.26%	1.35%	0.64%	1.06%	1.16%	1.13%	0.72%	1.01%	0.67%	1.25%	0.93%	1.44%	1.45%	1.18%	1.07%	1.10%	0.87%	0.88%	0.60%	1.37%	0.00%	0.51%	0.82%	0.00%	0.82%	0.51%	0.53%	0.97%	2.78%	0.92%	1.92%	0.00%	0.00%	0.91%	0.94%	0.00%	0.55%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	41322	634	563	537	299	674	648	784	717	811	391	382	506	406	652	361	661	670	480	383	239	381	816	833	616	484	394	671	641	611	605	550	813	593	533	775	721	590	439	725	677	936	818	660	710	717	896	830	835	815	845	768	629	505	430	701	896	594	590	703	106	1185	70	527	159	120	198	646	329	61	113	112	39	60	48	78	121	39	167					
		57.27%	59.14%	58.04%	59.60%	62.29%	59.80%	61.25%	62.12%	58.39%	59.81%	56.99%	63.04%	56.73%	50.56%	59.87%	60.47%	52.42%	66.07%	56.87%	55.27%	66.39%	65.58%	56.43%	56.09%	50.70%	53.13%	54.50%	54.33%	53.11%	50.21%	52.65%	55.72%	57.91%	57.24%	51.95%	53.82%	57.63%	53.88%	61.83%	58.28%	53.69%	61.18%	54.10%	52.42%	57.12%	58.72%	54.60%	58.70%	54.47%	55.14%	56.98%	56.26%	58.57%	51.85%	56.58%	55.33%	59.81%	59.28%	63.85%	55.93%	63.47%	67.48%	69.31%	66.88%	65.16%	76.92%	53.95%	65.99%	57.82%	59.22%	62.78%	51.61%	75.00%	60.00%	57.14%	70.91%	56.81%	67.24%	30.59%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1559	19	20	10	14	21	18	16	22	19	11	9	19	19	21	14	36	21	18	18	9	15	42	26	24	20	14	34	30	33	29	27	38	25	35	41	36	35	13	24	23	27	33	19	20	26	62	32	27	45	36	39	29	35	27	27	28	18	15	24	1	20	2	6	5	0	7	8	2	5	3	3	0	2	1	0	4	0	3					
		2.16%	1.77%	2.06%	1.11%	2.92%	1.86%	1.70%	1.27%	1.79%	1.40%	1.60%	1.49%	2.13%	2.37%	1.93%	2.35%	2.85%	2.07%	2.13%	2.60%	2.50%	2.58%	2.90%	1.75%	1.98%	2.20%	1.94%	2.75%	2.49%	2.71%	2.52%	2.74%	2.71%	2.41%	3.41%	2.85%	2.88%	3.20%	1.83%	1.93%	1.82%	1.76%	2.18%	1.51%	1.61%	2.13%	3.78%	2.26%	1.76%	3.04%	2.43%	2.86%	2.70%	3.59%	3.55%	2.13%	1.87%	1.80%	1.62%	1.91%	0.60%	1.14%	1.98%	0.76%	2.05%	0.00%	1.91%	0.82%	0.35%	4.85%	1.67%	1.38%	0.00%	2.00%	1.19%	0.00%	1.88%	0.00%	0.55%					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
