Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Няганьская городская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357	УИК  358	УИК  359	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365					
		4.35%	4.28%	3.20%	3.68%	4.48%	3.14%	2.60%	3.57%	3.21%	4.39%	4.35%	5.32%	4.15%	3.98%	5.57%	4.16%	3.82%	5.99%	4.21%	4.44%	4.85%	2.01%	3.93%					
19	. Малышкин Олег Александрович	698	31	40	25	28	32	4	25	15	21	30	34	25	28	28	37	22	71	47	51	64	16	24					
		2.64%	3.16%	3.76%	2.30%	2.67%	2.39%	1.49%	3.30%	2.29%	2.79%	1.69%	1.77%	2.97%	2.14%	1.95%	2.30%	2.00%	3.38%	3.09%	2.94%	3.30%	4.60%	2.86%					
20	. Миронов Сергей Михайлович	198	9	14	10	8	9	1	7	3	4	12	9	9	9	4	10	6	21	12	20	16	2	3					
		0.75%	0.92%	1.32%	0.92%	0.76%	0.67%	0.37%	0.92%	0.46%	0.53%	0.68%	0.47%	1.07%	0.69%	0.28%	0.62%	0.55%	1.00%	0.79%	1.15%	0.83%	0.57%	0.36%					
21	. Путин Владимир Владимирович	19336	746	811	780	780	1003	197	562	476	561	1267	1400	570	972	1022	1171	816	1441	1159	1323	1393	260	626					
		73.20%	76.04%	76.29%	71.82%	74.36%	75.02%	73.23%	74.24%	72.78%	74.60%	71.58%	73.03%	67.62%	74.43%	71.12%	72.73%	74.25%	68.52%	76.20%	76.21%	71.84%	74.71%	74.52%					
22	. Хакамада Ирина Муцуовна	1287	33	42	45	39	47	13	27	19	29	128	112	59	91	75	91	69	81	70	55	86	24	52					
		4.87%	3.36%	3.95%	4.14%	3.72%	3.52%	4.83%	3.57%	2.91%	3.86%	7.23%	5.84%	7.00%	6.97%	5.22%	5.65%	6.28%	3.85%	4.60%	3.17%	4.44%	6.90%	6.19%					
23	. Харитонов Николай Михайлович	2436	63	79	128	101	148	34	74	86	73	171	161	78	101	129	134	81	263	105	138	206	16	67					
		9.22%	6.42%	7.43%	11.79%	9.63%	11.07%	12.64%	9.78%	13.15%	9.71%	9.66%	8.40%	9.25%	7.73%	8.98%	8.32%	7.37%	12.51%	6.90%	7.95%	10.62%	4.60%	7.98%					
																													
24	Против всех	1120	42	33	44	39	45	10	19	23	27	77	92	61	41	90	93	58	88	50	67	70	18	33					
		4.24%	4.28%	3.10%	4.05%	3.72%	3.37%	3.72%	2.51%	3.52%	3.59%	4.35%	4.80%	7.24%	3.14%	6.26%	5.78%	5.28%	4.18%	3.29%	3.86%	3.61%	5.17%	3.93%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
