Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																											
Дата голосования: 04.12.2011																																																																											
																																																																											
"Наименование Избирательной комиссии:    Владивосток, Ленинская"																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
		Сумма	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1903	УИК №1904					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2269	520	30	20	40	15	0	60	20	80	20	15	25	20	30	20	40	50	40	22	50	15	20	30	27	20	20	20	20	15	15	20	40	20	50	20	25	30	20	150	30	20	25	10	20	30	30	25	30	20	30	20	15	15	20	25	15	20	35	30	20	10	10	10	10	20	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1802	495	20	15	20	9	0	60	13	72	10	6	15	10	23	11	33	38	27	21	33	12	10	24	25	5	13	18	18	12	14	14	20	7	30	18	21	30	17	119	25	13	21	7	18	23	21	23	25	14	25	12	11	15	17	22	14	12	25	19	16	2	10	4	10	20	7	5	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1253	28	33	29	25	11	374	5	15	19	40	12	10	6	3	10	8	22	12	16	16	11	11	19	19	14	10	9	11	10	10	12	10	10	13	10	15	15	20	15	16	6	10	3	8	7	7	12	1	10	8	10	22	22	7	7	10	8	9	7	30	11	20	9	11	11	19	9	5					
14	Число погашенных неиспользованных открепительных удостоверений	467	25	10	5	20	6	0	0	7	8	10	9	10	10	7	9	7	12	13	1	17	3	10	6	2	15	7	2	2	3	1	6	20	13	20	2	4	0	3	31	5	7	4	3	2	7	9	2	5	6	5	8	4	0	3	3	1	8	10	11	4	8	0	6	0	0	3	5	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	101	0	2	2	1	0	0	0	0	10	0	0	3	0	0	4	2	0	2	2	0	1	1	2	2	1	3	3	1	0	0	1	3	2	3	0	4	2	4	4	0	6	1	1	1	0	3	3	1	0	0	3	2	2	2	3	1	1	3	2	1	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	7	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	10228	33	153	198	195	93	75	72	113	169	130	89	196	156	180	159	286	288	241	142	198	154	174	303	188	181	194	189	176	125	160	126	176	214	243	197	230	211	172	54	150	227	205	88	212	195	235	277	211	81	148	146	122	93	149	190	233	144	157	126	14	11	20	23	39	31	10	14	44					
		20.85%	5.27%	21.73%	22.12%	24.62%	21.09%	7.04%	11.86%	21.36%	16.17%	18.47%	21.81%	24.29%	21.94%	22.25%	20.41%	25.56%	23.34%	24.10%	23.05%	18.68%	26.42%	21.30%	23.17%	23.47%	18.80%	23.54%	19.40%	21.44%	21.51%	20.51%	16.71%	20.25%	22.25%	23.14%	18.69%	25.30%	20.93%	23.34%	10.89%	20.66%	24.46%	23.89%	22.28%	23.61%	24.19%	24.76%	25.11%	21.42%	18.79%	23.91%	20.68%	17.89%	18.67%	23.54%	20.30%	26.45%	23.84%	23.02%	22.50%	8.86%	6.32%	8.23%	8.65%	14.66%	11.27%	9.43%	7.49%	17.67%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	9245	122	90	125	115	87	429	152	72	195	105	77	104	118	123	126	180	185	200	152	203	82	148	203	125	154	147	202	147	108	145	172	204	206	224	192	161	184	153	132	159	161	156	67	165	164	184	245	211	52	107	145	132	102	89	138	169	104	116	115	40	36	69	49	49	50	28	35	59					
		18.85%	19.49%	12.78%	13.97%	14.52%	19.73%	40.24%	25.04%	13.61%	18.66%	14.91%	18.87%	12.89%	16.60%	15.20%	16.17%	16.09%	14.99%	20.00%	24.68%	19.15%	14.07%	18.12%	15.52%	15.61%	15.99%	17.84%	20.74%	17.90%	18.59%	18.59%	22.81%	23.48%	21.41%	21.33%	18.22%	17.71%	18.25%	20.76%	26.61%	21.90%	17.35%	18.18%	16.96%	18.37%	20.35%	19.39%	22.21%	21.42%	12.06%	17.29%	20.54%	19.35%	20.48%	14.06%	14.74%	19.18%	17.22%	17.01%	20.54%	25.32%	20.69%	28.40%	18.42%	18.42%	18.18%	26.42%	18.72%	23.69%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	442	8	15	3	8	6	9	1	3	11	6	6	6	4	4	7	12	9	9	7	6	8	6	13	5	12	10	8	4	11	9	9	12	5	6	8	9	14	4	8	8	12	2	5	4	9	6	0	6	9	8	12	3	4	7	8	7	5	1	7	1	2	0	1	3	5	0	4	2					
		0.90%	1.28%	2.13%	0.34%	1.01%	1.36%	0.84%	0.16%	0.57%	1.05%	0.85%	1.47%	0.74%	0.56%	0.49%	0.90%	1.07%	0.73%	0.90%	1.14%	0.57%	1.37%	0.73%	0.99%	0.62%	1.25%	1.21%	0.82%	0.49%	1.89%	1.15%	1.19%	1.38%	0.52%	0.57%	0.76%	0.99%	1.39%	0.54%	1.61%	1.10%	1.29%	0.23%	1.27%	0.45%	1.12%	0.63%	0.00%	0.61%	2.09%	1.29%	1.70%	0.44%	0.80%	1.11%	0.85%	0.79%	0.83%	0.15%	1.25%	0.63%	1.15%	0.00%	0.38%	1.13%	1.82%	0.00%	2.14%	0.80%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	14093	51	215	308	250	125	88	78	195	270	229	114	258	233	279	271	327	388	282	156	326	173	238	410	232	313	223	306	245	176	215	234	263	287	294	386	259	289	221	113	204	247	242	132	254	199	272	296	311	137	217	217	172	134	216	355	228	173	204	165	28	28	59	41	58	46	36	39	63					
		28.73%	8.15%	30.54%	34.41%	31.57%	28.34%	8.26%	12.85%	36.86%	25.84%	32.53%	27.94%	31.97%	32.77%	34.49%	34.79%	29.22%	31.44%	28.20%	25.32%	30.75%	29.67%	29.13%	31.35%	28.96%	32.50%	27.06%	31.42%	29.84%	30.29%	27.56%	31.03%	30.26%	29.83%	28.00%	36.62%	28.49%	28.67%	29.99%	22.78%	28.10%	26.62%	28.21%	33.42%	28.29%	24.69%	28.66%	26.84%	31.57%	31.79%	35.06%	30.74%	25.22%	26.91%	34.12%	37.93%	25.88%	28.64%	29.91%	29.46%	17.72%	16.09%	24.28%	15.41%	21.80%	16.73%	33.96%	20.86%	25.30%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3465	18	83	90	71	37	15	16	41	80	69	33	79	75	73	65	95	123	66	28	80	46	56	87	61	103	57	67	53	33	45	34	51	58	70	86	53	84	38	9	48	65	60	24	44	65	68	57	66	49	43	38	44	32	47	91	56	26	61	46	4	3	7	6	18	21	5	19	24					
		7.06%	2.88%	11.79%	10.06%	8.96%	8.39%	1.41%	2.64%	7.75%	7.66%	9.80%	8.09%	9.79%	10.55%	9.02%	8.34%	8.49%	9.97%	6.60%	4.55%	7.55%	7.89%	6.85%	6.65%	7.62%	10.70%	6.92%	6.88%	6.46%	5.68%	5.77%	4.51%	5.87%	6.03%	6.67%	8.16%	5.83%	8.33%	5.16%	1.81%	6.61%	7.00%	6.99%	6.08%	4.90%	8.06%	7.17%	5.17%	6.70%	11.37%	6.95%	5.38%	6.45%	6.43%	7.42%	9.72%	6.36%	4.30%	8.94%	8.21%	2.53%	1.72%	2.88%	2.26%	6.77%	7.64%	4.72%	10.16%	9.64%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10177	368	129	112	137	87	344	279	93	282	143	76	137	101	136	133	194	208	171	110	222	109	171	255	169	174	172	178	183	103	181	165	135	172	194	161	178	195	139	165	140	196	169	67	187	155	161	194	160	86	86	123	180	118	114	135	165	138	127	92	68	94	80	139	94	116	23	57	52					
		20.75%	58.79%	18.32%	12.51%	17.30%	19.73%	32.27%	45.96%	17.58%	26.99%	20.31%	18.63%	16.98%	14.21%	16.81%	17.07%	17.34%	16.86%	17.10%	17.86%	20.94%	18.70%	20.93%	19.50%	21.10%	18.07%	20.87%	18.28%	22.29%	17.73%	23.21%	21.88%	15.54%	17.88%	18.48%	15.28%	19.58%	19.35%	18.86%	33.27%	19.28%	21.12%	19.70%	16.96%	20.82%	19.23%	16.97%	17.59%	16.24%	19.95%	13.89%	17.42%	26.39%	23.69%	18.01%	14.42%	18.73%	22.85%	18.62%	16.43%	43.04%	54.02%	32.92%	52.26%	35.34%	42.18%	21.70%	30.48%	20.88%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	339	3	4	8	8	4	9	4	4	14	6	4	6	8	4	6	11	9	9	3	9	4	7	10	5	7	5	3	1	5	3	4	9	6	6	5	7	12	1	3	4	5	2	2	7	1	5	11	7	3	5	5	6	3	5	3	5	5	6	3	1	0	2	0	0	0	0	2	5					
		0.69%	0.48%	0.57%	0.89%	1.01%	0.91%	0.84%	0.66%	0.76%	1.34%	0.85%	0.98%	0.74%	1.13%	0.49%	0.77%	0.98%	0.73%	0.90%	0.49%	0.85%	0.69%	0.86%	0.76%	0.62%	0.73%	0.61%	0.31%	0.12%	0.86%	0.38%	0.53%	1.04%	0.62%	0.57%	0.47%	0.77%	1.19%	0.14%	0.60%	0.55%	0.54%	0.23%	0.51%	0.78%	0.12%	0.53%	0.99%	0.71%	0.70%	0.81%	0.71%	0.88%	0.60%	0.79%	0.32%	0.57%	0.83%	0.88%	0.54%	0.63%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	1.07%	2.01%					
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
																																																																											
