Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Мари-Турекская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320	УИК  321	УИК  322	УИК  323	УИК  324	УИК  325	УИК  326	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337					
		1.84%	1.29%	2.88%	1.73%	3.29%	1.87%	3.70%	0.26%	0.98%	0.73%	0.97%	2.14%	1.48%	2.16%	2.87%	1.96%	1.55%	1.72%	1.31%	1.09%	1.20%	1.20%	0.37%	1.95%	2.46%	1.30%	0.43%					
19	. Малышкин Олег Александрович	382	5	42	9	42	16	25	16	13	11	7	16	17	17	9	26	3	13	11	5	18	13	5	7	1	15	20					
		2.49%	3.23%	3.55%	3.90%	2.94%	3.00%	3.09%	4.21%	1.60%	2.01%	3.40%	1.49%	2.10%	2.44%	2.15%	2.55%	1.16%	2.48%	1.81%	1.82%	3.10%	3.12%	0.61%	3.41%	0.35%	3.90%	2.87%					
20	. Миронов Сергей Михайлович	109	1	14	1	24	2	8	3	3	1	2	7	4	4	1	6	0	1	5	0	6	4	6	1	2	1	2					
		0.71%	0.65%	1.18%	0.43%	1.68%	0.37%	0.99%	0.79%	0.37%	0.18%	0.97%	0.65%	0.49%	0.57%	0.24%	0.59%	0.00%	0.19%	0.82%	0.00%	1.03%	0.96%	0.73%	0.49%	0.70%	0.26%	0.29%					
21	. Путин Владимир Владимирович	10986	110	779	147	960	346	529	306	638	445	132	805	531	493	333	779	185	325	426	222	419	293	589	155	221	287	531					
		71.50%	70.97%	65.91%	63.64%	67.13%	64.79%	65.31%	80.53%	78.28%	81.20%	64.08%	74.95%	65.47%	70.83%	79.67%	76.30%	71.71%	62.02%	69.95%	81.02%	72.12%	70.43%	71.74%	75.61%	77.82%	74.55%	76.07%					
22	. Хакамада Ирина Муцуовна	288	0	28	5	48	12	28	7	14	11	4	12	12	11	1	32	3	6	5	2	4	7	14	1	1	11	9					
		1.87%	0.00%	2.37%	2.16%	3.36%	2.25%	3.46%	1.84%	1.72%	2.01%	1.94%	1.12%	1.48%	1.58%	0.24%	3.13%	1.16%	1.15%	0.82%	0.73%	0.69%	1.68%	1.71%	0.49%	0.35%	2.86%	1.29%					
23	. Харитонов Николай Михайлович	2935	33	247	63	263	136	168	38	105	65	55	192	224	141	58	124	59	141	143	37	117	81	186	35	46	63	115					
		19.10%	21.29%	20.90%	27.27%	18.39%	25.47%	20.74%	10.00%	12.88%	11.86%	26.70%	17.88%	27.62%	20.26%	13.88%	12.14%	22.87%	26.91%	23.48%	13.50%	20.14%	19.47%	22.66%	17.07%	16.20%	16.36%	16.48%					
																																	
24	Против всех	228	2	27	2	32	9	13	7	17	6	4	11	6	5	1	16	2	5	11	5	8	9	10	2	5	1	12					
		1.48%	1.29%	2.28%	0.87%	2.24%	1.69%	1.60%	1.84%	2.09%	1.09%	1.94%	1.02%	0.74%	0.72%	0.24%	1.57%	0.78%	0.95%	1.81%	1.82%	1.38%	2.16%	1.22%	0.98%	1.76%	0.26%	1.72%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
