Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    Тарусская																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655	УИК  656	УИК  657	УИК  658					
		2.30%	2.58%	2.62%	1.90%	2.47%	2.23%	4.13%	0.0%	2.92%	1.37%	2.02%	1.67%	3.96%	1.55%	1.40%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	233	39	25	61	59	3	3	6	17	1	6	0	0	7	6					
		3.60%	4.20%	3.64%	5.54%	5.84%	1.11%	1.12%	3.68%	2.92%	0.34%	1.21%	0.0%	0.0%	3.62%	2.81%					
22	"5. ""За Русь Святую"""	48	5	13	7	8	1	0	0	6	5	0	1	1	0	1					
		0.74%	0.53%	1.89%	0.63%	0.79%	0.37%	0.0%	0.0%	1.03%	1.71%	0.0%	0.55%	0.99%	0.0%	0.46%					
23	"6. ""Объединенная Российская партия ""Русь"""	25	6	2	1	3	0	1	0	6	0	4	0	1	1	0					
		0.38%	0.64%	0.29%	0.09%	0.29%	0.0%	0.37%	0.0%	1.03%	0.0%	0.81%	0.0%	0.99%	0.51%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	58	8	5	18	13	0	1	1	7	2	2	0	0	1	0					
		0.89%	0.86%	0.72%	1.63%	1.28%	0.0%	0.37%	0.61%	1.20%	0.68%	0.40%	0.0%	0.0%	0.51%	0.0%					
25	"8. ""Народно-республиканская партия России"""	15	2	6	0	3	0	0	1	1	0	1	0	0	1	0					
		0.23%	0.21%	0.87%	0.0%	0.29%	0.0%	0.0%	0.61%	0.17%	0.0%	0.20%	0.0%	0.0%	0.51%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	18	2	2	4	4	0	0	1	3	1	0	0	0	1	0					
		0.27%	0.21%	0.29%	0.36%	0.39%	0.0%	0.0%	0.61%	0.51%	0.34%	0.0%	0.0%	0.0%	0.51%	0.0%					
27	"10. ""Аграрная партия России"""	454	35	16	35	32	36	25	2	40	49	47	9	10	6	112					
		7.01%	3.77%	2.33%	3.18%	3.17%	13.43%	9.39%	1.22%	6.88%	16.83%	9.53%	5.02%	9.90%	3.10%	52.58%					
28	"11. ""Истинные патриоты России"""	14	0	0	0	1	3	5	0	3	0	0	1	0	1	0					
		0.21%	0.0%	0.0%	0.0%	0.09%	1.11%	1.87%	0.0%	0.51%	0.0%	0.0%	0.55%	0.0%	0.51%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	63	8	16	13	8	3	1	0	5	1	5	1	0	1	1					
		0.97%	0.86%	2.33%	1.18%	0.79%	1.11%	0.37%	0.0%	0.86%	0.34%	1.01%	0.55%	0.0%	0.51%	0.46%					
30	"13. ""Демократическая партия России"""	12	1	3	1	2	0	0	0	3	0	1	0	0	1	0					
		0.18%	0.10%	0.43%	0.09%	0.19%	0.0%	0.0%	0.0%	0.51%	0.0%	0.20%	0.0%	0.0%	0.51%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	4	2	2	2	1	2	1	1	0	1	0	1	1	0					
		0.27%	0.43%	0.29%	0.18%	0.19%	0.37%	0.75%	0.61%	0.17%	0.0%	0.20%	0.0%	0.99%	0.51%	0.0%					
32	"15. ""Партия СЛОН"""	13	2	1	1	1	0	0	0	6	0	1	0	0	1	0					
		0.20%	0.21%	0.14%	0.09%	0.09%	0.0%	0.0%	0.0%	1.03%	0.0%	0.20%	0.0%	0.0%	0.51%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	839	137	94	212	184	12	35	13	32	32	47	17	10	10	4					
		12.96%	14.77%	13.72%	19.27%	18.23%	4.47%	13.15%	7.97%	5.50%	10.99%	9.53%	9.49%	9.90%	5.18%	1.87%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	15	3	1	2	0	1	0	0	8	0	0	0	0	0	0					
		0.23%	0.32%	0.14%	0.18%	0.0%	0.37%	0.0%	0.0%	1.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	679	86	71	112	97	18	26	25	58	19	70	21	6	51	19					
		10.49%	9.27%	10.36%	10.18%	9.61%	6.71%	9.77%	15.33%	9.98%	6.52%	14.19%	11.73%	5.94%	26.42%	8.92%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	94	18	12	9	14	5	6	0	8	6	9	1	3	2	1					
		1.45%	1.94%	1.75%	0.81%	1.38%	1.86%	2.25%	0.0%	1.37%	2.06%	1.82%	0.55%	2.97%	1.03%	0.46%					
37	"20. ""Политическая партия ""Единая Россия"""	2428	328	224	370	330	136	105	91	242	107	215	103	51	79	47					
		37.53%	35.38%	32.70%	33.63%	32.70%	50.74%	39.47%	55.82%	41.65%	36.76%	43.61%	57.54%	50.49%	40.93%	22.06%					
38	"21. ""Российская Конституционно-демократическая партия"""	11	0	0	1	2	2	0	0	3	1	1	0	0	1	0					
		0.17%	0.0%	0.0%	0.09%	0.19%	0.74%	0.0%	0.0%	0.51%	0.34%	0.20%	0.0%	0.0%	0.51%	0.0%					
39	"22. ""Развитие предпринимательства"""	22	2	2	5	9	0	0	0	3	0	0	0	0	1	0					
		0.34%	0.21%	0.29%	0.45%	0.89%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	686	127	126	95	114	18	24	11	60	34	39	13	8	8	9					
		10.60%	13.70%	18.39%	8.63%	11.29%	6.71%	9.02%	6.74%	10.32%	11.68%	7.91%	7.26%	7.92%	4.14%	4.22%					
																					
41	Против всех	263	37	17	57	58	7	8	3	26	17	14	5	2	7	5					
		4.06%	3.99%	2.48%	5.18%	5.74%	2.61%	3.00%	1.84%	4.47%	5.84%	2.83%	2.79%	1.98%	3.62%	2.34%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
