Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																															
Дата голосования: 07.12.2003 0:00:00																																																															
																																																															
Наименование Избирательной комиссии:    Северская																																																															
																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																															
																																																															
		Сумма	УИК  4101	УИК  4102	УИК  4103	УИК  4104	УИК  4105	УИК  4106	УИК  4107	УИК  4108	УИК  4109	УИК  4110	УИК  4111	УИК  4112	УИК  4113	УИК  4114	УИК  4115	УИК  4116	УИК  4117	УИК  4118	УИК  4119	УИК  4120	УИК  4121	УИК  4122	УИК  4123	УИК  4124	УИК  4125	УИК  4126	УИК  4127	УИК  4128	УИК  4129	УИК  4130	УИК  4131	УИК  4132	УИК  4133	УИК  4134	УИК  4135	УИК  4136	УИК  4137	УИК  4138	УИК  4139	УИК  4140	УИК  4141	УИК  4142	УИК  4143	УИК  4144	УИК  4145	УИК  4146	УИК  4147	УИК  4148	УИК  4149	УИК  4150	УИК  4151	УИК  4152	УИК  4153	УИК  4154	УИК  4155	УИК  4156					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	224	2	6	6	0	7	2	2	1	0	7	12	5	3	6	6	5	2	4	9	3	0	1	9	3	1	0	4	4	2	3	0	2	5	3	5	5	18	3	6	7	1	4	3	1	6	9	0	17	0	2	4	2	1	2	2	1					
14	Число погашенных открепительных удостоверений	523	8	11	12	13	17	6	4	17	11	20	4	7	4	28	14	8	14	18	17	3	8	8	9	7	1	5	3	3	4	0	5	8	14	4	25	12	9	11	16	15	15	13	4	13	17	4	5	5	4	6	7	5	8	7	3	4					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
18	"1. ""ЕДИНЕНИЕ"""	367	2	11	9	6	3	5	5	7	14	13	2	3	3	9	4	14	17	8	13	0	6	12	10	6	7	7	5	1	1	6	1	10	3	2	8	7	6	3	14	8	12	10	3	9	5	3	1	7	4	8	10	4	7	8	3	2					
		0.89%	0.28%	1.21%	1.27%	0.78%	0.25%	0.54%	2.06%	0.78%	1.55%	0.93%	0.77%	0.55%	0.69%	0.77%	0.37%	1.88%	1.90%	0.79%	1.38%	0.0%	0.81%	1.24%	1.36%	0.67%	2.62%	2.77%	1.86%	0.82%	0.58%	0.8%	0.56%	1.00%	0.40%	1.85%	0.60%	0.81%	0.69%	0.29%	1.12%	0.66%	1.12%	0.80%	2.47%	0.58%	0.45%	0.81%	1.09%	1.30%	0.45%	0.81%	1.08%	1.85%	0.72%	0.88%	1.58%	1.12%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	528	11	13	7	20	21	11	6	19	12	17	1	7	8	10	11	7	12	13	12	0	9	10	4	9	1	1	0	0	4	6	1	9	10	0	20	20	11	10	29	10	10	11	1	20	25	4	1	10	4	12	13	6	7	18	3	1					
		1.29%	1.56%	1.43%	0.98%	2.60%	1.79%	1.19%	2.47%	2.13%	1.33%	1.22%	0.38%	1.28%	1.86%	0.85%	1.03%	0.94%	1.34%	1.28%	1.27%	0.0%	1.21%	1.03%	0.54%	1.01%	0.37%	0.39%	0.0%	0.0%	2.32%	0.8%	0.56%	0.90%	1.35%	0.0%	1.52%	2.32%	1.27%	0.98%	2.33%	0.82%	0.93%	0.88%	0.82%	1.29%	2.29%	1.08%	1.09%	1.85%	0.45%	1.22%	1.41%	2.77%	0.72%	1.98%	1.58%	0.56%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	909	15	22	7	20	17	25	8	25	24	26	4	14	7	30	26	18	22	32	20	5	15	31	23	30	11	7	4	4	3	15	2	15	11	4	16	21	13	33	20	31	18	35	2	24	29	13	2	12	11	22	25	6	15	12	2	5					
		2.22%	2.13%	2.42%	0.98%	2.60%	1.45%	2.72%	3.30%	2.81%	2.67%	1.87%	1.55%	2.56%	1.62%	2.57%	2.43%	2.41%	2.46%	3.16%	2.12%	2.25%	2.02%	3.21%	3.14%	3.38%	4.11%	2.77%	1.49%	3.30%	1.74%	2.0%	1.12%	1.50%	1.49%	3.70%	1.21%	2.44%	1.50%	3.24%	1.60%	2.56%	1.68%	2.83%	1.65%	1.54%	2.66%	3.53%	2.19%	2.23%	1.24%	2.24%	2.71%	2.77%	1.56%	1.32%	1.05%	2.82%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	945	23	23	21	14	41	43	7	18	27	34	3	4	7	15	32	24	19	26	21	5	5	29	8	6	3	1	3	0	2	4	0	24	16	2	26	37	14	28	52	38	21	39	1	24	12	7	0	14	15	33	35	1	8	29	1	0					
		2.31%	3.28%	2.53%	2.96%	1.82%	3.50%	4.68%	2.89%	2.02%	3.00%	2.45%	1.16%	0.73%	1.62%	1.28%	3.00%	3.22%	2.12%	2.57%	2.23%	2.25%	0.67%	3.00%	1.09%	0.67%	1.12%	0.39%	1.11%	0.0%	1.16%	0.53%	0.0%	2.41%	2.17%	1.85%	1.98%	4.30%	1.61%	2.75%	4.18%	3.14%	1.96%	3.15%	0.82%	1.54%	1.10%	1.90%	0.0%	2.60%	1.69%	3.36%	3.80%	0.46%	0.83%	3.20%	0.52%	0.0%					
22	"5. ""За Русь Святую"""	227	7	10	9	1	7	2	1	4	8	4	1	7	1	7	5	5	3	9	3	0	2	3	1	5	1	2	1	0	0	5	2	10	5	0	3	5	4	10	6	2	0	5	1	16	14	3	0	4	4	4	6	0	0	8	1	0					
		0.55%	0.99%	1.10%	1.27%	0.13%	0.59%	0.21%	0.41%	0.44%	0.89%	0.28%	0.38%	1.28%	0.23%	0.60%	0.46%	0.67%	0.33%	0.89%	0.31%	0.0%	0.27%	0.31%	0.13%	0.56%	0.37%	0.79%	0.37%	0.0%	0.0%	0.66%	1.12%	1.00%	0.67%	0.0%	0.22%	0.58%	0.46%	0.98%	0.48%	0.16%	0.0%	0.40%	0.82%	1.03%	1.28%	0.81%	0.0%	0.74%	0.45%	0.40%	0.65%	0.0%	0.0%	0.88%	0.52%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	130	1	1	4	5	1	4	2	1	3	1	2	3	0	5	6	2	5	2	0	0	5	1	2	0	3	1	0	0	5	4	2	5	0	2	1	2	1	4	4	3	0	5	0	2	4	1	2	1	3	5	1	0	5	3	2	3					
		0.31%	0.14%	0.11%	0.56%	0.65%	0.08%	0.43%	0.82%	0.11%	0.33%	0.07%	0.77%	0.55%	0.0%	0.42%	0.56%	0.26%	0.55%	0.19%	0.0%	0.0%	0.67%	0.10%	0.27%	0.0%	1.12%	0.39%	0.0%	0.0%	2.90%	0.53%	1.12%	0.50%	0.0%	1.85%	0.07%	0.23%	0.11%	0.39%	0.32%	0.24%	0.0%	0.40%	0.0%	0.12%	0.36%	0.27%	2.19%	0.18%	0.33%	0.50%	0.10%	0.0%	0.52%	0.33%	1.05%	1.69%					
24	"7. ""Новый курс - Автомобильная Россия"""	279	9	11	3	5	9	2	2	6	8	13	3	2	4	14	13	4	9	5	5	1	6	3	4	4	1	2	0	0	0	1	1	7	2	0	12	9	1	5	9	18	5	7	0	8	4	2	0	1	11	6	9	1	5	4	1	2					
		0.68%	1.28%	1.21%	0.42%	0.65%	0.76%	0.21%	0.82%	0.67%	0.89%	0.93%	1.16%	0.36%	0.93%	1.20%	1.21%	0.53%	1.00%	0.49%	0.53%	0.45%	0.81%	0.31%	0.54%	0.45%	0.37%	0.79%	0.0%	0.0%	0.0%	0.13%	0.56%	0.70%	0.27%	0.0%	0.91%	1.04%	0.11%	0.49%	0.72%	1.49%	0.46%	0.56%	0.0%	0.51%	0.36%	0.54%	0.0%	0.18%	1.24%	0.61%	0.97%	0.46%	0.52%	0.44%	0.52%	1.12%					
25	"8. ""Народно-республиканская партия России"""	76	2	2	2	1	6	2	1	3	1	3	1	2	1	1	2	1	2	0	1	2	4	0	0	5	0	0	0	1	0	1	0	2	3	1	1	0	0	1	2	0	2	4	1	2	0	2	2	1	0	3	2	0	0	0	0	0					
		0.18%	0.28%	0.22%	0.28%	0.13%	0.51%	0.21%	0.41%	0.33%	0.11%	0.21%	0.38%	0.36%	0.23%	0.08%	0.18%	0.13%	0.22%	0.0%	0.10%	0.90%	0.54%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.82%	0.0%	0.13%	0.0%	0.20%	0.40%	0.92%	0.07%	0.0%	0.0%	0.09%	0.16%	0.0%	0.18%	0.32%	0.82%	0.12%	0.0%	0.54%	2.19%	0.18%	0.0%	0.30%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	124	3	5	1	2	6	4	0	1	3	1	1	1	2	1	1	3	3	3	5	0	2	3	0	4	0	1	3	0	0	1	0	3	2	0	10	6	1	3	2	6	6	0	0	3	2	0	0	1	7	3	1	0	3	3	0	2					
		0.30%	0.42%	0.55%	0.14%	0.26%	0.51%	0.43%	0.0%	0.11%	0.33%	0.07%	0.38%	0.18%	0.46%	0.08%	0.09%	0.40%	0.33%	0.29%	0.53%	0.0%	0.27%	0.31%	0.0%	0.45%	0.0%	0.39%	1.11%	0.0%	0.0%	0.13%	0.0%	0.30%	0.27%	0.0%	0.76%	0.69%	0.11%	0.29%	0.16%	0.49%	0.56%	0.0%	0.0%	0.19%	0.18%	0.0%	0.0%	0.18%	0.79%	0.30%	0.10%	0.0%	0.31%	0.33%	0.0%	1.12%					
27	"10. ""Аграрная партия России"""	1099	17	28	29	11	12	24	3	27	24	36	13	27	6	28	26	23	26	17	30	6	22	30	25	25	8	8	13	10	7	34	11	27	15	0	36	27	23	24	16	33	41	47	4	35	9	15	2	11	14	20	25	5	25	26	6	7					
		2.69%	2.42%	3.08%	4.09%	1.43%	1.02%	2.61%	1.23%	3.03%	2.67%	2.59%	5.03%	4.95%	1.39%	2.40%	2.43%	3.09%	2.91%	1.68%	3.19%	2.70%	2.97%	3.11%	3.41%	2.82%	2.99%	3.17%	4.85%	8.26%	4.06%	4.53%	6.21%	2.71%	2.03%	0.0%	2.74%	3.13%	2.65%	2.35%	1.28%	2.73%	3.83%	3.80%	3.30%	2.25%	0.82%	4.07%	2.19%	2.04%	1.58%	2.03%	2.71%	2.31%	2.60%	2.86%	3.17%	3.95%					
28	"11. ""Истинные патриоты России"""	38	0	2	1	0	1	2	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	4	0	4	0	2	0	0	3	0	1	1	0	0	0	0	2	4	0	0	1	1	0					
		0.09%	0.0%	0.22%	0.14%	0.0%	0.08%	0.21%	0.0%	0.0%	0.11%	0.07%	0.0%	0.0%	0.23%	0.08%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.79%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.30%	0.0%	0.46%	0.0%	0.16%	0.0%	0.0%	0.24%	0.0%	0.06%	0.09%	0.0%	0.0%	0.0%	0.0%	0.20%	0.43%	0.0%	0.0%	0.11%	0.52%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	385	9	8	3	4	6	5	5	2	4	10	0	14	6	16	6	7	9	7	3	2	2	12	7	12	1	1	13	0	3	4	2	12	4	0	22	13	10	6	14	18	8	10	3	12	10	0	0	9	13	9	5	4	10	8	1	1					
		0.94%	1.28%	0.88%	0.42%	0.52%	0.51%	0.54%	2.06%	0.22%	0.44%	0.72%	0.0%	2.56%	1.39%	1.37%	0.56%	0.94%	1.00%	0.69%	0.31%	0.90%	0.27%	1.24%	0.95%	1.35%	0.37%	0.39%	4.85%	0.0%	1.74%	0.53%	1.12%	1.20%	0.54%	0.0%	1.67%	1.51%	1.15%	0.58%	1.12%	1.49%	0.74%	0.80%	2.47%	0.77%	0.91%	0.0%	0.0%	1.67%	1.47%	0.91%	0.54%	1.85%	1.04%	0.88%	0.52%	0.56%					
30	"13. ""Демократическая партия России"""	91	1	0	1	2	3	2	1	2	2	2	0	1	2	3	3	0	3	3	2	0	4	6	1	3	0	0	1	0	0	0	1	1	3	0	0	1	0	1	7	3	5	4	0	2	2	2	0	1	3	1	3	0	2	0	0	1					
		0.22%	0.14%	0.0%	0.14%	0.26%	0.25%	0.21%	0.41%	0.22%	0.22%	0.14%	0.0%	0.18%	0.46%	0.25%	0.28%	0.0%	0.33%	0.29%	0.21%	0.0%	0.54%	0.62%	0.13%	0.33%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.56%	0.10%	0.40%	0.0%	0.0%	0.11%	0.0%	0.09%	0.56%	0.24%	0.46%	0.32%	0.0%	0.12%	0.18%	0.54%	0.0%	0.18%	0.33%	0.10%	0.32%	0.0%	0.20%	0.0%	0.0%	0.56%					
31	"14. ""Великая Россия - Евразийский Союз"""	60	0	1	0	1	1	1	0	3	3	4	3	2	1	2	3	1	1	2	1	0	3	0	1	2	1	0	0	0	0	0	2	2	0	0	1	0	1	2	0	2	0	0	0	0	4	3	0	2	0	1	1	0	0	0	2	0					
		0.14%	0.0%	0.11%	0.0%	0.13%	0.08%	0.10%	0.0%	0.33%	0.33%	0.28%	1.16%	0.36%	0.23%	0.17%	0.28%	0.13%	0.11%	0.19%	0.10%	0.0%	0.40%	0.0%	0.13%	0.22%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	1.12%	0.20%	0.0%	0.0%	0.07%	0.0%	0.11%	0.19%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.36%	0.81%	0.0%	0.37%	0.0%	0.10%	0.10%	0.0%	0.0%	0.0%	1.05%	0.0%					
32	"15. ""Партия СЛОН"""	48	0	0	1	2	2	1	0	1	0	0	0	2	0	0	0	0	0	2	0	1	1	2	1	1	0	2	0	0	0	0	0	1	0	0	4	1	3	0	0	0	0	0	1	2	1	0	0	1	4	1	2	0	0	3	4	1					
		0.11%	0.0%	0.0%	0.14%	0.26%	0.17%	0.10%	0.0%	0.11%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.45%	0.13%	0.20%	0.13%	0.11%	0.0%	0.79%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.30%	0.11%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.82%	0.12%	0.09%	0.0%	0.0%	0.18%	0.45%	0.10%	0.21%	0.0%	0.0%	0.33%	2.11%	0.56%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4245	79	75	69	71	146	108	11	75	95	147	12	57	31	113	110	64	69	126	112	19	68	117	66	104	29	24	27	10	16	53	16	108	83	1	135	104	127	97	174	122	106	137	7	147	112	32	4	71	92	129	100	36	63	119	9	11					
		10.39%	11.26%	8.25%	9.74%	9.25%	12.47%	11.76%	4.54%	8.43%	10.57%	10.59%	4.65%	10.45%	7.20%	9.71%	10.31%	8.60%	7.72%	12.47%	11.92%	8.55%	9.18%	12.13%	9.01%	11.73%	10.86%	9.52%	10.07%	8.26%	9.30%	7.06%	9.03%	10.85%	11.26%	0.92%	10.28%	12.09%	14.68%	9.53%	13.99%	10.10%	9.90%	11.08%	5.78%	9.48%	10.28%	8.69%	4.39%	13.19%	10.41%	13.14%	10.86%	16.66%	6.56%	13.13%	4.76%	6.21%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	100	3	5	1	1	3	1	2	0	2	1	1	2	2	5	4	2	3	2	2	1	4	0	5	4	0	3	1	0	0	3	0	1	2	0	5	1	1	0	4	0	2	3	0	2	1	2	0	3	1	0	1	1	3	3	1	0					
		0.24%	0.42%	0.55%	0.14%	0.13%	0.25%	0.10%	0.82%	0.0%	0.22%	0.07%	0.38%	0.36%	0.46%	0.42%	0.37%	0.26%	0.33%	0.19%	0.21%	0.45%	0.54%	0.0%	0.68%	0.45%	0.0%	1.19%	0.37%	0.0%	0.0%	0.4%	0.0%	0.10%	0.27%	0.0%	0.38%	0.11%	0.11%	0.0%	0.32%	0.0%	0.18%	0.24%	0.0%	0.12%	0.09%	0.54%	0.0%	0.55%	0.11%	0.0%	0.10%	0.46%	0.31%	0.33%	0.52%	0.0%					
35	"18. ""ЛДПР"""	5077	98	123	84	98	143	93	44	97	93	185	43	76	55	168	134	102	119	129	155	58	115	135	68	108	34	25	15	7	23	51	16	124	88	9	146	99	109	141	154	150	161	162	35	173	122	59	10	66	98	83	86	33	121	94	37	23					
		12.43%	13.98%	13.54%	11.86%	12.77%	12.22%	10.13%	18.18%	10.91%	10.35%	13.33%	16.66%	13.94%	12.79%	14.44%	12.57%	13.70%	13.32%	12.77%	16.50%	26.12%	15.54%	14.00%	9.28%	12.18%	12.73%	9.92%	5.59%	5.78%	13.37%	6.8%	9.03%	12.46%	11.94%	8.33%	11.11%	11.51%	12.60%	13.86%	12.38%	12.42%	15.04%	13.10%	28.92%	11.16%	11.20%	16.03%	10.98%	12.26%	11.09%	8.46%	9.34%	15.27%	12.61%	10.37%	19.57%	12.99%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	432	7	7	12	9	5	12	5	8	7	11	3	1	4	10	16	5	5	9	12	1	3	12	10	13	8	9	2	1	3	7	1	6	11	1	13	13	6	7	19	11	15	14	0	13	15	4	4	4	5	11	6	3	17	13	3	0					
		1.05%	0.99%	0.77%	1.69%	1.17%	0.42%	1.30%	2.06%	0.89%	0.77%	0.79%	1.16%	0.18%	0.93%	0.85%	1.50%	0.67%	0.55%	0.89%	1.27%	0.45%	0.40%	1.24%	1.36%	1.46%	2.99%	3.57%	0.74%	0.82%	1.74%	0.93%	0.56%	0.60%	1.49%	0.92%	0.99%	1.51%	0.69%	0.68%	1.52%	0.91%	1.40%	1.13%	0.0%	0.83%	1.37%	1.08%	4.39%	0.74%	0.56%	1.12%	0.65%	1.38%	1.77%	1.43%	1.58%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	15091	220	315	243	311	432	312	71	346	305	534	117	160	164	426	355	259	319	319	332	62	269	324	301	286	101	100	108	61	57	350	81	332	284	27	534	309	302	370	447	420	398	430	47	836	495	137	28	222	320	311	302	84	408	288	48	72					
		36.96%	31.38%	34.69%	34.32%	40.54%	36.92%	33.98%	29.33%	38.92%	33.96%	38.50%	45.34%	29.35%	38.13%	36.62%	33.30%	34.81%	35.72%	31.58%	35.35%	27.92%	36.35%	33.60%	41.12%	32.27%	37.82%	39.68%	40.29%	50.41%	33.13%	46.66%	45.76%	33.36%	38.53%	25.0%	40.67%	35.93%	34.91%	36.38%	35.96%	34.79%	37.19%	34.78%	38.84%	53.93%	45.45%	37.22%	30.76%	41.26%	36.24%	31.70%	32.82%	38.88%	42.54%	31.78%	25.39%	40.67%					
38	"21. ""Российская Конституционно-демократическая партия"""	77	1	1	0	1	1	1	2	4	4	1	1	2	1	3	0	2	1	1	0	1	3	1	0	3	1	1	0	0	0	0	0	6	6	0	2	0	1	1	2	1	4	1	1	2	0	0	0	3	2	5	0	0	2	1	0	0					
		0.18%	0.14%	0.11%	0.0%	0.13%	0.08%	0.10%	0.82%	0.44%	0.44%	0.07%	0.38%	0.36%	0.23%	0.25%	0.0%	0.26%	0.11%	0.09%	0.0%	0.45%	0.40%	0.10%	0.0%	0.33%	0.37%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.81%	0.0%	0.15%	0.0%	0.11%	0.09%	0.16%	0.08%	0.37%	0.08%	0.82%	0.12%	0.0%	0.0%	0.0%	0.55%	0.22%	0.50%	0.0%	0.0%	0.20%	0.11%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	91	0	1	1	1	0	4	1	4	2	1	0	0	3	3	4	0	2	3	4	1	2	3	4	1	0	0	1	0	0	2	0	2	0	0	2	0	4	2	3	5	4	0	0	2	1	2	0	0	3	7	1	1	2	2	0	0					
		0.22%	0.0%	0.11%	0.14%	0.13%	0.0%	0.43%	0.41%	0.44%	0.22%	0.07%	0.0%	0.0%	0.69%	0.25%	0.37%	0.0%	0.22%	0.29%	0.42%	0.45%	0.27%	0.31%	0.54%	0.11%	0.0%	0.0%	0.37%	0.0%	0.0%	0.26%	0.0%	0.20%	0.0%	0.0%	0.15%	0.0%	0.46%	0.19%	0.24%	0.41%	0.37%	0.0%	0.0%	0.12%	0.09%	0.54%	0.0%	0.0%	0.33%	0.71%	0.10%	0.46%	0.20%	0.22%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	7451	139	163	141	132	211	179	26	188	194	248	30	111	95	231	229	131	172	208	149	49	137	140	144	194	29	32	55	22	36	152	32	212	138	41	205	137	172	212	138	249	152	214	10	148	154	76	31	61	212	228	188	22	174	193	47	38					
		18.25%	19.82%	17.95%	19.91%	17.20%	18.03%	19.49%	10.74%	21.14%	21.60%	17.88%	11.62%	20.36%	22.09%	19.86%	21.48%	17.60%	19.26%	20.59%	15.86%	22.07%	18.51%	14.52%	19.67%	21.89%	10.86%	12.69%	20.52%	18.18%	20.93%	20.26%	18.07%	21.30%	18.72%	37.96%	15.61%	15.93%	19.88%	20.84%	11.10%	20.62%	14.20%	17.31%	8.26%	9.54%	14.14%	20.65%	34.06%	11.33%	24.00%	23.24%	20.43%	10.18%	18.14%	21.30%	24.86%	21.46%					
																																																															
41	Против всех	2286	46	63	41	35	76	59	32	41	55	72	13	32	16	53	56	46	50	59	48	6	44	68	25	40	21	16	13	2	9	32	5	50	37	16	88	41	43	44	104	70	87	82	3	41	47	0	3	30	44	62	77	6	58	64	12	3					
		5.59%	6.56%	6.93%	5.79%	4.56%	6.49%	6.42%	13.22%	4.61%	6.12%	5.19%	5.03%	5.87%	3.72%	4.55%	5.25%	6.18%	5.59%	5.84%	5.11%	2.70%	5.94%	7.05%	3.41%	4.51%	7.86%	6.34%	4.85%	1.65%	5.23%	4.26%	2.82%	5.02%	5.02%	14.81%	6.70%	4.76%	4.97%	4.32%	8.36%	5.79%	8.13%	6.63%	2.47%	2.64%	4.31%	0.0%	3.29%	5.57%	4.98%	6.32%	8.36%	2.77%	6.04%	7.06%	6.34%	1.69%					
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
