Выборы Президента Российской Федерации																																																																						
																																																																						
"Наименование Избирательной комиссии:    Нижний Новгород, Ленинская"																																																																						
																																																																						
Итоги голосования 																																																																						
																																																																						
		Сумма	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548					
14	Число неиспользованных открепительных удостоверений	368	8	2	3	10	13	7	0	5	4	9	11	5	9	8	3	6	3	2	7	10	8	10	3	3	8	11	6	4	5	4	6	1	7	9	0	8	9	5	3	0	10	7	2	5	4	2	7	21	2	5	5	6	10	1	9	6	5	0	5	0	6	6	9					
15	"Число открепительных удостоверений, выданных в ТИК"	17	1	0	1	0	1	0	2	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																						
18	. Глазьев Сергей Юрьевич	2770	28	68	43	7	43	24	55	77	45	55	47	46	41	53	51	61	51	62	20	17	32	51	46	45	32	35	24	34	58	66	38	27	18	27	43	16	26	40	70	30	48	59	73	44	44	44	26	48	68	50	63	52	59	57	58	48	25	37	62	54	25	22	52					
		4.41%	3.17%	5.78%	3.53%	1.90%	3.88%	3.44%	4.41%	6.08%	3.71%	4.56%	3.78%	5.01%	3.85%	4.83%	4.07%	4.94%	4.73%	4.34%	3.19%	3.59%	3.81%	4.12%	3.86%	5.01%	4.28%	4.00%	3.49%	3.90%	4.64%	5.50%	4.52%	3.13%	3.40%	3.40%	4.87%	2.66%	2.91%	4.21%	5.15%	3.79%	4.98%	4.49%	5.43%	4.35%	5.24%	5.25%	3.88%	5.08%	6.03%	5.15%	5.07%	4.83%	4.82%	5.51%	4.72%	5.30%	2.71%	3.38%	4.87%	4.36%	4.70%	2.85%	4.48%					
19	. Малышкин Олег Александрович	1094	17	25	29	12	18	17	25	19	18	15	16	10	31	8	21	17	14	35	17	12	22	27	18	19	12	15	16	15	20	17	14	7	7	22	12	15	22	14	22	14	20	23	29	14	10	12	11	10	13	12	24	25	18	20	15	7	11	17	33	17	5	13	29					
		1.74%	1.93%	2.12%	2.38%	3.25%	1.62%	2.44%	2.01%	1.50%	1.49%	1.24%	1.29%	1.09%	2.91%	0.73%	1.68%	1.38%	1.30%	2.45%	2.72%	2.54%	2.62%	2.18%	1.51%	2.12%	1.60%	1.71%	2.33%	1.72%	1.60%	1.42%	1.66%	0.81%	1.32%	2.77%	1.36%	2.49%	2.46%	1.47%	1.62%	1.77%	2.08%	1.75%	2.16%	1.38%	1.19%	1.43%	1.64%	1.06%	1.15%	1.24%	1.93%	2.32%	1.47%	1.93%	1.22%	0.77%	1.19%	1.55%	2.59%	1.37%	0.94%	1.68%	2.50%					
20	. Миронов Сергей Михайлович	509	11	10	9	3	7	25	7	7	6	7	11	5	6	4	8	23	9	11	6	3	5	4	11	4	4	4	7	11	7	16	5	2	3	9	9	7	5	7	10	8	5	12	16	7	1	9	4	7	12	6	5	2	13	12	24	8	6	5	8	13	5	9	4					
		0.81%	1.25%	0.85%	0.74%	0.81%	0.63%	3.58%	0.56%	0.55%	0.50%	0.58%	0.88%	0.54%	0.56%	0.36%	0.64%	1.86%	0.83%	0.77%	0.96%	0.63%	0.60%	0.32%	0.92%	0.45%	0.53%	0.46%	1.02%	1.26%	0.56%	1.33%	0.59%	0.23%	0.57%	1.13%	1.02%	1.16%	0.56%	0.74%	0.74%	1.01%	0.52%	0.91%	1.19%	0.69%	0.12%	1.07%	0.60%	0.74%	1.06%	0.62%	0.40%	0.19%	1.06%	1.16%	1.95%	0.88%	0.65%	0.46%	0.63%	1.05%	0.94%	1.16%	0.34%					
21	. Путин Владимир Владимирович	40837	588	730	820	237	792	471	838	835	784	829	775	581	699	734	813	859	698	910	413	311	550	809	800	544	499	564	457	559	802	799	564	590	354	529	569	425	585	641	860	545	634	828	804	636	554	447	428	641	681	636	752	661	769	617	799	597	629	734	837	791	317	536	747					
		64.98%	66.59%	62.02%	67.27%	64.23%	71.42%	67.48%	67.26%	65.90%	64.69%	68.74%	62.35%	63.29%	65.70%	66.85%	64.88%	69.61%	64.69%	63.73%	65.97%	65.75%	65.48%	65.29%	67.06%	60.58%	66.71%	64.38%	66.52%	64.11%	64.21%	66.58%	67.06%	68.45%	66.92%	66.71%	64.44%	70.60%	65.36%	67.40%	63.28%	68.81%	65.84%	63.01%	59.82%	62.91%	65.95%	53.34%	63.88%	67.83%	60.37%	65.50%	60.50%	61.37%	62.88%	59.61%	65.07%	65.89%	68.15%	67.09%	65.80%	63.89%	59.59%	69.34%	64.29%					
22	. Хакамада Ирина Муцуовна	4492	66	118	81	21	61	46	62	93	100	63	100	63	52	90	93	91	80	112	28	32	36	71	69	69	33	64	33	65	121	76	62	74	35	52	80	36	70	66	106	52	64	114	106	60	69	77	55	54	87	60	97	67	79	86	108	72	57	72	78	108	43	64	93					
		7.15%	7.47%	10.03%	6.64%	5.69%	5.50%	6.59%	4.98%	7.34%	8.25%	5.22%	8.05%	6.86%	4.89%	8.20%	7.42%	7.37%	7.41%	7.84%	4.47%	6.77%	4.29%	5.73%	5.78%	7.68%	4.41%	7.31%	4.80%	7.45%	9.69%	6.33%	7.37%	8.58%	6.62%	6.56%	9.06%	5.98%	7.82%	6.94%	7.80%	6.57%	6.65%	8.68%	7.89%	5.93%	8.21%	9.19%	8.21%	5.71%	7.71%	6.18%	7.80%	6.22%	6.46%	8.31%	8.79%	7.95%	6.18%	6.58%	6.13%	8.72%	8.08%	8.28%	8.00%					
23	. Харитонов Николай Михайлович	9682	143	147	178	68	127	58	189	181	176	181	237	151	184	167	213	123	182	231	110	74	144	208	179	170	129	150	107	138	180	180	103	111	80	103	116	72	147	132	214	105	138	202	228	177	103	187	104	138	209	170	228	217	204	171	166	129	133	178	170	170	110	90	172					
		15.41%	16.19%	12.49%	14.60%	18.43%	11.45%	8.31%	15.17%	14.29%	14.52%	15.01%	19.07%	16.45%	17.29%	15.21%	17.00%	9.97%	16.87%	16.18%	17.57%	15.64%	17.14%	16.79%	15.00%	18.93%	17.25%	17.12%	15.57%	15.83%	14.41%	15.00%	12.25%	12.88%	15.12%	12.99%	13.14%	11.96%	16.42%	13.88%	15.75%	13.26%	14.33%	15.37%	16.96%	17.51%	12.26%	22.32%	15.52%	14.60%	18.53%	17.51%	18.34%	20.15%	16.68%	16.52%	13.52%	14.24%	14.41%	16.27%	13.36%	13.73%	20.68%	11.64%	14.80%					
																																																																						
24	Против всех	3129	24	72	50	16	51	47	61	55	66	56	51	55	44	39	47	57	35	61	30	20	45	62	61	44	35	37	40	47	59	41	45	48	28	47	49	31	37	48	73	37	47	66	80	70	55	60	39	45	50	33	69	52	74	67	50	40	59	49	77	82	26	32	56					
		4.98%	2.72%	6.12%	4.10%	4.34%	4.60%	6.73%	4.90%	4.34%	5.45%	4.64%	4.10%	5.99%	4.14%	3.55%	3.75%	4.62%	3.24%	4.27%	4.79%	4.23%	5.36%	5.00%	5.11%	4.90%	4.68%	4.22%	5.82%	5.39%	4.72%	3.42%	5.35%	5.57%	5.29%	5.93%	5.55%	5.15%	4.13%	5.05%	5.37%	4.67%	4.88%	5.02%	5.95%	6.92%	6.55%	7.16%	5.82%	4.76%	4.43%	3.40%	5.55%	4.83%	6.05%	6.47%	4.07%	4.42%	6.39%	4.48%	6.05%	6.62%	4.89%	4.14%	4.82%					
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
