Выборы Президента Российской Федерации																																																																																																															
																																																																																																															
Наименование Избирательной комиссии:    Люберецкая																																																																																																															
																																																																																																															
Итоги голосования 																																																																																																															
																																																																																																															
		Сумма	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380					
14	Число неиспользованных открепительных удостоверений	954	15	8	5	9	8	7	2	7	13	10	5	12	7	10	3	15	18	20	17	4	4	7	6	16	18	4	4	7	14	8	11	6	10	7	9	10	19	8	20	3	8	5	4	8	9	4	7	20	10	10	14	6	2	4	14	4	8	8	11	9	5	6	20	17	18	14	16	7	4	11	10	23	8	1	4	11	6	1	14	14	10	10	4	5	8	8	4	4	6	12	2	12	10	5	17	9	11	8	17	9	7	2	10	3					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																															
18	. Глазьев Сергей Юрьевич	6977	73	81	74	58	88	41	62	57	42	36	57	40	72	69	55	65	114	76	96	83	98	123	96	140	136	116	101	97	57	71	63	106	88	53	74	78	100	79	66	93	75	61	64	87	81	85	95	87	75	85	72	100	60	88	80	4	103	70	101	85	74	99	60	53	57	37	31	7	12	57	45	39	24	33	36	58	48	111	74	68	39	66	28	24	21	16	10	8	76	34	67	60	36	37	68	70	59	70	90	56	61	113	94	19					
		6.61%	6.40%	6.95%	7.18%	6.22%	6.36%	7.03%	6.60%	7.97%	6.69%	5.86%	6.35%	6.88%	7.16%	6.76%	5.31%	6.83%	8.90%	6.01%	7.75%	6.63%	7.42%	8.17%	8.58%	10.06%	9.27%	7.35%	7.20%	6.52%	7.31%	7.25%	6.09%	8.66%	8.54%	6.35%	8.12%	7.28%	7.68%	6.85%	5.87%	7.94%	6.41%	4.96%	8.76%	9.16%	5.50%	7.17%	7.64%	6.58%	6.04%	6.39%	5.78%	8.23%	5.37%	6.92%	6.34%	2.65%	7.38%	4.33%	6.28%	7.02%	5.57%	6.43%	4.88%	5.74%	6.60%	3.77%	3.16%	2.63%	4.65%	6.06%	4.71%	3.81%	9.02%	8.03%	7.79%	7.56%	5.15%	7.45%	7.34%	6.40%	5.81%	6.95%	7.14%	6.45%	6.67%	5.13%	4.03%	4.32%	6.27%	4.70%	6.27%	7.58%	5.60%	5.33%	5.07%	4.54%	4.61%	5.41%	6.22%	5.67%	5.83%	7.56%	8.76%	5.92%					
19	. Малышкин Олег Александрович	1502	21	9	5	9	25	12	14	9	18	11	11	6	9	14	16	7	8	9	6	25	14	27	9	19	8	28	27	16	11	17	10	19	13	20	9	14	19	27	16	9	12	22	14	10	17	19	17	14	22	15	18	16	16	15	25	3	23	25	18	17	18	21	19	12	11	25	18	6	7	11	21	22	2	12	11	11	16	27	7	13	12	17	2	7	6	8	3	0	11	3	14	10	17	10	20	16	10	24	21	18	24	25	15	5					
		1.42%	1.84%	0.77%	0.49%	0.96%	1.81%	2.06%	1.49%	1.26%	2.87%	1.79%	1.22%	1.03%	0.89%	1.37%	1.55%	0.74%	0.62%	0.71%	0.48%	2.00%	1.06%	1.79%	0.80%	1.36%	0.55%	1.77%	1.93%	1.08%	1.41%	1.74%	0.97%	1.55%	1.26%	2.40%	0.99%	1.31%	1.46%	2.34%	1.42%	0.77%	1.03%	1.79%	1.92%	1.05%	1.15%	1.60%	1.37%	1.06%	1.77%	1.13%	1.45%	1.32%	1.43%	1.18%	1.98%	1.99%	1.65%	1.55%	1.12%	1.40%	1.35%	1.36%	1.54%	1.30%	1.27%	2.55%	1.83%	2.26%	2.71%	1.17%	2.20%	2.15%	0.75%	2.92%	2.38%	1.43%	1.72%	1.81%	0.69%	1.22%	1.79%	1.79%	0.51%	1.88%	1.90%	2.56%	1.21%	0.00%	0.91%	0.41%	1.31%	1.26%	2.64%	1.44%	1.49%	1.04%	0.78%	1.85%	1.45%	1.82%	2.29%	1.67%	1.40%	1.56%					
20	. Миронов Сергей Михайлович	562	9	5	6	6	6	2	6	6	2	0	4	2	8	1	1	3	1	8	7	6	6	6	8	6	6	5	8	10	4	4	9	5	7	5	5	5	7	11	7	4	2	6	8	6	12	2	7	16	9	7	9	10	3	6	2	1	5	14	16	6	10	14	5	4	4	8	4	3	1	6	7	2	2	3	3	1	3	12	4	4	6	4	4	4	0	0	3	1	8	5	3	7	1	0	6	7	3	6	7	5	8	7	1	2					
		0.53%	0.79%	0.43%	0.58%	0.64%	0.43%	0.34%	0.64%	0.84%	0.32%	0.00%	0.45%	0.34%	0.80%	0.10%	0.10%	0.32%	0.08%	0.63%	0.57%	0.48%	0.45%	0.40%	0.71%	0.43%	0.41%	0.32%	0.57%	0.67%	0.51%	0.41%	0.87%	0.41%	0.68%	0.60%	0.55%	0.47%	0.54%	0.95%	0.62%	0.34%	0.17%	0.49%	1.09%	0.63%	0.81%	0.17%	0.56%	1.21%	0.73%	0.53%	0.72%	0.82%	0.27%	0.47%	0.16%	0.66%	0.36%	0.87%	0.99%	0.50%	0.75%	0.91%	0.41%	0.43%	0.46%	0.82%	0.41%	1.13%	0.39%	0.64%	0.73%	0.20%	0.75%	0.73%	0.65%	0.13%	0.32%	0.81%	0.40%	0.38%	0.89%	0.42%	1.02%	1.08%	0.00%	0.00%	1.21%	0.54%	0.66%	0.69%	0.28%	0.88%	0.16%	0.00%	0.45%	0.45%	0.23%	0.46%	0.48%	0.51%	0.76%	0.47%	0.09%	0.62%					
21	. Путин Владимир Владимирович	71480	729	799	646	592	900	392	616	477	435	419	608	386	631	662	702	621	873	858	821	808	865	903	674	832	850	1010	933	916	536	679	724	811	698	584	638	704	886	738	743	776	827	879	501	539	1058	780	822	909	827	928	853	811	763	880	880	115	901	1133	1093	840	925	1009	902	688	614	730	729	191	156	618	676	759	162	278	298	532	643	972	715	754	441	640	264	257	231	224	189	144	826	525	720	565	422	477	934	1106	1022	968	1027	685	723	1003	686	236					
		67.68%	63.95%	68.58%	62.72%	63.45%	65.03%	67.24%	65.53%	66.71%	69.27%	68.24%	67.71%	66.44%	62.72%	64.84%	67.83%	65.23%	68.15%	67.83%	66.32%	64.59%	65.53%	60.00%	60.23%	59.77%	57.94%	63.96%	66.55%	61.56%	68.72%	69.36%	70.02%	66.26%	67.77%	69.94%	70.03%	65.67%	68.05%	63.95%	66.04%	66.27%	70.68%	71.46%	68.54%	56.74%	71.83%	65.77%	66.08%	68.71%	66.64%	69.72%	68.51%	66.75%	68.25%	69.18%	69.73%	76.16%	64.59%	70.15%	67.93%	69.42%	69.60%	65.56%	73.33%	74.54%	71.06%	74.41%	74.24%	71.80%	60.47%	65.67%	70.79%	74.19%	60.90%	67.64%	64.50%	69.36%	68.99%	65.23%	70.93%	71.00%	65.72%	67.44%	67.35%	69.09%	73.33%	71.79%	76.21%	77.84%	68.15%	72.51%	67.35%	71.34%	65.63%	68.73%	69.65%	71.73%	79.78%	74.81%	70.93%	69.40%	69.05%	67.14%	63.93%	73.52%					
22	. Хакамада Ирина Муцуовна	5946	85	61	93	84	69	41	52	26	40	33	57	27	55	50	61	78	65	65	84	77	92	111	65	79	103	142	98	122	37	37	41	81	47	46	45	54	55	61	54	69	63	44	36	102	75	85	71	83	75	62	87	44	53	63	59	6	99	73	93	83	85	98	70	30	51	25	25	9	8	37	48	46	16	34	33	48	50	73	47	41	46	43	35	24	11	23	21	8	79	44	64	35	36	39	62	71	47	54	64	50	62	94	53	9					
		5.63%	7.46%	5.24%	9.03%	9.00%	4.99%	7.03%	5.53%	3.64%	6.37%	5.37%	6.35%	4.65%	5.47%	4.90%	5.89%	8.19%	5.07%	5.14%	6.79%	6.16%	6.97%	7.38%	5.81%	5.68%	7.02%	8.99%	6.99%	8.20%	4.74%	3.78%	3.97%	6.62%	4.56%	5.51%	4.94%	5.04%	4.22%	5.29%	4.80%	5.89%	5.38%	3.58%	4.92%	10.74%	5.09%	7.17%	5.71%	6.27%	6.04%	4.66%	6.99%	3.62%	4.74%	4.95%	4.68%	3.97%	7.10%	4.52%	5.78%	6.86%	6.40%	6.37%	5.69%	3.25%	5.90%	2.55%	2.55%	3.38%	3.10%	3.93%	5.03%	4.50%	6.02%	8.27%	7.14%	6.26%	5.36%	4.90%	4.66%	3.86%	6.86%	4.53%	8.93%	6.45%	3.49%	7.37%	8.47%	4.32%	6.52%	6.08%	5.99%	4.42%	5.60%	5.62%	4.62%	4.60%	3.67%	4.17%	4.42%	5.07%	5.92%	6.29%	4.94%	2.80%					
23	. Харитонов Николай Михайлович	11896	126	126	128	114	180	58	128	91	58	80	92	61	161	149	128	113	148	157	149	156	149	197	181	215	226	124	108	155	90	110	146	132	109	85	97	133	133	164	171	145	120	116	52	101	144	126	147	151	147	161	126	170	159	123	145	13	161	210	149	110	131	201	97	93	50	84	113	39	40	149	118	107	45	31	53	81	103	182	103	107	75	96	31	38	27	26	11	15	124	69	113	64	92	87	157	172	81	109	137	105	98	166	143	29					
		11.26%	11.05%	10.82%	12.43%	12.22%	13.01%	9.95%	13.62%	12.73%	9.24%	13.03%	10.24%	10.50%	16.00%	14.59%	12.37%	11.87%	11.55%	12.41%	12.04%	12.47%	11.29%	13.09%	16.18%	15.45%	15.41%	7.85%	7.70%	10.42%	11.54%	11.24%	14.12%	10.78%	10.58%	10.18%	10.65%	12.41%	10.22%	14.21%	15.20%	12.38%	10.26%	9.43%	7.11%	10.63%	9.78%	10.62%	11.82%	11.41%	11.85%	12.10%	10.12%	13.99%	14.22%	9.67%	11.49%	8.61%	11.54%	13.00%	9.26%	9.09%	9.86%	13.06%	7.89%	10.08%	5.79%	8.56%	11.51%	14.66%	15.50%	15.83%	12.36%	10.46%	16.92%	7.54%	11.47%	10.56%	11.05%	12.21%	10.22%	10.08%	11.18%	10.12%	7.91%	10.22%	8.57%	8.33%	4.44%	8.11%	10.23%	9.53%	10.57%	8.08%	14.31%	12.54%	11.71%	11.15%	6.32%	8.42%	9.46%	10.64%	9.36%	11.11%	13.33%	9.03%					
																																																																																																															
24	Против всех	6445	86	80	71	64	102	27	48	47	31	30	64	43	65	68	65	57	67	82	54	87	80	132	77	87	135	146	121	164	42	51	41	60	63	39	37	74	93	65	68	69	60	92	53	98	78	75	71	55	76	65	69	56	59	83	65	9	96	82	129	59	80	78	59	35	63	57	49	4	34	49	34	41	12	17	22	34	57	105	53	66	46	77	22	14	19	13	11	8	81	44	79	45	32	40	90	89	49	57	92	66	57	72	68	13					
		6.10%	7.54%	6.87%	6.89%	6.86%	7.37%	4.63%	5.11%	6.57%	4.94%	4.89%	7.13%	7.40%	6.46%	6.66%	6.28%	5.99%	5.23%	6.48%	4.36%	6.95%	6.06%	8.77%	6.88%	6.25%	9.20%	9.25%	8.63%	11.02%	5.38%	5.21%	3.97%	4.90%	6.12%	4.67%	4.06%	6.90%	7.14%	5.63%	6.04%	5.89%	5.13%	7.48%	7.25%	10.32%	5.30%	6.32%	5.71%	4.16%	6.12%	4.88%	5.54%	4.61%	5.28%	6.53%	5.15%	5.96%	6.88%	5.08%	8.02%	4.88%	6.02%	5.07%	4.80%	3.79%	7.29%	5.81%	4.99%	1.50%	13.18%	5.21%	3.56%	4.01%	4.51%	4.14%	4.76%	4.43%	6.12%	7.05%	5.26%	6.21%	6.86%	8.11%	5.61%	3.76%	6.03%	4.17%	4.44%	4.32%	6.68%	6.08%	7.39%	5.68%	4.98%	5.76%	6.71%	5.77%	3.83%	4.40%	6.35%	6.69%	5.44%	4.82%	6.34%	4.05%					
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
