Выборы Президента Российской Федерации																																																																														
																																																																														
Наименование Избирательной комиссии:    Щекинская																																																																														
																																																																														
Итоги голосования 																																																																														
																																																																														
		Сумма	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК  1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087					
		2.94%	3.79%	2.78%	3.18%	3.71%	2.57%	5.00%	3.01%	2.78%	3.39%	5.63%	1.20%	2.16%	3.09%	1.84%	2.05%	3.01%	3.60%	3.42%	3.09%	3.11%	3.91%	4.43%	2.05%	2.92%	2.60%	2.84%	2.07%	3.72%	3.23%	4.53%	3.69%	2.66%	3.11%	1.96%	2.21%	1.58%	2.87%	3.05%	4.08%	2.89%	0.98%	7.10%	0.00%	0.00%	2.69%	2.67%	4.27%	0.60%	3.72%	3.59%	0.00%	2.24%	0.41%	3.75%	3.60%	0.81%	2.75%	2.33%	3.49%	0.56%	1.78%	0.00%	0.79%	1.89%	2.49%	1.97%	2.22%	2.35%	2.18%	0.82%	2.73%					
23	. Харитонов Николай Михайлович	9317	272	291	221	258	238	242	217	202	213	9	24	93	250	161	98	272	220	199	219	169	167	89	308	168	217	88	41	250	255	200	146	18	59	70	68	220	362	282	8	279	57	93	29	35	181	53	87	60	125	28	8	69	37	193	49	16	135	155	22	60	58	35	14	18	35	40	107	29	150	108	68					
		19.89%	21.04%	21.27%	19.54%	19.56%	19.70%	18.35%	15.53%	15.17%	18.54%	12.68%	14.37%	15.45%	20.87%	24.69%	25.13%	21.57%	20.85%	18.37%	24.15%	21.02%	21.09%	23.18%	25.31%	25.85%	24.49%	20.85%	17.01%	17.54%	19.14%	18.87%	18.60%	6.84%	22.96%	12.46%	16.71%	20.39%	31.51%	25.34%	16.33%	27.76%	18.63%	20.00%	16.76%	16.75%	23.21%	14.13%	20.62%	18.07%	21.15%	14.36%	10.00%	14.02%	15.04%	24.12%	11.75%	13.01%	14.27%	13.91%	12.79%	16.85%	25.78%	15.09%	11.02%	11.32%	14.52%	19.70%	29.64%	17.06%	16.36%	17.70%	30.91%					
																																																																														
24	Против всех	2142	67	77	66	72	74	70	75	52	49	3	5	17	40	34	15	56	48	75	46	39	35	7	58	25	43	11	7	71	80	61	42	9	10	7	22	27	64	62	4	53	16	14	1	4	40	31	12	15	26	2	0	19	7	16	24	6	40	36	1	18	5	9	5	7	6	7	15	8	51	13	10					
		4.57%	5.18%	5.63%	5.84%	5.46%	6.13%	5.31%	5.37%	3.90%	4.26%	4.23%	2.99%	2.82%	3.34%	5.21%	3.85%	4.44%	4.55%	6.93%	5.07%	4.85%	4.42%	1.82%	4.77%	3.85%	4.85%	2.61%	2.90%	4.98%	6.01%	5.75%	5.35%	3.42%	3.89%	1.25%	5.41%	2.50%	5.57%	5.57%	8.16%	5.27%	5.23%	3.01%	0.58%	1.91%	5.13%	8.27%	2.84%	4.52%	4.40%	1.03%	0.00%	3.86%	2.85%	2.00%	5.76%	4.88%	4.23%	3.23%	0.58%	5.06%	2.22%	3.88%	3.94%	4.40%	2.49%	3.45%	4.16%	4.71%	5.56%	2.13%	4.55%					
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
																																																																														
