Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
"Наименование Избирательной комиссии:    Саратов, Октябрьская"																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345									
		1.91%	2.53%	2.25%	2.33%	2.28%	2.11%	2.68%	0.00%	0.67%	2.32%	0.85%	2.28%	2.25%	2.28%	0.78%	2.22%	2.29%	2.24%	2.28%	2.24%	2.27%	2.30%	3.63%	0.57%	2.32%	2.25%	1.63%	1.25%	2.28%	2.32%	2.27%	2.31%	2.30%	2.24%	2.26%	2.23%	0.94%	0.88%	2.29%	1.99%	0.00%	0.31%	1.06%	0.00%	0.60%	0.16%	0.32%	0.23%	2.31%	1.80%	2.28%	2.28%	2.31%	0.16%	2.36%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1659	45	28	40	48	52	45	0	0	44	39	49	16	43	36	29	43	34	36	0	51	53	50	21	47	47	33	45	38	37	42	30	43	45	32	14	12	20	52	36	3	0	1	3	7	1	0	10	30	42	62	36	39	22	28									
		2.82%	3.25%	3.32%	3.33%	3.32%	3.14%	3.25%	0.00%	0.00%	3.29%	4.76%	3.29%	3.27%	3.38%	3.14%	3.22%	3.28%	3.31%	3.29%	0.00%	3.31%	3.29%	3.30%	1.33%	3.30%	3.30%	2.06%	3.30%	3.34%	3.31%	3.29%	3.30%	3.29%	3.26%	3.29%	2.41%	1.12%	2.20%	3.31%	2.99%	2.34%	0.00%	0.53%	0.36%	1.05%	0.16%	0.00%	0.58%	3.30%	3.29%	3.29%	3.28%	3.34%	3.53%	3.30%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	245	11	3	4	4	5	4	0	1	4	4	4	1	5	20	2	4	3	3	3	5	5	7	31	4	10	5	4	3	3	4	3	4	4	3	7	4	6	5	4	0	0	1	1	2	4	3	3	1	3	6	3	4	5	3									
		0.42%	0.79%	0.36%	0.33%	0.28%	0.30%	0.29%	0.00%	0.67%	0.30%	0.49%	0.27%	0.20%	0.39%	1.74%	0.22%	0.31%	0.29%	0.27%	0.28%	0.32%	0.31%	0.46%	1.96%	0.28%	0.70%	0.31%	0.29%	0.26%	0.27%	0.31%	0.33%	0.31%	0.29%	0.31%	1.20%	0.37%	0.66%	0.32%	0.33%	0.00%	0.00%	0.53%	0.12%	0.30%	0.65%	0.32%	0.17%	0.11%	0.24%	0.32%	0.27%	0.34%	0.80%	0.35%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	38014	851	521	746	899	1031	861	132	137	832	509	926	309	778	690	561	814	640	685	707	957	999	933	951	886	895	1042	882	709	696	797	565	812	865	610	288	628	450	977	772	114	321	147	792	517	582	820	1525	565	791	1173	683	725	389	527									
		64.54%	61.44%	61.80%	62.11%	62.17%	62.22%	62.26%	97.78%	91.95%	62.28%	62.07%	62.19%	63.19%	61.07%	60.10%	62.26%	62.14%	62.26%	62.56%	65.95%	62.14%	62.01%	61.58%	60.08%	62.22%	62.81%	65.13%	64.62%	62.25%	62.20%	62.51%	62.09%	62.17%	62.59%	62.63%	49.48%	58.80%	49.56%	62.15%	64.17%	89.06%	98.77%	77.78%	95.08%	77.28%	94.17%	88.08%	87.69%	62.09%	61.99%	62.33%	62.32%	62.07%	62.44%	62.07%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	398	9	6	8	10	11	10	0	2	9	4	10	3	11	4	6	9	7	8	7	11	11	10	29	10	12	11	9	8	8	9	6	9	10	7	9	11	1	11	2	0	0	1	1	3	3	2	5	6	8	12	8	8	7	6									
		0.68%	0.65%	0.71%	0.67%	0.69%	0.66%	0.72%	0.00%	1.34%	0.67%	0.49%	0.67%	0.61%	0.86%	0.35%	0.67%	0.69%	0.68%	0.73%	0.65%	0.71%	0.68%	0.66%	1.83%	0.70%	0.84%	0.69%	0.66%	0.70%	0.71%	0.71%	0.66%	0.69%	0.72%	0.72%	1.55%	1.03%	0.11%	0.70%	0.17%	0.00%	0.00%	0.53%	0.12%	0.45%	0.49%	0.21%	0.29%	0.66%	0.63%	0.64%	0.73%	0.68%	1.12%	0.71%									
24	"6. Политическая партия ""Гражданская Платформа"""	126	1	2	2	3	2	3	0	0	3	2	3	1	3	0	2	3	2	2	0	3	3	3	25	3	4	3	3	2	2	2	2	3	2	2	2	1	0	3	6	0	0	0	0	0	0	0	3	2	0	4	2	2	3	2									
		0.21%	0.07%	0.24%	0.17%	0.21%	0.12%	0.22%	0.00%	0.00%	0.22%	0.24%	0.20%	0.20%	0.24%	0.00%	0.22%	0.23%	0.19%	0.18%	0.00%	0.19%	0.19%	0.20%	1.58%	0.21%	0.28%	0.19%	0.22%	0.18%	0.18%	0.16%	0.22%	0.23%	0.14%	0.21%	0.34%	0.09%	0.00%	0.19%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.22%	0.00%	0.21%	0.18%	0.17%	0.48%	0.24%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5080	125	78	109	131	159	125	1	1	122	75	134	44	117	92	82	120	94	99	96	140	149	136	140	130	117	139	124	104	102	116	83	118	125	88	82	116	88	143	108	5	0	13	16	49	13	34	83	83	120	172	100	106	57	77									
		8.63%	9.03%	9.25%	9.08%	9.06%	9.60%	9.04%	0.74%	0.67%	9.13%	9.15%	8.99%	8.99%	9.18%	8.01%	9.10%	9.16%	9.14%	9.04%	8.96%	9.09%	9.25%	8.98%	8.84%	9.13%	8.21%	8.69%	9.08%	9.13%	9.12%	9.10%	9.12%	9.04%	9.04%	9.03%	14.09%	10.86%	9.69%	9.10%	8.98%	3.91%	0.00%	6.88%	1.92%	7.32%	2.10%	3.65%	4.77%	9.12%	9.40%	9.14%	9.12%	9.08%	9.15%	9.07%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	138	20	1	1	3	3	1	0	0	2	6	5	1	2	10	2	1	1	1	3	2	2	0	5	1	2	2	1	1	1	1	1	3	2	1	6	6	7	2	1	0	0	0	0	5	0	4	5	4	1	2	1	1	4	1									
		0.23%	1.44%	0.12%	0.08%	0.21%	0.18%	0.07%	0.00%	0.00%	0.15%	0.73%	0.34%	0.20%	0.16%	0.87%	0.22%	0.08%	0.10%	0.09%	0.28%	0.13%	0.12%	0.00%	0.32%	0.07%	0.14%	0.13%	0.07%	0.09%	0.09%	0.08%	0.11%	0.23%	0.14%	0.10%	1.03%	0.56%	0.77%	0.13%	0.08%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.43%	0.29%	0.44%	0.08%	0.11%	0.09%	0.09%	0.64%	0.12%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	552	16	11	11	13	18	12	0	0	12	7	13	4	11	46	8	12	9	10	10	14	14	14	15	13	9	11	12	10	10	11	8	12	12	8	15	21	10	14	10	0	1	0	0	7	3	2	2	4	11	16	10	11	11	8									
		0.94%	1.16%	1.30%	0.92%	0.90%	1.09%	0.87%	0.00%	0.00%	0.90%	0.85%	0.87%	0.82%	0.86%	4.01%	0.89%	0.92%	0.88%	0.91%	0.93%	0.91%	0.87%	0.92%	0.95%	0.91%	0.63%	0.69%	0.88%	0.88%	0.89%	0.86%	0.88%	0.92%	0.87%	0.82%	2.58%	1.97%	1.10%	0.89%	0.83%	0.00%	0.31%	0.00%	0.00%	1.05%	0.49%	0.21%	0.12%	0.44%	0.86%	0.85%	0.91%	0.94%	1.77%	0.94%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	235	2	5	6	7	8	7	0	0	6	6	7	2	6	0	4	7	5	5	0	8	8	8	7	7	6	8	7	6	6	6	5	6	6	5	1	1	0	8	6	0	0	0	0	0	0	0	1	5	2	9	5	6	5	4									
		0.40%	0.14%	0.59%	0.50%	0.48%	0.48%	0.51%	0.00%	0.00%	0.45%	0.73%	0.47%	0.41%	0.47%	0.00%	0.44%	0.53%	0.49%	0.46%	0.00%	0.52%	0.50%	0.53%	0.44%	0.49%	0.42%	0.50%	0.51%	0.53%	0.54%	0.47%	0.55%	0.46%	0.43%	0.51%	0.17%	0.09%	0.00%	0.51%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.55%	0.16%	0.48%	0.46%	0.51%	0.80%	0.47%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	738	94	13	12	14	17	12	0	3	13	7	15	4	15	51	9	13	10	10	12	15	16	15	15	14	50	16	8	11	11	12	9	13	13	9	24	8	28	16	12	0	0	0	1	2	1	5	12	9	12	18	11	12	8	8									
		1.25%	6.79%	1.54%	0.99%	0.97%	1.03%	0.87%	0.00%	2.01%	0.97%	0.85%	1.01%	0.82%	1.18%	4.44%	0.99%	0.99%	0.97%	0.91%	1.12%	0.97%	0.99%	0.99%	0.95%	0.98%	3.51%	1.00%	0.59%	0.97%	0.98%	0.94%	0.99%	0.99%	0.94%	0.92%	4.12%	0.75%	3.08%	1.02%	0.99%	0.00%	0.00%	0.00%	0.12%	0.30%	0.16%	0.54%	0.69%	0.99%	0.94%	0.96%	1.00%	1.03%	1.28%	0.94%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6408	125	94	142	171	189	162	1	2	157	97	174	57	152	95	106	154	122	129	128	182	184	177	195	168	120	195	161	134	132	150	107	154	163	114	69	165	183	185	132	3	0	13	9	37	8	21	57	107	167	223	129	138	69	100									
		10.88%	9.03%	11.15%	11.82%	11.83%	11.41%	11.71%	0.74%	1.34%	11.75%	11.83%	11.69%	11.66%	11.93%	8.28%	11.76%	11.76%	11.87%	11.78%	11.94%	11.82%	11.42%	11.68%	12.32%	11.80%	8.42%	12.19%	11.79%	11.76%	11.80%	11.76%	11.76%	11.79%	11.79%	11.70%	11.86%	15.45%	20.15%	11.77%	10.97%	2.34%	0.00%	6.88%	1.08%	5.53%	1.29%	2.26%	3.28%	11.76%	13.09%	11.85%	11.77%	11.82%	11.08%	11.78%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	734	5	13	18	22	25	20	0	0	20	5	22	7	24	22	13	20	15	16	13	23	24	22	28	21	19	14	9	17	17	19	14	20	20	14	5	4	4	24	18	0	0	0	0	3	0	1	6	14	19	27	16	18	1	13									
		1.25%	0.36%	1.54%	1.50%	1.52%	1.51%	1.45%	0.00%	0.00%	1.50%	0.61%	1.48%	1.43%	1.88%	1.92%	1.44%	1.53%	1.46%	1.46%	1.21%	1.49%	1.49%	1.45%	1.77%	1.47%	1.33%	0.88%	0.66%	1.49%	1.52%	1.49%	1.54%	1.53%	1.45%	1.44%	0.86%	0.37%	0.44%	1.53%	1.50%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.11%	0.35%	1.54%	1.49%	1.43%	1.46%	1.54%	0.16%	1.53%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3316	46	49	73	88	97	82	1	1	81	50	93	29	78	65	54	80	63	66	64	94	100	85	99	87	85	95	83	70	68	77	56	79	84	59	32	74	96	96	72	3	0	6	10	29	2	20	17	55	77	115	67	71	41	52									
		5.63%	3.32%	5.81%	6.08%	6.09%	5.85%	5.93%	0.74%	0.67%	6.06%	6.10%	6.25%	5.93%	6.12%	5.66%	5.99%	6.11%	6.13%	6.03%	5.97%	6.10%	6.21%	5.61%	6.25%	6.11%	5.96%	5.94%	6.08%	6.15%	6.08%	6.04%	6.15%	6.05%	6.08%	6.06%	5.50%	6.93%	10.57%	6.11%	5.99%	2.34%	0.00%	3.17%	1.20%	4.33%	0.32%	2.15%	0.98%	6.04%	6.03%	6.11%	6.11%	6.08%	6.58%	6.12%									
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
