Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Чернянская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	40	1	4	6	2	5	2	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	0	4	0	0	0	1	0	1	0	0	0	2	0	1	0	1	0	0	1	1									
		0.21%	0.10%	0.45%	0.55%	0.22%	0.47%	0.20%	0.08%	0.17%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.34%	0.29%	0.00%	0.76%	0.00%	0.00%	0.00%	0.28%	0.00%	0.29%	0.00%	0.00%	0.00%	0.42%	0.00%	0.42%	0.00%	0.54%	0.00%	0.00%	0.17%	0.17%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	521	92	30	32	32	41	31	37	31	10	4	1	2	1	3	19	10	5	8	19	0	2	0	5	4	7	8	0	1	0	1	6	1	17	5	9	2	11	4	2	6	1	12	9									
		2.70%	8.85%	3.34%	2.93%	3.50%	3.87%	3.05%	2.87%	2.58%	1.64%	1.20%	0.71%	1.32%	0.83%	3.13%	5.54%	5.18%	2.27%	1.58%	1.70%	0.00%	1.39%	0.00%	1.43%	1.02%	1.33%	7.14%	0.00%	0.98%	0.00%	0.94%	1.75%	0.53%	2.96%	2.76%	1.89%	1.94%	4.62%	2.25%	1.08%	1.66%	1.22%	2.09%	1.55%									
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
