Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Каслинская																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	336	7	6	8	3	5	9	6	4	6	9	10	3	6	8	4	6	19	36	1	12	12	3	1	0	22	23	5	2	1	5	8	2	3	2	9	4	2	0	22	17	4	2	1	8	2	8									
		2.89%	2.15%	1.86%	2.34%	0.86%	1.59%	2.54%	1.59%	1.12%	1.99%	2.39%	2.97%	1.13%	2.21%	3.36%	1.55%	4.17%	2.31%	3.81%	1.92%	4.96%	4.18%	6.67%	1.82%	0.00%	5.54%	4.96%	2.09%	1.23%	1.09%	5.81%	14.04%	4.35%	3.03%	0.56%	3.49%	2.27%	3.57%	0.00%	4.23%	5.45%	3.88%	2.99%	1.05%	3.25%	1.61%	4.97%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	280	16	14	7	6	10	15	13	8	6	7	7	4	6	8	5	7	26	0	2	10	5	3	0	3	9	7	2	5	3	1	1	1	1	3	6	8	0	3	19	6	2	4	2	5	3	1									
		2.41%	4.91%	4.35%	2.05%	1.71%	3.18%	4.24%	3.45%	2.25%	1.99%	1.86%	2.08%	1.50%	2.21%	3.36%	1.94%	4.86%	3.16%	0.00%	3.85%	4.13%	1.74%	6.67%	0.00%	3.45%	2.27%	1.51%	0.84%	3.09%	3.26%	1.16%	1.75%	2.17%	1.01%	0.84%	2.33%	4.55%	0.00%	10.00%	3.65%	1.92%	1.94%	5.97%	2.11%	2.03%	2.42%	0.62%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4844	92	98	111	138	104	127	147	133	115	151	125	102	100	85	103	57	338	402	30	94	129	23	26	54	170	172	134	86	37	47	29	22	40	252	104	107	26	13	182	133	58	29	47	137	57	78									
		41.69%	28.22%	30.43%	32.46%	39.43%	33.12%	35.88%	38.99%	37.36%	38.08%	40.05%	37.09%	38.35%	36.90%	35.71%	39.92%	39.58%	41.07%	42.49%	57.69%	38.84%	44.95%	51.11%	47.27%	62.07%	42.82%	37.07%	56.07%	53.09%	40.22%	54.65%	50.88%	47.83%	40.40%	70.19%	40.31%	60.80%	46.43%	43.33%	35.00%	42.63%	56.31%	43.28%	49.47%	55.69%	45.97%	48.45%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	43	1	0	2	1	0	3	1	3	2	1	1	0	0	1	1	0	3	4	1	1	0	0	0	0	0	0	0	1	4	0	2	0	0	3	0	0	2	0	3	1	0	0	0	0	0	1									
		0.37%	0.31%	0.00%	0.58%	0.29%	0.00%	0.85%	0.27%	0.84%	0.66%	0.27%	0.30%	0.00%	0.00%	0.42%	0.39%	0.00%	0.36%	0.42%	1.92%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	4.35%	0.00%	3.51%	0.00%	0.00%	0.84%	0.00%	0.00%	3.57%	0.00%	0.58%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%									
24	"6. Политическая партия ""Гражданская Платформа"""	16	1	1	0	0	3	1	0	0	0	1	0	0	0	0	2	0	1	1	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0									
		0.14%	0.31%	0.31%	0.00%	0.00%	0.96%	0.28%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.12%	0.11%	1.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.05%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1898	60	61	51	48	58	56	62	56	51	77	72	50	66	39	56	30	133	134	5	41	59	9	18	9	43	76	32	25	14	14	9	11	10	43	37	30	0	0	67	59	18	16	13	34	19	27									
		16.33%	18.40%	18.94%	14.91%	13.71%	18.47%	15.82%	16.45%	15.73%	16.89%	20.42%	21.36%	18.80%	24.35%	16.39%	21.71%	20.83%	16.16%	14.16%	9.62%	16.94%	20.56%	20.00%	32.73%	10.34%	10.83%	16.38%	13.39%	15.43%	15.22%	16.28%	15.79%	23.91%	10.10%	11.98%	14.34%	17.05%	0.00%	0.00%	12.88%	18.91%	17.48%	23.88%	13.68%	13.82%	15.32%	16.77%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	48	4	4	1	1	4	2	2	0	2	0	3	5	1	2	1	0	3	4	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	2	0	0	0	3	0	0	0	0	0	0	0									
		0.41%	1.23%	1.24%	0.29%	0.29%	1.27%	0.56%	0.53%	0.00%	0.66%	0.00%	0.89%	1.88%	0.37%	0.84%	0.39%	0.00%	0.36%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.84%	0.00%	0.00%	0.00%	1.75%	0.00%	1.01%	0.00%	0.78%	0.00%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	44	4	2	0	0	0	0	4	1	2	3	1	1	1	0	1	1	3	6	0	3	1	0	0	0	1	0	1	3	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0									
		0.38%	1.23%	0.62%	0.00%	0.00%	0.00%	0.00%	1.06%	0.28%	0.66%	0.80%	0.30%	0.38%	0.37%	0.00%	0.39%	0.69%	0.36%	0.63%	0.00%	1.24%	0.35%	0.00%	0.00%	0.00%	0.25%	0.00%	0.42%	1.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.57%	0.00%	0.00%	0.19%	0.32%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	0	4	0	1	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0									
		0.15%	0.31%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.28%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.39%	0.69%	0.00%	0.42%	0.00%	0.41%	0.70%	0.00%	0.00%	0.00%	0.00%	0.43%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	122	4	7	4	3	7	7	13	3	4	2	1	2	4	2	4	0	7	4	0	4	2	0	0	1	5	6	1	5	3	0	0	0	0	1	1	0	0	0	7	0	1	0	0	4	0	3									
		1.05%	1.23%	2.17%	1.17%	0.86%	2.23%	1.98%	3.45%	0.84%	1.32%	0.53%	0.30%	0.75%	1.48%	0.84%	1.55%	0.00%	0.85%	0.42%	0.00%	1.65%	0.70%	0.00%	0.00%	1.15%	1.26%	1.29%	0.42%	3.09%	3.26%	0.00%	0.00%	0.00%	0.00%	0.28%	0.39%	0.00%	0.00%	0.00%	1.35%	0.00%	0.97%	0.00%	0.00%	1.63%	0.00%	1.86%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1410	32	24	43	31	42	29	39	37	32	30	26	15	34	23	18	19	101	142	7	47	38	4	5	10	82	113	29	12	4	9	0	3	15	20	41	14	15	8	71	48	10	6	14	22	24	22									
		12.13%	9.82%	7.45%	12.57%	8.86%	13.38%	8.19%	10.34%	10.39%	10.60%	7.96%	7.72%	5.64%	12.55%	9.66%	6.98%	13.19%	12.27%	15.01%	13.46%	19.42%	13.24%	8.89%	9.09%	11.49%	20.65%	24.35%	12.13%	7.41%	4.35%	10.47%	0.00%	6.52%	15.15%	5.57%	15.89%	7.95%	26.79%	26.67%	13.65%	15.38%	9.71%	8.96%	14.74%	8.94%	19.35%	13.66%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	54	0	2	2	1	0	5	1	0	4	4	1	10	0	2	0	0	2	0	1	1	0	0	0	0	0	4	3	0	0	1	1	1	0	1	2	0	0	0	2	0	0	0	0	3	0	0									
		0.46%	0.00%	0.62%	0.58%	0.29%	0.00%	1.41%	0.27%	0.00%	1.32%	1.06%	0.30%	3.76%	0.00%	0.84%	0.00%	0.00%	0.24%	0.00%	1.92%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.86%	1.26%	0.00%	0.00%	1.16%	1.75%	2.17%	0.00%	0.28%	0.78%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	1.22%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2015	90	88	97	101	57	82	76	96	64	79	77	64	39	59	50	19	158	159	3	19	27	3	3	6	47	41	23	14	9	9	3	2	23	25	43	6	10	6	110	34	10	10	15	26	15	18									
		17.34%	27.61%	27.33%	28.36%	28.86%	18.15%	23.16%	20.16%	26.97%	21.19%	20.95%	22.85%	24.06%	14.39%	24.79%	19.38%	13.19%	19.20%	16.81%	5.77%	7.85%	9.41%	6.67%	5.45%	6.90%	11.84%	8.84%	9.62%	8.64%	9.78%	10.47%	5.26%	4.35%	23.23%	6.96%	16.67%	3.41%	17.86%	20.00%	21.15%	10.90%	9.71%	14.93%	15.79%	10.57%	12.10%	11.18%									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
