Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
Наименование Избирательной комиссии:    Верхнебуреинская																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК  506	УИК  507	УИК  508	УИК  509	УИК  510	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК  517	УИК  518	УИК  519	УИК  520	УИК  521	УИК  522	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531	УИК  532	УИК  533	УИК  534	УИК  535					
		0.22%	0.52%	2.32%	0.0%	0.0%	0.11%	0.63%	0.23%	0.0%	0.20%	0.18%	0.0%	0.0%	0.65%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	1.16%	0.0%	0.17%	0.69%	0.0%	0.0%	0.0%	0.49%					
39	"22. ""Развитие предпринимательства"""	21	0	0	1	0	2	4	2	2	1	2	1	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1					
		0.19%	0.0%	0.0%	0.45%	0.0%	0.23%	0.36%	0.15%	0.17%	0.20%	0.37%	0.64%	0.34%	0.0%	0.0%	0.0%	0.13%	0.0%	0.13%	0.0%	0.51%	0.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1290	10	0	54	8	129	149	159	161	61	65	8	14	9	8	10	82	68	102	16	15	7	10	8	7	65	13	9	3	6	34					
		12.27%	5.23%	0.0%	24.32%	8.16%	15.43%	13.57%	12.28%	13.95%	12.62%	12.05%	5.16%	4.84%	5.88%	9.09%	16.94%	11.26%	12.16%	14.16%	8.55%	7.69%	5.93%	11.90%	9.30%	8.43%	11.16%	9.02%	20.45%	8.57%	16.21%	16.83%					
																																					
41	Против всех	481	19	0	18	4	29	59	46	45	27	29	8	8	12	6	1	43	26	30	9	15	5	9	3	1	17	1	1	2	0	8					
		4.57%	9.94%	0.0%	8.10%	4.08%	3.46%	5.37%	3.55%	3.89%	5.59%	5.38%	5.16%	2.76%	7.84%	6.81%	1.69%	5.90%	4.65%	4.16%	4.81%	7.69%	4.23%	10.71%	3.48%	1.20%	2.92%	0.69%	2.27%	5.71%	0.0%	3.96%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
