Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																	
Дата голосования: 07.12.2003 0:00:00																	
																	
Наименование Избирательной комиссии:    Ягоднинская																	
																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																	
																	
		Сумма	УИК  147	УИК  150	УИК  151	УИК  152	УИК  153	УИК  154	УИК  155	УИК  156	УИК  157	УИК  158					
		21.92%	22.92%	20.60%	23.10%	19.39%	27.16%	16.38%	22.55%	21.44%	17.34%	26.78%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	92	1	4	11	12	0	10	8	18	15	13					
		1.62%	0.63%	2.01%	1.32%	1.24%	0.0%	2.77%	1.08%	1.77%	4.33%	1.47%					
37	"20. ""Политическая партия ""Единая Россия"""	2025	24	75	286	314	66	153	258	336	151	362					
		35.78%	15.28%	37.68%	34.41%	32.57%	38.15%	42.5%	35.05%	33.20%	43.64%	41.08%					
38	"21. ""Российская Конституционно-демократическая партия"""	10	0	0	1	1	0	1	3	2	1	1					
		0.17%	0.0%	0.0%	0.12%	0.10%	0.0%	0.27%	0.40%	0.19%	0.28%	0.11%					
39	"22. ""Развитие предпринимательства"""	13	0	0	1	6	0	0	3	1	1	1					
		0.22%	0.0%	0.0%	0.12%	0.62%	0.0%	0.0%	0.40%	0.09%	0.28%	0.11%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	570	38	26	98	164	12	39	42	73	27	51					
		10.07%	24.20%	13.06%	11.79%	17.01%	6.93%	10.83%	5.70%	7.21%	7.80%	5.78%					
																	
41	Против всех	333	13	17	49	60	13	16	48	62	22	33					
		5.88%	8.28%	8.54%	5.89%	6.22%	7.51%	4.44%	6.52%	6.12%	6.35%	3.74%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
