Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																														
Дата голосования: 18.09.2016																																																																																														
																																																																																														
Наименование Избирательной комиссии:    Туймазинская																																																																																														
																																																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																														
																																																																																														
		Сумма	УИК №2963	УИК №2964	УИК №2965	УИК №2966	УИК №2967	УИК №2968	УИК №2969	УИК №2970	УИК №2971	УИК №2972	УИК №2973	УИК №2974	УИК №2975	УИК №2976	УИК №2977	УИК №2978	УИК №2979	УИК №2980	УИК №2981	УИК №2982	УИК №2983	УИК №2984	УИК №2985	УИК №2986	УИК №2987	УИК №2988	УИК №2989	УИК №2990	УИК №2991	УИК №2992	УИК №2993	УИК №2994	УИК №2995	УИК №2996	УИК №2997	УИК №2998	УИК №2999	УИК №3000	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045									
		1.63%	1.66%	0.22%	0.90%	4.83%	0.50%	2.57%	2.52%	0.34%	4.22%	0.00%	2.03%	0.05%	1.46%	4.95%	5.13%	0.20%	0.00%	4.26%	2.66%	3.31%	1.30%	4.12%	0.36%	1.30%	0.26%	2.14%	0.66%	0.83%	0.00%	2.27%	3.24%	0.00%	0.77%	0.00%	1.29%	1.39%	0.97%	1.22%	2.90%	0.98%	5.21%	3.30%	2.80%	3.86%	3.45%	0.25%	2.34%	0.64%	1.20%	1.51%	8.49%	5.06%	0.77%	2.24%	0.00%	1.45%	1.05%	3.43%	3.94%	1.31%	2.45%	0.00%	0.70%	1.39%	3.84%	4.94%	0.64%	2.06%	1.46%	0.89%	0.30%	0.93%	1.17%	2.19%	2.43%	0.79%	0.00%	0.00%	1.11%	0.89%	4.64%	2.29%	2.02%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	42388	1342	534	598	243	1183	132	881	1272	1090	789	445	1071	1018	390	430	1348	689	137	576	219	1293	292	1575	788	803	1317	275	463	182	442	224	467	365	156	938	720	195	486	350	528	271	283	718	267	284	213	452	70	177	427	187	237	283	167	160	282	291	361	234	298	758	1029	284	187	368	452	896	689	992	875	710	331	137	92	175	99	146	682	461	507	200	193	217									
		62.14%	62.01%	57.98%	53.92%	43.47%	59.09%	37.71%	61.74%	62.14%	58.98%	62.32%	53.04%	51.94%	59.57%	49.49%	55.13%	66.99%	53.37%	41.64%	69.65%	51.77%	67.31%	50.09%	70.00%	73.23%	70.56%	60.00%	60.04%	77.30%	72.51%	71.52%	72.49%	72.63%	70.06%	83.87%	75.40%	58.78%	62.90%	59.41%	63.52%	73.95%	67.25%	40.54%	55.83%	39.67%	42.58%	52.21%	70.40%	44.59%	53.15%	64.31%	72.20%	70.54%	72.75%	74.89%	65.04%	81.98%	76.58%	68.76%	70.91%	77.81%	60.02%	78.25%	66.51%	65.16%	42.79%	46.50%	47.71%	61.63%	60.27%	71.14%	53.22%	76.80%	80.12%	67.15%	70.85%	78.57%	60.83%	90.81%	85.37%	64.50%	84.39%	73.66%	87.50%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	325	6	0	0	3	10	2	19	5	6	0	0	3	10	7	11	7	0	0	25	2	9	8	5	5	1	22	0	2	0	4	2	6	3	0	27	2	0	7	0	3	4	5	4	11	3	11	0	0	2	3	2	0	0	0	0	0	1	4	3	1	0	0	3	0	6	5	12	3	11	0	2	0	0	0	3	0	1	0	1	1	0	1	0									
		0.48%	0.28%	0.00%	0.00%	0.54%	0.50%	0.57%	1.33%	0.24%	0.32%	0.00%	0.00%	0.15%	0.59%	0.89%	1.41%	0.35%	0.00%	0.00%	3.02%	0.47%	0.47%	1.37%	0.22%	0.46%	0.09%	1.00%	0.00%	0.33%	0.00%	0.65%	0.65%	0.93%	0.58%	0.00%	2.17%	0.16%	0.00%	0.86%	0.00%	0.42%	0.99%	0.72%	0.31%	1.63%	0.45%	2.70%	0.00%	0.00%	0.60%	0.45%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.76%	0.91%	0.26%	0.00%	0.00%	0.70%	0.00%	0.70%	0.51%	0.64%	0.27%	0.67%	0.00%	0.15%	0.00%	0.00%	0.00%	1.21%	0.00%	0.42%	0.00%	0.19%	0.13%	0.00%	0.38%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	837	103	7	5	12	11	4	37	15	59	0	5	17	12	25	12	2	0	7	5	12	17	12	22	16	3	36	0	7	0	18	2	7	4	0	13	12	0	29	3	16	9	7	9	3	6	2	0	0	0	4	0	0	0	0	0	4	9	0	3	2	0	18	5	7	5	1	14	8	111	10	0	0	1	3	3	1	3	0	2	5	0	12	3									
		1.23%	4.76%	0.76%	0.45%	2.15%	0.55%	1.14%	2.59%	0.73%	3.19%	0.00%	0.60%	0.82%	0.70%	3.17%	1.54%	0.10%	0.00%	2.13%	0.60%	2.84%	0.88%	2.06%	0.98%	1.49%	0.26%	1.64%	0.00%	1.17%	0.00%	2.91%	0.65%	1.09%	0.77%	0.00%	1.05%	0.98%	0.00%	3.55%	0.54%	2.24%	2.23%	1.00%	0.70%	0.45%	0.90%	0.49%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	1.16%	2.37%	0.00%	0.91%	0.52%	0.00%	1.37%	1.17%	2.44%	0.58%	0.10%	0.75%	0.72%	6.74%	0.81%	0.00%	0.00%	0.58%	2.19%	1.21%	0.79%	1.25%	0.00%	0.37%	0.64%	0.00%	4.58%	1.21%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3101	59	9	11	61	21	44	35	21	28	15	8	19	25	117	87	9	14	72	65	56	78	59	26	47	11	19	5	54	13	44	23	40	6	4	74	12	34	10	5	48	14	101	163	93	72	27	67	17	21	72	16	3	4	8	10	13	12	63	10	12	13	15	26	12	128	169	282	21	110	9	15	21	7	5	9	3	7	10	5	21	6	16	5									
		4.55%	2.73%	0.98%	0.99%	10.91%	1.05%	12.57%	2.45%	1.03%	1.52%	1.18%	0.95%	0.92%	1.46%	14.85%	11.15%	0.45%	1.08%	21.88%	7.86%	13.24%	4.06%	10.12%	1.16%	4.37%	0.97%	0.87%	1.09%	9.02%	5.18%	7.12%	7.44%	6.22%	1.15%	2.15%	5.95%	0.98%	10.97%	1.22%	0.91%	6.72%	3.47%	14.47%	12.67%	13.82%	10.79%	6.62%	10.44%	10.83%	6.31%	10.84%	6.18%	0.89%	1.03%	3.59%	4.07%	3.78%	3.16%	12.00%	3.03%	3.13%	1.03%	1.14%	6.09%	4.18%	14.88%	17.39%	15.02%	1.88%	6.68%	0.73%	1.12%	4.87%	4.09%	3.65%	3.64%	2.38%	2.92%	1.33%	0.93%	2.67%	2.53%	6.11%	2.02%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	169	5	0	0	5	11	5	7	5	2	0	0	1	7	7	3	2	1	0	1	1	5	1	7	2	0	10	0	0	0	0	0	0	0	0	0	4	0	2	2	0	0	3	9	3	9	3	1	0	0	2	0	0	0	0	0	0	3	1	0	4	0	0	1	0	3	3	19	1	2	1	3	0	0	0	0	0	0	0	0	2	0	0	0									
		0.25%	0.23%	0.00%	0.00%	0.89%	0.55%	1.43%	0.49%	0.24%	0.11%	0.00%	0.00%	0.05%	0.41%	0.89%	0.38%	0.10%	0.08%	0.00%	0.12%	0.24%	0.26%	0.17%	0.31%	0.19%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.24%	0.36%	0.00%	0.00%	0.43%	0.70%	0.45%	1.35%	0.74%	0.16%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.79%	0.19%	0.00%	1.04%	0.00%	0.00%	0.23%	0.00%	0.35%	0.31%	1.01%	0.09%	0.12%	0.08%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	405	4	3	22	15	4	7	13	9	7	6	4	3	7	7	5	9	1	2	5	0	3	5	15	6	3	65	0	0	0	7	1	2	0	0	2	5	1	0	0	4	0	7	10	1	6	4	2	0	0	4	3	0	0	0	0	0	0	0	0	1	0	0	1	0	7	6	75	7	5	6	2	0	0	0	4	1	1	0	0	0	0	0	0									
		0.59%	0.18%	0.33%	1.98%	2.68%	0.20%	2.00%	0.91%	0.44%	0.38%	0.47%	0.48%	0.15%	0.41%	0.89%	0.64%	0.45%	0.08%	0.61%	0.60%	0.00%	0.16%	0.86%	0.67%	0.56%	0.26%	2.96%	0.00%	0.00%	0.00%	1.13%	0.32%	0.31%	0.00%	0.00%	0.16%	0.41%	0.32%	0.00%	0.00%	0.56%	0.00%	1.00%	0.78%	0.15%	0.90%	0.98%	0.31%	0.00%	0.00%	0.60%	1.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.23%	0.00%	0.81%	0.62%	3.99%	0.63%	0.30%	0.49%	0.15%	0.00%	0.00%	0.00%	1.62%	0.79%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	88	10	0	0	0	10	0	7	8	2	0	0	2	2	0	0	3	1	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	2	19	2	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0									
		0.13%	0.46%	0.00%	0.00%	0.00%	0.50%	0.00%	0.49%	0.39%	0.11%	0.00%	0.00%	0.10%	0.12%	0.00%	0.00%	0.15%	0.08%	0.00%	0.24%	0.00%	0.05%	0.17%	0.00%	0.00%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.05%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	1.01%	0.18%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.59%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	354	5	0	0	7	10	4	15	8	46	0	8	2	14	6	11	5	2	5	1	1	9	8	22	2	5	16	2	2	0	4	1	2	2	0	2	3	1	2	15	3	1	1	7	11	5	4	4	0	2	2	2	0	0	0	0	0	5	1	0	3	0	0	0	2	8	9	6	2	11	1	10	0	0	0	0	3	0	0	1	2	0	0	0									
		0.52%	0.23%	0.00%	0.00%	1.25%	0.50%	1.14%	1.05%	0.39%	2.49%	0.00%	0.95%	0.10%	0.82%	0.76%	1.41%	0.25%	0.15%	1.52%	0.12%	0.24%	0.47%	1.37%	0.98%	0.19%	0.44%	0.73%	0.44%	0.33%	0.00%	0.65%	0.32%	0.31%	0.38%	0.00%	0.16%	0.24%	0.32%	0.24%	2.72%	0.42%	0.25%	0.14%	0.54%	1.63%	0.75%	0.98%	0.62%	0.00%	0.60%	0.30%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	1.32%	0.19%	0.00%	0.78%	0.00%	0.00%	0.00%	0.70%	0.93%	0.93%	0.32%	0.18%	0.67%	0.08%	0.75%	0.00%	0.00%	0.00%	0.00%	2.38%	0.00%	0.00%	0.19%	0.25%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	12271	498	201	332	83	575	83	116	620	425	266	268	649	489	107	81	574	381	52	79	53	195	79	227	134	158	222	142	25	46	29	14	55	87	24	108	236	41	110	100	49	41	132	165	125	178	112	57	43	103	68	14	70	96	34	36	26	26	41	50	33	316	234	75	57	136	130	351	158	241	229	427	47	17	27	24	6	63	45	49	141	12	10	13									
		17.99%	23.01%	21.82%	29.94%	14.85%	28.72%	23.71%	8.13%	30.29%	22.99%	21.01%	31.94%	31.47%	28.61%	13.58%	10.38%	28.53%	29.51%	15.81%	9.55%	12.53%	10.15%	13.55%	10.09%	12.45%	13.88%	10.11%	31.00%	4.17%	18.33%	4.69%	4.53%	8.55%	16.70%	12.90%	8.68%	19.27%	13.23%	13.45%	18.15%	6.86%	10.17%	18.91%	12.83%	18.57%	26.69%	27.45%	8.88%	27.39%	30.93%	10.24%	5.41%	20.83%	24.68%	15.25%	14.63%	7.56%	6.84%	7.81%	15.15%	8.62%	25.02%	17.79%	17.56%	19.86%	15.81%	13.37%	18.69%	14.13%	14.64%	18.62%	32.01%	10.90%	9.94%	19.71%	9.72%	4.76%	26.25%	5.99%	9.07%	17.94%	5.06%	3.82%	5.24%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	349	26	2	9	0	62	4	15	10	13	0	0	4	11	4	6	3	2	6	2	0	6	5	10	0	0	10	2	0	0	3	2	2	0	0	4	3	0	0	2	1	0	4	5	10	6	3	1	1	0	8	1	0	0	2	0	3	6	1	0	0	0	5	0	0	9	4	12	1	26	2	3	0	0	0	1	1	0	0	2	3	0	0	0									
		0.51%	1.20%	0.22%	0.81%	0.00%	3.10%	1.14%	1.05%	0.49%	0.70%	0.00%	0.00%	0.19%	0.64%	0.51%	0.77%	0.15%	0.15%	1.82%	0.24%	0.00%	0.31%	0.86%	0.44%	0.00%	0.00%	0.46%	0.44%	0.00%	0.00%	0.49%	0.65%	0.31%	0.00%	0.00%	0.32%	0.24%	0.00%	0.00%	0.36%	0.14%	0.00%	0.57%	0.39%	1.49%	0.90%	0.74%	0.16%	0.64%	0.00%	1.20%	0.39%	0.00%	0.00%	0.90%	0.00%	0.87%	1.58%	0.19%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	1.05%	0.41%	0.64%	0.09%	1.58%	0.16%	0.22%	0.00%	0.00%	0.00%	0.40%	0.79%	0.00%	0.00%	0.37%	0.38%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4213	37	158	122	25	62	13	172	30	80	190	59	266	27	19	16	41	197	7	14	11	211	28	277	39	138	329	27	2	10	14	11	35	47	0	33	182	35	68	55	19	17	17	32	23	16	6	6	5	6	6	2	9	2	7	22	2	15	12	0	2	139	14	5	0	34	43	135	121	51	66	148	28	4	1	5	3	19	9	7	56	4	8	0									
