Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Оленегорская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357	УИК  358	УИК  359					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	225	10	15	0	13	19	14	20	10	13	4	8	9	32	22	0	0	0	36					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	103	0	0	63	4	3	4	4	0	4	3	1	0	0	4	8	1	1	3					
14	Число погашенных открепительных удостоверений	395	20	15	0	17	11	16	10	20	17	26	22	21	28	38	10	20	40	64					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
18	"1. ""ЕДИНЕНИЕ"""	106	5	3	0	5	10	4	6	3	1	11	6	3	14	10	0	1	3	21					
		0.74%	0.64%	0.31%	0.0%	0.49%	0.98%	0.37%	0.62%	0.29%	0.09%	1.24%	0.76%	0.38%	1.34%	1.00%	0.0%	1.02%	1.97%	1.40%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	331	12	24	1	32	27	23	20	30	35	18	14	19	16	14	0	0	1	45					
		2.32%	1.55%	2.49%	1.53%	3.13%	2.65%	2.18%	2.09%	2.97%	3.16%	2.03%	1.79%	2.44%	1.53%	1.41%	0.0%	0.0%	0.65%	3.00%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	935	44	77	11	57	80	100	81	74	89	71	71	54	44	38	3	8	5	28					
		6.57%	5.68%	8.01%	16.92%	5.58%	7.87%	9.47%	8.47%	7.34%	8.05%	8.02%	9.10%	6.94%	4.21%	3.83%	8.10%	8.16%	3.28%	1.86%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	611	41	44	2	48	44	53	33	46	62	43	39	47	30	29	2	2	7	39					
		4.29%	5.29%	4.57%	3.07%	4.70%	4.33%	5.02%	3.45%	4.56%	5.61%	4.85%	5.0%	6.04%	2.87%	2.92%	5.40%	2.04%	4.60%	2.60%					
22	"5. ""За Русь Святую"""	61	3	5	0	23	6	6	3	2	3	1	3	1	1	1	0	0	0	3					
		0.42%	0.38%	0.52%	0.0%	2.25%	0.59%	0.56%	0.31%	0.19%	0.27%	0.11%	0.38%	0.12%	0.09%	0.10%	0.0%	0.0%	0.0%	0.20%					
23	"6. ""Объединенная Российская партия ""Русь"""	26	3	1	0	5	2	2	1	2	2	0	0	0	4	3	0	0	0	1					
		0.18%	0.38%	0.10%	0.0%	0.49%	0.19%	0.18%	0.10%	0.19%	0.18%	0.0%	0.0%	0.0%	0.38%	0.30%	0.0%	0.0%	0.0%	0.06%					
24	"7. ""Новый курс - Автомобильная Россия"""	109	9	5	1	3	5	2	2	6	6	7	6	8	8	14	0	0	4	23					
		0.76%	1.16%	0.52%	1.53%	0.29%	0.49%	0.18%	0.20%	0.59%	0.54%	0.79%	0.76%	1.02%	0.76%	1.41%	0.0%	0.0%	2.63%	1.53%					
25	"8. ""Народно-республиканская партия России"""	43	1	3	2	1	4	5	4	4	5	4	5	2	1	0	0	0	0	2					
		0.30%	0.12%	0.31%	3.07%	0.09%	0.39%	0.47%	0.41%	0.39%	0.45%	0.45%	0.64%	0.25%	0.09%	0.0%	0.0%	0.0%	0.0%	0.13%					
26	"9. ""Российская экологическая партия ""Зеленые"""	78	2	3	1	10	6	5	3	4	3	4	2	6	4	9	0	0	2	14					
		0.54%	0.25%	0.31%	1.53%	0.98%	0.59%	0.47%	0.31%	0.39%	0.27%	0.45%	0.25%	0.77%	0.38%	0.90%	0.0%	0.0%	1.31%	0.93%					
27	"10. ""Аграрная партия России"""	192	16	15	1	14	13	12	15	18	16	16	13	10	12	5	0	0	1	15					
		1.35%	2.06%	1.56%	1.53%	1.37%	1.27%	1.13%	1.56%	1.78%	1.44%	1.80%	1.66%	1.28%	1.15%	0.50%	0.0%	0.0%	0.65%	1.00%					
28	"11. ""Истинные патриоты России"""	14	0	0	0	1	0	1	2	0	0	0	1	1	3	1	0	0	2	2					
		0.09%	0.0%	0.0%	0.0%	0.09%	0.0%	0.09%	0.20%	0.0%	0.0%	0.0%	0.12%	0.12%	0.28%	0.10%	0.0%	0.0%	1.31%	0.13%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	407	33	31	1	45	35	29	20	40	49	20	28	22	14	17	0	0	0	23					
		2.86%	4.26%	3.22%	1.53%	4.41%	3.44%	2.74%	2.09%	3.97%	4.43%	2.25%	3.58%	2.83%	1.34%	1.71%	0.0%	0.0%	0.0%	1.53%					
30	"13. ""Демократическая партия России"""	38	6	3	1	6	2	0	4	2	1	4	1	2	2	1	0	1	0	2					
		0.26%	0.77%	0.31%	1.53%	0.58%	0.19%	0.0%	0.41%	0.19%	0.09%	0.45%	0.12%	0.25%	0.19%	0.10%	0.0%	1.02%	0.0%	0.13%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	0	0	0	0	1	2	4	0	3	0	2	0	2	0	0	0	0	4					
		0.12%	0.0%	0.0%	0.0%	0.0%	0.09%	0.18%	0.41%	0.0%	0.27%	0.0%	0.25%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.26%					
32	"15. ""Партия СЛОН"""	19	2	0	0	2	0	1	1	0	0	3	1	0	4	0	0	0	0	5					
		0.13%	0.25%	0.0%	0.0%	0.19%	0.0%	0.09%	0.10%	0.0%	0.0%	0.33%	0.12%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.33%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1088	59	88	5	94	73	97	49	83	86	71	61	68	75	73	0	1	8	97					
		7.65%	7.62%	9.15%	7.69%	9.21%	7.18%	9.19%	5.12%	8.24%	7.78%	8.02%	7.82%	8.75%	7.19%	7.36%	0.0%	1.02%	5.26%	6.47%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	32	1	1	0	2	5	1	4	0	0	2	1	1	2	2	0	0	0	10					
		0.22%	0.12%	0.10%	0.0%	0.19%	0.49%	0.09%	0.41%	0.0%	0.0%	0.22%	0.12%	0.12%	0.19%	0.20%	0.0%	0.0%	0.0%	0.66%					
35	"18. ""ЛДПР"""	1821	94	137	9	121	127	138	129	124	137	118	89	93	172	118	2	13	37	163					
		12.80%	12.14%	14.25%	13.84%	11.86%	12.5%	13.08%	13.49%	12.31%	12.39%	13.33%	11.41%	11.96%	16.49%	11.90%	5.40%	13.26%	24.34%	10.88%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	215	17	18	0	13	15	20	14	16	23	11	14	19	8	9	1	0	2	15					
		1.51%	2.19%	1.87%	0.0%	1.27%	1.47%	1.89%	1.46%	1.58%	2.08%	1.24%	1.79%	2.44%	0.76%	0.90%	2.70%	0.0%	1.31%	1.00%					
37	"20. ""Политическая партия ""Единая Россия"""	5868	317	345	18	362	383	409	370	376	402	327	292	289	473	500	23	58	69	855					
		41.26%	40.95%	35.90%	27.69%	35.49%	37.69%	38.76%	38.70%	37.33%	36.38%	36.94%	37.43%	37.19%	45.34%	50.45%	62.16%	59.18%	45.39%	57.07%					
38	"21. ""Российская Конституционно-демократическая партия"""	24	0	4	0	1	0	2	0	1	3	1	1	1	2	2	0	2	0	4					
		0.16%	0.0%	0.41%	0.0%	0.09%	0.0%	0.18%	0.0%	0.09%	0.27%	0.11%	0.12%	0.12%	0.19%	0.20%	0.0%	2.04%	0.0%	0.26%					
39	"22. ""Развитие предпринимательства"""	40	2	6	0	2	0	0	1	1	0	4	3	2	3	3	1	0	0	12					
		0.28%	0.25%	0.62%	0.0%	0.19%	0.0%	0.0%	0.10%	0.09%	0.0%	0.45%	0.38%	0.25%	0.28%	0.30%	2.70%	0.0%	0.0%	0.80%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1304	63	106	11	105	105	97	131	87	101	86	89	90	83	87	5	10	3	45					
		9.17%	8.13%	11.03%	16.92%	10.29%	10.33%	9.19%	13.70%	8.63%	9.14%	9.71%	11.41%	11.58%	7.95%	8.77%	13.51%	10.20%	1.97%	3.00%					
																									
41	Против всех	748	36	34	1	64	63	41	51	80	73	58	30	35	60	49	0	1	8	64					
		5.26%	4.65%	3.53%	1.53%	6.27%	6.20%	3.88%	5.33%	7.94%	6.60%	6.55%	3.84%	4.50%	5.75%	4.94%	0.0%	1.02%	5.26%	4.27%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
