Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																					
Дата голосования: 02.12.2007																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Неклиновская районная																																																																																					
																																																																																					
Сводная таблица результатов выборов																																																																																					
																																																																																					
		Сумма	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №2449	УИК №2518	УИК №2586					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1457	38	40	40	40	25	15	5	15	15	15	15	15	30	30	15	30	30	15	30	40	25	30	30	15	15	15	25	30	10	10	15	10	10	10	10	14	30	40	30	15	15	25	15	25	15	15	15	15	15	25	15	15	15	30	5	5	10	15	5	15	15	15	25	10	10	15	30	15	15	15	15	10	15	5	5	15	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	470	26	23	18	19	8	1	0	5	2	7	4	9	18	11	7	15	4	1	10	13	11	9	14	5	12	10	16	13	0	0	5	1	0	2	0	2	12	10	7	2	1	4	8	8	6	3	2	1	1	10	2	7	1	10	0	0	3	6	0	7	2	1	5	0	1	6	3	1	10	8	9	0	7	2	1	0	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	277	11	10	5	10	2	0	0	2	1	2	4	3	5	8	1	4	2	2	2	2	3	5	9	1	10	7	3	10	0	4	2	0	0	1	1	1	4	8	4	6	1	2	3	4	2	1	0	5	4	3	2	5	2	2	3	0	0	4	0	2	2	2	44	2	0	0	2	6	6	2	3	0	3	0	1	2	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	987	12	17	22	21	17	14	5	10	13	8	11	6	12	19	8	15	26	14	20	27	14	21	16	10	3	5	9	17	10	10	10	9	10	8	10	12	18	30	23	13	14	21	7	17	9	12	13	14	14	15	13	8	14	20	5	5	7	9	5	8	13	14	20	10	9	9	27	14	5	7	6	10	8	3	4	15	14	14					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	43	2	2	1	2	0	0	0	2	0	0	0	1	1	1	2	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	3	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	2	1	2	2	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																					
18	1.Политическая партия «Аграрная партия России»	687	24	25	19	10	20	5	1	10	0	10	14	14	16	15	10	18	13	15	36	26	19	13	9	9	8	8	9	16	0	1	1	0	0	0	2	3	19	24	14	8	8	10	6	21	2	10	7	0	5	17	1	7	0	29	0	0	1	23	1	7	0	4	14	0	2	2	8	1	4	8	11	3	2	2	5	0	0	2					
		1.56%	1.26%	1.27%	1.30%	0.58%	2.99%	1.64%	1.45%	1.65%	0.00%	2.98%	2.08%	2.03%	1.48%	1.21%	1.50%	1.64%	1.60%	5.10%	2.74%	1.87%	1.76%	1.52%	1.11%	1.61%	1.79%	2.08%	1.84%	2.10%	0.00%	1.08%	0.19%	0.00%	0.00%	0.00%	1.48%	0.99%	1.86%	1.32%	1.32%	2.48%	2.86%	1.19%	1.27%	2.88%	0.52%	1.66%	1.43%	0.00%	2.23%	2.15%	0.56%	1.26%	0.00%	2.41%	0.00%	0.00%	0.99%	3.34%	1.41%	1.28%	0.00%	1.69%	1.52%	0.00%	1.33%	0.87%	0.85%	0.52%	0.81%	2.09%	2.48%	2.54%	0.83%	3.08%	5.15%	0.00%	0.00%	0.70%					
19	2.Всероссийская политическая партия «Гражданская Сила»	166	6	12	6	8	3	0	0	3	0	0	2	6	6	0	4	6	1	3	7	9	13	2	4	1	3	2	2	2	0	0	1	0	0	0	0	2	4	2	2	3	1	3	3	1	0	0	0	0	0	3	0	1	0	7	0	0	0	0	0	5	0	0	2	1	1	0	3	0	1	4	0	0	0	0	0	0	0	5					
		0.38%	0.32%	0.61%	0.41%	0.47%	0.45%	0.00%	0.00%	0.49%	0.00%	0.00%	0.30%	0.87%	0.56%	0.00%	0.60%	0.55%	0.12%	1.02%	0.53%	0.65%	1.21%	0.23%	0.49%	0.18%	0.67%	0.52%	0.41%	0.26%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.66%	0.39%	0.11%	0.19%	0.93%	0.36%	0.36%	0.64%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.18%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.92%	0.00%	0.00%	0.22%	0.79%	0.67%	0.00%	0.32%	0.00%	0.20%	1.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.75%					
20	3.Политическая партия «Демократическая партия России»	32	0	0	3	0	1	0	0	0	0	0	0	0	1	1	2	1	0	0	1	2	0	2	0	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	2	0	2	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0					
		0.07%	0.00%	0.00%	0.20%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.08%	0.30%	0.09%	0.00%	0.00%	0.08%	0.14%	0.00%	0.23%	0.00%	0.00%	0.22%	0.52%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	1.16%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.71%	0.12%	0.00%	0.14%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.15%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	5243	143	176	178	138	56	25	6	50	14	21	56	46	125	205	84	153	91	85	197	243	184	170	165	30	69	61	76	110	1	10	37	9	2	4	9	47	163	278	151	53	34	101	102	113	26	40	32	20	16	87	22	44	33	172	4	0	10	49	2	59	7	6	132	9	11	28	106	7	81	27	33	2	10	1	7	37	17	35					
		11.88%	7.51%	8.94%	12.14%	8.07%	8.40%	8.22%	8.70%	8.24%	8.59%	6.25%	8.32%	6.68%	11.60%	16.56%	12.59%	13.95%	11.18%	28.91%	15.00%	17.49%	17.08%	19.93%	20.37%	5.38%	15.44%	15.89%	15.57%	14.42%	0.71%	10.75%	6.88%	6.21%	1.67%	4.65%	6.67%	15.56%	15.96%	15.27%	14.22%	16.46%	12.14%	11.98%	21.66%	15.50%	6.72%	6.64%	6.53%	8.37%	7.14%	11.03%	12.22%	7.93%	8.66%	14.29%	6.35%	0.00%	9.90%	7.11%	2.82%	10.81%	3.40%	2.54%	14.33%	7.14%	7.33%	12.12%	11.21%	3.66%	16.36%	7.05%	7.43%	1.69%	4.17%	1.54%	7.22%	11.35%	9.29%	12.28%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	129	4	12	3	2	8	0	0	0	0	0	0	1	1	1	4	7	2	0	4	3	0	5	2	5	3	3	16	0	0	0	1	0	0	0	0	0	5	8	13	1	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0					
		0.29%	0.21%	0.61%	0.20%	0.12%	1.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.09%	0.08%	0.60%	0.64%	0.25%	0.00%	0.30%	0.22%	0.00%	0.59%	0.25%	0.90%	0.67%	0.78%	3.28%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.44%	1.22%	0.31%	0.36%	0.36%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.33%	0.00%	0.00%	0.00%	0.11%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	78	1	4	1	3	3	0	1	4	0	0	0	1	1	4	3	1	0	0	0	4	4	4	4	2	1	2	2	1	0	0	1	0	0	0	0	0	1	2	1	0	1	2	1	0	0	1	0	0	2	3	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	1	0	2	0	3	1	0	0	0	0	0	0					
		0.18%	0.05%	0.20%	0.07%	0.18%	0.45%	0.00%	1.45%	0.66%	0.00%	0.00%	0.00%	0.15%	0.09%	0.32%	0.45%	0.09%	0.00%	0.00%	0.00%	0.29%	0.37%	0.47%	0.49%	0.36%	0.22%	0.52%	0.41%	0.13%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.11%	0.09%	0.00%	0.36%	0.24%	0.21%	0.00%	0.00%	0.17%	0.00%	0.00%	0.89%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.40%	0.00%	0.68%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	2889	108	129	115	120	45	14	6	46	10	17	34	30	104	79	43	84	47	32	82	86	71	48	55	37	37	24	36	43	0	6	20	4	6	3	6	19	97	104	79	13	18	61	42	55	13	48	20	20	8	52	5	42	4	88	2	2	5	58	7	45	4	24	59	9	15	21	50	9	29	22	31	6	23	2	5	17	17	12					
		6.54%	5.68%	6.55%	7.84%	7.01%	6.75%	4.61%	8.70%	7.58%	6.13%	5.06%	5.05%	4.35%	9.65%	6.38%	6.45%	7.66%	5.77%	10.88%	6.25%	6.19%	6.59%	5.63%	6.79%	6.63%	8.28%	6.25%	7.38%	5.64%	0.00%	6.45%	3.72%	2.76%	5.00%	3.49%	4.44%	6.29%	9.50%	5.71%	7.44%	4.04%	6.43%	7.24%	8.92%	7.54%	3.36%	7.97%	4.08%	8.37%	3.57%	6.59%	2.78%	7.57%	1.05%	7.31%	3.17%	4.44%	4.95%	8.42%	9.86%	8.24%	1.94%	10.17%	6.41%	7.14%	10.00%	9.09%	5.29%	4.71%	5.86%	5.74%	6.98%	5.08%	9.58%	3.08%	5.15%	5.21%	9.29%	4.21%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2942	214	211	195	169	41	16	12	59	7	15	36	28	78	81	50	80	49	12	104	78	84	67	65	30	24	22	30	62	5	2	34	0	1	1	1	19	58	95	69	18	14	54	32	49	2	47	15	10	8	30	6	41	4	50	1	2	0	41	2	17	0	7	80	4	14	3	24	1	46	27	36	3	6	1	0	15	18	10					
		6.66%	11.25%	10.72%	13.30%	9.88%	6.15%	5.26%	17.39%	9.72%	4.29%	4.46%	5.35%	4.06%	7.24%	6.54%	7.50%	7.29%	6.02%	4.08%	7.92%	5.62%	7.80%	7.85%	8.02%	5.38%	5.37%	5.73%	6.15%	8.13%	3.57%	2.15%	6.32%	0.00%	0.83%	1.16%	0.74%	6.29%	5.68%	5.22%	6.50%	5.59%	5.00%	6.41%	6.79%	6.72%	0.52%	7.81%	3.06%	4.18%	3.57%	3.80%	3.33%	7.39%	1.05%	4.15%	1.59%	4.44%	0.00%	5.95%	2.82%	3.11%	0.00%	2.97%	8.69%	3.17%	9.33%	1.30%	2.54%	0.52%	9.29%	7.05%	8.11%	2.54%	2.50%	1.54%	0.00%	4.60%	9.84%	3.51%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	420	7	9	14	4	3	4	0	1	0	0	6	2	4	7	4	5	7	1	9	7	10	5	4	5	0	3	3	8	1	1	1	0	0	0	0	2	12	15	7	3	3	22	37	25	32	8	3	0	5	8	1	6	34	4	2	0	2	2	0	12	0	0	8	0	4	0	4	0	4	10	6	1	1	0	1	0	0	1					
		0.95%	0.37%	0.46%	0.95%	0.23%	0.45%	1.32%	0.00%	0.16%	0.00%	0.00%	0.89%	0.29%	0.37%	0.57%	0.60%	0.46%	0.86%	0.34%	0.69%	0.50%	0.93%	0.59%	0.49%	0.90%	0.00%	0.78%	0.61%	1.05%	0.71%	1.08%	0.19%	0.00%	0.00%	0.00%	0.00%	0.66%	1.18%	0.82%	0.66%	0.93%	1.07%	2.61%	7.86%	3.43%	8.27%	1.33%	0.61%	0.00%	2.23%	1.01%	0.56%	1.08%	8.92%	0.33%	3.17%	0.00%	1.98%	0.29%	0.00%	2.20%	0.00%	0.00%	0.87%	0.00%	2.67%	0.00%	0.42%	0.00%	0.81%	2.61%	1.35%	0.85%	0.42%	0.00%	1.03%	0.00%	0.00%	0.35%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	30923	1380	1365	915	1234	477	240	42	425	118	270	524	554	725	825	449	724	590	143	846	896	677	527	492	431	297	253	302	510	132	73	431	132	106	77	117	208	644	1271	712	216	188	572	245	455	306	432	410	189	179	576	143	405	306	843	54	41	81	503	59	372	194	192	607	100	102	173	736	170	320	281	316	102	193	59	75	245	130	219					
		70.05%	72.52%	69.36%	62.41%	72.12%	71.51%	78.95%	60.87%	70.02%	72.39%	80.36%	77.86%	80.41%	67.25%	66.64%	67.32%	65.99%	72.48%	48.64%	64.43%	64.51%	62.86%	61.78%	60.74%	77.24%	66.44%	65.89%	61.89%	66.84%	94.29%	78.49%	80.11%	91.03%	88.33%	89.53%	86.67%	68.87%	63.08%	69.84%	67.04%	67.08%	67.14%	67.85%	52.02%	62.41%	79.07%	71.76%	83.67%	79.08%	79.91%	73.00%	79.44%	72.97%	80.31%	70.02%	85.71%	91.11%	80.20%	73.00%	83.10%	68.13%	94.17%	81.36%	65.91%	79.37%	68.00%	74.89%	77.80%	89.01%	64.65%	73.37%	71.17%	86.44%	80.42%	90.77%	77.32%	75.15%	71.04%	76.84%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	261	8	12	7	10	2	0	1	2	1	0	1	4	13	10	11	11	5	3	11	8	8	4	8	3	2	1	4	3	1	0	5	0	3	0	0	0	7	12	4	7	5	12	3	3	0	2	3	0	0	1	1	4	0	7	0	0	1	3	0	9	0	1	1	2	0	4	3	1	0	0	1	0	1	0	1	0	0	0					
		0.59%	0.42%	0.61%	0.48%	0.58%	0.30%	0.00%	1.45%	0.33%	0.61%	0.00%	0.15%	0.58%	1.21%	0.81%	1.65%	1.00%	0.61%	1.02%	0.84%	0.58%	0.74%	0.47%	0.99%	0.54%	0.45%	0.26%	0.82%	0.39%	0.71%	0.00%	0.93%	0.00%	2.50%	0.00%	0.00%	0.00%	0.69%	0.66%	0.38%	2.17%	1.79%	1.42%	0.64%	0.41%	0.00%	0.33%	0.61%	0.00%	0.00%	0.13%	0.56%	0.72%	0.00%	0.58%	0.00%	0.00%	0.99%	0.44%	0.00%	1.65%	0.00%	0.42%	0.11%	1.59%	0.00%	1.73%	0.32%	0.52%	0.00%	0.00%	0.23%	0.00%	0.42%	0.00%	1.03%	0.00%	0.00%	0.00%					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
