Выборы Президента Российской Федерации																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Северодвинская																																																																																							
																																																																																							
Итоги голосования 																																																																																							
																																																																																							
		Сумма	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891					
20	. Миронов Сергей Михайлович	732	17	9	4	10	12	17	12	8	13	5	10	8	6	7	13	9	15	5	11	7	5	5	11	8	2	3	8	11	8	8	18	6	4	11	8	9	10	11	0	15	9	9	11	6	14	7	17	9	19	10	7	18	13	12	4	6	10	13	18	9	12	16	9	7	9	6	10	9	8	2	12	14	13	11	1	11	0	0	1	1					
		0.68%	0.95%	0.74%	0.41%	0.70%	0.76%	1.08%	0.75%	0.57%	0.87%	0.39%	0.72%	0.56%	0.47%	0.41%	0.90%	0.75%	0.85%	0.47%	0.62%	0.64%	0.33%	0.44%	0.89%	0.60%	2.47%	0.33%	0.57%	0.76%	0.81%	0.51%	1.06%	0.39%	0.39%	0.74%	0.63%	0.53%	0.66%	0.93%	0.00%	0.87%	0.64%	0.52%	0.76%	0.43%	1.03%	0.44%	1.03%	0.64%	1.13%	0.85%	0.45%	1.07%	0.80%	0.93%	0.39%	0.56%	0.69%	0.72%	0.98%	0.87%	0.87%	1.09%	0.74%	0.54%	0.48%	0.30%	0.54%	0.52%	0.50%	0.14%	0.88%	0.94%	0.68%	0.57%	0.68%	1.43%	0.00%	0.00%	1.41%	0.28%					
21	. Путин Владимир Владимирович	80559	1490	961	743	1101	1222	1204	1239	1073	1136	1009	1077	1116	936	1312	1084	925	1343	787	1334	856	1137	877	942	986	58	692	1040	1111	725	1081	1118	1186	785	1129	961	1314	1134	919	120	1257	1042	1285	1139	1034	1034	1146	1211	976	1213	894	1135	1258	1211	956	785	786	1090	1325	1356	785	1037	1118	906	1049	1475	1572	1363	1334	1223	1103	1003	1075	1372	1452	113	595	21	278	65	224					
		75.37%	82.96%	78.96%	75.43%	76.94%	77.44%	76.40%	77.53%	76.26%	76.19%	78.83%	77.48%	78.65%	73.82%	76.46%	75.28%	77.08%	76.31%	74.39%	75.15%	78.46%	74.22%	76.80%	75.91%	74.14%	71.60%	74.97%	74.29%	77.10%	73.16%	69.12%	65.84%	78.08%	76.51%	75.87%	76.27%	76.80%	74.36%	77.68%	80.54%	73.21%	74.59%	73.98%	79.04%	73.91%	76.09%	72.72%	73.13%	68.88%	72.25%	76.02%	72.66%	74.53%	74.85%	74.17%	77.34%	73.18%	74.71%	73.86%	73.50%	75.77%	75.20%	76.00%	74.63%	80.20%	78.25%	78.44%	73.84%	77.02%	76.34%	76.12%	73.70%	71.81%	72.13%	75.62%	77.40%	77.47%	80.77%	83.23%	91.55%	63.10%					
22	. Хакамада Ирина Муцуовна	5307	59	38	40	73	57	69	61	77	70	60	72	77	70	80	72	57	60	51	87	39	81	57	59	74	6	39	75	56	56	111	142	74	40	71	55	63	70	64	5	86	71	98	47	57	69	73	88	91	96	56	80	92	71	55	59	43	64	103	113	60	81	73	60	48	85	86	116	87	86	90	96	81	128	102	4	25	0	7	1	12					
		4.97%	3.29%	3.12%	4.06%	5.10%	3.61%	4.38%	3.82%	5.47%	4.69%	4.69%	5.18%	5.43%	5.52%	4.66%	5.00%	4.75%	3.41%	4.82%	4.90%	3.57%	5.29%	4.99%	4.75%	5.56%	7.41%	4.23%	5.36%	3.89%	5.65%	7.10%	8.36%	4.87%	3.90%	4.77%	4.37%	3.68%	4.59%	5.41%	3.36%	5.01%	5.08%	5.64%	3.26%	4.07%	5.08%	4.63%	5.31%	6.42%	5.72%	4.76%	5.12%	5.45%	4.39%	4.27%	5.81%	4.00%	4.39%	5.74%	6.12%	5.79%	5.87%	4.96%	4.94%	3.67%	4.51%	4.29%	6.28%	5.02%	5.37%	6.21%	7.05%	5.41%	6.73%	5.31%	2.74%	3.26%	0.00%	2.10%	1.41%	3.38%					
23	. Харитонов Николай Михайлович	10225	89	94	114	109	129	135	118	121	120	95	114	91	125	163	126	90	200	104	168	86	181	97	118	148	5	81	137	141	110	196	219	143	97	156	133	205	177	86	15	177	148	194	111	167	122	205	186	177	172	110	195	172	168	148	63	144	146	175	189	101	117	144	110	99	141	163	188	122	150	122	111	145	175	157	10	65	4	26	0	70					
		9.57%	4.96%	7.72%	11.57%	7.62%	8.17%	8.57%	7.38%	8.60%	8.05%	7.42%	8.20%	6.41%	9.86%	9.50%	8.75%	7.50%	11.36%	9.83%	9.46%	7.88%	11.81%	8.49%	9.51%	11.13%	6.17%	8.78%	9.79%	9.78%	11.10%	12.53%	12.90%	9.41%	9.45%	10.48%	10.56%	11.98%	11.61%	7.27%	10.07%	10.31%	10.59%	11.17%	7.70%	11.94%	8.98%	13.01%	11.23%	12.49%	10.24%	9.35%	12.48%	10.19%	10.38%	11.48%	6.21%	13.41%	10.01%	9.75%	10.24%	9.75%	8.48%	9.79%	9.06%	7.57%	7.48%	8.13%	10.18%	7.04%	9.36%	8.42%	8.16%	9.69%	9.20%	8.18%	6.85%	8.46%	15.38%	7.78%	0.00%	19.72%					
																																																																																							
24	Против всех	4031	70	44	35	56	80	45	87	65	62	48	45	51	47	52	56	48	57	52	82	38	51	47	44	47	0	46	56	50	38	58	87	45	55	50	38	44	41	54	2	76	35	53	59	41	59	49	68	66	61	42	60	59	56	42	40	32	60	73	67	33	49	43	48	42	81	64	55	72	47	53	58	95	89	77	1	25	0	9	3	16					
		3.77%	3.90%	3.62%	3.55%	3.91%	5.07%	2.86%	5.44%	4.62%	4.16%	3.75%	3.24%	3.59%	3.71%	3.03%	3.89%	4.00%	3.24%	4.91%	4.62%	3.48%	3.33%	4.12%	3.55%	3.53%	0.00%	4.98%	4.00%	3.47%	3.83%	3.71%	5.12%	2.96%	5.36%	3.36%	3.02%	2.57%	2.69%	4.56%	1.34%	4.43%	2.51%	3.05%	4.09%	2.93%	4.34%	3.11%	4.11%	4.66%	3.63%	3.57%	3.84%	3.50%	3.46%	3.26%	3.94%	2.98%	4.11%	4.07%	3.63%	3.19%	3.55%	2.92%	3.95%	3.21%	4.30%	3.19%	2.98%	4.16%	2.93%	3.66%	4.26%	6.35%	4.68%	4.01%	0.68%	3.26%	0.00%	2.69%	4.23%	4.51%					
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
