Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Параньгинская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464									
		0.15%	0.00%	0.00%	0.09%	0.22%	0.77%	0.20%	0.00%	0.00%	0.27%	0.19%	0.00%	0.22%	0.00%	0.60%	0.00%	0.36%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	69	0	6	12	9	3	1	3	0	1	6	1	6	3	8	3	7									
		0.93%	0.00%	0.77%	1.14%	2.01%	1.15%	0.20%	1.19%	0.00%	0.27%	1.15%	0.91%	1.31%	1.03%	2.41%	0.68%	2.51%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
