Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Ковылкинская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372									
17	Число утраченных избирательных бюллетеней	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	4	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	56	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	11	5	5	1	0	3	2	2	1									
		0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.61%	0.00%	1.28%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.28%	0.73%	0.29%	0.31%	0.06%	0.00%	0.20%	0.29%	0.33%	0.44%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	85	0	0	0	0	0	11	0	2	0	2	0	0	4	0	0	0	3	0	0	7	4	0	0	5	0	11	3	0	0	0	1	0	6	0	0	0	1	0	0	0	2	0	0	1	0	3	4	2	3	1	3	3	1	2	0									
		0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	2.76%	0.00%	0.20%	0.00%	0.38%	0.00%	0.00%	1.04%	0.00%	0.00%	0.00%	2.08%	0.00%	0.00%	1.86%	2.26%	0.00%	0.00%	1.52%	0.00%	1.28%	0.96%	0.00%	0.00%	0.00%	0.29%	0.00%	1.20%	0.00%	0.00%	0.00%	0.72%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.16%	0.00%	0.42%	0.27%	0.12%	0.19%	0.06%	0.18%	0.20%	0.14%	0.33%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	63	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	1	0	2	20	2	3	2	9	1	0	1	0									
		0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	2.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.28%	1.33%	0.12%	0.19%	0.12%	0.53%	0.07%	0.00%	0.16%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	26521	176	162	324	97	178	374	266	867	166	501	106	172	353	500	631	963	130	424	313	343	169	126	243	275	152	732	295	119	94	147	316	339	458	143	194	314	130	247	829	205	313	572	997	561	640	664	1307	1569	1471	1549	1543	1368	639	545	210									
		91.53%	94.62%	92.57%	92.05%	92.38%	92.23%	93.97%	91.41%	88.20%	95.95%	94.89%	91.38%	94.51%	92.17%	92.59%	91.45%	91.98%	90.28%	93.19%	93.71%	91.22%	95.48%	95.45%	94.92%	83.33%	95.00%	85.41%	94.25%	95.97%	97.92%	94.23%	92.94%	92.62%	91.24%	92.26%	91.08%	87.96%	94.20%	92.51%	92.01%	94.04%	93.71%	98.62%	93.88%	92.12%	84.99%	92.09%	87.02%	91.81%	92.34%	92.09%	91.03%	91.44%	92.21%	89.79%	91.70%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	15	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	3	0	0	1	0									
		0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.13%	0.00%	0.06%	0.06%	0.18%	0.00%	0.00%	0.16%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	2	2	1	0	1	1									
		0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.13%	0.12%	0.12%	0.07%	0.00%	0.16%	0.44%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	710	3	7	11	3	6	10	8	11	4	10	4	5	10	16	20	15	4	13	8	4	3	3	8	21	4	32	9	2	1	4	10	10	7	5	6	13	3	8	27	6	10	3	20	17	23	19	48	45	14	30	41	45	20	16	5									
		2.45%	1.61%	4.00%	3.13%	2.86%	3.11%	2.51%	2.75%	1.12%	2.31%	1.89%	3.45%	2.75%	2.61%	2.96%	2.90%	1.43%	2.78%	2.86%	2.40%	1.06%	1.69%	2.27%	3.13%	6.36%	2.50%	3.73%	2.88%	1.61%	1.04%	2.56%	2.94%	2.73%	1.39%	3.23%	2.82%	3.64%	2.17%	2.99%	2.99%	2.75%	2.99%	0.52%	1.88%	2.79%	3.05%	2.64%	3.20%	2.63%	0.88%	1.78%	2.42%	3.01%	2.89%	2.64%	2.18%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	1	2	2	0	1	0									
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.07%	0.00%	0.13%	0.06%	0.12%	0.13%	0.00%	0.16%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	1	2	4	2	0	2	0									
		0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.13%	0.12%	0.06%	0.12%	0.24%	0.13%	0.00%	0.33%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	2	0	1	0									
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.06%	0.06%	0.12%	0.13%	0.00%	0.16%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	1	2	3	0	0	2	0									
		0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	1.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.07%	0.12%	0.06%	0.12%	0.18%	0.00%	0.00%	0.33%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	909	5	6	13	3	6	2	10	100	1	8	4	5	13	17	22	48	4	12	10	0	0	3	5	15	4	37	4	3	1	5	11	10	19	5	5	12	4	8	27	7	9	5	25	19	34	22	45	49	69	31	33	47	21	17	9									
		3.14%	2.69%	3.43%	3.69%	2.86%	3.11%	0.50%	3.44%	10.17%	0.58%	1.52%	3.45%	2.75%	3.39%	3.15%	3.19%	4.58%	2.78%	2.64%	2.99%	0.00%	0.00%	2.27%	1.95%	4.55%	2.50%	4.32%	1.28%	2.42%	1.04%	3.21%	3.24%	2.73%	3.78%	3.23%	2.35%	3.36%	2.90%	2.99%	2.99%	3.21%	2.69%	0.86%	2.35%	3.12%	4.52%	3.05%	2.99%	2.87%	4.33%	1.84%	1.95%	3.14%	3.03%	2.80%	3.93%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	30	6	2	1	1	0	0	2	0									
		0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	1.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	1.99%	0.35%	0.13%	0.06%	0.06%	0.00%	0.00%	0.33%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	389	2	0	4	2	3	1	4	3	2	2	2	0	3	7	8	15	0	6	3	3	1	0	0	12	0	11	1	0	0	0	1	7	0	2	3	18	0	4	18	0	0	0	16	5	8	9	24	24	15	56	37	22	10	12	3									
		1.34%	1.08%	0.00%	1.14%	1.90%	1.55%	0.25%	1.37%	0.31%	1.16%	0.38%	1.72%	0.00%	0.78%	1.30%	1.16%	1.43%	0.00%	1.32%	0.90%	0.80%	0.56%	0.00%	0.00%	3.64%	0.00%	1.28%	0.32%	0.00%	0.00%	0.00%	0.29%	1.91%	0.00%	1.29%	1.41%	5.04%	0.00%	1.50%	1.99%	0.00%	0.00%	0.00%	1.51%	0.82%	1.06%	1.25%	1.60%	1.40%	0.94%	3.33%	2.18%	1.47%	1.44%	1.98%	1.31%									
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
