Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																											
Дата голосования: 07.12.2003 0:00:00																																																																											
																																																																											
Наименование Избирательной комиссии:    Илишевская																																																																											
																																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																											
																																																																											
		Сумма	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	294	6	1	3	7	3	1	7	3	4	3	1	4	3	3	4	6	1	1	3	3	9	3	1	7	3	1	6	3	2	7	3	2	1	7	4	6	3	5	5	4	1	3	5	2	1	3	10	5	3	7	1	1	5	6	6	2	0	1	10	1	7	7	3	5	14	7	13	16					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	94	3	0	2	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	0	2	1	0	4	2	0	1	0	1	0	0	0	0	0	0	2	0	3	1	0	0	0	0	0	1	0	0	0	0	3	0	0	3	1	0	2	0	1	1	0	2	1	2	2	14	5	13	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	167	7	3	2	3	6	0	3	0	2	3	1	1	2	0	2	4	1	1	1	1	2	2	2	1	0	2	4	2	1	6	2	1	1	2	3	1	2	0	4	0	5	2	0	1	4	3	7	4	5	3	1	1	1	0	1	1	3	2	2	1	5	1	1	7	8	5	4	8					
14	Число погашенных открепительных удостоверений	200	3	1	1	7	3	1	7	3	0	3	1	4	3	3	3	5	1	1	3	3	7	2	1	3	1	1	5	3	1	7	3	2	1	7	4	4	3	2	4	4	1	3	5	2	0	3	10	5	3	4	1	1	2	5	6	0	0	0	9	1	5	6	1	3	0	2	0	1					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																											
18	"1. ""ЕДИНЕНИЕ"""	1086	33	3	5	10	10	7	13	14	22	27	8	19	8	11	7	23	2	12	9	13	36	8	2	21	11	5	25	0	12	15	16	7	1	19	14	12	3	22	23	21	7	7	22	11	5	8	35	22	13	27	1	1	17	27	19	15	11	27	31	3	14	27	13	36	27	42	40	49					
		4.58%	8.10%	2.52%	2.23%	1.83%	4.34%	4.76%	2.62%	7.90%	6.50%	9.67%	10.12%	6.10%	4.34%	4.36%	1.78%	3.94%	2.19%	12.37%	3.81%	6.04%	6.08%	4.67%	1.69%	4.62%	3.92%	5.49%	6.59%	0.0%	7.79%	3.37%	5.75%	4.92%	2.0%	3.42%	4.68%	2.77%	1.32%	5.82%	6.23%	8.50%	7.44%	3.28%	6.11%	7.69%	4.54%	4.70%	5.90%	7.14%	8.84%	5.92%	0.98%	1.28%	4.68%	7.47%	3.86%	3.98%	3.98%	5.15%	5.40%	3.70%	5.24%	9.54%	7.18%	3.13%	2.33%	3.49%	3.38%	4.09%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	380	0	3	0	26	11	3	10	3	2	3	1	2	1	0	4	7	1	1	2	5	3	1	2	6	4	3	7	0	0	3	4	0	1	2	2	5	0	5	5	1	1	3	3	4	3	2	3	4	4	6	0	0	8	6	3	7	2	8	7	0	3	1	7	37	33	40	18	28					
		1.60%	0.0%	2.52%	0.0%	4.76%	4.78%	2.04%	2.02%	1.69%	0.59%	1.07%	1.26%	0.64%	0.54%	0.0%	1.02%	1.20%	1.09%	1.03%	0.84%	2.32%	0.50%	0.58%	1.69%	1.32%	1.42%	3.29%	1.84%	0.0%	0.0%	0.67%	1.43%	0.0%	2.0%	0.36%	0.66%	1.15%	0.0%	1.32%	1.35%	0.40%	1.06%	1.40%	0.83%	2.79%	2.72%	1.17%	0.50%	1.29%	2.72%	1.31%	0.0%	0.0%	2.20%	1.66%	0.60%	1.86%	0.72%	1.52%	1.21%	0.0%	1.12%	0.35%	3.86%	3.21%	2.84%	3.32%	1.52%	2.33%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	626	9	1	3	21	10	2	25	9	12	11	2	12	2	8	4	20	2	0	9	5	19	2	3	11	10	5	12	7	6	6	5	4	0	10	5	5	1	9	6	15	3	3	10	1	2	3	12	9	3	7	0	1	6	7	13	11	9	15	19	1	11	15	12	26	36	28	24	31					
		2.64%	2.21%	0.84%	1.33%	3.84%	4.34%	1.36%	5.05%	5.08%	3.55%	3.94%	2.53%	3.85%	1.08%	3.17%	1.02%	3.43%	2.19%	0.0%	3.81%	2.32%	3.20%	1.16%	2.54%	2.42%	3.57%	5.49%	3.16%	3.38%	3.89%	1.35%	1.79%	2.81%	0.0%	1.80%	1.67%	1.15%	0.44%	2.38%	1.62%	6.07%	3.19%	1.40%	2.77%	0.69%	1.81%	1.76%	2.02%	2.92%	2.04%	1.53%	0.0%	1.28%	1.65%	1.93%	2.64%	2.92%	3.26%	2.86%	3.31%	1.23%	4.11%	5.30%	6.62%	2.26%	3.10%	2.32%	2.03%	2.58%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	334	0	5	0	11	3	1	7	4	8	1	1	6	0	1	4	6	0	1	0	0	9	0	3	3	4	0	2	0	0	2	6	0	3	1	0	4	2	6	9	6	0	4	5	2	0	1	1	9	4	6	1	0	5	2	3	8	3	11	7	3	8	2	3	24	37	15	17	34					
		1.40%	0.0%	4.20%	0.0%	2.01%	1.30%	0.68%	1.41%	2.25%	2.36%	0.35%	1.26%	1.92%	0.0%	0.39%	1.02%	1.02%	0.0%	1.03%	0.0%	0.0%	1.52%	0.0%	2.54%	0.66%	1.42%	0.0%	0.52%	0.0%	0.0%	0.45%	2.15%	0.0%	6.0%	0.18%	0.0%	0.92%	0.88%	1.58%	2.43%	2.42%	0.0%	1.87%	1.38%	1.39%	0.0%	0.58%	0.16%	2.92%	2.72%	1.31%	0.98%	0.0%	1.37%	0.55%	0.60%	2.12%	1.08%	2.09%	1.21%	3.70%	2.99%	0.70%	1.65%	2.08%	3.19%	1.24%	1.43%	2.83%					
22	"5. ""За Русь Святую"""	80	0	0	0	5	4	0	0	4	1	1	0	3	0	0	1	3	0	2	0	1	1	1	0	1	0	0	1	0	0	1	1	0	0	0	1	0	2	0	1	0	0	1	2	0	0	0	1	1	1	2	0	0	5	5	1	0	1	6	3	3	2	0	1	2	1	3	0	4					
		0.33%	0.0%	0.0%	0.0%	0.91%	1.73%	0.0%	0.0%	2.25%	0.29%	0.35%	0.0%	0.96%	0.0%	0.0%	0.25%	0.51%	0.0%	2.06%	0.0%	0.46%	0.16%	0.58%	0.0%	0.22%	0.0%	0.0%	0.26%	0.0%	0.0%	0.22%	0.35%	0.0%	0.0%	0.0%	0.33%	0.0%	0.88%	0.0%	0.27%	0.0%	0.0%	0.46%	0.55%	0.0%	0.0%	0.0%	0.16%	0.32%	0.68%	0.43%	0.0%	0.0%	1.37%	1.38%	0.20%	0.0%	0.36%	1.14%	0.52%	3.70%	0.74%	0.0%	0.55%	0.17%	0.08%	0.24%	0.0%	0.33%					
23	"6. ""Объединенная Российская партия ""Русь"""	147	0	0	0	0	0	0	4	2	4	1	2	0	1	3	3	10	0	0	0	2	10	5	4	4	4	0	3	0	3	2	0	0	2	2	0	1	4	1	0	1	1	1	6	0	1	1	3	3	0	3	2	1	5	2	0	3	3	0	4	0	4	4	1	2	4	5	4	6					
		0.61%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.80%	1.12%	1.18%	0.35%	2.53%	0.0%	0.54%	1.19%	0.76%	1.71%	0.0%	0.0%	0.0%	0.93%	1.68%	2.92%	3.38%	0.88%	1.42%	0.0%	0.79%	0.0%	1.94%	0.45%	0.0%	0.0%	4.0%	0.36%	0.0%	0.23%	1.76%	0.26%	0.0%	0.40%	1.06%	0.46%	1.66%	0.0%	0.90%	0.58%	0.50%	0.97%	0.0%	0.65%	1.96%	1.28%	1.37%	0.55%	0.0%	0.79%	1.08%	0.0%	0.69%	0.0%	1.49%	1.41%	0.55%	0.17%	0.34%	0.41%	0.33%	0.50%					
24	"7. ""Новый курс - Автомобильная Россия"""	249	0	0	0	5	2	0	3	3	5	2	1	0	2	2	9	3	0	1	0	2	11	0	0	3	1	0	3	0	1	4	2	2	0	3	1	1	2	2	4	1	2	0	0	0	1	1	3	2	2	1	0	0	3	3	4	5	1	6	5	0	2	4	1	13	55	15	18	21					
		1.05%	0.0%	0.0%	0.0%	0.91%	0.86%	0.0%	0.60%	1.69%	1.47%	0.71%	1.26%	0.0%	1.08%	0.79%	2.29%	0.51%	0.0%	1.03%	0.0%	0.93%	1.85%	0.0%	0.0%	0.66%	0.35%	0.0%	0.79%	0.0%	0.64%	0.90%	0.71%	1.40%	0.0%	0.54%	0.33%	0.23%	0.88%	0.52%	1.08%	0.40%	2.12%	0.0%	0.0%	0.0%	0.90%	0.58%	0.50%	0.64%	1.36%	0.21%	0.0%	0.0%	0.82%	0.83%	0.81%	1.32%	0.36%	1.14%	0.87%	0.0%	0.74%	1.41%	0.55%	1.13%	4.74%	1.24%	1.52%	1.75%					
25	"8. ""Народно-республиканская партия России"""	129	1	1	0	1	1	2	4	2	4	5	2	1	0	3	3	3	0	0	3	1	3	1	0	7	4	0	1	0	1	0	0	2	0	3	2	1	6	3	1	4	0	1	0	0	1	1	2	1	1	1	0	1	2	2	1	1	1	5	3	1	3	0	0	9	6	2	4	4					
		0.54%	0.24%	0.84%	0.0%	0.18%	0.43%	1.36%	0.80%	1.12%	1.18%	1.79%	2.53%	0.32%	0.0%	1.19%	0.76%	0.51%	0.0%	0.0%	1.27%	0.46%	0.50%	0.58%	0.0%	1.54%	1.42%	0.0%	0.26%	0.0%	0.64%	0.0%	0.0%	1.40%	0.0%	0.54%	0.66%	0.23%	2.65%	0.79%	0.27%	1.61%	0.0%	0.46%	0.0%	0.0%	0.90%	0.58%	0.33%	0.32%	0.68%	0.21%	0.0%	1.28%	0.55%	0.55%	0.20%	0.26%	0.36%	0.95%	0.52%	1.23%	1.12%	0.0%	0.0%	0.78%	0.51%	0.16%	0.33%	0.33%					
26	"9. ""Российская экологическая партия ""Зеленые"""	60	0	1	0	0	1	0	0	1	0	2	0	4	0	0	2	1	1	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2	1	2	1	0	0	1	1	1	1	0	0	2	1	4	1	0	0	1	0	2	1	1	2	1	2	0	12					
		0.25%	0.0%	0.84%	0.0%	0.0%	0.43%	0.0%	0.0%	0.56%	0.0%	0.71%	0.0%	1.28%	0.0%	0.0%	0.51%	0.17%	1.09%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.40%	2.12%	0.46%	0.55%	0.69%	0.0%	0.0%	0.16%	0.32%	0.68%	0.21%	0.0%	0.0%	0.55%	0.27%	0.81%	0.26%	0.0%	0.0%	0.17%	0.0%	0.74%	0.35%	0.55%	0.17%	0.08%	0.16%	0.0%	1.00%					
27	"10. ""Аграрная партия России"""	1786	20	3	6	39	28	11	59	8	41	38	4	35	13	24	29	54	7	5	22	14	36	16	0	41	16	4	30	13	15	31	15	21	0	28	15	34	11	30	56	19	9	32	40	4	4	8	36	15	27	30	1	3	17	18	46	27	14	32	23	6	58	20	27	59	74	66	82	117					
		7.53%	4.91%	2.52%	2.67%	7.14%	12.17%	7.48%	11.91%	4.51%	12.13%	13.62%	5.06%	11.25%	7.06%	9.52%	7.39%	9.26%	7.69%	5.15%	9.32%	6.51%	6.08%	9.35%	0.0%	9.03%	5.71%	4.39%	7.91%	6.28%	9.74%	6.98%	5.39%	14.78%	0.0%	5.04%	5.01%	7.85%	4.86%	7.93%	15.17%	7.69%	9.57%	15.02%	11.11%	2.79%	3.63%	4.70%	6.07%	4.87%	18.36%	6.57%	0.98%	3.84%	4.68%	4.98%	9.34%	7.18%	5.07%	6.10%	4.00%	7.40%	21.72%	7.06%	14.91%	5.13%	6.39%	5.49%	6.94%	9.76%					
28	"11. ""Истинные патриоты России"""	112	0	0	0	3	0	0	0	1	1	2	0	2	0	0	1	0	3	0	2	1	2	0	0	10	1	0	0	0	4	0	0	1	1	4	5	0	2	1	1	1	0	0	3	2	0	0	0	0	0	5	0	0	5	0	4	0	1	1	2	0	2	2	0	8	4	10	8	6					
		0.47%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.56%	0.29%	0.71%	0.0%	0.64%	0.0%	0.0%	0.25%	0.0%	3.29%	0.0%	0.84%	0.46%	0.33%	0.0%	0.0%	2.20%	0.35%	0.0%	0.0%	0.0%	2.59%	0.0%	0.0%	0.70%	2.0%	0.72%	1.67%	0.0%	0.88%	0.26%	0.27%	0.40%	0.0%	0.0%	0.83%	1.39%	0.0%	0.0%	0.0%	0.0%	0.0%	1.09%	0.0%	0.0%	1.37%	0.0%	0.81%	0.0%	0.36%	0.19%	0.34%	0.0%	0.74%	0.70%	0.0%	0.69%	0.34%	0.83%	0.67%	0.50%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	234	0	0	1	4	6	1	13	6	5	3	0	2	1	4	8	10	1	0	1	0	2	0	0	4	3	0	1	0	1	1	4	2	0	5	1	5	3	0	1	2	2	4	4	0	3	0	3	4	2	3	0	1	5	3	6	6	2	0	12	4	3	1	1	13	14	19	0	18					
		0.98%	0.0%	0.0%	0.44%	0.73%	2.60%	0.68%	2.62%	3.38%	1.47%	1.07%	0.0%	0.64%	0.54%	1.58%	2.04%	1.71%	1.09%	0.0%	0.42%	0.0%	0.33%	0.0%	0.0%	0.88%	1.07%	0.0%	0.26%	0.0%	0.64%	0.22%	1.43%	1.40%	0.0%	0.90%	0.33%	1.15%	1.32%	0.0%	0.27%	0.80%	2.12%	1.87%	1.11%	0.0%	2.72%	0.0%	0.50%	1.29%	1.36%	0.65%	0.0%	1.28%	1.37%	0.83%	1.21%	1.59%	0.72%	0.0%	2.09%	4.93%	1.12%	0.35%	0.55%	1.13%	1.20%	1.58%	0.0%	1.50%					
30	"13. ""Демократическая партия России"""	156	3	0	0	5	1	1	5	3	1	2	2	0	2	0	7	10	0	0	0	2	3	2	2	3	0	0	2	0	0	4	1	0	0	2	3	5	1	0	0	0	1	2	3	0	0	0	8	4	2	14	0	0	1	3	4	0	3	7	2	0	0	2	1	7	2	2	11	5					
		0.65%	0.73%	0.0%	0.0%	0.91%	0.43%	0.68%	1.01%	1.69%	0.29%	0.71%	2.53%	0.0%	1.08%	0.0%	1.78%	1.71%	0.0%	0.0%	0.0%	0.93%	0.50%	1.16%	1.69%	0.66%	0.0%	0.0%	0.52%	0.0%	0.0%	0.90%	0.35%	0.0%	0.0%	0.36%	1.00%	1.15%	0.44%	0.0%	0.0%	0.0%	1.06%	0.93%	0.83%	0.0%	0.0%	0.0%	1.34%	1.29%	1.36%	3.07%	0.0%	0.0%	0.27%	0.83%	0.81%	0.0%	1.08%	1.33%	0.34%	0.0%	0.0%	0.70%	0.55%	0.60%	0.17%	0.16%	0.93%	0.41%					
31	"14. ""Великая Россия - Евразийский Союз"""	104	1	0	0	4	1	0	3	2	2	1	0	2	1	1	3	3	0	1	0	0	3	1	1	3	2	0	0	0	2	3	0	0	1	2	1	4	1	0	1	3	0	1	0	0	1	1	1	1	0	1	0	0	3	1	1	1	2	0	5	0	1	1	1	4	4	4	15	2					
		0.43%	0.24%	0.0%	0.0%	0.73%	0.43%	0.0%	0.60%	1.12%	0.59%	0.35%	0.0%	0.64%	0.54%	0.39%	0.76%	0.51%	0.0%	1.03%	0.0%	0.0%	0.50%	0.58%	0.84%	0.66%	0.71%	0.0%	0.0%	0.0%	1.29%	0.67%	0.0%	0.0%	2.0%	0.36%	0.33%	0.92%	0.44%	0.0%	0.27%	1.21%	0.0%	0.46%	0.0%	0.0%	0.90%	0.58%	0.16%	0.32%	0.0%	0.21%	0.0%	0.0%	0.82%	0.27%	0.20%	0.26%	0.72%	0.0%	0.87%	0.0%	0.37%	0.35%	0.55%	0.34%	0.34%	0.33%	1.27%	0.16%					
32	"15. ""Партия СЛОН"""	90	0	1	0	0	1	0	4	2	1	2	0	1	1	1	3	1	2	0	0	1	3	1	0	0	1	0	0	0	2	0	0	4	1	2	0	2	0	1	0	0	1	0	0	0	0	2	0	3	1	2	0	2	3	0	1	1	2	2	8	0	1	3	2	0	5	6	4	3					
		0.37%	0.0%	0.84%	0.0%	0.0%	0.43%	0.0%	0.80%	1.12%	0.29%	0.71%	0.0%	0.32%	0.54%	0.39%	0.76%	0.17%	2.19%	0.0%	0.0%	0.46%	0.50%	0.58%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	1.29%	0.0%	0.0%	2.81%	2.0%	0.36%	0.0%	0.46%	0.0%	0.26%	0.0%	0.0%	1.06%	0.0%	0.0%	0.0%	0.0%	1.17%	0.0%	0.97%	0.68%	0.43%	0.0%	2.56%	0.82%	0.0%	0.20%	0.26%	0.72%	0.38%	1.39%	0.0%	0.37%	1.06%	1.10%	0.0%	0.43%	0.49%	0.33%	0.25%					
33	"16. ""Родина"" (народно-патриотический союз)"""	834	2	0	4	60	15	3	19	3	8	10	0	12	3	11	14	24	1	1	3	1	19	7	2	9	9	7	4	7	4	5	5	1	0	8	7	3	4	3	6	8	2	10	19	7	63	11	12	3	4	0	0	1	10	6	9	9	6	32	14	3	10	9	16	60	56	55	54	41					
		3.51%	0.49%	0.0%	1.78%	10.98%	6.52%	2.04%	3.83%	1.69%	2.36%	3.58%	0.0%	3.85%	1.63%	4.36%	3.57%	4.11%	1.09%	1.03%	1.27%	0.46%	3.20%	4.09%	1.69%	1.98%	3.21%	7.69%	1.05%	3.38%	2.59%	1.12%	1.79%	0.70%	0.0%	1.44%	2.34%	0.69%	1.76%	0.79%	1.62%	3.23%	2.12%	4.69%	5.27%	4.89%	57.27%	6.47%	2.02%	0.97%	2.72%	0.0%	0.0%	1.28%	2.75%	1.66%	1.82%	2.39%	2.17%	6.10%	2.43%	3.70%	3.74%	3.18%	8.83%	5.21%	4.83%	4.57%	4.57%	3.42%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	334	3	1	1	3	1	0	6	0	2	2	0	4	2	7	3	21	1	0	3	7	10	6	1	12	10	7	2	0	3	2	2	1	2	2	4	8	4	5	3	6	2	6	4	1	0	1	7	9	5	6	1	1	8	14	6	6	5	6	10	0	5	5	5	17	10	16	9	12					
		1.40%	0.73%	0.84%	0.44%	0.54%	0.43%	0.0%	1.21%	0.0%	0.59%	0.71%	0.0%	1.28%	1.08%	2.77%	0.76%	3.60%	1.09%	0.0%	1.27%	3.25%	1.68%	3.50%	0.84%	2.64%	3.57%	7.69%	0.52%	0.0%	1.94%	0.45%	0.71%	0.70%	4.0%	0.36%	1.33%	1.84%	1.76%	1.32%	0.81%	2.42%	2.12%	2.81%	1.11%	0.69%	0.0%	0.58%	1.18%	2.92%	3.40%	1.31%	0.98%	1.28%	2.20%	3.87%	1.21%	1.59%	1.81%	1.14%	1.74%	0.0%	1.87%	1.76%	2.76%	1.47%	0.86%	1.33%	0.76%	1.00%					
35	"18. ""ЛДПР"""	1723	11	2	0	54	21	15	41	11	46	12	4	10	3	12	29	25	3	8	9	7	32	4	7	33	9	9	21	12	10	16	19	13	2	20	4	27	12	22	16	13	4	16	15	17	11	4	46	11	6	26	3	2	23	29	41	46	22	48	67	1	27	11	6	113	98	127	142	137					
		7.26%	2.70%	1.68%	0.0%	9.89%	9.13%	10.20%	8.28%	6.21%	13.60%	4.30%	5.06%	3.21%	1.63%	4.76%	7.39%	4.28%	3.29%	8.24%	3.81%	3.25%	5.40%	2.33%	5.93%	7.26%	3.21%	9.89%	5.54%	5.79%	6.49%	3.60%	6.83%	9.15%	4.0%	3.60%	1.33%	6.23%	5.30%	5.82%	4.33%	5.26%	4.25%	7.51%	4.16%	11.88%	10.0%	2.35%	7.75%	3.57%	4.08%	5.70%	2.94%	2.56%	6.33%	8.03%	8.33%	12.23%	7.97%	9.16%	11.67%	1.23%	10.11%	3.88%	3.31%	9.82%	8.46%	10.56%	12.02%	11.43%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	457	3	0	2	9	4	2	9	3	7	9	1	4	4	10	4	21	3	3	2	8	7	2	2	22	3	2	11	0	2	13	2	2	1	2	7	15	3	4	6	9	3	3	7	2	0	1	12	4	6	13	1	1	5	5	7	8	6	0	13	1	4	1	1	6	29	49	25	21					
		1.92%	0.73%	0.0%	0.89%	1.64%	1.73%	1.36%	1.81%	1.69%	2.07%	3.22%	1.26%	1.28%	2.17%	3.96%	1.02%	3.60%	3.29%	3.09%	0.84%	3.72%	1.18%	1.16%	1.69%	4.84%	1.07%	2.19%	2.90%	0.0%	1.29%	2.92%	0.71%	1.40%	2.0%	0.36%	2.34%	3.46%	1.32%	1.05%	1.62%	3.64%	3.19%	1.40%	1.94%	1.39%	0.0%	0.58%	2.02%	1.29%	4.08%	2.85%	0.98%	1.28%	1.37%	1.38%	1.42%	2.12%	2.17%	0.0%	2.26%	1.23%	1.49%	0.35%	0.55%	0.52%	2.50%	4.07%	2.11%	1.75%					
37	"20. ""Политическая партия ""Единая Россия"""	9961	298	81	189	151	70	64	126	40	71	95	28	103	80	84	181	227	50	47	128	106	213	70	67	157	111	32	190	114	69	192	127	59	28	381	175	234	110	180	150	85	40	77	131	73	6	113	350	171	48	231	85	57	181	181	221	169	121	238	193	48	70	123	58	431	405	369	427	381					
