Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																				
Дата голосования: 04.12.2011																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Орехово-Зуевская																																																																																				
																																																																																				
Сводная таблица результатов выборов																																																																																				
																																																																																				
		Сумма	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1536	29	44	40	37	42	48	31	39	44	11	35	40	12	37	23	30	30	31	43	35	17	25	22	25	30	25	14	4	20	18	24	3	3	3	12	20	6	8	2	5	13	19	52	41	41	27	11	27	24	0	1	45	45	15	10	11	1	2	5	14	0	5	4	2	8	2	23	29	20	24	3	0	16	6	6	12	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	882	18	10	4	7	6	8	6	11	38	3	21	10	66	11	11	12	15	15	25	10	12	10	13	13	14	17	9	6	7	6	7	3	14	8	17	12	6	3	17	11	10	10	10	12	6	2	31	20	8	22	8	12	4	4	8	10	5	1	7	7	10	7	3	2	9	15	22	4	4	7	4	10	18	11	14	18	15					
14	Число погашенных неиспользованных открепительных удостоверений	520	31	16	20	23	8	12	9	1	6	9	0	0	8	3	7	0	0	4	6	5	3	4	6	5	0	0	6	6	0	2	1	7	7	12	8	0	4	12	8	5	2	1	3	4	4	13	9	3	6	10	9	0	0	5	0	4	9	8	5	6	10	5	6	8	12	8	7	11	20	6	12	15	4	14	4	8	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	1	0	0	0	1	1	1	0	0	0	0	3	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6269	146	130	88	132	143	148	57	141	168	50	73	49	44	145	148	176	197	185	182	145	61	71	178	145	185	103	24	12	63	68	91	23	11	18	54	47	20	33	31	32	61	76	156	163	161	155	43	200	171	29	26	180	88	31	13	25	16	20	26	13	21	33	19	10	31	20	131	149	50	49	19	28	13	38	54	100	34					
		15.08%	15.48%	14.27%	11.38%	13.72%	16.05%	14.18%	11.80%	14.16%	15.67%	9.58%	11.28%	13.84%	7.11%	16.69%	15.12%	18.64%	17.73%	17.81%	18.18%	13.94%	13.20%	12.75%	15.36%	13.81%	15.89%	17.08%	22.22%	12.90%	14.79%	15.32%	13.36%	11.22%	12.09%	14.88%	14.48%	14.33%	13.33%	18.03%	15.35%	14.29%	12.98%	17.84%	15.92%	14.82%	18.36%	17.80%	13.07%	16.60%	16.99%	15.76%	14.61%	16.81%	15.91%	12.11%	7.30%	13.97%	7.80%	14.29%	11.76%	10.16%	14.48%	18.64%	19.39%	8.77%	15.27%	14.93%	18.82%	15.17%	11.79%	12.31%	11.95%	18.30%	4.89%	13.87%	19.35%	19.16%	19.10%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	6308	171	181	135	158	121	186	60	136	146	82	92	61	53	115	152	125	154	152	138	174	89	84	179	147	155	136	11	26	58	74	116	27	19	13	61	59	17	24	29	31	63	47	149	216	140	161	57	181	138	25	24	167	95	43	30	32	14	18	29	18	22	21	10	8	26	17	91	147	48	47	18	13	35	49	36	91	35					
		15.17%	18.13%	19.87%	17.46%	16.42%	13.58%	17.82%	12.42%	13.65%	13.62%	15.71%	14.22%	17.23%	8.56%	13.23%	15.53%	13.24%	13.86%	14.63%	13.79%	16.73%	19.26%	15.08%	15.44%	14.00%	13.32%	22.55%	10.19%	27.96%	13.62%	16.67%	17.03%	13.17%	20.88%	10.74%	16.35%	17.99%	11.33%	13.11%	14.36%	13.84%	13.40%	11.03%	15.20%	19.64%	15.96%	18.48%	17.33%	15.02%	13.72%	13.59%	13.48%	15.59%	17.18%	16.80%	16.85%	17.88%	6.83%	12.86%	13.12%	14.06%	15.17%	11.86%	10.20%	7.02%	12.81%	12.69%	13.07%	14.97%	11.32%	11.81%	11.32%	8.50%	13.16%	17.88%	12.90%	17.43%	19.66%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	429	8	4	4	13	9	11	4	13	6	4	3	6	8	7	12	8	16	14	7	15	3	6	8	7	14	6	0	0	6	3	7	1	1	1	0	3	3	3	2	3	4	0	19	14	11	8	4	9	15	5	1	14	9	4	3	2	1	1	2	4	1	1	1	2	0	0	6	8	4	6	2	2	3	2	3	7	2					
		1.03%	0.85%	0.44%	0.52%	1.35%	1.01%	1.05%	0.83%	1.31%	0.56%	0.77%	0.46%	1.69%	1.29%	0.81%	1.23%	0.85%	1.44%	1.35%	0.70%	1.44%	0.65%	1.08%	0.69%	0.67%	1.20%	0.99%	0.00%	0.00%	1.41%	0.68%	1.03%	0.49%	1.10%	0.83%	0.00%	0.91%	2.00%	1.64%	0.99%	1.34%	0.85%	0.00%	1.94%	1.27%	1.25%	0.92%	1.22%	0.75%	1.49%	2.72%	0.56%	1.31%	1.63%	1.56%	1.69%	1.12%	0.49%	0.71%	0.90%	3.13%	0.69%	0.56%	1.02%	1.75%	0.00%	0.00%	0.86%	0.81%	0.94%	1.51%	1.26%	1.31%	1.13%	0.73%	1.08%	1.34%	1.12%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	10254	170	133	169	205	210	224	91	226	266	137	131	65	67	196	249	264	314	280	247	287	120	165	365	412	390	143	40	11	138	126	165	58	23	33	88	69	41	37	48	85	152	128	243	263	205	185	83	374	362	44	60	232	113	35	24	24	26	26	42	23	35	29	11	30	47	33	146	274	73	83	34	40	80	41	54	93	19					
		24.66%	18.03%	14.60%	21.86%	21.31%	23.57%	21.46%	18.84%	22.69%	24.81%	26.25%	20.25%	18.36%	10.82%	22.55%	25.43%	27.97%	28.26%	26.95%	24.68%	27.60%	25.97%	29.62%	31.49%	39.24%	33.51%	23.71%	37.04%	11.83%	32.39%	28.38%	24.23%	28.29%	25.27%	27.27%	23.59%	21.04%	27.33%	20.22%	23.76%	37.95%	32.34%	30.05%	24.80%	23.91%	23.38%	21.24%	25.23%	31.04%	35.98%	23.91%	33.71%	21.66%	20.43%	13.67%	13.48%	13.41%	12.68%	18.57%	19.00%	17.97%	24.14%	16.38%	11.22%	26.32%	23.15%	24.63%	20.98%	27.90%	17.22%	20.85%	21.38%	26.14%	30.08%	14.96%	19.35%	17.82%	10.67%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1343	38	38	38	55	28	30	13	51	45	15	18	11	10	24	38	29	45	34	26	27	9	31	48	28	50	10	1	3	8	6	18	12	4	2	4	6	2	3	3	7	10	13	26	43	34	37	13	56	34	6	13	31	14	0	4	1	2	4	4	2	0	7	1	4	3	4	12	35	8	15	4	5	8	2	3	9	8					
		3.23%	4.03%	4.17%	4.92%	5.72%	3.14%	2.87%	2.69%	5.12%	4.20%	2.87%	2.78%	3.11%	1.62%	2.76%	3.88%	3.07%	4.05%	3.27%	2.60%	2.60%	1.95%	5.57%	4.14%	2.67%	4.30%	1.66%	0.93%	3.23%	1.88%	1.35%	2.64%	5.85%	4.40%	1.65%	1.07%	1.83%	1.33%	1.64%	1.49%	3.13%	2.13%	3.05%	2.65%	3.91%	3.88%	4.25%	3.95%	4.65%	3.38%	3.26%	7.30%	2.89%	2.53%	0.00%	2.25%	0.56%	0.98%	2.86%	1.81%	1.56%	0.00%	3.95%	1.02%	3.51%	1.48%	2.99%	1.72%	3.56%	1.89%	3.77%	2.52%	3.27%	3.01%	0.73%	1.08%	1.72%	4.49%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15081	365	378	296	358	335	415	234	384	389	222	302	152	326	338	334	296	337	330	375	320	166	182	348	267	325	175	30	38	131	146	250	73	28	50	153	125	59	75	76	58	160	141	331	348	272	290	114	331	251	66	46	400	218	136	100	89	144	70	118	63	66	73	46	51	89	56	279	334	217	171	78	60	119	131	118	196	68					
		36.27%	38.71%	41.49%	38.29%	37.21%	37.60%	39.75%	48.45%	38.55%	36.29%	42.53%	46.68%	42.94%	52.67%	38.90%	34.12%	31.36%	30.33%	31.76%	37.46%	30.77%	35.93%	32.68%	30.03%	25.43%	27.92%	29.02%	27.78%	40.86%	30.75%	32.88%	36.71%	35.61%	30.77%	41.32%	41.02%	38.11%	39.33%	40.98%	37.62%	25.89%	34.04%	33.10%	33.78%	31.64%	31.01%	33.30%	34.65%	27.47%	24.95%	35.87%	25.84%	37.35%	39.42%	53.13%	56.18%	49.72%	70.24%	50.00%	53.39%	49.22%	45.52%	41.24%	46.94%	44.74%	43.84%	41.79%	40.09%	34.01%	51.18%	42.96%	49.06%	39.22%	44.74%	47.81%	42.29%	37.55%	38.20%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	283	4	9	3	6	5	3	1	7	10	4	5	0	7	5	3	5	6	13	4	9	1	1	6	3	11	2	0	1	1	3	4	2	1	0	3	2	3	2	1	1	3	3	9	9	16	10	9	7	6	2	2	7	2	0	1	0	2	0	0	0	0	1	3	0	1	2	4	5	1	5	1	1	2	2	2	6	2					
		0.68%	0.42%	0.99%	0.39%	0.62%	0.56%	0.29%	0.21%	0.70%	0.93%	0.77%	0.77%	0.00%	1.13%	0.58%	0.31%	0.53%	0.54%	1.25%	0.40%	0.87%	0.22%	0.18%	0.52%	0.29%	0.95%	0.33%	0.00%	1.08%	0.23%	0.68%	0.59%	0.98%	1.10%	0.00%	0.80%	0.61%	2.00%	1.09%	0.50%	0.45%	0.64%	0.70%	0.92%	0.82%	1.82%	1.15%	2.74%	0.58%	0.60%	1.09%	1.12%	0.65%	0.36%	0.00%	0.56%	0.00%	0.98%	0.00%	0.00%	0.00%	0.00%	0.56%	3.06%	0.00%	0.49%	1.49%	0.57%	0.51%	0.24%	1.26%	0.63%	0.65%	0.75%	0.73%	0.72%	1.15%	1.12%					
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
