Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																						
Дата голосования: 02.12.2007																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Орехово-Зуевская																																																																																						
																																																																																						
Сводная таблица результатов выборов																																																																																						
																																																																																						
		Сумма	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1928	44	57	61	54	33	33	19	27	38	18	32	42	6	30	26	35	30	45	31	36	14	23	25	45	35	68	17	5	11	21	50	11	4	5	22	52	12	5	7	5	18	35	45	33	25	50	8	33	28	1	1	91	48	12	4	9	12	7	3	8	13	21	9	12	5	5	15	4	37	32	38	20	5	6	17	23	17	40	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	940	12	15	10	14	7	8	0	4	22	8	12	2	57	12	11	17	13	8	3	12	7	8	11	6	11	8	13	12	2	6	57	3	7	4	7	11	12	6	13	13	11	32	14	6	33	9	27	15	8	5	5	11	3	9	10	15	10	11	14	15	9	10	1	12	7	2	23	4	36	21	6	10	10	10	6	17	7	15	7					
14	Число погашенных неиспользованных открепительных удостоверений	661	12	8	9	11	22	22	9	28	17	12	0	0	20	20	29	30	15	20	4	29	21	12	10	20	0	0	0	0	14	4	0	0	0	1	0	0	3	5	3	5	12	0	20	32	30	5	7	32	27	7	7	0	0	0	0	6	0	0	0	0	0	0	0	1	1	1	2	1	5	23	0	9	5	4	0	0	3	0	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	33	3	0	1	3	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	3	1	0	0	1	1	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																						
18	1.Политическая партия «Аграрная партия России»	1330	23	39	29	18	24	13	14	25	19	14	12	14	25	20	41	29	26	27	32	26	17	27	39	40	45	41	5	3	21	14	24	8	2	5	13	9	11	7	11	14	32	25	26	22	14	12	14	39	15	8	6	35	30	3	2	3	4	5	2	8	0	6	9	14	4	3	7	0	17	43	10	12	5	2	7	8	11	32	9					
		2.50%	1.98%	3.11%	2.64%	1.47%	2.49%	1.17%	2.67%	2.41%	1.68%	2.53%	2.19%	2.68%	4.12%	2.09%	3.23%	2.12%	1.83%	1.93%	2.17%	1.97%	2.73%	3.50%	2.59%	2.69%	2.92%	5.20%	2.99%	2.27%	3.68%	2.31%	2.17%	3.23%	1.64%	3.38%	2.59%	1.72%	5.58%	2.87%	4.20%	5.34%	5.13%	3.78%	2.03%	1.59%	1.27%	1.09%	3.50%	2.85%	1.11%	4.30%	2.78%	2.47%	4.28%	0.88%	1.50%	1.38%	1.95%	2.27%	2.02%	4.00%	0.00%	3.39%	3.96%	5.91%	3.25%	2.14%	1.90%	0.00%	1.99%	3.54%	2.14%	2.37%	2.62%	1.05%	2.22%	2.42%	2.75%	4.38%	3.25%					
19	2.Всероссийская политическая партия «Гражданская Сила»	416	13	5	11	8	6	8	8	7	16	7	8	6	7	7	14	12	10	8	9	5	3	4	19	18	11	8	0	0	3	3	6	3	0	1	3	2	0	2	1	3	5	4	15	6	5	8	0	26	31	0	1	7	1	0	0	0	1	0	0	0	2	1	2	0	3	3	1	0	2	8	2	9	1	2	1	0	0	4	0					
		0.78%	1.12%	0.40%	1.00%	0.65%	0.62%	0.72%	1.53%	0.68%	1.41%	1.27%	1.46%	1.15%	1.15%	0.73%	1.10%	0.88%	0.71%	0.57%	0.61%	0.38%	0.48%	0.52%	1.26%	1.21%	0.71%	1.01%	0.00%	0.00%	0.53%	0.50%	0.54%	1.21%	0.00%	0.68%	0.60%	0.38%	0.00%	0.82%	0.38%	1.15%	0.80%	0.60%	1.17%	0.43%	0.45%	0.73%	0.00%	1.90%	2.29%	0.00%	0.46%	0.49%	0.14%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.61%	0.56%	0.88%	0.00%	2.44%	2.14%	0.27%	0.00%	0.23%	0.66%	0.43%	1.78%	0.52%	1.05%	0.32%	0.00%	0.00%	0.55%	0.00%					
20	3.Политическая партия «Демократическая партия России»	105	3	8	4	2	4	0	0	1	3	1	1	2	8	0	0	3	8	1	4	2	0	2	4	0	1	1	0	1	1	0	2	0	0	1	0	3	1	1	1	0	1	1	5	1	1	1	1	0	0	0	0	3	2	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	1	2	0	1	1	3	0	1	0	1	1					
		0.20%	0.26%	0.64%	0.36%	0.16%	0.42%	0.00%	0.00%	0.10%	0.26%	0.18%	0.18%	0.38%	1.32%	0.00%	0.00%	0.22%	0.56%	0.07%	0.27%	0.15%	0.00%	0.26%	0.27%	0.00%	0.06%	0.13%	0.00%	0.76%	0.18%	0.00%	0.18%	0.00%	0.00%	0.68%	0.00%	0.57%	0.51%	0.41%	0.38%	0.00%	0.16%	0.15%	0.39%	0.07%	0.09%	0.09%	0.25%	0.00%	0.00%	0.00%	0.00%	0.21%	0.29%	0.00%	0.00%	0.46%	0.49%	0.00%	1.01%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.16%	0.00%	0.20%	0.52%	1.57%	0.00%	0.30%	0.00%	0.14%	0.36%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	8203	111	118	105	122	159	155	107	160	178	107	84	85	63	129	180	224	261	234	233	234	112	151	262	281	321	133	50	19	103	108	167	51	8	27	49	95	25	27	49	86	110	120	211	182	153	139	63	219	257	23	40	226	80	43	17	33	24	26	7	23	42	23	35	32	20	24	34	19	117	245	43	62	37	36	63	41	51	86	24					
		15.43%	9.54%	9.40%	9.56%	9.93%	16.53%	14.00%	20.42%	15.44%	15.70%	19.35%	15.33%	16.28%	10.38%	13.47%	14.17%	16.39%	18.42%	16.76%	15.80%	17.73%	18.01%	19.56%	17.40%	18.91%	20.80%	16.86%	29.94%	14.39%	18.04%	17.85%	15.07%	20.56%	6.56%	18.24%	9.78%	18.16%	12.69%	11.07%	18.70%	32.82%	17.63%	18.13%	16.46%	13.11%	13.85%	12.66%	15.75%	15.99%	18.98%	12.37%	18.52%	15.97%	11.41%	12.68%	12.78%	15.21%	11.71%	11.82%	7.07%	11.50%	12.88%	12.99%	15.42%	13.50%	16.26%	17.14%	9.21%	15.83%	13.68%	20.16%	9.19%	12.25%	19.37%	18.85%	19.94%	12.42%	12.75%	11.78%	8.66%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	383	5	13	6	2	8	12	6	15	9	4	3	4	17	9	9	14	10	5	8	21	4	4	9	6	9	2	0	1	4	1	3	1	1	0	1	4	0	3	1	3	3	6	11	10	5	17	1	21	20	2	4	12	2	2	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	12	1	1	2	0	0	3	3	4	0					
		0.72%	0.43%	1.04%	0.55%	0.16%	0.83%	1.08%	1.15%	1.45%	0.79%	0.72%	0.55%	0.77%	2.80%	0.94%	0.71%	1.02%	0.71%	0.36%	0.54%	1.59%	0.64%	0.52%	0.60%	0.40%	0.58%	0.25%	0.00%	0.76%	0.70%	0.17%	0.27%	0.40%	0.82%	0.00%	0.20%	0.76%	0.00%	1.23%	0.38%	1.15%	0.48%	0.91%	0.86%	0.72%	0.45%	1.55%	0.25%	1.53%	1.48%	1.08%	1.85%	0.85%	0.29%	0.59%	0.00%	0.00%	0.98%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.99%	0.21%	0.20%	1.05%	0.00%	0.00%	0.91%	0.75%	0.55%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	119	2	1	2	3	0	1	1	2	5	0	3	0	7	2	1	7	4	0	4	5	2	1	4	2	2	0	0	0	1	1	2	0	0	0	4	1	1	1	0	2	1	2	2	3	4	1	0	2	3	0	1	7	0	1	0	0	2	1	1	1	0	0	0	0	0	0	1	0	1	2	0	2	0	0	0	0	3	4	0					
		0.22%	0.17%	0.08%	0.18%	0.24%	0.00%	0.09%	0.19%	0.19%	0.44%	0.00%	0.55%	0.00%	1.15%	0.21%	0.08%	0.51%	0.28%	0.00%	0.27%	0.38%	0.32%	0.13%	0.27%	0.13%	0.13%	0.00%	0.00%	0.00%	0.18%	0.17%	0.18%	0.00%	0.00%	0.00%	0.80%	0.19%	0.51%	0.41%	0.00%	0.76%	0.16%	0.30%	0.16%	0.22%	0.36%	0.09%	0.00%	0.15%	0.22%	0.00%	0.46%	0.49%	0.00%	0.29%	0.00%	0.00%	0.98%	0.45%	1.01%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.12%	0.16%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.75%	0.55%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	4117	85	104	98	87	61	91	38	62	94	48	46	38	36	61	113	97	126	117	105	117	40	66	105	108	106	68	15	9	44	27	85	16	9	9	47	39	17	15	19	13	25	52	101	143	90	90	23	130	153	12	22	109	58	17	23	22	11	7	7	16	21	17	19	8	6	8	24	11	71	107	30	29	8	13	14	24	31	67	17					
		7.74%	7.31%	8.29%	8.93%	7.08%	6.34%	8.22%	7.25%	5.98%	8.29%	8.68%	8.39%	7.28%	5.93%	6.37%	8.90%	7.10%	8.89%	8.38%	7.12%	8.86%	6.43%	8.55%	6.97%	7.27%	6.87%	8.62%	8.98%	6.82%	7.71%	4.46%	7.67%	6.45%	7.38%	6.08%	9.38%	7.46%	8.63%	6.15%	7.25%	4.96%	4.01%	7.85%	7.88%	10.30%	8.14%	8.20%	5.75%	9.49%	11.30%	6.45%	10.19%	7.70%	8.27%	5.01%	17.29%	10.14%	5.37%	3.18%	7.07%	8.00%	6.44%	9.60%	8.37%	3.38%	4.88%	5.71%	6.50%	9.17%	8.30%	8.81%	6.41%	5.73%	4.19%	6.81%	4.43%	7.27%	7.75%	9.18%	6.14%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	3516	74	75	80	94	86	79	39	76	93	32	50	26	28	76	100	94	87	102	81	96	54	51	106	110	90	54	10	6	46	25	60	11	6	8	24	22	12	15	16	15	41	56	93	99	102	94	17	112	107	16	13	87	50	20	0	4	12	9	2	13	7	7	6	17	4	9	24	10	46	63	24	29	4	8	10	18	14	44	16					
		6.61%	6.36%	5.98%	7.29%	7.65%	8.94%	7.14%	7.44%	7.34%	8.20%	5.79%	9.12%	4.98%	4.61%	7.93%	7.87%	6.88%	6.14%	7.31%	5.49%	7.27%	8.68%	6.61%	7.04%	7.40%	5.83%	6.84%	5.99%	4.55%	8.06%	4.13%	5.42%	4.44%	4.92%	5.41%	4.79%	4.21%	6.09%	6.15%	6.11%	5.73%	6.57%	8.46%	7.25%	7.13%	9.23%	8.56%	4.25%	8.18%	7.90%	8.60%	6.02%	6.15%	7.13%	5.90%	0.00%	1.84%	5.85%	4.09%	2.02%	6.50%	2.15%	3.95%	2.64%	7.17%	3.25%	6.43%	6.50%	8.33%	5.38%	5.19%	5.13%	5.73%	2.09%	4.19%	3.16%	5.45%	3.50%	6.03%	5.78%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	588	16	12	9	13	13	13	3	12	17	6	4	26	21	12	14	10	12	20	17	15	9	14	15	23	20	6	2	1	7	4	13	0	0	0	2	5	1	2	3	2	8	6	15	10	12	15	4	7	12	1	1	9	6	1	0	0	2	4	2	2	1	0	2	1	0	2	2	2	10	14	2	1	2	5	3	4	6	10	10					
		1.11%	1.38%	0.96%	0.82%	1.06%	1.35%	1.17%	0.57%	1.16%	1.50%	1.08%	0.73%	4.98%	3.46%	1.25%	1.10%	0.73%	0.85%	1.43%	1.15%	1.14%	1.45%	1.81%	0.99%	1.55%	1.30%	0.76%	1.20%	0.76%	1.23%	0.66%	1.17%	0.00%	0.00%	0.00%	0.40%	0.96%	0.51%	0.82%	1.15%	0.76%	1.28%	0.91%	1.17%	0.72%	1.09%	1.37%	1.00%	0.51%	0.89%	0.54%	0.46%	0.64%	0.86%	0.29%	0.00%	0.00%	0.98%	1.82%	2.02%	1.00%	0.31%	0.00%	0.88%	0.42%	0.00%	1.43%	0.54%	1.67%	1.17%	1.15%	0.43%	0.20%	1.05%	2.62%	0.95%	1.21%	1.50%	1.37%	3.61%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	32992	791	842	728	850	577	716	303	639	676	322	328	307	344	607	764	823	828	845	952	762	366	434	893	859	873	461	83	92	330	412	722	150	95	96	349	334	128	166	156	120	384	375	764	865	681	698	263	764	718	120	122	895	463	244	90	148	143	166	77	134	251	115	150	160	82	89	266	78	570	691	342	341	129	118	215	221	278	462	197					
		62.06%	68.01%	67.09%	66.30%	69.22%	59.98%	64.68%	57.82%	61.68%	59.61%	58.23%	59.85%	58.81%	56.67%	63.36%	60.16%	60.20%	58.43%	60.53%	64.54%	57.73%	58.84%	56.22%	59.30%	57.81%	56.58%	58.43%	49.70%	69.70%	57.79%	68.10%	65.16%	60.48%	77.87%	64.86%	69.66%	63.86%	64.97%	68.03%	59.54%	45.80%	61.54%	56.65%	59.59%	62.32%	61.63%	63.57%	65.75%	55.77%	53.03%	64.52%	56.48%	63.25%	66.05%	71.98%	67.67%	68.20%	69.76%	75.45%	77.78%	67.00%	76.99%	64.97%	66.08%	67.51%	66.67%	63.57%	72.09%	65.00%	66.67%	56.87%	73.08%	67.39%	67.54%	61.78%	68.04%	66.97%	69.50%	63.29%	71.12%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	639	16	22	13	16	8	8	2	22	19	7	5	5	10	8	14	29	21	19	18	13	5	10	31	23	33	5	2	0	3	3	10	6	1	1	1	2	1	2	3	3	5	10	17	20	26	11	8	30	19	1	4	11	4	1	1	0	1	1	0	1	0	4	4	1	1	1	1	0	3	13	3	5	2	1	0	3	0	4	2					
		1.20%	1.38%	1.75%	1.18%	1.30%	0.83%	0.72%	0.38%	2.12%	1.68%	1.27%	0.91%	0.96%	1.65%	0.84%	1.10%	2.12%	1.48%	1.36%	1.22%	0.98%	0.80%	1.30%	2.06%	1.55%	2.14%	0.63%	1.20%	0.00%	0.53%	0.50%	0.90%	2.42%	0.82%	0.68%	0.20%	0.38%	0.51%	0.82%	1.15%	1.15%	0.80%	1.51%	1.33%	1.44%	2.35%	1.00%	2.00%	2.19%	1.40%	0.54%	1.85%	0.78%	0.57%	0.29%	0.75%	0.00%	0.49%	0.45%	0.00%	0.50%	0.00%	2.26%	1.76%	0.42%	0.81%	0.71%	0.27%	0.00%	0.35%	1.07%	0.64%	0.99%	1.05%	0.52%	0.00%	0.91%	0.00%	0.55%	0.72%					
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
