Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
Наименование Избирательной комиссии:    Ивановская																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК  460	УИК  461	УИК  462	УИК  463	УИК  464	УИК  465	УИК  466	УИК  467	УИК  468	УИК  469	УИК  470	УИК  471	УИК  472	УИК  473	УИК  474	УИК  475	УИК  476	УИК  477	УИК  478	УИК  479	УИК  480	УИК  481	УИК  482	УИК  483	УИК  484	УИК  485	УИК  486	УИК  487	УИК  488	УИК  489	УИК  490	УИК  491	УИК  492	УИК  493	УИК  494					
27	"10. ""Аграрная партия России"""	850	19	39	5	4	3	14	5	11	15	5	2	20	9	21	9	51	2	20	4	9	14	27	24	36	89	66	49	4	26	29	134	6	19	20	40					
		6.36%	7.66%	5.74%	3.73%	4.65%	2.27%	1.62%	1.63%	2.52%	12.19%	1.83%	1.41%	20.61%	7.37%	16.27%	3.10%	5.02%	3.38%	4.70%	2.42%	7.56%	3.38%	9.0%	6.76%	5.43%	10.54%	7.58%	5.39%	2.64%	4.18%	9.14%	19.82%	4.76%	8.22%	10.98%	4.68%					
28	"11. ""Истинные патриоты России"""	17	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	1	0	1	1	1	0	0	0	3					
		0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.66%	0.0%	0.30%	0.11%	0.0%	0.11%	0.0%	0.16%	0.31%	0.14%	0.0%	0.0%	0.0%	0.35%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	142	3	8	0	3	3	4	3	3	0	1	0	1	1	1	1	23	0	16	0	0	3	5	3	2	10	3	10	0	8	3	9	1	0	2	12					
		1.06%	1.20%	1.17%	0.0%	3.48%	2.27%	0.46%	0.98%	0.68%	0.0%	0.36%	0.0%	1.03%	0.81%	0.77%	0.34%	2.26%	0.0%	3.76%	0.0%	0.0%	0.72%	1.66%	0.84%	0.30%	1.18%	0.34%	1.10%	0.0%	1.28%	0.94%	1.33%	0.79%	0.0%	1.09%	1.40%					
30	"13. ""Демократическая партия России"""	32	1	0	1	0	0	1	1	1	0	0	0	0	0	0	1	5	0	3	0	0	2	3	2	0	2	2	2	1	0	1	2	0	0	0	1					
		0.23%	0.40%	0.0%	0.74%	0.0%	0.0%	0.11%	0.32%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.49%	0.0%	0.70%	0.0%	0.0%	0.48%	1.0%	0.56%	0.0%	0.23%	0.22%	0.22%	0.66%	0.0%	0.31%	0.29%	0.0%	0.0%	0.0%	0.11%					
31	"14. ""Великая Россия - Евразийский Союз"""	29	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	2	0	3	2	0	0	0	2	3	3	2	0	0	1	0	6	0	1	0	1					
		0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.70%	0.0%	0.0%	0.0%	0.34%	0.19%	0.0%	0.70%	1.21%	0.0%	0.0%	0.0%	0.56%	0.45%	0.35%	0.22%	0.0%	0.0%	0.16%	0.0%	0.88%	0.0%	0.43%	0.0%	0.11%					
32	"15. ""Партия СЛОН"""	18	0	2	1	0	0	1	1	1	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	1	5	1	1	0	0	0	0	0	0					
		0.13%	0.0%	0.29%	0.74%	0.0%	0.0%	0.11%	0.32%	0.22%	0.0%	0.0%	0.0%	2.06%	0.0%	0.0%	0.0%	0.09%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.55%	0.66%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	908	8	57	0	0	4	55	21	14	5	35	7	5	7	2	22	87	0	13	12	9	12	12	37	65	47	54	69	4	50	19	45	11	9	11	100					
		6.80%	3.22%	8.39%	0.0%	0.0%	3.03%	6.38%	6.86%	3.21%	4.06%	12.82%	4.96%	5.15%	5.73%	1.55%	7.58%	8.57%	0.0%	3.05%	7.27%	7.56%	2.89%	4.0%	10.42%	9.81%	5.56%	6.20%	7.59%	2.64%	8.05%	5.99%	6.65%	8.73%	3.89%	6.04%	11.72%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	34	1	3	0	2	0	1	0	1	0	4	1	1	0	1	2	0	0	2	0	1	2	1	0	1	0	2	2	0	1	0	3	0	0	0	2					
		0.25%	0.40%	0.44%	0.0%	2.32%	0.0%	0.11%	0.0%	0.22%	0.0%	1.46%	0.70%	1.03%	0.0%	0.77%	0.68%	0.0%	0.0%	0.47%	0.0%	0.84%	0.48%	0.33%	0.0%	0.15%	0.0%	0.22%	0.22%	0.0%	0.16%	0.0%	0.44%	0.0%	0.0%	0.0%	0.23%					
35	"18. ""ЛДПР"""	2036	29	94	24	6	27	118	33	55	21	44	15	21	17	22	41	161	8	18	24	29	84	69	57	102	124	175	173	19	70	57	85	15	51	18	130					
		15.25%	11.69%	13.84%	17.91%	6.97%	20.45%	13.68%	10.78%	12.61%	17.07%	16.11%	10.63%	21.64%	13.93%	17.05%	14.13%	15.87%	13.55%	4.23%	14.54%	24.36%	20.28%	23.0%	16.05%	15.40%	14.69%	20.11%	19.05%	12.58%	11.27%	17.98%	12.57%	11.90%	22.07%	9.89%	15.24%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	275	2	23	2	1	2	24	6	11	2	3	3	2	2	1	4	27	2	4	2	2	7	3	5	9	18	13	19	8	20	2	8	6	2	3	27					
		2.05%	0.80%	3.38%	1.49%	1.16%	1.51%	2.78%	1.96%	2.52%	1.62%	1.09%	2.12%	2.06%	1.63%	0.77%	1.37%	2.66%	3.38%	0.94%	1.21%	1.68%	1.69%	1.0%	1.40%	1.35%	2.13%	1.49%	2.09%	5.29%	3.22%	0.63%	1.18%	4.76%	0.86%	1.64%	3.16%					
37	"20. ""Политическая партия ""Единая Россия"""	4448	120	245	64	59	47	187	50	142	47	109	67	36	57	42	80	323	35	142	64	33	162	110	110	250	288	302	309	46	223	117	145	36	84	75	242					
		33.31%	48.38%	36.08%	47.76%	68.60%	35.60%	21.69%	16.33%	32.56%	38.21%	39.92%	47.51%	37.11%	46.72%	32.55%	27.58%	31.85%	59.32%	33.41%	38.78%	27.73%	39.13%	36.66%	30.98%	37.76%	34.12%	34.71%	34.03%	30.46%	35.90%	36.90%	21.44%	28.57%	36.36%	41.20%	28.37%					
38	"21. ""Российская Конституционно-демократическая партия"""	25	0	1	0	0	0	1	0	3	1	0	0	0	0	0	0	1	3	5	0	0	0	0	0	2	1	0	1	0	0	1	3	0	0	1	1					
		0.18%	0.0%	0.14%	0.0%	0.0%	0.0%	0.11%	0.0%	0.68%	0.81%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	5.08%	1.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.11%	0.0%	0.11%	0.0%	0.0%	0.31%	0.44%	0.0%	0.0%	0.54%	0.11%					
39	"22. ""Развитие предпринимательства"""	20	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	2	0	0	1	0	1	1	1	0	2	0	4	0	1	1	3					
		0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.70%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.23%	0.0%	1.68%	0.0%	0.0%	0.28%	0.0%	0.11%	0.11%	0.11%	0.0%	0.32%	0.0%	0.59%	0.0%	0.43%	0.54%	0.35%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1080	21	28	10	3	16	39	18	48	14	20	15	0	12	18	22	105	4	88	16	14	45	14	35	44	55	38	52	11	68	17	50	17	22	20	81					
		8.08%	8.46%	4.12%	7.46%	3.48%	12.12%	4.52%	5.88%	11.00%	11.38%	7.32%	10.63%	0.0%	9.83%	13.95%	7.58%	10.35%	6.77%	20.70%	9.69%	11.76%	10.86%	4.66%	9.85%	6.64%	6.51%	4.36%	5.72%	7.28%	10.95%	5.36%	7.39%	13.49%	9.52%	10.98%	9.49%					
																																										
41	Против всех	898	15	58	6	3	10	54	18	33	5	18	9	2	9	3	28	66	2	14	19	3	23	12	20	39	64	62	62	13	50	16	62	5	13	17	65					
		6.72%	6.04%	8.54%	4.47%	3.48%	7.57%	6.26%	5.88%	7.56%	4.06%	6.59%	6.38%	2.06%	7.37%	2.32%	9.65%	6.50%	3.38%	3.29%	11.51%	2.52%	5.55%	4.0%	5.63%	5.89%	7.58%	7.12%	6.82%	8.60%	8.05%	5.04%	9.17%	3.96%	5.62%	9.34%	7.62%					
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
