Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																												
Дата голосования: 04.12.2011																																																																																																																												
																																																																																																																												
Наименование Избирательной комиссии:    Ногинская																																																																																																																												
																																																																																																																												
Сводная таблица результатов выборов																																																																																																																												
																																																																																																																												
		Сумма	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3440	40	30	30	40	35	30	45	40	25	30	35	25	40	30	35	40	20	0	35	30	25	25	25	40	25	20	20	35	20	20	30	35	30	35	20	40	40	30	25	25	25	35	35	0	20	30	35	20	30	25	25	25	25	25	10	20	0	15	40	15	15	10	10	10	10	35	35	40	30	10	30	40	10	10	15	25	10	15	55	20	40	40	40	45	35	20	25	10	25	40	40	45	40	40	25	25	35	50	15	45	10	30	25	20	45	55	10	40	20	10	15	10	10	10	120	120	120					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1865	25	13	17	24	29	11	19	16	11	13	22	11	28	11	15	32	6	0	21	18	9	11	9	21	14	3	13	10	9	6	18	16	20	26	18	18	29	25	17	16	13	34	22	0	8	25	15	7	25	13	12	11	19	11	4	11	0	6	38	5	6	7	6	7	3	24	23	26	15	5	26	24	2	2	5	13	1	11	47	9	14	7	28	21	12	9	15	7	10	19	25	18	13	12	3	14	10	31	12	41	9	30	25	18	39	30	1	17	5	10	11	7	6	3	57	44	41					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1544	9	7	5	8	10	3	11	14	10	5	6	4	14	1	4	5	11	2	3	4	7	7	20	6	9	5	27	3	13	5	8	8	6	14	31	8	6	13	48	6	46	16	11	6	22	11	9	3	10	8	8	6	10	8	2	4	80	12	43	4	11	23	8	2	2	11	10	16	7	2	4	6	15	12	6	24	5	21	19	4	2	17	16	9	7	77	41	4	20	36	21	16	38	16	5	28	11	34	13	8	4	5	24	18	27	11	6	16	6	12	10	11	11	10	10	17	14					
14	Число погашенных неиспользованных открепительных удостоверений	1575	15	17	13	16	6	19	26	24	14	17	13	14	12	19	20	8	14	0	14	12	16	14	16	19	11	17	7	25	11	14	12	19	10	9	2	22	11	5	8	9	12	1	13	0	12	5	20	13	5	12	13	14	6	14	6	9	0	9	2	10	9	3	4	3	7	11	12	14	15	5	4	16	8	8	10	12	9	4	8	11	26	33	12	24	23	11	10	3	15	21	15	27	27	28	22	11	25	19	3	4	1	0	0	2	6	25	9	23	15	0	4	3	4	7	63	76	79					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	78	1	0	0	1	0	0	1	3	0	0	0	0	2	2	2	0	1	0	0	0	0	1	0	0	0	4	2	3	1	0	0	0	2	0	2	0	4	0	1	0	0	1	1	0	0	0	0	0	1	2	1	1	1	3	0	1	0	0	4	1	0	0	0	1	0	1	0	2	1	0	0	0	0	0	2	0	0	1	0	0	1	0	0	4	1	0	0	1	0	0	1	3	0	0	1	1	0	0	0	1	0	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	12975	141	131	89	172	139	111	222	218	117	109	137	110	161	100	154	60	75	14	130	116	98	101	118	170	117	52	98	172	65	36	138	161	136	157	56	224	161	149	126	137	122	166	210	59	91	126	165	82	153	121	144	115	112	106	30	98	9	61	144	61	22	45	40	50	30	154	155	161	129	52	107	158	13	13	52	98	34	54	167	62	146	189	175	197	159	135	102	40	108	189	179	173	274	185	62	73	131	249	59	112	28	21	85	26	100	111	47	117	60	37	67	39	17	16	182	163	173					
		17.17%	16.00%	17.08%	14.61%	19.70%	15.71%	15.79%	19.01%	20.96%	19.93%	17.55%	18.56%	20.37%	19.08%	18.55%	19.92%	10.81%	17.94%	17.07%	18.98%	20.35%	19.22%	20.28%	9.87%	14.86%	16.62%	16.46%	19.29%	20.33%	15.37%	9.28%	21.87%	17.41%	20.03%	19.31%	15.47%	22.54%	19.24%	19.55%	19.91%	20.15%	19.15%	18.46%	21.17%	18.21%	17.20%	19.12%	22.33%	20.50%	19.13%	19.64%	20.63%	24.06%	20.78%	17.97%	13.16%	19.68%	3.66%	19.37%	17.20%	17.78%	8.21%	17.37%	13.07%	22.94%	13.95%	17.74%	18.07%	17.73%	19.43%	12.53%	13.34%	18.68%	10.40%	10.48%	16.10%	16.31%	16.67%	17.65%	13.68%	14.09%	16.06%	17.14%	15.50%	16.17%	17.65%	16.38%	18.05%	14.18%	16.74%	17.63%	16.54%	15.60%	21.46%	15.74%	12.06%	15.30%	9.92%	17.30%	19.47%	19.38%	14.81%	11.11%	21.25%	12.56%	8.42%	16.99%	16.67%	15.79%	20.07%	18.05%	18.82%	19.02%	16.50%	11.51%	16.76%	16.72%	12.66%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	13093	183	145	123	154	131	131	183	162	101	118	118	101	145	101	137	69	56	16	115	96	104	84	277	219	97	69	82	152	71	19	95	189	108	116	54	174	145	112	69	97	81	155	138	65	104	109	108	55	146	87	126	86	92	99	53	91	100	50	160	67	50	51	54	21	38	136	137	171	128	59	138	149	24	19	60	97	30	54	193	75	150	168	208	211	118	158	88	45	115	154	185	222	205	200	131	84	207	200	44	122	31	50	59	40	290	133	36	152	57	24	61	38	11	23	183	203	313					
		17.33%	20.77%	18.90%	20.20%	17.64%	14.80%	18.63%	15.67%	15.58%	17.21%	19.00%	15.99%	18.70%	17.18%	18.74%	17.72%	12.43%	13.40%	19.51%	16.79%	16.84%	20.39%	16.87%	23.18%	19.14%	13.78%	21.84%	16.14%	17.97%	16.78%	4.90%	15.06%	20.43%	15.91%	14.27%	14.92%	17.51%	17.32%	14.70%	10.90%	14.26%	12.72%	17.24%	13.91%	20.06%	19.66%	16.54%	14.61%	13.75%	18.25%	14.12%	18.05%	17.99%	17.07%	16.78%	23.25%	18.27%	40.65%	15.87%	19.12%	19.53%	18.66%	19.69%	17.65%	9.63%	17.67%	15.67%	15.97%	18.83%	19.28%	14.22%	17.21%	17.61%	19.20%	15.32%	18.58%	16.14%	14.71%	17.65%	15.81%	17.05%	16.50%	15.23%	18.42%	17.32%	13.10%	19.17%	15.58%	15.96%	17.83%	14.37%	17.10%	20.02%	16.05%	17.02%	25.49%	17.61%	15.67%	13.90%	14.52%	21.11%	16.40%	26.46%	14.75%	19.32%	24.43%	20.37%	12.77%	20.51%	19.06%	11.71%	17.13%	18.54%	10.68%	16.55%	16.85%	20.82%	22.91%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	894	7	3	8	18	20	7	13	12	9	9	2	3	8	9	10	3	5	2	7	6	8	5	19	13	10	4	2	12	12	7	10	22	10	3	4	10	9	7	10	6	11	13	14	3	8	20	4	0	11	10	6	5	12	9	4	4	2	6	9	3	1	1	4	4	6	9	8	12	9	1	10	19	0	1	3	6	4	6	22	2	13	7	18	19	14	12	5	6	9	4	1	4	2	3	4	2	7	1	9	10	0	5	7	0	16	4	4	5	1	2	4	0	0	1	28	15	26					
		1.18%	0.79%	0.39%	1.31%	2.06%	2.26%	0.99%	1.11%	1.15%	1.53%	1.45%	0.27%	0.56%	0.95%	1.67%	1.29%	0.54%	1.20%	2.44%	1.02%	1.05%	1.57%	1.00%	1.59%	1.14%	1.42%	1.27%	0.39%	1.42%	2.84%	1.80%	1.58%	2.38%	1.47%	0.37%	1.10%	1.01%	1.08%	0.92%	1.58%	0.88%	1.73%	1.45%	1.41%	0.93%	1.51%	3.03%	0.54%	0.00%	1.38%	1.62%	0.86%	1.05%	2.23%	1.53%	1.75%	0.80%	0.81%	1.90%	1.08%	0.87%	0.37%	0.39%	1.31%	1.83%	2.79%	1.04%	0.93%	1.32%	1.36%	0.24%	1.25%	2.25%	0.00%	0.81%	0.93%	0.99%	1.96%	1.96%	1.80%	0.45%	1.43%	0.63%	1.59%	1.56%	1.55%	1.46%	0.88%	2.13%	1.40%	0.37%	0.09%	0.36%	0.16%	0.26%	0.78%	0.42%	0.53%	0.07%	2.97%	1.73%	0.00%	2.65%	1.75%	0.00%	1.35%	0.61%	1.42%	0.67%	0.33%	0.98%	1.12%	0.00%	0.00%	0.72%	2.58%	1.54%	1.90%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	18410	210	187	166	218	146	182	345	288	164	149	209	123	220	127	205	101	90	5	169	131	94	140	207	283	183	79	130	199	108	21	185	209	202	212	84	237	243	191	164	176	178	265	277	57	132	177	186	78	100	151	176	115	107	148	77	106	23	68	190	81	31	65	55	57	64	307	291	247	186	51	158	226	38	20	72	190	56	74	176	116	216	308	298	386	232	190	129	80	170	273	275	314	303	257	137	119	211	190	61	164	33	46	78	52	265	174	92	219	61	28	103	38	18	34	337	254	311					
		24.36%	23.84%	24.38%	27.26%	24.97%	16.50%	25.89%	29.54%	27.69%	27.94%	23.99%	28.32%	22.78%	26.07%	23.56%	26.52%	18.20%	21.53%	6.10%	24.67%	22.98%	18.43%	28.11%	17.32%	24.74%	25.99%	25.00%	25.59%	23.52%	25.53%	5.41%	29.32%	22.59%	29.75%	26.08%	23.20%	23.84%	29.03%	25.07%	25.91%	25.88%	27.94%	29.48%	27.92%	17.59%	24.95%	26.86%	25.17%	19.50%	12.50%	24.51%	25.21%	24.06%	19.85%	25.08%	33.77%	21.29%	9.35%	21.59%	22.70%	23.62%	11.57%	25.10%	17.97%	26.15%	29.77%	35.37%	33.92%	27.20%	28.01%	12.29%	19.70%	26.71%	30.40%	16.13%	22.29%	31.61%	27.45%	24.18%	14.41%	26.36%	23.76%	27.92%	26.40%	31.69%	25.75%	23.06%	22.83%	28.37%	26.36%	25.47%	25.42%	28.31%	23.73%	21.87%	26.65%	24.95%	15.97%	13.20%	20.13%	28.37%	17.46%	24.34%	19.50%	25.12%	22.33%	26.65%	32.62%	29.55%	20.40%	13.66%	28.93%	18.54%	17.48%	24.46%	31.03%	26.05%	22.77%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3640	66	46	41	38	65	39	68	79	30	38	42	35	54	18	47	12	25	2	31	32	23	22	54	82	51	17	38	40	24	17	44	48	21	50	15	44	59	62	54	58	58	62	89	6	39	52	58	23	39	44	40	16	28	39	11	24	0	19	39	8	4	15	7	17	21	43	51	4	30	12	31	44	3	9	11	17	11	13	60	22	68	64	75	73	68	52	39	15	55	8	2	5	8	10	4	4	5	5	24	15	8	2	14	10	22	16	4	13	7	2	8	6	3	4	67	46	59					
		4.82%	7.49%	5.99%	6.73%	4.35%	7.34%	5.55%	5.82%	7.60%	5.11%	6.12%	5.69%	6.48%	6.40%	3.34%	6.08%	2.16%	5.98%	2.44%	4.53%	5.61%	4.51%	4.42%	4.52%	7.17%	7.24%	5.38%	7.48%	4.73%	5.67%	4.38%	6.97%	5.19%	3.09%	6.15%	4.14%	4.43%	7.05%	8.14%	8.53%	8.53%	9.11%	6.90%	8.97%	1.85%	7.37%	7.89%	7.85%	5.75%	4.88%	7.14%	5.73%	3.35%	5.19%	6.61%	4.82%	4.82%	0.00%	6.03%	4.66%	2.33%	1.49%	5.79%	2.29%	7.80%	9.77%	4.95%	5.94%	0.44%	4.52%	2.89%	3.87%	5.20%	2.40%	7.26%	3.41%	2.83%	5.39%	4.25%	4.91%	5.00%	7.48%	5.80%	6.64%	5.99%	7.55%	6.31%	6.90%	5.32%	8.53%	0.75%	0.18%	0.45%	0.63%	0.85%	0.78%	0.84%	0.38%	0.35%	7.92%	2.60%	4.23%	1.06%	3.50%	4.83%	1.85%	2.45%	1.42%	1.75%	2.34%	0.98%	2.25%	2.93%	2.91%	2.88%	6.17%	4.72%	4.32%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22613	223	206	142	242	356	194	298	233	135	173	210	148	218	153	186	282	137	31	201	160	160	130	477	343	214	84	144	238	123	272	140	244	176	233	137	262	200	206	187	162	158	203	218	126	135	144	191	144	203	169	177	117	170	152	47	151	89	94	263	104	152	69	140	58	45	178	192	304	159	218	290	224	38	54	107	175	60	91	339	142	267	329	296	306	280	243	179	82	152	355	310	302	365	379	144	184	673	698	94	125	71	54	138	74	454	192	88	213	101	109	92	79	51	60	257	262	405					
		29.92%	25.31%	26.86%	23.32%	27.72%	40.23%	27.60%	25.51%	22.40%	22.99%	27.86%	28.46%	27.41%	25.83%	28.39%	24.06%	50.81%	32.78%	37.80%	29.34%	28.07%	31.37%	26.10%	39.92%	29.98%	30.40%	26.58%	28.35%	28.13%	29.08%	70.10%	22.19%	26.38%	25.92%	28.66%	37.85%	26.36%	23.89%	27.03%	29.54%	23.82%	24.80%	22.58%	21.98%	38.89%	25.52%	21.85%	25.85%	36.00%	25.38%	27.44%	25.36%	24.48%	31.54%	25.76%	20.61%	30.32%	36.18%	29.84%	31.42%	30.32%	56.72%	26.64%	45.75%	26.61%	20.93%	20.51%	22.38%	33.48%	23.95%	52.53%	36.16%	26.48%	30.40%	43.55%	33.13%	29.12%	29.41%	29.74%	27.76%	32.27%	29.37%	29.83%	26.22%	25.12%	31.08%	29.49%	31.68%	29.08%	23.57%	33.12%	28.65%	27.23%	28.58%	32.26%	28.02%	38.57%	50.95%	48.51%	31.02%	21.63%	37.57%	28.57%	34.50%	35.75%	38.25%	29.40%	31.21%	28.74%	33.78%	53.17%	25.84%	38.54%	49.51%	43.17%	23.66%	26.87%	29.65%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	694	11	7	13	6	8	9	6	13	7	8	4	6	10	7	6	3	7	0	7	0	4	0	11	11	7	5	1	7	6	8	6	8	8	4	1	9	5	11	9	8	8	12	17	3	7	15	12	5	8	10	6	3	7	11	2	9	4	1	5	10	1	3	0	2	5	10	4	5	4	2	8	6	0	2	2	3	3	3	13	5	8	14	13	15	7	7	9	2	13	1	5	1	1	4	3	2	4	4	0	6	0	5	4	3	12	3	2	6	3	0	3	0	0	0	10	16	5					
		0.92%	1.25%	0.91%	2.13%	0.69%	0.90%	1.28%	0.51%	1.25%	1.19%	1.29%	0.54%	1.11%	1.18%	1.30%	0.78%	0.54%	1.67%	0.00%	1.02%	0.00%	0.78%	0.00%	0.92%	0.96%	0.99%	1.58%	0.20%	0.83%	1.42%	2.06%	0.95%	0.86%	1.18%	0.49%	0.28%	0.91%	0.60%	1.44%	1.42%	1.18%	1.26%	1.33%	1.71%	0.93%	1.32%	2.28%	1.62%	1.25%	1.00%	1.62%	0.86%	0.63%	1.30%	1.86%	0.88%	1.81%	1.63%	0.32%	0.60%	2.92%	0.37%	1.16%	0.00%	0.92%	2.33%	1.15%	0.47%	0.55%	0.60%	0.48%	0.99%	0.71%	0.00%	1.61%	0.62%	0.50%	1.47%	0.98%	1.06%	1.14%	0.88%	1.27%	1.15%	1.23%	0.78%	0.85%	1.59%	0.71%	2.02%	0.09%	0.46%	0.09%	0.08%	0.34%	0.58%	0.42%	0.30%	0.28%	0.00%	1.04%	0.00%	2.65%	1.00%	1.45%	1.01%	0.46%	0.71%	0.81%	1.00%	0.00%	0.84%	0.00%	0.00%	0.00%	0.92%	1.64%	0.37%					
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
																																																																																																																												
