Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																			
Дата голосования: 04.12.2011																																																																																			
																																																																																			
"Наименование Избирательной комиссии:    Сочи, Адлерская"																																																																																			
																																																																																			
Сводная таблица результатов выборов																																																																																			
																																																																																			
		Сумма	УИК №4301	УИК №4302	УИК №4303	УИК №4304	УИК №4305	УИК №4306	УИК №4307	УИК №4308	УИК №4309	УИК №4310	УИК №4311	УИК №4312	УИК №4313	УИК №4314	УИК №4315	УИК №4316	УИК №4317	УИК №4318	УИК №4319	УИК №4320	УИК №4321	УИК №4322	УИК №4323	УИК №4324	УИК №4325	УИК №4326	УИК №4327	УИК №4328	УИК №4329	УИК №4330	УИК №4331	УИК №4332	УИК №4333	УИК №4334	УИК №4335	УИК №4336	УИК №4337	УИК №4338	УИК №4339	УИК №4340	УИК №4341	УИК №4342	УИК №4343	УИК №4344	УИК №4345	УИК №4346	УИК №4347	УИК №4348	УИК №4349	УИК №4350	УИК №4351	УИК №4352	УИК №4353	УИК №4354	УИК №4355	УИК №4356	УИК №4357	УИК №4358	УИК №4359	УИК №4360	УИК №4361	УИК №4385	УИК №4386	УИК №4387	УИК №4388	УИК №4389	УИК №4390	УИК №4391	УИК №4392	УИК №4393	УИК №4394	УИК №4395	УИК №4396	УИК №4397	УИК №4398	УИК №4399					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	983	0	3	3	28	15	3	28	17	20	44	20	20	15	13	8	10	11	7	21	20	21	20	20	30	15	10	15	18	10	5	40	21	45	20	28	30	25	5	3	10	5	13	8	15	10	35	20	7	23	5	7	5	10	10	5	5	10	40	18	15	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	977	0	0	3	28	15	3	28	17	20	44	20	20	15	13	8	10	11	7	21	20	21	20	20	30	15	10	15	18	10	5	40	21	45	20	28	30	25	2	3	10	5	13	8	15	10	35	20	7	23	5	7	5	10	10	5	5	10	40	18	15	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2691	0	0	4	6	4	3	6	17	23	25	47	56	13	18	63	76	42	81	21	28	34	27	20	77	25	7	45	274	42	20	30	16	51	16	55	38	22	120	86	114	72	4	9	5	5	16	28	40	21	7	12	7	16	8	14	18	3	4	20	17	16	32	41	20	184	17	104	34	58	53	25	27	16	28	57	1					
14	Число погашенных неиспользованных открепительных удостоверений	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1128	1	1	1	19	18	3	22	35	30	66	65	20	16	27	20	24	47	19	34	12	25	14	17	36	26	7	28	47	8	6	29	24	18	21	43	42	36	10	2	16	2	4	3	2	2	27	18	18	21	6	5	0	3	7	0	0	0	3	25	29	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5619	4	4	1	104	215	16	48	104	67	138	146	87	35	62	62	59	123	65	100	78	119	48	87	162	125	15	118	155	60	45	88	127	138	50	151	194	164	67	63	124	37	44	27	72	29	101	75	368	62	14	13	19	130	94	24	26	16	29	115	53	113	21	95	21	29	45	40	25	42	25	41	48	25	25	47	11					
		9.23%	4.12%	2.22%	1.25%	6.86%	12.83%	3.83%	3.54%	9.29%	7.98%	10.20%	7.40%	7.92%	10.26%	9.24%	9.90%	10.10%	8.33%	11.15%	11.21%	10.43%	13.05%	8.01%	10.78%	12.92%	14.24%	7.08%	12.61%	13.45%	8.49%	9.72%	8.78%	10.41%	9.65%	5.54%	11.24%	12.24%	13.19%	12.38%	11.09%	13.79%	11.60%	10.45%	6.78%	11.25%	7.23%	7.91%	8.54%	26.40%	3.95%	2.46%	3.74%	10.22%	16.77%	12.52%	9.23%	8.52%	7.17%	3.15%	8.89%	7.69%	13.50%	2.36%	6.56%	7.39%	1.73%	5.87%	6.31%	7.99%	7.24%	6.07%	6.47%	8.03%	6.58%	6.56%	6.73%	2.54%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	7448	27	21	7	106	50	8	49	144	54	175	220	134	53	85	82	95	100	73	108	53	103	73	124	166	116	31	130	118	168	42	124	153	233	91	225	242	191	40	110	87	72	53	40	89	37	171	158	128	88	36	20	19	109	118	17	50	24	33	81	56	67	93	363	72	110	25	131	90	163	54	184	145	80	96	136	29					
		12.24%	27.84%	11.67%	8.75%	6.99%	2.98%	1.91%	3.61%	12.87%	6.43%	12.93%	11.15%	12.19%	15.54%	12.67%	13.10%	16.27%	6.77%	12.52%	12.11%	7.09%	11.29%	12.19%	15.37%	13.24%	13.21%	14.62%	13.89%	10.24%	23.76%	9.07%	12.38%	12.54%	16.29%	10.09%	16.74%	15.27%	15.37%	7.39%	19.37%	9.68%	22.57%	12.59%	10.05%	13.91%	9.23%	13.39%	17.99%	9.18%	5.61%	6.32%	5.75%	10.22%	14.06%	15.71%	6.54%	16.39%	10.76%	3.58%	6.26%	8.13%	8.00%	10.45%	25.05%	25.35%	6.57%	3.26%	20.66%	28.75%	28.10%	13.11%	29.02%	24.25%	21.05%	25.20%	19.48%	6.70%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	645	0	1	1	26	14	0	14	9	5	13	21	9	3	11	10	4	17	4	6	12	12	12	9	15	8	3	8	13	14	3	11	19	17	7	10	20	7	8	3	8	6	2	8	8	3	20	16	10	26	2	2	4	23	14	1	8	2	1	6	6	10	4	20	3	16	0	5	1	5	7	6	3	4	1	5	0					
		1.06%	0.00%	0.56%	1.25%	1.72%	0.84%	0.00%	1.03%	0.80%	0.60%	0.96%	1.06%	0.82%	0.88%	1.64%	1.60%	0.68%	1.15%	0.69%	0.67%	1.60%	1.32%	2.00%	1.12%	1.20%	0.91%	1.42%	0.85%	1.13%	1.98%	0.65%	1.10%	1.56%	1.19%	0.78%	0.74%	1.26%	0.56%	1.48%	0.53%	0.89%	1.88%	0.48%	2.01%	1.25%	0.75%	1.57%	1.82%	0.72%	1.66%	0.35%	0.57%	2.15%	2.97%	1.86%	0.38%	2.62%	0.90%	0.11%	0.46%	0.87%	1.19%	0.45%	1.38%	1.06%	0.96%	0.00%	0.79%	0.32%	0.86%	1.70%	0.95%	0.50%	1.05%	0.26%	0.72%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	8795	8	15	15	138	91	22	119	203	88	241	264	170	68	143	91	84	217	91	208	149	196	109	144	287	212	28	206	240	101	73	176	200	203	103	195	221	260	110	129	171	61	61	70	106	40	218	156	115	135	27	36	20	126	126	24	38	25	31	111	92	85	90	258	43	91	29	91	70	125	45	115	126	40	73	94	13					
		14.45%	8.25%	8.33%	18.75%	9.11%	5.43%	5.26%	8.78%	18.14%	10.48%	17.81%	13.38%	15.47%	19.94%	21.31%	14.54%	14.38%	14.69%	15.61%	23.32%	19.92%	21.49%	18.20%	17.84%	22.89%	24.15%	13.21%	22.01%	20.83%	14.29%	15.77%	17.56%	16.39%	14.20%	11.42%	14.51%	13.94%	20.92%	20.33%	22.71%	19.02%	19.12%	14.49%	17.59%	16.56%	9.98%	17.07%	17.77%	8.25%	8.61%	4.74%	10.34%	10.75%	16.26%	16.78%	9.23%	12.46%	11.21%	3.37%	8.58%	13.35%	10.16%	10.11%	17.81%	15.14%	5.43%	3.79%	14.35%	22.36%	21.55%	10.92%	18.14%	21.07%	10.53%	19.16%	13.47%	3.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2066	1	2	5	58	45	4	30	40	33	55	56	46	10	45	39	45	17	29	69	38	64	34	55	79	55	9	51	91	24	27	55	58	39	13	45	79	9	29	30	64	8	3	9	12	10	52	22	28	24	11	2	4	28	38	5	10	3	8	24	18	17	5	38	6	11	7	13	2	5	6	10	8	23	9	6	4					
		3.39%	1.03%	1.11%	6.25%	3.83%	2.68%	0.96%	2.21%	3.57%	3.93%	4.07%	2.84%	4.19%	2.93%	6.71%	6.23%	7.71%	1.15%	4.97%	7.74%	5.08%	7.02%	5.68%	6.82%	6.30%	6.26%	4.25%	5.45%	7.90%	3.39%	5.83%	5.49%	4.75%	2.73%	1.44%	3.35%	4.98%	0.72%	5.36%	5.28%	7.12%	2.51%	0.71%	2.26%	1.88%	2.49%	4.07%	2.51%	2.01%	1.53%	1.93%	0.57%	2.15%	3.61%	5.06%	1.92%	3.28%	1.35%	0.87%	1.85%	2.61%	2.03%	0.56%	2.62%	2.11%	0.66%	0.91%	2.05%	0.64%	0.86%	1.46%	1.58%	1.34%	6.05%	2.36%	0.86%	0.92%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	33855	57	135	39	970	1246	358	1077	594	573	693	1228	639	162	304	325	279	887	308	384	410	380	308	357	508	343	123	399	511	303	263	524	620	772	625	664	788	581	268	208	434	130	250	238	330	265	686	424	713	1211	476	267	114	337	338	186	164	147	805	932	455	518	661	618	133	631	612	330	111	220	268	266	242	200	165	391	374					
		55.62%	58.76%	75.00%	48.75%	64.03%	74.34%	85.65%	79.42%	53.08%	68.21%	51.22%	62.24%	58.14%	47.51%	45.31%	51.92%	47.77%	60.05%	52.83%	43.05%	54.81%	41.67%	51.42%	44.24%	40.51%	39.07%	58.02%	42.63%	44.36%	42.86%	56.80%	52.30%	50.82%	53.99%	69.29%	49.40%	49.72%	46.74%	49.54%	36.62%	48.28%	40.75%	59.38%	59.80%	51.56%	66.08%	53.72%	48.29%	51.15%	77.23%	83.51%	76.72%	61.29%	43.48%	45.01%	71.54%	53.77%	65.92%	87.40%	72.02%	66.04%	61.89%	74.27%	42.65%	46.83%	37.67%	79.90%	52.05%	35.46%	37.93%	65.05%	41.96%	40.47%	52.63%	43.31%	56.02%	86.37%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	439	0	1	2	25	9	2	11	10	8	14	9	2	4	6	7	7	5	5	4	4	9	6	11	10	4	1	5	12	12	3	8	11	8	2	13	12	10	3	4	4	2	5	2	4	6	13	11	5	10	3	0	5	9	9	0	2	0	3	5	3	14	0	6	1	8	3	3	4	2	1	4	3	4	2	4	0					
		0.72%	0.00%	0.56%	2.50%	1.65%	0.54%	0.48%	0.81%	0.89%	0.95%	1.03%	0.46%	0.18%	1.17%	0.89%	1.12%	1.20%	0.34%	0.86%	0.45%	0.53%	0.99%	1.00%	1.36%	0.80%	0.46%	0.47%	0.53%	1.04%	1.70%	0.65%	0.80%	0.90%	0.56%	0.22%	0.97%	0.76%	0.80%	0.55%	0.70%	0.44%	0.63%	1.19%	0.50%	0.63%	1.50%	1.02%	1.25%	0.36%	0.64%	0.53%	0.00%	2.69%	1.16%	1.20%	0.00%	0.66%	0.00%	0.33%	0.39%	0.44%	1.67%	0.00%	0.41%	0.35%	0.48%	0.39%	0.47%	1.28%	0.34%	0.24%	0.63%	0.50%	1.05%	0.52%	0.57%	0.00%					
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
