Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																																																																									
																																																																																																																									
Наименование Избирательной комиссии:    Серпуховская городская																																																																																																																									
																																																																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																									
																																																																																																																									
		Сумма	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663	УИК №2664	УИК №2665	УИК №2666	УИК №2667	УИК №2668	УИК №2669	УИК №2670	УИК №2671	УИК №2672	УИК №2673	УИК №2674	УИК №2675	УИК №2676	УИК №2677	УИК №2678	УИК №2679	УИК №2680	УИК №2681	УИК №2682	УИК №2683	УИК №2684	УИК №2685	УИК №2686	УИК №2687	УИК №2688	УИК №2689	УИК №2690	УИК №2691	УИК №2692	УИК №2693	УИК №2694	УИК №2695	УИК №2696	УИК №2697	УИК №2698	УИК №2699	УИК №2700	УИК №2701	УИК №2702	УИК №2703	УИК №5006	УИК №5007	УИК №5051	УИК №5052	УИК №5093	УИК №5094	УИК №5095	УИК №5096	УИК №5097	УИК №5098	УИК №5099	УИК №5100	УИК №5101	УИК №5102	УИК №5103	УИК №5128	УИК №5132	УИК №5135	УИК №5136	УИК №5150	УИК №5170	УИК №5196	УИК №5197	УИК №5198	УИК №5201	УИК №5202	УИК №5203	УИК №5209	УИК №5216	УИК №5217	УИК №5218	УИК №5221	УИК №5237	УИК №5238	УИК №5239	УИК №5240	УИК №5241	УИК №5243	УИК №5297	УИК №5298	УИК №5302	УИК №5308	УИК №5309	УИК №5319	УИК №5320	УИК №5321	УИК №5324	УИК №5331	УИК №5332	УИК №5333	УИК №5334	УИК №5335	УИК №5336	УИК №5337	УИК №5338	УИК №5339	УИК №5358					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	738	25	7	5	12	3	8	9	15	14	4	8	10	4	13	7	7	13	6	13	7	16	9	12	10	15	6	9	15	13	10	8	16	22	10	14	14	20	19	14	12	13	14	10	11	10	17	4	13	13	10	4	9	5	10	5	12	25	0	1	13	0	4	2	0	1	0	2	0	0	0	0	0	5	1	23	1	7	3	0	7	0	0	0	0	0	0	4	0	0	11	6	0	0	0	0	0	0	0	0	0	1	2	0	0	1	2	0	2	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	2223	27	20	23	14	37	24	30	25	12	22	26	22	13	8	26	31	8	22	26	21	19	21	23	21	20	33	16	28	25	28	20	26	23	29	22	32	25	14	30	27	29	31	34	16	26	22	43	30	29	22	23	25	32	34	29	17	0	116	5	8	5	13	5	5	1	10	25	5	9	0	0	0	5	5	148	43	25	3	5	7	10	4	2	3	9	5	10	0	3	0	100	3	31	21	7	5	5	5	3	5	23	10	5	5	0	26	15	13	12	12	10	10	42	0					
15	Число открепительных удостоверений выданных ТИК	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																									
18	"1. ""ЕДИНЕНИЕ"""	906	24	8	5	6	7	5	10	9	8	1	12	9	10	13	3	16	6	8	6	13	5	7	5	2	7	13	10	14	16	7	8	1	7	11	17	10	6	9	6	6	11	11	7	9	9	10	9	5	10	2	6	4	10	8	32	22	7	14	33	4	0	1	4	2	1	0	3	1	2	0	7	0	2	2	21	7	4	2	0	0	2	2	1	1	2	2	8	2	0	24	21	27	56	29	0	1	0	2	1	1	3	1	2	0	17	9	8	14	16	9	2	3	11	1					
		1.16%	2.00%	1.35%	0.77%	1.41%	0.83%	1.29%	1.24%	1.01%	1.28%	0.12%	1.30%	1.20%	0.95%	0.96%	0.64%	1.96%	0.55%	1.10%	0.89%	1.28%	0.58%	1.12%	0.48%	0.23%	0.78%	1.07%	0.76%	0.97%	1.24%	0.61%	1.33%	0.09%	0.44%	0.97%	1.36%	0.65%	0.43%	0.72%	0.51%	0.67%	1.02%	0.75%	0.57%	1.02%	0.83%	0.88%	0.66%	0.49%	0.83%	0.18%	0.63%	0.43%	0.85%	0.74%	2.58%	1.84%	1.87%	2.69%	3.78%	0.60%	0.0%	0.21%	1.89%	3.38%	0.68%	0.0%	1.85%	0.72%	0.60%	0.0%	1.76%	0.0%	1.6%	3.07%	1.30%	1.88%	0.91%	2.06%	0.0%	0.0%	2.32%	0.91%	3.84%	0.38%	2.12%	6.66%	2.64%	5.71%	0.0%	1.79%	1.65%	1.92%	3.78%	1.75%	0.0%	5.0%	0.0%	1.53%	1.11%	2.04%	0.97%	0.55%	2.32%	0.0%	1.71%	1.76%	2.75%	1.28%	4.10%	2.55%	1.49%	1.87%	4.0%	0.58%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2404	23	10	22	6	28	18	27	23	13	34	32	20	24	57	9	19	24	20	15	40	28	23	30	26	18	26	43	53	29	64	19	43	66	35	46	55	37	37	30	31	34	61	52	23	22	33	32	29	36	27	36	26	29	31	50	37	8	12	22	97	4	21	9	3	12	11	3	2	11	0	25	2	9	1	59	10	18	11	45	33	2	16	4	2	3	1	21	2	1	7	10	15	11	6	4	1	1	8	4	2	10	12	8	5	9	10	5	10	6	8	2	2	7	0					
		3.09%	1.92%	1.69%	3.41%	1.41%	3.33%	4.67%	3.34%	2.59%	2.08%	4.31%	3.48%	2.67%	2.28%	4.23%	1.93%	2.33%	2.21%	2.76%	2.23%	3.96%	3.27%	3.70%	2.93%	3.10%	2.02%	2.15%	3.31%	3.68%	2.24%	5.59%	3.17%	4.22%	4.15%	3.11%	3.68%	3.60%	2.66%	2.96%	2.58%	3.47%	3.15%	4.18%	4.29%	2.61%	2.04%	2.92%	2.37%	2.88%	3.02%	2.53%	3.82%	2.81%	2.47%	2.88%	4.03%	3.09%	2.13%	2.31%	2.52%	14.63%	7.54%	4.43%	4.26%	5.08%	8.21%	8.14%	1.85%	1.45%	3.31%	0.0%	6.31%	8.0%	7.2%	1.53%	3.66%	2.69%	4.10%	11.34%	19.31%	33.67%	2.32%	7.33%	15.38%	0.77%	3.19%	3.33%	6.93%	5.71%	5.0%	0.52%	0.78%	1.06%	0.74%	0.36%	6.66%	5.0%	3.84%	6.15%	4.44%	4.08%	3.24%	6.70%	9.30%	10.0%	0.90%	1.95%	1.72%	0.91%	1.53%	2.27%	1.49%	1.25%	2.54%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2242	36	17	17	15	35	10	22	34	37	35	33	23	23	33	19	27	33	21	31	26	27	36	30	25	33	37	43	38	31	42	20	34	44	25	49	37	60	41	56	42	41	58	43	43	38	49	45	43	38	36	22	49	34	38	16	10	15	9	13	10	0	11	5	3	4	3	3	2	2	0	17	1	3	1	24	8	19	3	7	2	3	2	0	4	12	1	5	1	2	36	35	14	5	7	0	0	3	1	5	0	6	6	2	3	5	6	7	9	6	5	1	2	2	1					
		2.89%	3.01%	2.88%	2.63%	3.52%	4.16%	2.59%	2.72%	3.83%	5.92%	4.44%	3.59%	3.07%	2.18%	2.44%	4.08%	3.32%	3.04%	2.90%	4.62%	2.57%	3.15%	5.79%	2.93%	2.98%	3.70%	3.06%	3.31%	2.64%	2.40%	3.67%	3.34%	3.33%	2.77%	2.22%	3.92%	2.42%	4.31%	3.29%	4.82%	4.70%	3.80%	3.98%	3.54%	4.88%	3.52%	4.34%	3.33%	4.28%	3.18%	3.38%	2.33%	5.31%	2.89%	3.53%	1.29%	0.83%	4.01%	1.73%	1.48%	1.50%	0.0%	2.32%	2.36%	5.08%	2.73%	2.22%	1.85%	1.45%	0.60%	0.0%	4.29%	4.0%	2.4%	1.53%	1.49%	2.15%	4.32%	3.09%	3.00%	2.04%	3.48%	0.91%	0.0%	1.55%	12.76%	3.33%	1.65%	2.85%	10.0%	2.69%	2.75%	0.99%	0.33%	0.42%	0.0%	0.0%	11.53%	0.76%	5.55%	0.0%	1.94%	3.35%	2.32%	6.0%	0.50%	1.17%	2.41%	0.82%	1.53%	1.42%	0.74%	1.25%	0.72%	0.58%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3448	34	21	18	14	32	21	32	33	24	37	42	34	58	83	21	26	63	24	28	54	44	45	37	51	24	48	73	63	39	72	29	66	116	46	74	67	61	57	56	44	43	90	64	40	54	57	75	34	51	59	38	42	57	53	33	44	8	40	11	81	9	43	14	3	9	5	9	4	40	0	45	2	5	11	78	12	40	7	48	26	2	40	3	11	4	3	11	3	0	23	17	13	6	4	3	0	0	10	4	2	15	22	11	9	3	9	3	7	2	6	1	4	1	1					
		4.44%	2.84%	3.55%	2.79%	3.29%	3.80%	5.45%	3.97%	3.72%	3.84%	4.69%	4.57%	4.55%	5.51%	6.16%	4.51%	3.19%	5.81%	3.31%	4.17%	5.34%	5.14%	7.24%	3.62%	6.09%	2.69%	3.98%	5.61%	4.37%	3.02%	6.29%	4.84%	6.48%	7.30%	4.09%	5.93%	4.38%	4.39%	4.57%	4.82%	4.93%	3.99%	6.18%	5.28%	4.54%	5.01%	5.05%	5.55%	3.38%	4.27%	5.55%	4.03%	4.55%	4.85%	4.93%	2.66%	3.68%	2.13%	7.70%	1.26%	12.21%	16.98%	9.07%	6.63%	5.08%	6.16%	3.70%	5.55%	2.91%	12.04%	0.0%	11.36%	8.0%	4.0%	16.92%	4.84%	3.23%	9.11%	7.21%	20.60%	26.53%	2.32%	18.34%	11.53%	4.28%	4.25%	10.0%	3.63%	8.57%	0.0%	1.72%	1.33%	0.92%	0.40%	0.24%	5.0%	0.0%	0.0%	7.69%	4.44%	4.08%	4.87%	12.29%	12.79%	18.0%	0.30%	1.76%	1.03%	0.64%	0.51%	1.70%	0.74%	2.5%	0.36%	0.58%					
22	"5. ""За Русь Святую"""	477	9	5	4	4	6	0	5	6	6	6	6	6	10	5	6	9	4	1	5	11	8	10	10	4	5	8	7	6	7	10	2	5	8	1	13	9	10	10	12	8	7	8	5	6	11	5	8	6	5	5	10	4	9	6	8	6	1	2	5	5	0	2	4	0	0	1	1	0	4	0	2	1	0	0	7	3	5	0	0	0	4	0	1	0	2	0	1	0	0	10	5	6	1	3	0	0	0	0	1	1	3	0	1	0	2	1	1	2	6	3	0	1	3	0					
		0.61%	0.75%	0.84%	0.62%	0.94%	0.71%	0.0%	0.62%	0.67%	0.96%	0.76%	0.65%	0.80%	0.95%	0.37%	1.29%	1.10%	0.36%	0.13%	0.74%	1.08%	0.93%	1.61%	0.97%	0.47%	0.56%	0.66%	0.53%	0.41%	0.54%	0.87%	0.33%	0.49%	0.50%	0.08%	1.04%	0.58%	0.71%	0.80%	1.03%	0.89%	0.64%	0.54%	0.41%	0.68%	1.02%	0.44%	0.59%	0.59%	0.41%	0.47%	1.06%	0.43%	0.76%	0.55%	0.64%	0.50%	0.26%	0.38%	0.57%	0.75%	0.0%	0.42%	1.89%	0.0%	0.0%	0.74%	0.61%	0.0%	1.20%	0.0%	0.50%	4.0%	0.0%	0.0%	0.43%	0.80%	1.13%	0.0%	0.0%	0.0%	4.65%	0.0%	3.84%	0.0%	2.12%	0.0%	0.33%	0.0%	0.0%	0.74%	0.39%	0.42%	0.06%	0.18%	0.0%	0.0%	0.0%	0.0%	1.11%	2.04%	0.97%	0.0%	1.16%	0.0%	0.20%	0.19%	0.34%	0.18%	1.53%	0.85%	0.0%	0.62%	1.09%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	188	6	1	3	1	2	2	1	2	0	2	3	2	0	0	1	3	3	1	3	1	4	4	5	6	0	3	2	1	1	4	3	1	2	1	5	1	2	3	4	2	1	4	1	5	0	1	5	2	0	2	1	0	1	1	8	9	0	0	2	2	1	1	0	0	0	1	0	0	1	0	0	0	0	0	4	4	3	0	0	0	0	1	0	0	3	1	1	0	0	3	3	6	7	4	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	2	1	0	0	0					
		0.24%	0.50%	0.16%	0.46%	0.23%	0.23%	0.51%	0.12%	0.22%	0.0%	0.25%	0.32%	0.26%	0.0%	0.0%	0.21%	0.36%	0.27%	0.13%	0.44%	0.09%	0.46%	0.64%	0.48%	0.71%	0.0%	0.24%	0.15%	0.06%	0.07%	0.34%	0.50%	0.09%	0.12%	0.08%	0.40%	0.06%	0.14%	0.24%	0.34%	0.22%	0.09%	0.27%	0.08%	0.56%	0.0%	0.08%	0.37%	0.19%	0.0%	0.18%	0.10%	0.0%	0.08%	0.09%	0.64%	0.75%	0.0%	0.0%	0.22%	0.30%	1.88%	0.21%	0.0%	0.0%	0.0%	0.74%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	1.07%	0.68%	0.0%	0.0%	0.0%	0.0%	0.45%	0.0%	0.0%	3.19%	3.33%	0.33%	0.0%	0.0%	0.22%	0.23%	0.42%	0.47%	0.24%	0.0%	0.0%	0.0%	0.0%	1.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.34%	0.09%	0.25%	0.56%	0.74%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	924	13	12	10	10	8	5	13	4	10	14	6	12	15	15	13	12	21	5	10	15	18	6	16	6	14	24	22	32	20	13	3	18	25	13	14	24	17	24	7	3	12	12	21	10	14	17	7	11	22	13	15	14	15	21	30	14	4	1	2	8	1	6	6	0	4	1	0	1	4	0	5	0	4	1	12	3	2	1	2	0	1	0	0	2	2	0	1	0	0	2	5	5	10	1	1	0	0	2	0	0	14	1	0	1	2	1	0	2	3	3	3	1	1	2					
		1.19%	1.08%	2.03%	1.55%	2.35%	0.95%	1.29%	1.61%	0.45%	1.6%	1.77%	0.65%	1.60%	1.42%	1.11%	2.79%	1.47%	1.93%	0.69%	1.49%	1.48%	2.10%	0.96%	1.56%	0.71%	1.57%	1.99%	1.69%	2.22%	1.55%	1.13%	0.50%	1.76%	1.57%	1.15%	1.12%	1.57%	1.22%	1.92%	0.60%	0.33%	1.11%	0.82%	1.73%	1.13%	1.29%	1.50%	0.51%	1.09%	1.84%	1.22%	1.59%	1.51%	1.27%	1.95%	2.42%	1.17%	1.06%	0.19%	0.22%	1.20%	1.88%	1.26%	2.84%	0.0%	2.73%	0.74%	0.0%	0.72%	1.20%	0.0%	1.26%	0.0%	3.2%	1.53%	0.74%	0.80%	0.45%	1.03%	0.85%	0.0%	1.16%	0.0%	0.0%	0.77%	2.12%	0.0%	0.33%	0.0%	0.0%	0.14%	0.39%	0.35%	0.67%	0.06%	1.66%	0.0%	0.0%	1.53%	0.0%	0.0%	4.54%	0.55%	0.0%	2.0%	0.20%	0.19%	0.0%	0.18%	0.76%	0.85%	2.23%	0.62%	0.36%	1.17%					
25	"8. ""Народно-республиканская партия России"""	83	3	0	3	2	3	0	0	2	3	0	1	1	0	0	2	0	2	0	1	3	0	0	0	2	1	0	1	0	1	1	3	2	1	0	2	1	0	0	2	1	0	3	1	0	0	0	2	2	1	1	0	1	1	1	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	9	0	0	0					
		0.10%	0.25%	0.0%	0.46%	0.47%	0.35%	0.0%	0.0%	0.22%	0.48%	0.0%	0.10%	0.13%	0.0%	0.0%	0.43%	0.0%	0.18%	0.0%	0.14%	0.29%	0.0%	0.0%	0.0%	0.23%	0.11%	0.0%	0.07%	0.0%	0.07%	0.08%	0.50%	0.19%	0.06%	0.0%	0.16%	0.06%	0.0%	0.0%	0.17%	0.11%	0.0%	0.20%	0.08%	0.0%	0.0%	0.0%	0.14%	0.19%	0.08%	0.09%	0.0%	0.10%	0.08%	0.09%	0.0%	0.08%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.94%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.25%	0.28%	6.71%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	402	3	5	1	0	5	1	4	2	3	1	2	5	5	3	1	2	2	3	1	8	2	1	5	2	0	3	4	13	4	3	2	7	7	5	5	8	7	5	5	3	3	8	6	4	6	5	2	8	6	9	7	10	5	3	14	10	2	3	3	6	1	10	3	3	7	3	2	4	3	0	4	0	2	2	9	0	11	0	3	3	4	0	0	3	1	0	5	2	0	2	1	4	3	1	0	0	1	2	3	0	4	4	2	2	7	1	1	5	2	0	0	3	1	0					
