Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Улаганская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126									
		4.66%	0.00%	1.82%	0.00%	7.49%	3.33%	2.32%	2.67%	8.38%	1.67%	4.06%	2.40%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	92	4	9	1	6	0	5	1	27	6	27	6									
		2.48%	2.74%	3.27%	0.85%	1.55%	0.00%	1.93%	1.33%	2.76%	2.50%	3.13%	2.40%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	35	0	3	1	4	0	3	0	14	1	8	1									
		0.94%	0.00%	1.09%	0.85%	1.03%	0.00%	1.16%	0.00%	1.43%	0.42%	0.93%	0.40%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2300	103	162	98	270	91	184	54	471	161	527	179									
		61.98%	70.55%	58.91%	83.05%	69.77%	75.83%	71.04%	72.00%	48.11%	67.08%	61.14%	71.60%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	15	3	0	1	1	0	0	0	5	0	4	1									
		0.40%	2.05%	0.00%	0.85%	0.26%	0.00%	0.00%	0.00%	0.51%	0.00%	0.46%	0.40%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	0	0	0	0	0	0	0	3	0	0	0									
		0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	182	3	4	2	9	9	8	1	124	1	21	0									
		4.90%	2.05%	1.45%	1.69%	2.33%	7.50%	3.09%	1.33%	12.67%	0.42%	2.44%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	15	0	1	0	0	1	3	0	2	2	4	2									
		0.40%	0.00%	0.36%	0.00%	0.00%	0.83%	1.16%	0.00%	0.20%	0.83%	0.46%	0.80%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	6	0	0	0	1	0	2	0	1	0	1	1									
		0.16%	0.00%	0.00%	0.00%	0.26%	0.00%	0.77%	0.00%	0.10%	0.00%	0.12%	0.40%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	10	0	1	0	1	0	0	1	4	0	3	0									
		0.27%	0.00%	0.36%	0.00%	0.26%	0.00%	0.00%	1.33%	0.41%	0.00%	0.35%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	517	20	61	11	35	8	33	2	161	44	115	27									
		13.93%	13.70%	22.18%	9.32%	9.04%	6.67%	12.74%	2.67%	16.45%	18.33%	13.34%	10.80%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	12	0	0	0	3	0	0	2	4	0	3	0									
		0.32%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	2.67%	0.41%	0.00%	0.35%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	259	5	19	3	11	5	13	11	57	16	97	22									
		6.98%	3.42%	6.91%	2.54%	2.84%	4.17%	5.02%	14.67%	5.82%	6.67%	11.25%	8.80%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
