Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																						
Дата голосования: 18.09.2016																																																																						
																																																																						
Наименование Избирательной комиссии:    Заводоуковская																																																																						
																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																						
																																																																						
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	218	5	36	7	0	0	7	5	13	7	31	11	1	5	0	2	10	12	1	0	3	1	0	2	0	5	1	0	0	1	0	2	0	1	4	4	0	2	2	0	1	4	6	1	1	0	0	1	1	8	0	0	0	6	3	1	0	2	0	2									
		0.70%	0.70%	3.70%	0.74%	0.00%	0.00%	0.67%	0.52%	1.12%	1.06%	1.56%	0.83%	0.20%	0.63%	0.00%	0.97%	1.14%	1.36%	0.23%	0.00%	1.09%	0.50%	0.00%	0.63%	0.00%	0.59%	0.32%	0.00%	0.00%	0.18%	0.00%	0.63%	0.00%	0.85%	0.77%	0.82%	0.00%	0.37%	2.60%	0.00%	0.09%	0.94%	0.69%	0.48%	0.43%	0.00%	0.00%	0.27%	0.43%	1.14%	0.00%	0.00%	0.00%	4.14%	0.58%	0.20%	0.00%	0.53%	0.00%	0.95%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	404	10	18	18	4	3	28	2	13	11	38	17	10	0	69	5	18	12	2	6	11	1	3	3	0	6	4	0	7	3	0	6	6	2	3	3	0	3	0	7	5	7	14	3	2	3	0	3	0	0	0	0	2	1	3	4	0	3	0	2									
		1.30%	1.41%	1.85%	1.90%	0.55%	0.20%	2.67%	0.21%	1.12%	1.66%	1.92%	1.28%	2.04%	0.00%	6.08%	2.42%	2.06%	1.36%	0.47%	3.26%	4.00%	0.50%	1.13%	0.94%	0.00%	0.71%	1.26%	0.00%	1.71%	0.55%	0.00%	1.88%	1.08%	1.71%	0.58%	0.62%	0.00%	0.56%	0.00%	1.58%	0.44%	1.64%	1.62%	1.44%	0.86%	1.50%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	2.25%	0.69%	0.58%	0.82%	0.00%	0.79%	0.00%	0.95%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	332	10	15	9	18	1	19	5	29	10	49	28	9	10	0	2	13	19	0	0	4	3	2	0	0	4	5	1	0	2	8	0	0	1	0	2	0	2	3	12	2	6	12	1	0	0	0	2	4	3	0	0	1	0	4	1	0	1	0	0									
		1.07%	1.41%	1.54%	0.95%	2.49%	0.07%	1.81%	0.52%	2.49%	1.51%	2.47%	2.11%	1.84%	1.25%	0.00%	0.97%	1.49%	2.16%	0.00%	0.00%	1.45%	1.49%	0.75%	0.00%	0.00%	0.47%	1.58%	0.87%	0.00%	0.37%	1.86%	0.00%	0.00%	0.85%	0.00%	0.41%	0.00%	0.37%	3.90%	2.71%	0.18%	1.41%	1.39%	0.48%	0.00%	0.00%	0.00%	0.55%	1.74%	0.43%	0.00%	0.00%	1.12%	0.00%	0.77%	0.20%	0.00%	0.26%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	18332	362	545	566	359	631	518	479	670	325	946	751	246	392	575	112	395	581	290	128	135	146	185	229	96	587	225	86	255	346	297	208	379	91	353	338	91	378	60	312	675	258	517	171	195	138	127	232	161	455	73	130	60	101	335	333	158	280	119	146									
		59.03%	50.99%	56.01%	59.64%	49.59%	41.08%	49.33%	49.53%	57.51%	49.09%	47.75%	56.47%	50.20%	49.06%	50.66%	54.11%	45.14%	65.95%	67.92%	69.57%	49.09%	72.64%	69.81%	71.56%	65.75%	69.06%	70.98%	74.78%	62.35%	63.72%	69.07%	65.00%	68.29%	77.78%	67.88%	69.69%	81.98%	70.00%	77.92%	70.59%	60.00%	60.56%	59.70%	81.82%	84.05%	69.00%	84.67%	63.74%	70.00%	65.00%	82.95%	71.04%	67.42%	69.66%	64.80%	67.96%	77.45%	73.68%	73.46%	69.52%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	129	11	10	6	6	0	10	6	5	7	11	11	3	0	0	1	3	3	3	2	1	1	0	0	0	0	3	0	0	3	2	5	1	0	0	0	0	2	0	1	0	1	2	0	0	0	0	2	0	0	0	0	0	0	3	2	0	1	0	1									
		0.42%	1.55%	1.03%	0.63%	0.83%	0.00%	0.95%	0.62%	0.43%	1.06%	0.56%	0.83%	0.61%	0.00%	0.00%	0.48%	0.34%	0.34%	0.70%	1.09%	0.36%	0.50%	0.00%	0.00%	0.00%	0.00%	0.95%	0.00%	0.00%	0.55%	0.47%	1.56%	0.18%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.23%	0.00%	0.23%	0.23%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.41%	0.00%	0.26%	0.00%	0.48%									
24	"6. Политическая партия ""Гражданская Платформа"""	56	2	2	2	1	1	1	2	1	4	6	1	2	0	0	0	3	2	2	0	3	0	0	0	0	1	0	0	1	2	0	0	0	0	0	2	0	2	0	4	3	1	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0									
		0.18%	0.28%	0.21%	0.21%	0.14%	0.07%	0.10%	0.21%	0.09%	0.60%	0.30%	0.08%	0.41%	0.00%	0.00%	0.00%	0.34%	0.23%	0.47%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.24%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.37%	0.00%	0.90%	0.27%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.12%	0.00%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5133	134	146	131	121	220	264	168	150	160	531	269	115	155	188	50	289	115	57	22	66	31	38	38	23	95	47	8	46	73	34	49	55	10	67	55	6	56	5	68	178	83	127	18	12	24	8	43	27	103	9	38	8	17	72	77	33	44	27	30									
		16.53%	18.87%	15.01%	13.80%	16.71%	14.32%	25.14%	17.37%	12.88%	24.17%	26.80%	20.23%	23.47%	19.40%	16.56%	24.15%	33.03%	13.05%	13.35%	11.96%	24.00%	15.42%	14.34%	11.88%	15.75%	11.18%	14.83%	6.96%	11.25%	13.44%	7.91%	15.31%	9.91%	8.55%	12.88%	11.34%	5.41%	10.37%	6.49%	15.38%	15.82%	19.48%	14.67%	8.61%	5.17%	12.00%	5.33%	11.81%	11.74%	14.71%	10.23%	20.77%	8.99%	11.72%	13.93%	15.71%	16.18%	11.58%	16.67%	14.29%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	73	5	6	4	0	3	2	1	5	4	14	4	2	3	0	0	3	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	2	3	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1									
		0.24%	0.70%	0.62%	0.42%	0.00%	0.20%	0.19%	0.10%	0.43%	0.60%	0.71%	0.30%	0.41%	0.38%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.36%	0.50%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.90%	0.00%	0.47%	0.35%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.20%	0.00%	0.00%	0.00%	0.48%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	121	6	10	10	0	4	5	1	5	4	7	9	7	0	0	3	7	2	0	1	3	1	0	3	0	0	1	0	1	2	4	0	0	1	1	1	0	1	0	4	4	1	5	0	4	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0									
		0.39%	0.85%	1.03%	1.05%	0.00%	0.26%	0.48%	0.10%	0.43%	0.60%	0.35%	0.68%	1.43%	0.00%	0.00%	1.45%	0.80%	0.23%	0.00%	0.54%	1.09%	0.50%	0.00%	0.94%	0.00%	0.00%	0.32%	0.00%	0.24%	0.37%	0.93%	0.00%	0.00%	0.85%	0.19%	0.21%	0.00%	0.19%	0.00%	0.90%	0.36%	0.23%	0.58%	0.00%	1.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.12%	0.00%	0.19%	0.00%	0.00%	0.26%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	52	2	1	1	1	0	2	1	2	3	2	1	1	0	0	0	3	4	0	0	2	1	1	0	0	3	2	1	5	1	0	0	1	0	0	1	0	1	0	2	1	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1									
		0.17%	0.28%	0.10%	0.11%	0.14%	0.00%	0.19%	0.10%	0.17%	0.45%	0.10%	0.08%	0.20%	0.00%	0.00%	0.00%	0.34%	0.45%	0.00%	0.00%	0.73%	0.50%	0.38%	0.00%	0.00%	0.35%	0.63%	0.87%	1.22%	0.18%	0.00%	0.00%	0.18%	0.00%	0.00%	0.21%	0.00%	0.19%	0.00%	0.45%	0.09%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	1.12%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.48%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	159	9	9	2	1	10	13	5	9	5	20	8	8	3	0	1	13	8	2	1	0	1	0	0	0	0	0	3	5	0	2	0	0	0	2	0	0	2	0	3	2	4	0	0	2	0	0	0	0	1	0	0	1	0	2	1	0	0	0	1									
		0.51%	1.27%	0.92%	0.21%	0.14%	0.65%	1.24%	0.52%	0.77%	0.76%	1.01%	0.60%	1.63%	0.38%	0.00%	0.48%	1.49%	0.91%	0.47%	0.54%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	2.61%	1.22%	0.00%	0.47%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.37%	0.00%	0.68%	0.18%	0.94%	0.00%	0.00%	0.86%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	1.12%	0.00%	0.39%	0.20%	0.00%	0.00%	0.00%	0.48%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3073	42	73	69	116	246	98	169	107	58	175	115	40	108	147	24	59	74	52	14	33	11	20	22	15	77	15	9	57	66	61	33	61	7	57	43	11	55	5	18	152	34	53	10	9	19	6	36	16	80	3	15	8	17	53	46	8	27	8	11									
		9.90%	5.92%	7.50%	7.27%	16.02%	16.02%	9.33%	17.48%	9.18%	8.76%	8.83%	8.65%	8.16%	13.52%	12.95%	11.59%	6.74%	8.40%	12.18%	7.61%	12.00%	5.47%	7.55%	6.88%	10.27%	9.06%	4.73%	7.83%	13.94%	12.15%	14.19%	10.31%	10.99%	5.98%	10.96%	8.87%	9.91%	10.19%	6.49%	4.07%	13.51%	7.98%	6.12%	4.78%	3.88%	9.50%	4.00%	9.89%	6.96%	11.43%	3.41%	8.20%	8.99%	11.72%	10.25%	9.39%	3.92%	7.11%	4.94%	5.24%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	101	2	3	1	1	9	3	4	4	7	9	4	2	0	0	2	2	2	0	0	0	1	0	0	0	0	0	1	1	3	0	2	14	0	0	0	0	0	0	1	1	3	4	0	0	4	5	0	1	1	1	0	0	0	0	0	1	0	0	2									
		0.33%	0.28%	0.31%	0.11%	0.14%	0.59%	0.29%	0.41%	0.34%	1.06%	0.45%	0.30%	0.41%	0.00%	0.00%	0.97%	0.23%	0.23%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.87%	0.24%	0.55%	0.00%	0.63%	2.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.09%	0.70%	0.46%	0.00%	0.00%	2.00%	3.33%	0.00%	0.43%	0.14%	1.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.95%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2683	109	99	110	88	404	54	115	132	40	117	86	35	115	154	4	47	41	18	10	7	2	15	23	12	70	14	6	30	38	21	15	37	4	33	36	3	36	2	6	101	22	119	5	7	12	4	43	20	47	2	0	6	3	35	24	4	20	8	13									
		8.64%	15.35%	10.17%	11.59%	12.15%	26.30%	5.14%	11.89%	11.33%	6.04%	5.91%	6.47%	7.14%	14.39%	13.57%	1.93%	5.37%	4.65%	4.22%	5.43%	2.55%	0.99%	5.66%	7.19%	8.22%	8.24%	4.42%	5.22%	7.33%	6.99%	4.88%	4.69%	6.67%	3.42%	6.35%	7.42%	2.70%	6.67%	2.60%	1.36%	8.98%	5.16%	13.74%	2.39%	3.02%	6.00%	2.67%	11.81%	8.70%	6.71%	2.27%	0.00%	6.74%	2.07%	6.77%	4.90%	1.96%	5.26%	4.94%	6.19%									
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
																																																																						
