Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Касимовская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	267	5	5	2	2	7	2	2	8	13	2	2	2	2	7	3	2	6	11	2	2	3	18	9	9	4	14	2	2	3	8	3	5	2	2	5	7	13	3	2	3	11	6	2	11	11	2	14	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	151	1	3	1	0	5	0	0	4	9	1	0	0	0	3	0	0	2	4	0	1	2	13	4	9	4	8	0	0	2	5	2	1	0	0	3	4	11	1	0	2	7	6	0	6	10	2	9	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	223	5	2	2	3	1	3	1	2	5	2	2	0	2	7	5	5	2	17	2	4	3	16	1	7	5	12	1	4	6	4	0	6	1	1	1	2	3	3	1	3	16	4	0	11	5	2	8	25									
14	Число погашенных неиспользованных открепительных удостоверений	116	4	2	1	2	2	2	2	4	4	1	2	2	2	4	3	2	4	7	2	1	1	5	5	0	0	6	2	2	1	3	1	4	2	2	2	3	2	2	2	1	4	0	2	5	1	0	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	119	2	0	4	3	1	1	1	3	4	2	2	1	0	1	0	0	0	4	2	4	0	9	2	9	1	3	1	0	3	9	3	3	0	1	2	2	6	2	0	0	0	4	2	6	2	1	3	10									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	144	2	1	3	1	5	0	0	6	2	2	1	2	1	27	0	1	2	1	1	1	1	6	3	2	2	4	0	0	6	2	0	3	0	0	3	2	1	1	1	1	5	0	3	18	6	0	7	8									
		1.28%	0.77%	0.35%	2.19%	0.80%	3.14%	0.00%	0.00%	2.47%	0.60%	1.67%	0.47%	2.11%	1.12%	11.84%	0.00%	1.19%	1.85%	0.30%	0.70%	0.60%	0.50%	0.93%	1.47%	0.62%	1.00%	1.06%	0.00%	0.00%	2.05%	0.69%	0.00%	1.05%	0.00%	0.00%	1.76%	1.35%	0.30%	0.47%	1.43%	0.60%	1.23%	0.00%	5.45%	2.29%	1.59%	0.00%	1.47%	1.03%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	384	4	13	4	2	10	3	4	10	18	3	13	1	1	4	4	1	1	9	5	3	11	22	5	15	16	7	3	2	9	6	5	14	1	6	0	6	11	5	2	4	18	17	2	15	19	1	26	23									
		3.40%	1.54%	4.56%	2.92%	1.60%	6.29%	3.66%	4.08%	4.12%	5.42%	2.50%	6.07%	1.05%	1.12%	1.75%	3.28%	1.19%	0.93%	2.67%	3.50%	1.80%	5.50%	3.40%	2.45%	4.66%	8.00%	1.86%	3.33%	2.30%	3.07%	2.08%	1.97%	4.88%	0.65%	6.82%	0.00%	4.05%	3.33%	2.36%	2.86%	2.41%	4.43%	5.31%	3.64%	1.91%	5.04%	1.41%	5.46%	2.98%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	293	2	8	2	5	5	0	1	14	2	1	3	5	1	2	0	1	6	8	1	0	4	14	11	4	3	16	4	1	11	18	8	8	5	0	3	3	13	10	0	3	11	9	3	15	9	0	27	13									
		2.60%	0.77%	2.81%	1.46%	4.00%	3.14%	0.00%	1.02%	5.76%	0.60%	0.83%	1.40%	5.26%	1.12%	0.88%	0.00%	1.19%	5.56%	2.37%	0.70%	0.00%	2.00%	2.16%	5.39%	1.24%	1.50%	4.26%	4.44%	1.15%	3.75%	6.23%	3.15%	2.79%	3.23%	0.00%	1.76%	2.03%	3.94%	4.72%	0.00%	1.81%	2.71%	2.81%	5.45%	1.91%	2.39%	0.00%	5.67%	1.68%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6361	160	165	78	73	79	48	60	123	207	85	123	50	55	149	77	53	55	221	65	110	113	300	104	161	106	201	38	67	163	148	182	193	117	56	107	82	149	133	53	121	160	168	32	420	165	59	246	481									
		56.40%	61.78%	57.89%	56.93%	58.40%	49.69%	58.54%	61.22%	50.62%	62.35%	70.83%	57.48%	52.63%	61.80%	65.35%	63.11%	63.10%	50.93%	65.58%	45.45%	65.87%	56.50%	46.37%	50.98%	50.00%	53.00%	53.46%	42.22%	77.01%	55.63%	51.21%	71.65%	67.25%	75.48%	63.64%	62.94%	55.41%	45.15%	62.74%	75.71%	72.89%	39.41%	52.50%	58.18%	53.50%	43.77%	83.10%	51.68%	62.23%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	55	2	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	2	0	4	1	3	0	0	2	1	1	1	2	0	2	1	3	0	0	1	1	3	0	3	4	0	5	6									
		0.49%	0.77%	0.35%	0.00%	0.00%	0.63%	1.22%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	1.12%	0.44%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	1.24%	0.50%	0.80%	0.00%	0.00%	0.68%	0.35%	0.39%	0.35%	1.29%	0.00%	1.18%	0.68%	0.91%	0.00%	0.00%	0.60%	0.25%	0.94%	0.00%	0.38%	1.06%	0.00%	1.05%	0.78%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	5	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0									
		0.17%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.47%	1.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.60%	0.00%	0.77%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.31%	1.82%	0.00%	0.00%	0.00%	0.21%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1855	44	43	30	20	27	12	19	46	62	13	27	21	19	22	15	8	25	38	38	34	50	145	47	59	37	62	31	13	47	40	35	27	18	9	32	25	65	41	6	15	68	38	3	136	69	9	85	80									
		16.45%	16.99%	15.09%	21.90%	16.00%	16.98%	14.63%	19.39%	18.93%	18.67%	10.83%	12.62%	22.11%	21.35%	9.65%	12.30%	9.52%	23.15%	11.28%	26.57%	20.36%	25.00%	22.41%	23.04%	18.32%	18.50%	16.49%	34.44%	14.94%	16.04%	13.84%	13.78%	9.41%	11.61%	10.23%	18.82%	16.89%	19.70%	19.34%	8.57%	9.04%	16.75%	11.88%	5.45%	17.32%	18.30%	12.68%	17.86%	10.35%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	49	2	3	0	0	1	0	0	0	0	0	0	0	0	3	0	2	0	0	1	1	0	5	1	1	0	3	2	0	3	1	0	4	0	0	0	2	0	0	0	0	1	1	1	3	2	0	2	4									
		0.43%	0.77%	1.05%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	2.38%	0.00%	0.00%	0.70%	0.60%	0.00%	0.77%	0.49%	0.31%	0.00%	0.80%	2.22%	0.00%	1.02%	0.35%	0.00%	1.39%	0.00%	0.00%	0.00%	1.35%	0.00%	0.00%	0.00%	0.00%	0.25%	0.31%	1.82%	0.38%	0.53%	0.00%	0.42%	0.52%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	66	0	0	0	1	1	0	4	0	0	0	1	1	0	0	0	1	0	2	2	0	0	7	1	0	0	3	1	0	4	1	0	0	0	0	3	2	0	0	0	0	8	3	0	10	2	0	5	3									
		0.59%	0.00%	0.00%	0.00%	0.80%	0.63%	0.00%	4.08%	0.00%	0.00%	0.00%	0.47%	1.05%	0.00%	0.00%	0.00%	1.19%	0.00%	0.59%	1.40%	0.00%	0.00%	1.08%	0.49%	0.00%	0.00%	0.80%	1.11%	0.00%	1.37%	0.35%	0.00%	0.00%	0.00%	0.00%	1.76%	1.35%	0.00%	0.00%	0.00%	0.00%	1.97%	0.94%	0.00%	1.27%	0.53%	0.00%	1.05%	0.39%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	12	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	0	0	0	0									
		0.11%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	1.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.31%	1.82%	0.38%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	115	4	2	1	1	0	0	0	3	1	1	4	0	1	2	2	0	3	3	1	3	1	13	1	6	3	3	0	1	2	4	0	1	1	0	1	0	4	2	0	1	7	7	1	12	3	0	4	5									
		1.02%	1.54%	0.70%	0.73%	0.80%	0.00%	0.00%	0.00%	1.23%	0.30%	0.83%	1.87%	0.00%	1.12%	0.88%	1.64%	0.00%	2.78%	0.89%	0.70%	1.80%	0.50%	2.01%	0.49%	1.86%	1.50%	0.80%	0.00%	1.15%	0.68%	1.38%	0.00%	0.35%	0.65%	0.00%	0.59%	0.00%	1.21%	0.94%	0.00%	0.60%	1.72%	2.19%	1.82%	1.53%	0.80%	0.00%	0.84%	0.65%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1498	31	31	13	17	22	15	7	32	32	13	38	13	7	17	15	13	11	46	25	11	16	83	29	49	24	56	9	2	35	51	13	29	8	15	13	17	57	10	8	15	112	66	8	117	76	2	49	120									
		13.28%	11.97%	10.88%	9.49%	13.60%	13.84%	18.29%	7.14%	13.17%	9.64%	10.83%	17.76%	13.68%	7.87%	7.46%	12.30%	15.48%	10.19%	13.65%	17.48%	6.59%	8.00%	12.83%	14.22%	15.22%	12.00%	14.89%	10.00%	2.30%	11.95%	17.65%	5.12%	10.10%	5.16%	17.05%	7.65%	11.49%	17.27%	4.72%	11.43%	9.04%	27.59%	20.63%	14.55%	14.90%	20.16%	2.82%	10.29%	15.52%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	38	1	2	0	1	1	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	2	0	1	1	0	0	1	2	2	0	1	0	0	1	0	1	2	0	1	0	0	0	8	4	0	1	0									
		0.34%	0.39%	0.70%	0.00%	0.80%	0.63%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.78%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.31%	0.50%	0.00%	0.00%	1.15%	0.68%	0.69%	0.00%	0.35%	0.00%	0.00%	0.59%	0.00%	0.30%	0.94%	0.00%	0.60%	0.00%	0.00%	0.00%	1.02%	1.06%	0.00%	0.21%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	256	0	11	6	2	2	3	1	4	3	2	1	1	0	1	5	2	1	4	1	0	2	32	1	14	6	14	2	0	5	11	6	2	3	0	1	6	18	7	0	3	8	4	0	16	10	0	11	24									
		2.27%	0.00%	3.86%	4.38%	1.60%	1.26%	3.66%	1.02%	1.65%	0.90%	1.67%	0.47%	1.05%	0.00%	0.44%	4.10%	2.38%	0.93%	1.19%	0.70%	0.00%	1.00%	4.95%	0.49%	4.35%	3.00%	3.72%	2.22%	0.00%	1.71%	3.81%	2.36%	0.70%	1.94%	0.00%	0.59%	4.05%	5.45%	3.30%	0.00%	1.81%	1.97%	1.25%	0.00%	2.04%	2.65%	0.00%	2.31%	3.10%									
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
