Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Косинская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №4901	УИК №4902	УИК №4903	УИК №4904	УИК №4905	УИК №4906	УИК №4907	УИК №4908	УИК №4909	УИК №4910	УИК №4911	УИК №4912	УИК №4913	УИК №4914	УИК №4915	УИК №4916	УИК №4917									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	14	6	3	0	0	1	0	1	1	0	0	0	0	2	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	18	11	1	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	179	31	12	5	5	9	13	9	9	10	8	10	10	8	10	15	10	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	3	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	27	15	0	0	0	0	0	1	2	0	0	0	1	2	2	3	0	1									
		1.15%	2.01%	0.00%	0.00%	0.00%	0.00%	0.00%	1.79%	1.71%	0.00%	0.00%	0.00%	1.03%	3.57%	4.00%	2.65%	0.00%	1.15%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	80	28	15	2	0	7	4	1	3	0	2	6	3	1	0	2	3	3									
		3.41%	3.75%	4.46%	6.06%	0.00%	4.86%	3.54%	1.79%	2.56%	0.00%	1.92%	3.70%	3.09%	1.79%	0.00%	1.77%	4.69%	3.45%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	48	16	7	0	4	2	2	3	0	0	3	3	3	1	0	3	1	0									
		2.04%	2.14%	2.08%	0.00%	12.90%	1.39%	1.77%	5.36%	0.00%	0.00%	2.88%	1.85%	3.09%	1.79%	0.00%	2.65%	1.56%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1081	293	131	14	15	54	59	26	70	23	66	68	42	26	24	75	41	54									
		46.04%	39.28%	38.99%	42.42%	48.39%	37.50%	52.21%	46.43%	59.83%	58.97%	63.46%	41.98%	43.30%	46.43%	48.00%	66.37%	64.06%	62.07%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	16	5	3	0	0	2	0	0	0	1	2	0	0	0	0	0	1	2									
		0.68%	0.67%	0.89%	0.00%	0.00%	1.39%	0.00%	0.00%	0.00%	2.56%	1.92%	0.00%	0.00%	0.00%	0.00%	0.00%	1.56%	2.30%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0									
		0.13%	0.00%	0.30%	0.00%	3.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.56%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	349	149	47	7	5	28	10	2	7	5	11	29	12	7	4	10	6	10									
		14.86%	19.97%	13.99%	21.21%	16.13%	19.44%	8.85%	3.57%	5.98%	12.82%	10.58%	17.90%	12.37%	12.50%	8.00%	8.85%	9.38%	11.49%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	14	8	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1									
		0.60%	1.07%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.23%	1.03%	0.00%	0.00%	0.00%	0.00%	1.15%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	4	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0									
		0.17%	0.13%	0.60%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0									
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	25	13	2	0	0	4	2	0	0	0	0	0	0	2	1	0	1	0									
		1.06%	1.74%	0.60%	0.00%	0.00%	2.78%	1.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	2.00%	0.00%	1.56%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	483	140	98	8	4	32	23	18	23	7	12	42	21	12	14	15	4	10									
		20.57%	18.77%	29.17%	24.24%	12.90%	22.22%	20.35%	32.14%	19.66%	17.95%	11.54%	25.93%	21.65%	21.43%	28.00%	13.27%	6.25%	11.49%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	8	1	0	0	0	0	0	1	1	0	0	1	2	1	0	0	0	1									
		0.34%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	1.79%	0.85%	0.00%	0.00%	0.62%	2.06%	1.79%	0.00%	0.00%	0.00%	1.15%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	104	52	13	0	1	6	3	0	2	2	0	6	6	2	3	1	4	3									
		4.43%	6.97%	3.87%	0.00%	3.23%	4.17%	2.65%	0.00%	1.71%	5.13%	0.00%	3.70%	6.19%	3.57%	6.00%	0.88%	6.25%	3.45%									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
