Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Еравнинская																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137	УИК  138	УИК  139	УИК  140	УИК  141	УИК  142	УИК  143	УИК  144	УИК  145	УИК  146	УИК  147	УИК  148					
		2.40%	3.97%	2.52%	4.10%	0.0%	2.89%	1.62%	1.17%	0.0%	2.26%	1.23%	3.70%	1.78%	2.65%	1.91%	1.77%	3.39%	2.55%	2.94%	4.34%	1.12%	2.60%	1.16%	1.21%	1.85%	1.65%	2.35%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	81	4	1	4	0	1	1	7	0	5	6	1	0	3	3	9	3	5	2	6	0	3	0	0	8	9	0					
		0.95%	0.72%	0.42%	0.86%	0.0%	0.48%	0.54%	1.36%	0.0%	1.25%	2.46%	1.85%	0.0%	0.53%	0.57%	1.99%	0.63%	0.91%	1.96%	2.17%	0.0%	0.46%	0.0%	0.0%	2.11%	1.35%	0.0%					
22	"5. ""За Русь Святую"""	21	0	3	1	0	0	0	1	0	0	0	0	1	0	2	0	1	0	0	1	1	3	1	1	0	4	1					
		0.24%	0.0%	1.26%	0.21%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.89%	0.0%	0.38%	0.0%	0.21%	0.0%	0.0%	0.36%	0.37%	0.46%	1.16%	0.60%	0.0%	0.60%	0.39%					
23	"6. ""Объединенная Российская партия ""Русь"""	13	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	6	0	0	0	2	0	0	0	1	0					
		0.15%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.19%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	1.09%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.15%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	31	2	0	4	0	2	0	2	0	0	0	0	0	2	4	3	1	0	0	2	0	2	0	0	3	3	1					
		0.36%	0.36%	0.0%	0.86%	0.0%	0.96%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.76%	0.66%	0.21%	0.0%	0.0%	0.72%	0.0%	0.30%	0.0%	0.0%	0.79%	0.45%	0.39%					
25	"8. ""Народно-республиканская партия России"""	20	2	0	1	0	0	0	1	0	3	0	0	0	0	1	1	0	1	0	1	1	2	0	0	2	3	1					
		0.23%	0.36%	0.0%	0.21%	0.0%	0.0%	0.0%	0.19%	0.0%	0.75%	0.0%	0.0%	0.0%	0.0%	0.19%	0.22%	0.0%	0.18%	0.0%	0.36%	0.37%	0.30%	0.0%	0.0%	0.52%	0.45%	0.39%					
26	"9. ""Российская экологическая партия ""Зеленые"""	18	1	2	0	0	1	2	0	0	2	1	0	0	0	0	1	2	0	0	0	0	2	0	0	0	4	0					
		0.21%	0.18%	0.84%	0.0%	0.0%	0.48%	1.08%	0.0%	0.0%	0.50%	0.41%	0.0%	0.0%	0.0%	0.0%	0.22%	0.42%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.60%	0.0%					
27	"10. ""Аграрная партия России"""	1032	148	6	62	2	13	24	74	9	48	32	1	2	45	35	40	24	32	24	41	83	78	25	5	62	77	40					
		12.22%	26.71%	2.52%	13.39%	4.44%	6.28%	12.97%	14.45%	27.27%	12.06%	13.16%	1.85%	1.78%	7.95%	6.71%	8.86%	5.09%	5.85%	23.52%	14.85%	31.08%	11.96%	29.06%	3.04%	16.40%	11.57%	15.68%					
28	"11. ""Истинные патриоты России"""	15	0	0	2	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	1	1	1	0	3	0	2	0					
		0.17%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.19%	0.0%	0.25%	0.0%	1.85%	0.89%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.36%	0.37%	0.15%	0.0%	1.82%	0.0%	0.30%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	120	10	1	5	0	3	6	7	0	6	3	0	2	13	15	5	12	8	0	3	2	2	1	1	7	7	1					
		1.42%	1.80%	0.42%	1.07%	0.0%	1.44%	3.24%	1.36%	0.0%	1.50%	1.23%	0.0%	1.78%	2.29%	2.87%	1.10%	2.54%	1.46%	0.0%	1.08%	0.74%	0.30%	1.16%	0.60%	1.85%	1.05%	0.39%					
30	"13. ""Демократическая партия России"""	21	3	0	1	0	1	0	2	0	0	0	0	2	2	4	2	0	1	0	0	0	1	0	0	0	2	0					
		0.24%	0.54%	0.0%	0.21%	0.0%	0.48%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	1.78%	0.35%	0.76%	0.44%	0.0%	0.18%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.30%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	22	0	1	2	0	0	2	1	0	0	1	0	0	0	1	2	1	0	1	1	0	1	1	1	3	3	0					
		0.26%	0.0%	0.42%	0.43%	0.0%	0.0%	1.08%	0.19%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.19%	0.44%	0.21%	0.0%	0.98%	0.36%	0.0%	0.15%	1.16%	0.60%	0.79%	0.45%	0.0%					
32	"15. ""Партия СЛОН"""	10	0	0	1	0	0	1	0	0	1	3	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1					
		0.11%	0.0%	0.0%	0.21%	0.0%	0.0%	0.54%	0.0%	0.0%	0.25%	1.23%	0.0%	0.0%	0.0%	0.19%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.39%					
33	"16. ""Родина"" (народно-патриотический союз)"""	220	6	10	18	1	5	2	13	0	8	1	3	3	11	9	19	16	25	2	3	8	28	1	8	8	11	1					
		2.60%	1.08%	4.20%	3.88%	2.22%	2.41%	1.08%	2.53%	0.0%	2.01%	0.41%	5.55%	2.67%	1.94%	1.72%	4.21%	3.39%	4.57%	1.96%	1.08%	2.99%	4.29%	1.16%	4.87%	2.11%	1.65%	0.39%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	38	3	0	2	0	0	3	2	0	2	1	0	1	0	2	0	0	2	1	0	1	5	1	1	0	9	2					
		0.44%	0.54%	0.0%	0.43%	0.0%	0.0%	1.62%	0.39%	0.0%	0.50%	0.41%	0.0%	0.89%	0.0%	0.38%	0.0%	0.0%	0.36%	0.98%	0.0%	0.37%	0.76%	1.16%	0.60%	0.0%	1.35%	0.78%					
35	"18. ""ЛДПР"""	506	40	20	12	0	13	3	23	1	43	2	7	13	20	36	25	20	31	3	14	10	56	3	18	12	79	2					
		5.99%	7.22%	8.40%	2.59%	0.0%	6.28%	1.62%	4.49%	3.03%	10.80%	0.82%	12.96%	11.60%	3.53%	6.90%	5.54%	4.24%	5.66%	2.94%	5.07%	3.74%	8.58%	3.48%	10.97%	3.17%	11.87%	0.78%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	522	26	9	33	1	16	11	43	5	7	13	0	5	60	48	57	37	46	7	10	8	22	0	4	16	28	10					
		6.18%	4.69%	3.78%	7.12%	2.22%	7.72%	5.94%	8.39%	15.15%	1.75%	5.34%	0.0%	4.46%	10.60%	9.21%	12.63%	7.85%	8.40%	6.86%	3.62%	2.99%	3.37%	0.0%	2.43%	4.23%	4.21%	3.92%					
37	"20. ""Политическая партия ""Единая Россия"""	2563	116	67	123	25	58	39	142	11	135	74	15	45	188	197	136	173	193	19	62	78	156	16	78	136	181	100					
		30.34%	20.93%	28.15%	26.56%	55.55%	28.01%	21.08%	27.73%	33.33%	33.91%	30.45%	27.77%	40.17%	33.21%	37.81%	30.15%	36.73%	35.28%	18.62%	22.46%	29.21%	23.92%	18.60%	47.56%	35.97%	27.21%	39.21%					
38	"21. ""Российская Конституционно-демократическая партия"""	14	0	0	1	0	0	1	2	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	1	2	0	2					
		0.16%	0.0%	0.0%	0.21%	0.0%	0.0%	0.54%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.38%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.60%	0.52%	0.0%	0.78%					
39	"22. ""Развитие предпринимательства"""	17	2	3	2	0	0	0	1	0	1	0	0	0	1	3	0	0	0	1	2	0	0	0	0	0	1	0					
		0.20%	0.36%	1.26%	0.43%	0.0%	0.0%	0.0%	0.19%	0.0%	0.25%	0.0%	0.0%	0.0%	0.17%	0.57%	0.0%	0.0%	0.0%	0.98%	0.72%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1224	57	34	54	0	52	41	67	1	60	44	14	16	67	69	67	75	62	16	42	20	175	8	9	45	97	32					
		14.49%	10.28%	14.28%	11.66%	0.0%	25.12%	22.16%	13.08%	3.03%	15.07%	18.10%	25.92%	14.28%	11.83%	13.24%	14.85%	15.92%	11.33%	15.68%	15.21%	7.49%	26.84%	9.30%	5.48%	11.90%	14.58%	12.54%					
																																	
41	Против всех	210	7	13	10	0	2	2	16	0	14	4	3	1	16	9	10	7	14	2	14	5	10	5	7	7	23	9					
		2.48%	1.26%	5.46%	2.15%	0.0%	0.96%	1.08%	3.12%	0.0%	3.51%	1.64%	5.55%	0.89%	2.82%	1.72%	2.21%	1.48%	2.55%	1.96%	5.07%	1.87%	1.53%	5.81%	4.26%	1.85%	3.45%	3.52%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
