Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																
Дата голосования: 07.12.2003 0:00:00																																																
																																																
Наименование Избирательной комиссии:    Макушинская																																																
																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																
																																																
		Сумма	УИК  606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																
18	"1. ""ЕДИНЕНИЕ"""	149	4	4	7	7	5	2	4	1	6	7	5	4	2	7	2	3	1	5	12	7	3	2	2	4	0	3	0	3	0	11	3	4	2	1	5	4	3	1	2	1	0					
		1.37%	0.42%	0.68%	0.94%	1.54%	1.23%	0.38%	2.22%	0.71%	6.81%	2.14%	5.74%	4.81%	2.94%	1.71%	1.39%	2.70%	1.33%	1.27%	2.29%	1.47%	0.76%	1.04%	1.92%	2.29%	0.0%	0.89%	0.0%	1.18%	0.0%	2.54%	4.28%	5.0%	0.53%	0.52%	1.45%	5.47%	2.02%	0.40%	0.83%	1.63%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	87	7	9	10	1	6	3	0	0	0	2	0	1	0	2	2	1	1	2	4	0	3	4	1	0	0	3	1	4	0	3	0	0	1	1	10	0	4	1	0	0	0					
		0.80%	0.73%	1.55%	1.35%	0.22%	1.48%	0.58%	0.0%	0.0%	0.0%	0.61%	0.0%	1.20%	0.0%	0.48%	1.39%	0.90%	1.33%	0.50%	0.76%	0.0%	0.76%	2.08%	0.96%	0.0%	0.0%	0.89%	1.02%	1.57%	0.0%	0.69%	0.0%	0.0%	0.26%	0.52%	2.90%	0.0%	2.70%	0.40%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	255	6	18	15	21	18	10	1	3	4	5	0	1	4	19	2	5	4	12	9	6	10	5	0	0	5	12	4	3	2	8	1	0	15	6	5	2	2	3	7	2	0					
		2.34%	0.63%	3.10%	2.03%	4.64%	4.45%	1.94%	0.55%	2.14%	4.54%	1.53%	0.0%	1.20%	5.88%	4.64%	1.39%	4.50%	5.33%	3.05%	1.71%	1.26%	2.56%	2.60%	0.0%	0.0%	2.03%	3.59%	4.08%	1.18%	3.33%	1.85%	1.42%	0.0%	4.02%	3.14%	1.45%	2.73%	1.35%	1.22%	2.92%	3.27%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	163	19	16	23	15	13	5	4	2	1	1	1	0	0	7	2	0	1	1	2	11	1	1	0	7	2	2	4	3	0	1	0	1	10	2	1	0	1	1	0	1	1					
		1.49%	2.00%	2.75%	3.12%	3.31%	3.21%	0.97%	2.22%	1.42%	1.13%	0.30%	1.14%	0.0%	0.0%	1.71%	1.39%	0.0%	1.33%	0.25%	0.38%	2.32%	0.25%	0.52%	0.0%	4.02%	0.81%	0.59%	4.08%	1.18%	0.0%	0.23%	0.0%	1.25%	2.68%	1.04%	0.29%	0.0%	0.67%	0.40%	0.0%	1.63%	3.57%					
22	"5. ""За Русь Святую"""	26	1	4	4	1	1	1	2	0	1	1	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	1	2	0	1	0	0	1	1	0	0	0	0	0	0	0					
		0.23%	0.10%	0.68%	0.54%	0.22%	0.24%	0.19%	1.11%	0.0%	1.13%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.33%	0.25%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	1.02%	0.78%	0.0%	0.23%	0.0%	0.0%	0.26%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	25	1	0	0	0	2	0	0	1	0	3	1	0	0	2	0	0	0	0	0	2	2	0	1	4	0	1	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0					
		0.23%	0.10%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.71%	0.0%	0.92%	1.14%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.51%	0.0%	0.96%	2.29%	0.0%	0.29%	0.0%	0.0%	0.0%	0.23%	2.85%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	45	8	4	3	0	3	2	0	0	1	2	0	0	0	0	0	1	2	2	0	1	1	1	0	0	0	1	0	2	0	4	1	0	1	3	0	0	0	1	1	0	0					
		0.41%	0.84%	0.68%	0.40%	0.0%	0.74%	0.38%	0.0%	0.0%	1.13%	0.61%	0.0%	0.0%	0.0%	0.0%	0.0%	0.90%	2.66%	0.50%	0.0%	0.21%	0.25%	0.52%	0.0%	0.0%	0.0%	0.29%	0.0%	0.78%	0.0%	0.92%	1.42%	0.0%	0.26%	1.57%	0.0%	0.0%	0.0%	0.40%	0.41%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	20	1	0	0	0	1	2	0	2	0	0	0	1	1	2	0	0	0	3	0	0	0	0	0	2	0	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0					
		0.18%	0.10%	0.0%	0.0%	0.0%	0.24%	0.38%	0.0%	1.42%	0.0%	0.0%	0.0%	1.20%	1.47%	0.48%	0.0%	0.0%	0.0%	0.76%	0.0%	0.0%	0.0%	0.0%	0.0%	1.14%	0.0%	0.29%	0.0%	0.39%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	1.36%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	10	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
		0.09%	0.10%	0.0%	0.13%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.25%	0.0%	0.21%	0.25%	0.0%	0.0%	0.57%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	828	39	30	35	10	7	20	7	17	11	18	23	13	11	34	51	5	12	27	23	29	43	17	6	10	30	52	8	28	7	11	0	1	38	53	26	4	21	18	19	8	6					
		7.61%	4.11%	5.17%	4.74%	2.21%	1.73%	3.89%	3.88%	12.14%	12.5%	5.52%	26.43%	15.66%	16.17%	8.31%	35.66%	4.50%	16.0%	6.87%	4.38%	6.13%	11.02%	8.85%	5.76%	5.74%	12.19%	15.56%	8.16%	11.02%	11.66%	2.54%	0.0%	1.25%	10.18%	27.74%	7.55%	5.47%	14.18%	7.34%	7.94%	13.11%	21.42%					
28	"11. ""Истинные патриоты России"""	21	0	0	1	1	1	5	0	0	0	0	1	1	1	2	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0					
		0.19%	0.0%	0.0%	0.13%	0.22%	0.24%	0.97%	0.0%	0.0%	0.0%	0.0%	1.14%	1.20%	1.47%	0.48%	0.0%	0.0%	0.0%	1.01%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.87%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	386	45	20	34	9	9	19	3	3	2	11	0	3	4	14	0	2	0	9	7	13	32	6	2	0	9	7	5	7	2	72	2	15	0	0	4	2	2	1	3	6	2					
		3.55%	4.75%	3.44%	4.61%	1.99%	2.22%	3.70%	1.66%	2.14%	2.27%	3.37%	0.0%	3.61%	5.88%	3.42%	0.0%	1.80%	0.0%	2.29%	1.33%	2.74%	8.20%	3.12%	1.92%	0.0%	3.65%	2.09%	5.10%	2.75%	3.33%	16.66%	2.85%	18.75%	0.0%	0.0%	1.16%	2.73%	1.35%	0.40%	1.25%	9.83%	7.14%					
30	"13. ""Демократическая партия России"""	27	2	1	2	0	1	3	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	1	0	1	1	1	3	0	0	0	0	1	0	2	0	0	2	1	0	0					
		0.24%	0.21%	0.17%	0.27%	0.0%	0.24%	0.58%	0.0%	0.0%	0.0%	0.0%	2.29%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.96%	0.0%	0.40%	0.29%	1.02%	1.18%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.58%	0.0%	0.0%	0.81%	0.41%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	4	0	1	0	4	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0					
		0.16%	0.42%	0.0%	0.13%	0.0%	0.99%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.19%	0.21%	0.0%	0.0%	0.96%	0.57%	0.40%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	8	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0					
		0.07%	0.0%	0.0%	0.13%	0.22%	0.0%	0.0%	0.0%	0.71%	1.13%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	409	55	34	33	15	17	17	6	4	2	10	2	6	1	8	4	3	1	12	19	22	5	7	2	0	1	10	4	25	0	9	2	2	27	3	25	5	3	3	4	0	1					
		3.76%	5.80%	5.86%	4.47%	3.31%	4.20%	3.31%	3.33%	2.85%	2.27%	3.06%	2.29%	7.22%	1.47%	1.95%	2.79%	2.70%	1.33%	3.05%	3.62%	4.65%	1.28%	3.64%	1.92%	0.0%	0.40%	2.99%	4.08%	9.84%	0.0%	2.08%	2.85%	2.5%	7.23%	1.57%	7.26%	6.84%	2.02%	1.22%	1.67%	0.0%	3.57%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	23	0	1	1	0	0	3	0	0	0	2	0	2	0	2	0	0	1	2	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	2					
		0.21%	0.0%	0.17%	0.13%	0.0%	0.0%	0.58%	0.0%	0.0%	0.0%	0.61%	0.0%	2.40%	0.0%	0.48%	0.0%	0.0%	1.33%	0.50%	0.19%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.23%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.40%	0.41%	0.0%	7.14%					
35	"18. ""ЛДПР"""	2222	268	136	148	75	97	105	35	33	17	41	2	13	9	58	34	24	9	76	69	127	84	34	32	40	35	71	14	47	17	87	23	11	62	53	64	20	37	35	69	9	2					
		20.44%	28.29%	23.44%	20.08%	16.59%	24.00%	20.46%	19.44%	23.57%	19.31%	12.57%	2.29%	15.66%	13.23%	14.18%	23.77%	21.62%	12.0%	19.33%	13.16%	26.84%	21.53%	17.70%	30.76%	22.98%	14.22%	21.25%	14.28%	18.50%	28.33%	20.13%	32.85%	13.75%	16.62%	27.74%	18.60%	27.39%	25.0%	14.28%	28.87%	14.75%	7.14%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	212	23	14	17	18	12	16	3	2	1	4	0	1	3	9	1	3	1	9	7	6	2	4	3	2	1	7	4	2	3	8	2	1	10	0	4	3	3	2	1	0	0					
		1.95%	2.42%	2.41%	2.30%	3.98%	2.97%	3.11%	1.66%	1.42%	1.13%	1.22%	0.0%	1.20%	4.41%	2.20%	0.69%	2.70%	1.33%	2.29%	1.33%	1.26%	0.51%	2.08%	2.88%	1.14%	0.40%	2.09%	4.08%	0.78%	5.0%	1.85%	2.85%	1.25%	2.68%	0.0%	1.16%	4.10%	2.02%	0.81%	0.41%	0.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	3872	304	174	272	172	131	171	88	41	30	170	31	24	27	158	23	30	28	179	199	160	150	90	42	49	126	109	33	91	17	123	20	39	115	32	106	8	44	149	85	23	9					
		35.62%	32.10%	30.0%	36.90%	38.05%	32.42%	33.33%	48.88%	29.28%	34.09%	52.14%	35.63%	28.91%	39.70%	38.63%	16.08%	27.02%	37.33%	45.54%	37.97%	33.82%	38.46%	46.87%	40.38%	28.16%	51.21%	32.63%	33.67%	35.82%	28.33%	28.47%	28.57%	48.75%	30.83%	16.75%	30.81%	10.95%	29.72%	60.81%	35.56%	37.70%	32.14%					
38	"21. ""Российская Конституционно-демократическая партия"""	23	1	1	2	0	0	1	0	1	1	0	0	0	1	2	1	0	0	2	0	0	1	0	0	1	1	2	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0					
		0.21%	0.10%	0.17%	0.27%	0.0%	0.0%	0.19%	0.0%	0.71%	1.13%	0.0%	0.0%	0.0%	1.47%	0.48%	0.69%	0.0%	0.0%	0.50%	0.0%	0.0%	0.25%	0.0%	0.0%	0.57%	0.40%	0.59%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.26%	0.52%	0.29%	0.0%	0.67%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	18	1	0	2	0	0	3	0	0	2	0	0	0	0	1	0	0	0	1	2	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0					
		0.16%	0.10%	0.0%	0.27%	0.0%	0.0%	0.58%	0.0%	0.0%	2.27%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.25%	0.38%	0.21%	0.0%	0.0%	0.0%	1.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1611	110	86	88	87	61	100	21	17	5	40	13	9	2	64	13	26	11	32	153	70	39	14	8	39	25	40	14	29	10	74	7	5	69	29	81	23	27	27	32	6	5					
		14.82%	11.61%	14.82%	11.94%	19.24%	15.09%	19.49%	11.66%	12.14%	5.68%	12.26%	14.94%	10.84%	2.94%	15.64%	9.09%	23.42%	14.66%	8.14%	29.19%	14.79%	10.0%	7.29%	7.69%	22.41%	10.16%	11.97%	14.28%	11.41%	16.66%	17.12%	9.99%	6.25%	18.49%	15.18%	23.54%	31.50%	18.24%	11.02%	13.38%	9.83%	17.85%					
																																																
41	Против всех	309	40	12	30	17	8	21	3	11	1	3	2	4	2	15	8	6	0	8	10	13	7	3	3	10	8	6	5	2	2	11	5	1	9	5	7	1	0	0	6	4	0					
		2.84%	4.22%	2.06%	4.07%	3.76%	1.98%	4.09%	1.66%	7.85%	1.13%	0.92%	2.29%	4.81%	2.94%	3.66%	5.59%	5.40%	0.0%	2.03%	1.90%	2.74%	1.79%	1.56%	2.88%	5.74%	3.25%	1.79%	5.10%	0.78%	3.33%	2.54%	7.14%	1.25%	2.41%	2.61%	2.03%	1.36%	0.0%	0.0%	2.51%	6.55%	0.0%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
