Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
"Наименование Избирательной комиссии:    Владимир, Ленинская"																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399									
		1.46%	1.91%	1.51%	1.83%	1.18%	1.18%	1.89%	0.78%	1.64%	1.49%	1.93%	1.85%	1.19%	1.36%	1.75%	1.68%	1.10%	1.95%	1.14%	1.32%	2.15%	2.36%	1.17%	0.72%	2.40%	1.06%	1.74%	1.63%	0.67%	1.32%	0.90%	0.00%	0.75%	1.67%	1.21%	1.15%	0.66%	1.31%	0.88%	3.74%	1.57%	0.98%	1.15%	0.89%	1.18%	0.49%	3.00%	2.06%	1.75%	1.39%	2.71%	1.23%	2.46%	1.47%	1.15%	1.96%									
24	"6. Политическая партия ""Гражданская Платформа"""	208	6	4	4	3	5	3	0	12	2	7	4	2	3	1	1	3	8	9	4	5	8	7	1	5	2	7	3	6	2	6	0	2	4	3	1	0	3	6	0	5	6	5	0	3	2	1	5	4	1	1	4	3	11	3	2									
		0.61%	1.04%	0.60%	0.49%	0.44%	0.49%	0.44%	0.00%	1.52%	0.23%	0.80%	0.62%	0.48%	0.58%	0.25%	0.14%	0.41%	0.92%	1.02%	0.53%	0.89%	0.90%	0.74%	0.14%	0.99%	0.24%	0.87%	0.82%	0.80%	0.88%	1.35%	0.00%	0.38%	0.51%	0.36%	0.14%	0.00%	0.39%	0.75%	0.00%	0.56%	0.98%	0.96%	0.00%	0.44%	0.49%	0.25%	0.86%	0.78%	0.23%	0.21%	0.70%	0.49%	2.31%	0.38%	0.78%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5832	107	88	128	111	191	102	107	123	114	127	104	103	80	66	122	125	196	126	125	85	146	115	128	86	135	120	59	153	31	55	6	89	148	179	158	176	133	149	26	130	132	94	23	116	59	65	98	80	55	91	109	97	75	152	34									
		17.04%	18.54%	13.25%	15.59%	16.42%	18.82%	14.85%	20.74%	15.55%	13.07%	14.45%	16.07%	24.58%	15.59%	16.50%	17.09%	17.17%	22.53%	14.32%	16.56%	15.21%	16.42%	12.22%	18.52%	17.17%	15.90%	14.94%	16.03%	20.45%	13.60%	12.42%	3.03%	16.79%	19.02%	21.64%	22.73%	23.37%	17.43%	18.67%	24.30%	14.59%	21.46%	17.97%	20.54%	17.08%	14.36%	16.25%	16.84%	15.59%	12.70%	18.96%	19.12%	15.90%	15.72%	19.49%	13.33%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	485	10	10	11	6	11	9	7	14	15	21	11	3	7	4	1	7	16	13	5	18	19	21	10	15	19	18	8	8	1	7	0	6	5	8	7	3	9	5	1	14	8	6	0	10	0	4	10	10	7	11	9	9	10	6	2									
		1.42%	1.73%	1.51%	1.34%	0.89%	1.08%	1.31%	1.36%	1.77%	1.72%	2.39%	1.70%	0.72%	1.36%	1.00%	0.14%	0.96%	1.84%	1.48%	0.66%	3.22%	2.14%	2.23%	1.45%	2.99%	2.24%	2.24%	2.17%	1.07%	0.44%	1.58%	0.00%	1.13%	0.64%	0.97%	1.01%	0.40%	1.18%	0.63%	0.93%	1.57%	1.30%	1.15%	0.00%	1.47%	0.00%	1.00%	1.72%	1.95%	1.62%	2.29%	1.58%	1.48%	2.10%	0.77%	0.78%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	749	10	20	21	13	8	16	7	17	21	33	15	7	17	8	11	16	20	27	10	20	30	28	7	12	18	19	14	14	9	21	3	8	20	7	8	7	14	15	1	28	11	11	0	10	5	10	12	5	10	13	18	12	13	12	7									
		2.19%	1.73%	3.01%	2.56%	1.92%	0.79%	2.33%	1.36%	2.15%	2.41%	3.75%	2.32%	1.67%	3.31%	2.00%	1.54%	2.20%	2.30%	3.07%	1.32%	3.58%	3.37%	2.98%	1.01%	2.40%	2.12%	2.37%	3.80%	1.87%	3.95%	4.74%	1.52%	1.51%	2.57%	0.85%	1.15%	0.93%	1.83%	1.88%	0.93%	3.14%	1.79%	2.10%	0.00%	1.47%	1.22%	2.50%	2.06%	0.97%	2.31%	2.71%	3.16%	1.97%	2.73%	1.54%	2.75%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	67	1	0	2	1	3	0	2	0	0	1	0	2	2	1	4	2	3	0	1	0	1	1	4	1	1	0	4	3	0	3	1	1	3	1	1	2	2	0	0	0	2	1	0	3	1	0	1	0	1	2	0	0	1	1	0									
		0.20%	0.17%	0.00%	0.24%	0.15%	0.30%	0.00%	0.39%	0.00%	0.00%	0.11%	0.00%	0.48%	0.39%	0.25%	0.56%	0.27%	0.34%	0.00%	0.13%	0.00%	0.11%	0.11%	0.58%	0.20%	0.12%	0.00%	1.09%	0.40%	0.00%	0.68%	0.51%	0.19%	0.39%	0.12%	0.14%	0.27%	0.26%	0.00%	0.00%	0.00%	0.33%	0.19%	0.00%	0.44%	0.24%	0.00%	0.17%	0.00%	0.23%	0.42%	0.00%	0.00%	0.21%	0.13%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1240	24	26	34	18	28	27	19	38	32	44	30	6	15	16	23	21	50	25	25	21	37	53	26	25	40	35	10	10	11	43	2	9	21	14	9	11	30	16	0	32	18	13	5	32	5	18	25	15	16	21	28	23	22	32	11									
		3.62%	4.16%	3.92%	4.14%	2.66%	2.76%	3.93%	3.68%	4.80%	3.67%	5.01%	4.64%	1.43%	2.92%	4.00%	3.22%	2.88%	5.75%	2.84%	3.31%	3.76%	4.16%	5.63%	3.76%	4.99%	4.71%	4.36%	2.72%	1.34%	4.82%	9.71%	1.01%	1.70%	2.70%	1.69%	1.29%	1.46%	3.93%	2.01%	0.00%	3.59%	2.93%	2.49%	4.46%	4.71%	1.22%	4.50%	4.30%	2.92%	3.70%	4.38%	4.91%	3.77%	4.61%	4.10%	4.31%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5451	95	131	142	115	141	110	64	138	161	141	102	68	61	58	119	116	92	164	124	78	172	205	106	75	155	147	43	112	39	85	8	82	133	119	78	88	141	145	7	155	78	85	15	101	67	68	79	79	79	59	78	103	91	105	49									
		15.93%	16.46%	19.73%	17.30%	17.01%	13.89%	16.01%	12.40%	17.45%	18.46%	16.04%	15.77%	16.23%	11.89%	14.50%	16.67%	15.93%	10.57%	18.64%	16.42%	13.95%	19.35%	21.79%	15.34%	14.97%	18.26%	18.31%	11.68%	14.97%	17.11%	19.19%	4.04%	15.47%	17.10%	14.39%	11.22%	11.69%	18.48%	18.17%	6.54%	17.40%	12.68%	16.25%	13.39%	14.87%	16.30%	17.00%	13.57%	15.40%	18.24%	12.29%	13.68%	16.89%	19.08%	13.46%	19.22%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	199	2	3	6	9	4	4	2	6	1	5	5	3	4	5	5	5	5	4	5	6	3	3	5	0	3	6	4	5	0	1	3	2	7	4	4	2	5	0	2	16	4	2	2	1	3	4	2	2	1	4	5	0	0	4	1									
		0.58%	0.35%	0.45%	0.73%	1.33%	0.39%	0.58%	0.39%	0.76%	0.11%	0.57%	0.77%	0.72%	0.78%	1.25%	0.70%	0.69%	0.57%	0.45%	0.66%	1.07%	0.34%	0.32%	0.72%	0.00%	0.35%	0.75%	1.09%	0.67%	0.00%	0.23%	1.52%	0.38%	0.90%	0.48%	0.58%	0.27%	0.66%	0.00%	1.87%	1.80%	0.65%	0.38%	1.79%	0.15%	0.73%	1.00%	0.34%	0.39%	0.23%	0.83%	0.88%	0.00%	0.00%	0.51%	0.39%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3270	49	81	89	54	46	84	49	87	110	72	76	17	63	59	90	86	74	95	95	41	90	109	75	56	92	59	31	53	17	37	3	36	49	43	36	45	88	53	5	79	56	42	4	119	19	50	60	68	71	42	65	69	35	81	16									
		9.55%	8.49%	12.20%	10.84%	7.99%	4.53%	12.23%	9.50%	10.99%	12.61%	8.19%	11.75%	4.06%	12.28%	14.75%	12.61%	11.81%	8.51%	10.80%	12.58%	7.33%	10.12%	11.58%	10.85%	11.18%	10.84%	7.35%	8.42%	7.09%	7.46%	8.35%	1.52%	6.79%	6.30%	5.20%	5.18%	5.98%	11.53%	6.64%	4.67%	8.87%	9.11%	8.03%	3.57%	17.53%	4.62%	12.50%	10.31%	13.26%	16.40%	8.75%	11.40%	11.31%	7.34%	10.38%	6.27%									
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
