Выборы Президента Российской Федерации																																																																					
																																																																					
Наименование Избирательной комиссии:    Петроградская №18																																																																					
																																																																					
Итоги голосования 																																																																					
																																																																					
		Сумма	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366					
11	Число полученных открепительных  удостоверений	3983	70	70	70	70	60	70	70	70	70	80	80	80	70	80	70	70	70	70	70	70	70	70	70	70	70	60	70	70	60	70	60	80	70	80	0	0	0	70	70	70	80	70	70	70	70	70	60	60	60	60	70	70	70	70	60	70	80	70	70	73	0	0					
12	Число выданных открепительных удостоверений	884	14	19	19	13	11	12	15	10	14	37	24	22	12	21	14	11	13	15	12	12	12	13	27	13	22	3	20	24	5	2	11	25	8	20	0	0	0	29	17	21	25	17	15	29	13	11	2	0	13	20	9	14	16	22	14	12	19	8	16	17	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1052	18	33	16	17	23	9	20	13	18	17	19	18	20	30	20	5	24	20	11	24	15	10	23	19	18	12	28	22	15	9	29	19	10	21	25	8	19	28	9	16	19	9	12	21	10	13	16	5	7	9	31	16	28	16	15	13	20	8	18	18	3	15					
14	Число неиспользованных открепительных удостоверений	3099	56	51	51	57	49	58	55	60	56	43	56	58	58	59	56	59	57	55	58	58	58	57	43	57	48	57	50	46	55	68	49	55	62	60	0	0	0	41	53	49	55	53	55	41	57	59	58	60	47	40	61	56	54	48	46	58	61	62	54	56	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	17	0	0	0	0	2	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																					
18	. Глазьев Сергей Юрьевич	2027	33	29	47	32	15	27	49	28	50	57	42	44	45	44	22	33	41	34	36	52	26	20	39	45	49	27	56	46	21	28	17	54	16	43	1	11	14	62	21	25	50	36	31	42	31	25	5	21	34	32	39	41	25	42	18	43	45	15	25	31	2	13					
		3.47%	3.25%	3.62%	3.31%	4.04%	2.65%	3.54%	5.16%	2.68%	3.90%	4.57%	3.75%	3.24%	5.47%	3.15%	2.38%	4.45%	4.74%	4.55%	3.51%	4.60%	2.21%	2.94%	4.50%	4.46%	4.54%	5.24%	5.09%	3.87%	4.27%	3.22%	2.74%	3.83%	2.08%	3.18%	1.16%	5.19%	3.45%	5.72%	2.58%	2.44%	3.42%	4.92%	3.60%	3.10%	3.28%	3.51%	1.01%	2.30%	1.94%	2.33%	2.34%	4.50%	2.45%	3.36%	2.28%	4.51%	3.34%	2.45%	3.69%	2.27%	1.24%	6.16%					
19	. Малышкин Олег Александрович	448	5	6	15	8	2	4	7	1	12	9	6	8	7	15	7	3	2	4	5	8	21	14	5	4	7	1	11	6	2	10	1	12	3	17	2	2	0	6	6	9	9	12	4	22	5	5	3	10	11	15	12	12	6	4	8	8	11	6	3	7	1	1					
		0.77%	0.49%	0.75%	1.06%	1.01%	0.35%	0.52%	0.74%	0.10%	0.94%	0.72%	0.54%	0.59%	0.85%	1.08%	0.76%	0.40%	0.23%	0.54%	0.49%	0.71%	1.78%	2.06%	0.58%	0.40%	0.65%	0.19%	1.00%	0.50%	0.41%	1.15%	0.16%	0.85%	0.39%	1.26%	2.33%	0.94%	0.00%	0.55%	0.74%	0.88%	0.62%	1.64%	0.46%	1.62%	0.53%	0.70%	0.61%	1.09%	0.63%	1.09%	0.72%	1.32%	0.59%	0.32%	1.02%	0.84%	0.82%	0.98%	0.44%	0.51%	0.62%	0.47%					
20	. Миронов Сергей Михайлович	870	9	20	14	24	19	11	18	11	10	24	14	41	14	19	18	8	10	5	12	15	20	7	7	17	11	8	17	14	9	16	7	17	14	28	2	1	6	14	19	14	25	14	15	12	15	9	10	9	15	18	16	21	17	18	6	19	23	10	15	15	2	2					
		1.49%	0.89%	2.49%	0.99%	3.03%	3.36%	1.44%	1.89%	1.05%	0.78%	1.92%	1.25%	3.02%	1.70%	1.36%	1.95%	1.08%	1.16%	0.67%	1.17%	1.33%	1.70%	1.03%	0.81%	1.68%	1.02%	1.55%	1.54%	1.18%	1.83%	1.84%	1.13%	1.21%	1.82%	2.07%	2.33%	0.47%	1.48%	1.29%	2.33%	1.36%	1.71%	1.92%	1.74%	0.88%	1.59%	1.26%	2.02%	0.98%	0.85%	1.31%	0.96%	2.31%	1.66%	1.44%	0.76%	1.99%	1.71%	1.64%	2.22%	1.10%	1.24%	0.95%					
21	. Путин Владимир Владимирович	43838	751	575	1130	555	401	596	704	821	973	932	800	999	603	1009	682	527	643	519	751	821	879	521	632	708	772	398	788	859	318	651	462	1003	636	959	73	154	318	771	589	753	1031	520	636	1096	721	529	417	788	1437	1136	1388	660	831	970	629	698	985	476	497	1066	134	157					
		75.14%	73.99%	71.70%	79.69%	70.08%	70.85%	78.11%	74.11%	78.56%	75.96%	74.68%	71.36%	73.51%	73.27%	72.33%	73.89%	71.02%	74.34%	69.48%	73.13%	72.59%	74.68%	76.62%	72.90%	70.17%	71.55%	77.28%	71.57%	72.25%	64.63%	74.83%	74.52%	71.13%	82.60%	70.98%	84.88%	72.64%	78.33%	71.13%	72.36%	73.39%	70.57%	71.14%	73.78%	80.77%	76.38%	74.19%	84.41%	86.21%	81.88%	82.62%	83.36%	72.45%	81.31%	77.66%	79.82%	73.24%	73.13%	77.91%	73.41%	77.92%	83.23%	74.41%					
22	. Хакамада Ирина Муцуовна	5434	110	80	98	92	63	63	89	95	110	122	126	138	72	164	106	98	81	86	115	109	107	44	100	122	109	42	129	143	92	88	68	189	62	161	2	10	27	122	107	108	161	77	85	85	84	64	23	22	72	65	88	72	44	91	79	76	145	55	51	119	14	13					
		9.31%	10.84%	9.98%	6.91%	11.62%	11.13%	8.26%	9.37%	9.09%	8.59%	9.78%	11.24%	10.15%	8.75%	11.76%	11.48%	13.21%	9.36%	11.51%	11.20%	9.64%	9.09%	6.47%	11.53%	12.09%	10.10%	8.16%	11.72%	12.03%	18.70%	10.11%	10.97%	13.40%	8.05%	11.92%	2.33%	4.72%	6.65%	11.25%	13.14%	10.53%	11.02%	10.53%	9.86%	6.26%	8.90%	8.98%	4.66%	2.41%	4.10%	4.73%	5.29%	7.90%	4.31%	7.29%	10.03%	7.97%	10.76%	9.00%	7.53%	8.70%	8.70%	6.16%					
23	. Харитонов Николай Михайлович	3145	61	62	68	39	40	29	48	49	70	55	87	68	38	88	43	39	51	60	70	76	46	46	41	60	65	17	60	57	28	38	32	89	19	76	4	20	24	55	42	61	118	36	48	39	49	47	23	31	113	49	45	67	67	69	22	67	78	22	41	71	6	16					
		5.39%	6.01%	7.73%	4.80%	4.92%	7.07%	3.80%	5.05%	4.69%	5.46%	4.41%	7.76%	5.00%	4.62%	6.31%	4.66%	5.26%	5.90%	8.03%	6.82%	6.72%	3.91%	6.76%	4.73%	5.95%	6.02%	3.30%	5.45%	4.79%	5.69%	4.37%	5.16%	6.31%	2.47%	5.63%	4.65%	9.43%	5.91%	5.07%	5.16%	5.95%	8.08%	4.92%	5.57%	2.87%	5.19%	6.59%	4.66%	3.39%	6.44%	3.56%	2.70%	7.35%	6.56%	5.52%	2.79%	7.03%	5.79%	3.60%	6.06%	5.19%	3.73%	7.58%					
																																																																					
24	Против всех	2326	37	30	41	40	24	24	34	38	50	41	42	57	38	49	40	33	36	39	31	43	71	24	38	48	62	18	39	60	22	35	31	40	19	56	2	13	17	50	25	53	64	30	39	53	34	31	12	27	62	57	68	36	26	52	23	34	54	26	45	53	2	8					
		3.99%	3.65%	3.74%	2.89%	5.05%	4.24%	3.15%	3.58%	3.64%	3.90%	3.29%	3.75%	4.19%	4.62%	3.51%	4.33%	4.45%	4.16%	5.22%	3.02%	3.80%	6.03%	3.53%	4.38%	4.76%	5.75%	3.50%	3.54%	5.05%	4.47%	4.02%	5.00%	2.84%	2.47%	4.15%	2.33%	6.13%	4.19%	4.61%	3.07%	5.17%	4.38%	4.10%	4.52%	3.91%	3.60%	4.35%	2.43%	2.95%	3.53%	4.15%	4.08%	3.95%	2.54%	4.16%	2.92%	3.57%	4.01%	4.26%	6.65%	3.87%	1.24%	3.79%					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
