Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Моздокская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №380									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	348	2	10	9	7	7	2	8	2	7	6	4	0	2	1	4	6	2	11	4	3	5	0	0	1	14	0	3	7	7	30	59	1	4	3	22	11	12	10	0	12	5	3	0	0	0	0	12	5	1	0	0	24									
		0.65%	0.14%	1.28%	1.63%	0.69%	0.53%	0.19%	0.81%	0.20%	0.69%	0.69%	0.40%	0.00%	0.20%	0.10%	0.42%	0.61%	0.19%	1.14%	0.41%	0.32%	0.49%	0.00%	0.00%	0.50%	1.47%	0.00%	0.65%	1.69%	2.05%	1.34%	4.61%	0.20%	1.76%	0.52%	1.05%	0.81%	0.92%	0.95%	0.00%	0.61%	0.42%	0.33%	0.00%	0.00%	0.00%	0.00%	2.06%	0.29%	0.23%	0.00%	0.00%	1.42%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	380	6	8	10	3	33	6	17	1	4	4	7	0	3	17	0	0	2	4	1	11	2	0	3	2	15	0	8	0	6	10	0	1	6	1	35	24	26	2	26	0	28	0	0	0	0	0	1	0	27	0	0	20									
		0.71%	0.43%	1.02%	1.81%	0.29%	2.50%	0.58%	1.71%	0.10%	0.39%	0.46%	0.70%	0.00%	0.30%	1.74%	0.00%	0.00%	0.19%	0.41%	0.10%	1.18%	0.20%	0.00%	0.59%	1.01%	1.57%	0.00%	1.74%	0.00%	1.75%	0.45%	0.00%	0.20%	2.64%	0.17%	1.68%	1.76%	1.98%	0.19%	1.61%	0.00%	2.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	6.14%	0.00%	0.00%	1.18%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	263	1	6	3	3	15	10	17	1	6	11	6	19	1	8	1	2	1	0	2	12	0	0	2	0	10	0	1	3	7	4	0	0	2	3	26	6	9	2	7	20	6	7	0	0	0	4	2	5	6	0	0	6									
		0.49%	0.07%	0.77%	0.54%	0.29%	1.13%	0.96%	1.71%	0.10%	0.59%	1.26%	0.60%	1.81%	0.10%	0.82%	0.10%	0.20%	0.09%	0.00%	0.20%	1.29%	0.00%	0.00%	0.39%	0.00%	1.05%	0.00%	0.22%	0.72%	2.05%	0.18%	0.00%	0.00%	0.88%	0.52%	1.25%	0.44%	0.69%	0.19%	0.43%	1.01%	0.50%	0.78%	0.00%	0.00%	0.00%	0.19%	0.34%	0.29%	1.36%	0.00%	0.00%	0.36%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	34630	897	493	318	580	814	658	580	640	662	408	678	671	534	637	515	560	691	488	581	526	551	506	310	120	618	158	282	250	203	1132	802	309	117	386	1041	708	816	647	1471	1237	794	547	713	2138	1461	1550	270	1085	357	170	556	1394									
		65.03%	63.98%	62.96%	57.50%	56.81%	61.57%	63.27%	58.47%	63.12%	65.03%	46.90%	67.66%	64.03%	53.19%	65.20%	53.53%	57.14%	65.44%	50.62%	59.23%	56.44%	53.97%	58.97%	60.67%	60.30%	64.85%	67.81%	61.30%	60.39%	59.36%	50.54%	62.66%	63.32%	51.54%	67.13%	49.86%	51.83%	62.29%	61.56%	91.31%	62.63%	66.06%	60.98%	91.88%	97.23%	91.89%	73.92%	46.39%	63.38%	81.14%	62.27%	82.49%	82.58%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	78	1	14	3	0	1	3	5	3	3	1	1	4	1	4	2	2	1	0	0	0	0	0	2	0	1	0	1	1	0	3	0	0	0	1	3	2	6	0	2	1	1	3	0	0	0	0	2	0	0	0	0	0									
		0.15%	0.07%	1.79%	0.54%	0.00%	0.08%	0.29%	0.50%	0.30%	0.29%	0.11%	0.10%	0.38%	0.10%	0.41%	0.21%	0.20%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.10%	0.00%	0.22%	0.24%	0.00%	0.13%	0.00%	0.00%	0.00%	0.17%	0.14%	0.15%	0.46%	0.00%	0.12%	0.05%	0.08%	0.33%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	27	1	2	3	0	3	0	2	0	0	0	1	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	2	0	1	1	0	0	0	0	0	0	0	2	0	0	0									
		0.05%	0.07%	0.26%	0.54%	0.00%	0.23%	0.00%	0.20%	0.00%	0.00%	0.00%	0.10%	0.10%	0.20%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%	0.05%	0.07%	0.08%	0.19%	0.00%	0.05%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2017	79	20	55	7	63	22	51	30	41	33	45	37	14	37	48	76	30	18	14	74	40	22	5	8	69	8	7	13	27	99	36	25	4	28	191	70	105	12	20	91	23	7	0	7	0	0	50	89	14	10	0	143									
		3.79%	5.63%	2.55%	9.95%	0.69%	4.77%	2.12%	5.14%	2.96%	4.03%	3.79%	4.49%	3.53%	1.39%	3.79%	4.99%	7.76%	2.84%	1.87%	1.43%	7.94%	3.92%	2.56%	0.98%	4.02%	7.24%	3.43%	1.52%	3.14%	7.89%	4.42%	2.81%	5.12%	1.76%	4.87%	9.15%	5.12%	8.02%	1.14%	1.24%	4.61%	1.91%	0.78%	0.00%	0.32%	0.00%	0.00%	8.59%	5.20%	3.18%	3.66%	0.00%	8.47%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	67	1	7	4	0	3	4	5	0	3	2	1	2	0	3	2	3	0	0	0	2	0	0	1	0	1	0	0	0	0	1	0	0	0	2	3	0	3	3	2	4	2	2	0	0	0	0	1	0	0	0	0	0									
		0.13%	0.07%	0.89%	0.72%	0.00%	0.23%	0.38%	0.50%	0.00%	0.29%	0.23%	0.10%	0.19%	0.00%	0.31%	0.21%	0.31%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.20%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.35%	0.14%	0.00%	0.23%	0.29%	0.12%	0.20%	0.17%	0.22%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	159	56	0	4	0	3	12	7	9	3	6	3	2	1	6	0	1	10	0	0	3	1	0	1	0	2	0	3	1	1	2	0	0	1	1	4	4	1	3	2	1	2	1	0	0	0	0	1	0	1	0	0	0									
		0.30%	3.99%	0.00%	0.72%	0.00%	0.23%	1.15%	0.71%	0.89%	0.29%	0.69%	0.30%	0.19%	0.10%	0.61%	0.00%	0.10%	0.95%	0.00%	0.00%	0.32%	0.10%	0.00%	0.20%	0.00%	0.21%	0.00%	0.65%	0.24%	0.29%	0.09%	0.00%	0.00%	0.44%	0.17%	0.19%	0.29%	0.08%	0.29%	0.12%	0.05%	0.17%	0.11%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.23%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	37	1	7	0	0	3	2	0	0	1	1	0	2	1	1	1	0	2	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	1	1	1	2	1	2	2	0	0	0	0	0	0	0	1	0	0	0									
		0.07%	0.07%	0.89%	0.00%	0.00%	0.23%	0.19%	0.00%	0.00%	0.10%	0.11%	0.00%	0.19%	0.10%	0.10%	0.10%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.22%	0.00%	0.00%	0.04%	0.00%	0.00%	0.00%	0.00%	0.05%	0.07%	0.08%	0.19%	0.06%	0.10%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	120	2	6	3	0	7	3	2	0	2	7	2	13	0	4	0	0	10	0	0	4	0	5	6	0	2	0	0	0	1	2	0	0	0	2	5	1	5	0	2	4	2	5	0	0	0	0	1	2	0	0	10	0									
		0.23%	0.14%	0.77%	0.54%	0.00%	0.53%	0.29%	0.20%	0.00%	0.20%	0.80%	0.20%	1.24%	0.00%	0.41%	0.00%	0.00%	0.95%	0.00%	0.00%	0.43%	0.00%	0.58%	1.17%	0.00%	0.21%	0.00%	0.00%	0.00%	0.29%	0.09%	0.00%	0.00%	0.00%	0.35%	0.24%	0.07%	0.38%	0.00%	0.12%	0.20%	0.17%	0.56%	0.00%	0.00%	0.00%	0.00%	0.17%	0.12%	0.00%	0.00%	1.48%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	13764	349	197	123	402	294	258	276	260	271	358	235	259	409	225	365	303	262	430	347	249	384	295	160	64	204	59	150	120	67	930	360	126	90	140	671	523	299	349	61	566	323	305	63	50	129	529	223	421	18	80	108	25									
		25.85%	24.89%	25.16%	22.24%	39.37%	22.24%	24.81%	27.82%	25.64%	26.62%	41.15%	23.45%	24.71%	40.74%	23.03%	37.94%	30.92%	24.81%	44.61%	35.37%	26.72%	37.61%	34.38%	31.31%	32.16%	21.41%	25.32%	32.61%	28.99%	19.59%	41.52%	28.13%	25.82%	39.65%	24.35%	32.14%	38.29%	22.82%	33.21%	3.79%	28.66%	26.87%	34.00%	8.12%	2.27%	8.11%	25.23%	38.32%	24.59%	4.09%	29.30%	16.02%	1.48%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	430	2	9	2	5	9	36	8	40	3	8	8	5	17	5	10	10	30	1	14	18	12	9	3	0	2	3	0	10	10	7	11	25	1	1	0	2	12	7	4	6	2	3	0	0	0	4	1	53	0	2	0	0									
		0.81%	0.14%	1.15%	0.36%	0.49%	0.68%	3.46%	0.81%	3.94%	0.29%	0.92%	0.80%	0.48%	1.69%	0.51%	1.04%	1.02%	2.84%	0.10%	1.43%	1.93%	1.18%	1.05%	0.59%	0.00%	0.21%	1.29%	0.00%	2.42%	2.92%	0.31%	0.86%	5.12%	0.44%	0.17%	0.00%	0.15%	0.92%	0.67%	0.25%	0.30%	0.17%	0.33%	0.00%	0.00%	0.00%	0.19%	0.17%	3.10%	0.00%	0.73%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	434	4	4	5	5	50	12	4	14	7	14	7	15	16	17	7	11	12	0	14	18	4	11	8	0	7	2	1	8	0	3	1	0	2	3	26	5	8	4	6	9	3	5	0	4	0	1	5	52	5	8	0	7									
		0.81%	0.29%	0.51%	0.90%	0.49%	3.78%	1.15%	0.40%	1.38%	0.69%	1.61%	0.70%	1.43%	1.59%	1.74%	0.73%	1.12%	1.14%	0.00%	1.43%	1.93%	0.39%	1.28%	1.57%	0.00%	0.73%	0.86%	0.22%	1.93%	0.00%	0.13%	0.08%	0.00%	0.88%	0.52%	1.25%	0.37%	0.61%	0.38%	0.37%	0.46%	0.25%	0.56%	0.00%	0.18%	0.00%	0.05%	0.86%	3.04%	1.14%	2.93%	0.00%	0.41%									
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
																																																															
