Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Рыльская																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК  899	УИК  900	УИК  901	УИК  902	УИК  903	УИК  904	УИК  905	УИК  906	УИК  907	УИК  908	УИК  909	УИК  910	УИК  911	УИК  912	УИК  913	УИК  914	УИК  915	УИК  916	УИК  917	УИК  918	УИК  919	УИК  920	УИК  921	УИК  922	УИК  923	УИК  924	УИК  925	УИК  926	УИК  927	УИК  928	УИК  929	УИК  930	УИК  931	УИК  932	УИК  933	УИК  934	УИК  935	УИК  936	УИК  937	УИК  938	УИК  939	УИК  940	УИК  941	УИК  942	УИК  943	УИК  944	УИК  945	УИК  946	УИК  947	УИК  948					
		1.42%	2.19%	1.95%	2.05%	1.96%	1.68%	0.93%	0.83%	1.32%	1.77%	0.0%	0.90%	4.29%	0.0%	0.44%	0.0%	1.09%	2.30%	0.0%	1.40%	1.87%	0.71%	2.22%	0.51%	1.11%	0.0%	1.11%	2.25%	0.0%	1.17%	1.98%	0.68%	0.87%	1.03%	0.34%	4.50%	0.94%	0.90%	2.40%	0.0%	1.39%	1.76%	1.26%	2.51%	0.0%	0.0%	0.0%	1.70%	1.47%	2.92%	1.44%					
22	"5. ""За Русь Святую"""	244	11	6	11	5	6	4	3	11	11	5	0	0	1	4	4	1	6	2	4	2	0	10	0	17	2	9	0	3	11	6	2	3	5	5	1	4	5	1	0	5	11	5	10	3	3	1	2	11	5	7					
		1.24%	1.15%	0.78%	1.50%	0.57%	0.77%	0.46%	0.41%	0.76%	1.39%	2.17%	0.0%	0.0%	0.65%	1.79%	2.96%	0.54%	2.30%	1.35%	1.87%	0.93%	0.0%	1.31%	0.0%	1.26%	0.88%	2.00%	0.0%	4.05%	1.83%	1.70%	1.36%	0.87%	0.73%	1.73%	0.90%	0.94%	1.51%	0.60%	0.0%	2.32%	3.87%	1.57%	2.79%	1.78%	1.51%	1.08%	0.68%	2.69%	2.09%	2.53%					
23	"6. ""Объединенная Российская партия ""Русь"""	85	4	3	2	2	2	0	0	2	3	5	0	3	0	0	1	1	2	3	0	1	1	2	1	6	1	0	1	0	5	3	1	2	0	0	3	5	1	0	0	2	2	1	0	2	1	1	2	6	2	0					
		0.43%	0.41%	0.39%	0.27%	0.23%	0.25%	0.0%	0.0%	0.13%	0.38%	2.17%	0.0%	1.84%	0.0%	0.0%	0.74%	0.54%	0.76%	2.02%	0.0%	0.46%	0.71%	0.26%	0.51%	0.44%	0.44%	0.0%	0.56%	0.0%	0.83%	0.85%	0.68%	0.58%	0.0%	0.0%	2.70%	1.17%	0.30%	0.0%	0.0%	0.93%	0.70%	0.31%	0.0%	1.19%	0.50%	1.08%	0.68%	1.47%	0.83%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	187	4	10	6	9	11	13	17	11	14	2	0	0	0	1	0	0	6	3	0	1	2	5	1	11	2	6	0	0	6	2	0	1	4	2	0	5	1	1	1	1	2	3	4	3	0	0	5	3	1	7					
		0.95%	0.41%	1.30%	0.82%	1.04%	1.42%	1.51%	2.35%	0.76%	1.77%	0.86%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	2.30%	2.02%	0.0%	0.46%	1.43%	0.65%	0.51%	0.81%	0.88%	1.33%	0.0%	0.0%	1.00%	0.56%	0.0%	0.29%	0.59%	0.69%	0.0%	1.17%	0.30%	0.60%	1.05%	0.46%	0.70%	0.94%	1.11%	1.78%	0.0%	0.0%	1.70%	0.73%	0.41%	2.53%					
25	"8. ""Народно-республиканская партия России"""	75	0	0	2	1	3	1	2	6	0	0	0	0	0	2	1	3	2	0	2	2	3	1	3	6	1	1	0	0	8	2	1	2	0	1	1	2	1	0	0	0	2	3	0	1	3	0	0	1	4	1					
		0.38%	0.0%	0.0%	0.27%	0.11%	0.38%	0.11%	0.27%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.89%	0.74%	1.64%	0.76%	0.0%	0.93%	0.93%	2.15%	0.13%	1.55%	0.44%	0.44%	0.22%	0.0%	0.0%	1.33%	0.56%	0.68%	0.58%	0.0%	0.34%	0.90%	0.47%	0.30%	0.0%	0.0%	0.0%	0.70%	0.94%	0.0%	0.59%	1.51%	0.0%	0.0%	0.24%	1.67%	0.36%					
26	"9. ""Российская экологическая партия ""Зеленые"""	57	0	3	3	4	1	4	2	5	1	2	0	0	0	0	0	0	1	0	0	1	0	1	0	5	1	2	0	0	5	0	1	1	0	4	1	0	0	0	0	0	2	0	1	0	1	0	2	0	1	2					
		0.28%	0.0%	0.39%	0.41%	0.46%	0.12%	0.46%	0.27%	0.34%	0.12%	0.86%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.46%	0.0%	0.13%	0.0%	0.37%	0.44%	0.44%	0.0%	0.0%	0.83%	0.0%	0.68%	0.29%	0.0%	1.38%	0.90%	0.0%	0.0%	0.0%	0.0%	0.0%	0.70%	0.0%	0.27%	0.0%	0.50%	0.0%	0.68%	0.0%	0.41%	0.72%					
27	"10. ""Аграрная партия России"""	1528	32	40	42	48	46	20	28	54	36	20	30	22	22	25	15	15	20	16	26	27	13	56	20	115	32	29	42	0	84	32	29	39	29	35	7	26	30	14	7	37	19	18	29	12	21	8	50	32	35	44					
		7.77%	3.34%	5.22%	5.75%	5.54%	5.97%	2.32%	3.87%	3.77%	4.56%	8.69%	27.27%	13.49%	14.47%	11.21%	11.11%	8.24%	7.69%	10.81%	12.20%	12.67%	9.35%	7.33%	10.36%	8.55%	14.22%	6.47%	23.72%	0.0%	14.04%	9.09%	19.86%	11.37%	4.28%	12.11%	6.30%	6.11%	9.09%	8.43%	7.36%	17.20%	6.69%	5.67%	8.10%	7.14%	10.60%	8.69%	17.06%	7.84%	14.64%	15.94%					
28	"11. ""Истинные патриоты России"""	27	0	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	14	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0					
		0.13%	0.0%	0.26%	0.0%	0.0%	0.0%	0.11%	0.0%	0.06%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.22%	1.12%	18.91%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.05%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	290	16	14	5	5	5	12	10	20	10	4	7	0	0	6	1	2	5	1	2	4	3	9	7	18	0	18	1	2	10	6	4	8	9	0	2	7	7	2	0	3	7	11	4	7	0	1	6	4	3	2					
		1.47%	1.67%	1.82%	0.68%	0.57%	0.64%	1.39%	1.38%	1.39%	1.26%	1.73%	6.36%	0.0%	0.0%	2.69%	0.74%	1.09%	1.92%	0.67%	0.93%	1.87%	2.15%	1.17%	3.62%	1.33%	0.0%	4.01%	0.56%	2.70%	1.67%	1.70%	2.73%	2.33%	1.33%	0.0%	1.80%	1.64%	2.12%	1.20%	0.0%	1.39%	2.46%	3.47%	1.11%	4.16%	0.0%	1.08%	2.04%	0.98%	1.25%	0.72%					
30	"13. ""Демократическая партия России"""	62	3	2	4	1	1	4	0	4	4	1	0	0	0	0	0	0	2	0	1	0	0	3	1	2	0	2	2	3	2	2	0	1	1	1	1	3	0	0	1	1	4	1	1	1	0	0	0	1	0	1					
		0.31%	0.31%	0.26%	0.54%	0.11%	0.12%	0.46%	0.0%	0.27%	0.50%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.76%	0.0%	0.46%	0.0%	0.0%	0.39%	0.51%	0.14%	0.0%	0.44%	1.12%	4.05%	0.33%	0.56%	0.0%	0.29%	0.14%	0.34%	0.90%	0.70%	0.0%	0.0%	1.05%	0.46%	1.40%	0.31%	0.27%	0.59%	0.0%	0.0%	0.0%	0.24%	0.0%	0.36%					
31	"14. ""Великая Россия - Евразийский Союз"""	91	6	4	2	3	4	2	0	4	3	2	0	3	1	1	0	1	1	0	0	1	1	0	2	8	4	6	0	0	2	0	1	3	3	3	0	5	0	1	0	0	1	1	0	2	0	0	0	3	4	3					
		0.46%	0.62%	0.52%	0.27%	0.34%	0.51%	0.23%	0.0%	0.27%	0.38%	0.86%	0.0%	1.84%	0.65%	0.44%	0.0%	0.54%	0.38%	0.0%	0.0%	0.46%	0.71%	0.0%	1.03%	0.59%	1.77%	1.33%	0.0%	0.0%	0.33%	0.0%	0.68%	0.87%	0.44%	1.03%	0.0%	1.17%	0.0%	0.60%	0.0%	0.0%	0.35%	0.31%	0.0%	1.19%	0.0%	0.0%	0.0%	0.73%	1.67%	1.08%					
32	"15. ""Партия СЛОН"""	30	1	1	3	0	1	3	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	1	3	0	1	0	2	1	0	0	0	1	1	0	0	0	0	2	2	0	0					
		0.15%	0.10%	0.13%	0.41%	0.0%	0.12%	0.34%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.46%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.68%	0.87%	0.0%	0.34%	0.0%	0.47%	0.30%	0.0%	0.0%	0.0%	0.35%	0.31%	0.0%	0.0%	0.0%	0.0%	0.68%	0.49%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1147	69	57	52	91	87	75	58	93	65	2	0	0	3	5	0	2	1	2	8	6	2	34	3	152	11	27	0	2	18	17	2	17	39	6	8	19	6	6	4	8	8	10	23	1	7	1	3	26	3	8					
		5.83%	7.21%	7.44%	7.12%	10.52%	11.29%	8.72%	8.03%	6.50%	8.24%	0.86%	0.0%	0.0%	1.97%	2.24%	0.0%	1.09%	0.38%	1.35%	3.75%	2.81%	1.43%	4.45%	1.55%	11.30%	4.88%	6.02%	0.0%	2.70%	3.01%	4.82%	1.36%	4.95%	5.76%	2.07%	7.20%	4.47%	1.81%	3.61%	4.21%	3.72%	2.81%	3.15%	6.42%	0.59%	3.53%	1.08%	1.02%	6.37%	1.25%	2.89%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	110	1	6	4	3	0	0	3	6	1	2	0	0	1	0	0	6	3	0	4	3	2	5	4	1	3	8	2	1	3	1	0	3	0	3	0	4	0	1	0	1	3	7	0	0	1	1	3	5	2	3					
		0.55%	0.10%	0.78%	0.54%	0.34%	0.0%	0.0%	0.41%	0.41%	0.12%	0.86%	0.0%	0.0%	0.65%	0.0%	0.0%	3.29%	1.15%	0.0%	1.87%	1.40%	1.43%	0.65%	2.07%	0.07%	1.33%	1.78%	1.12%	1.35%	0.50%	0.28%	0.0%	0.87%	0.0%	1.03%	0.0%	0.94%	0.0%	0.60%	0.0%	0.46%	1.05%	2.20%	0.0%	0.0%	0.50%	1.08%	1.02%	1.22%	0.83%	1.08%					
35	"18. ""ЛДПР"""	2705	113	104	96	126	102	139	130	266	131	14	4	13	18	35	7	19	30	13	9	30	6	113	29	187	16	41	19	5	59	37	22	64	145	14	20	81	44	11	13	48	24	55	30	24	40	13	34	70	21	21					
		13.75%	11.82%	13.57%	13.15%	14.56%	13.24%	16.16%	18.00%	18.60%	16.62%	6.08%	3.63%	7.97%	11.84%	15.69%	5.18%	10.43%	11.53%	8.78%	4.22%	14.08%	4.31%	14.80%	15.02%	13.90%	7.11%	9.15%	10.73%	6.75%	9.86%	10.51%	15.06%	18.65%	21.44%	4.84%	18.01%	19.05%	13.33%	6.62%	13.68%	22.32%	8.45%	17.35%	8.37%	14.28%	20.20%	14.13%	11.60%	17.15%	8.78%	7.60%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	480	27	21	28	25	33	2	23	52	23	0	1	9	3	3	2	5	6	0	2	5	5	16	6	25	4	3	6	3	13	8	3	8	26	6	3	12	1	0	0	3	4	5	5	2	8	5	6	9	5	10					
		2.44%	2.82%	2.74%	3.83%	2.89%	4.28%	0.23%	3.18%	3.63%	2.91%	0.0%	0.90%	5.52%	1.97%	1.34%	1.48%	2.74%	2.30%	0.0%	0.93%	2.34%	3.59%	2.09%	3.10%	1.85%	1.77%	0.66%	3.38%	4.05%	2.17%	2.27%	2.05%	2.33%	3.84%	2.07%	2.70%	2.82%	0.30%	0.0%	0.0%	1.39%	1.40%	1.57%	1.39%	1.19%	4.04%	5.43%	2.04%	2.20%	2.09%	3.62%					
37	"20. ""Политическая партия ""Единая Россия"""	6234	337	208	222	310	246	371	217	481	252	99	39	62	53	91	71	50	74	52	63	63	46	291	38	420	65	132	62	28	120	98	26	66	185	126	36	109	182	83	30	61	90	72	61	40	70	40	88	92	75	41					
		31.71%	35.25%	27.15%	30.41%	35.83%	31.94%	43.13%	30.05%	33.63%	31.97%	43.04%	35.45%	38.03%	34.86%	40.80%	52.59%	27.47%	28.46%	35.13%	29.57%	29.57%	33.09%	38.13%	19.68%	31.22%	28.88%	29.46%	35.02%	37.83%	20.06%	27.84%	17.80%	19.24%	27.36%	43.59%	32.43%	25.64%	55.15%	49.99%	31.57%	28.37%	31.69%	22.71%	17.03%	23.80%	35.35%	43.47%	30.03%	22.54%	31.38%	14.85%					
38	"21. ""Российская Конституционно-демократическая партия"""	146	1	2	3	3	3	1	2	6	2	6	0	3	1	4	0	2	6	4	8	2	2	5	2	7	6	4	4	1	6	2	3	3	2	2	1	6	0	5	0	4	0	3	2	1	1	0	2	2	5	6					
		0.74%	0.10%	0.26%	0.41%	0.34%	0.38%	0.11%	0.27%	0.41%	0.25%	2.60%	0.0%	1.84%	0.65%	1.79%	0.0%	1.09%	2.30%	2.70%	3.75%	0.93%	1.43%	0.65%	1.03%	0.52%	2.66%	0.89%	2.25%	1.35%	1.00%	0.56%	2.05%	0.87%	0.29%	0.69%	0.90%	1.41%	0.0%	3.01%	0.0%	1.86%	0.0%	0.94%	0.55%	0.59%	0.50%	0.0%	0.68%	0.49%	2.09%	2.17%					
39	"22. ""Развитие предпринимательства"""	49	0	0	1	5	4	3	1	4	2	0	0	0	0	0	0	1	1	0	0	0	1	2	2	2	0	5	1	1	0	2	0	0	3	1	0	0	0	0	0	0	2	1	1	0	0	0	0	2	1	0					
		0.24%	0.0%	0.0%	0.13%	0.57%	0.51%	0.34%	0.13%	0.27%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.38%	0.0%	0.0%	0.0%	0.71%	0.26%	1.03%	0.14%	0.0%	1.11%	0.56%	1.35%	0.0%	0.56%	0.0%	0.0%	0.44%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.70%	0.31%	0.27%	0.0%	0.0%	0.0%	0.0%	0.49%	0.41%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3225	243	172	139	122	127	122	112	238	119	22	8	22	23	19	13	40	36	21	30	31	27	90	31	156	54	59	18	6	116	58	33	63	137	50	14	80	30	20	25	21	45	64	137	29	20	6	30	53	23	71					
		16.40%	25.41%	22.45%	19.04%	14.10%	16.49%	14.18%	15.51%	16.64%	15.10%	9.56%	7.27%	13.49%	15.13%	8.52%	9.62%	21.97%	13.84%	14.18%	14.08%	14.55%	19.42%	11.79%	16.06%	11.59%	24.0%	13.16%	10.16%	8.10%	19.39%	16.47%	22.60%	18.36%	20.26%	17.30%	12.61%	18.82%	9.09%	12.04%	26.31%	9.76%	15.84%	20.18%	38.26%	17.26%	10.10%	6.52%	10.23%	12.99%	9.62%	25.72%					
																																																									
41	Против всех	710	22	33	25	28	32	29	32	64	34	8	0	4	17	7	9	2	7	6	10	11	8	25	8	77	2	20	4	0	21	6	6	15	35	1	2	13	1	4	3	5	4	7	4	10	5	1	6	18	9	10					
		3.61%	2.30%	4.30%	3.42%	3.23%	4.15%	3.37%	4.43%	4.47%	4.31%	3.47%	0.0%	2.45%	11.18%	3.13%	6.66%	1.09%	2.69%	4.05%	4.69%	5.16%	5.75%	3.27%	4.14%	5.72%	0.88%	4.46%	2.25%	0.0%	3.51%	1.70%	4.10%	4.37%	5.17%	0.34%	1.80%	3.05%	0.30%	2.40%	3.15%	2.32%	1.40%	2.20%	1.11%	5.95%	2.52%	1.08%	2.04%	4.41%	3.76%	3.62%					
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
