Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Крыловская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК  2501	УИК  2502	УИК  2503	УИК  2504	УИК  2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536					
		0.92%	2.06%	0.72%	1.07%	1.23%	1.39%	1.80%	0.66%	0.60%	0.48%	0.86%	0.82%	0.71%	2.05%	0.28%	0.96%	0.0%	0.0%	1.48%	0.0%	1.81%	0.0%	0.0%	0.31%	0.59%	2.04%	0.0%	0.64%	0.0%	0.0%	1.07%	0.0%	0.0%	0.40%	0.52%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	265	10	7	16	20	12	18	0	7	7	11	18	18	14	24	18	2	0	1	7	3	0	0	8	0	4	1	10	0	2	1	2	3	10	9	2	0					
		1.76%	1.08%	1.69%	2.45%	2.23%	2.09%	1.41%	0.0%	2.10%	1.70%	1.90%	2.11%	2.14%	2.87%	2.29%	2.47%	1.14%	0.0%	0.74%	3.74%	1.81%	0.0%	0.0%	1.26%	0.0%	2.04%	0.92%	0.92%	0.0%	3.44%	0.53%	1.86%	4.22%	1.34%	4.73%	2.70%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	188	19	3	14	12	8	15	0	8	7	7	17	6	10	16	4	1	1	2	3	2	1	0	3	1	2	1	9	0	0	1	3	1	6	5	0	0					
		1.25%	2.06%	0.72%	2.15%	1.34%	1.39%	1.17%	0.0%	2.40%	1.70%	1.21%	1.99%	0.71%	2.05%	1.52%	0.54%	0.57%	1.05%	1.48%	1.60%	1.21%	0.98%	0.0%	0.47%	0.59%	1.02%	0.92%	0.82%	0.0%	0.0%	0.53%	2.80%	1.40%	0.80%	2.63%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	57	1	3	3	3	3	4	2	0	0	2	4	9	0	6	2	0	2	4	0	0	0	0	2	1	0	0	3	0	0	0	0	0	1	1	0	1					
		0.38%	0.10%	0.72%	0.46%	0.33%	0.52%	0.31%	1.33%	0.0%	0.0%	0.34%	0.46%	1.07%	0.0%	0.57%	0.27%	0.0%	2.10%	2.96%	0.0%	0.0%	0.0%	0.0%	0.31%	0.59%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.52%	0.0%	0.86%					
23	"6. ""Объединенная Российская партия ""Русь"""	36	3	0	0	3	0	3	0	2	2	1	1	4	0	3	0	0	0	0	1	1	1	0	0	3	0	0	1	0	1	1	0	0	4	0	0	1					
		0.24%	0.32%	0.0%	0.0%	0.33%	0.0%	0.23%	0.0%	0.60%	0.48%	0.17%	0.11%	0.47%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.53%	0.60%	0.98%	0.0%	0.0%	1.77%	0.0%	0.0%	0.09%	0.0%	1.72%	0.53%	0.0%	0.0%	0.53%	0.0%	0.0%	0.86%					
24	"7. ""Новый курс - Автомобильная Россия"""	63	6	1	3	4	1	2	1	2	2	2	2	3	0	5	4	0	2	0	0	0	1	0	2	4	2	0	6	0	0	3	0	1	2	1	0	1					
		0.42%	0.65%	0.24%	0.46%	0.44%	0.17%	0.15%	0.66%	0.60%	0.48%	0.34%	0.23%	0.35%	0.0%	0.47%	0.54%	0.0%	2.10%	0.0%	0.0%	0.0%	0.98%	0.0%	0.31%	2.36%	1.02%	0.0%	0.55%	0.0%	0.0%	1.61%	0.0%	1.40%	0.26%	0.52%	0.0%	0.86%					
25	"8. ""Народно-республиканская партия России"""	30	3	2	3	3	2	2	1	1	1	3	1	0	0	0	2	1	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0					
		0.20%	0.32%	0.48%	0.46%	0.33%	0.34%	0.15%	0.66%	0.30%	0.24%	0.52%	0.11%	0.0%	0.0%	0.0%	0.27%	0.57%	0.0%	0.74%	0.0%	0.0%	0.98%	0.8%	0.15%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	24	2	0	1	2	1	2	0	0	0	0	4	0	1	1	2	0	0	0	0	1	0	0	0	0	1	1	2	0	0	0	0	1	2	0	0	0					
		0.16%	0.21%	0.0%	0.15%	0.22%	0.17%	0.15%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.20%	0.09%	0.27%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.51%	0.92%	0.18%	0.0%	0.0%	0.0%	0.0%	1.40%	0.26%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1012	67	21	62	46	25	76	3	22	38	33	39	21	17	94	70	19	8	7	24	3	11	12	75	12	4	12	75	6	0	6	8	3	67	17	4	5					
		6.75%	7.26%	5.08%	9.52%	5.14%	4.37%	5.97%	2.0%	6.60%	9.24%	5.72%	4.57%	2.50%	3.49%	8.96%	9.61%	10.85%	8.42%	5.18%	12.83%	1.81%	10.78%	9.6%	11.88%	7.10%	2.04%	11.11%	6.90%	5.88%	0.0%	3.22%	7.47%	4.22%	8.99%	8.94%	5.40%	4.31%					
28	"11. ""Истинные патриоты России"""	13	1	2	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0					
		0.08%	0.10%	0.48%	0.0%	0.0%	0.34%	0.0%	0.0%	0.30%	0.0%	0.0%	0.11%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.21%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.53%	0.93%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	106	5	4	9	8	4	2	0	3	3	1	4	6	6	7	3	3	1	0	3	0	0	0	4	2	1	0	12	0	2	4	0	0	6	2	0	1					
		0.70%	0.54%	0.96%	1.38%	0.89%	0.69%	0.15%	0.0%	0.90%	0.72%	0.17%	0.46%	0.71%	1.23%	0.66%	0.41%	1.71%	1.05%	0.0%	1.60%	0.0%	0.0%	0.0%	0.63%	1.18%	0.51%	0.0%	1.10%	0.0%	3.44%	2.15%	0.0%	0.0%	0.80%	1.05%	0.0%	0.86%					
30	"13. ""Демократическая партия России"""	40	5	3	5	3	0	1	0	2	2	0	0	3	3	3	0	0	0	0	0	1	0	1	1	0	0	2	2	0	0	0	0	0	2	1	0	0					
		0.26%	0.54%	0.72%	0.76%	0.33%	0.0%	0.07%	0.0%	0.60%	0.48%	0.0%	0.0%	0.35%	0.61%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	0.8%	0.15%	0.0%	0.0%	1.85%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.52%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	19	1	2	0	0	0	2	1	0	0	0	2	0	0	3	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	3	0	0	0					
		0.12%	0.10%	0.48%	0.0%	0.0%	0.0%	0.15%	0.66%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.28%	0.13%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.09%	0.98%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	10	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.20%	0.0%	0.13%	0.0%	1.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.53%	0.93%	1.40%	0.13%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1486	110	39	49	101	78	150	1	33	30	52	103	88	41	116	104	19	7	3	17	10	7	0	53	3	14	2	150	10	0	6	10	2	54	20	1	3					
		9.92%	11.93%	9.44%	7.52%	11.29%	13.63%	11.78%	0.66%	9.90%	7.29%	9.02%	12.07%	10.50%	8.41%	11.06%	14.28%	10.85%	7.36%	2.22%	9.09%	6.06%	6.86%	0.0%	8.39%	1.77%	7.14%	1.85%	13.81%	9.80%	0.0%	3.22%	9.34%	2.81%	7.24%	10.52%	1.35%	2.58%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	38	1	1	0	3	0	3	0	0	1	3	1	2	1	2	3	2	0	1	1	3	0	1	1	0	0	0	2	1	0	1	1	1	1	1	0	0					
		0.25%	0.10%	0.24%	0.0%	0.33%	0.0%	0.23%	0.0%	0.0%	0.24%	0.52%	0.11%	0.23%	0.20%	0.19%	0.41%	1.14%	0.0%	0.74%	0.53%	1.81%	0.0%	0.8%	0.15%	0.0%	0.0%	0.0%	0.18%	0.98%	0.0%	0.53%	0.93%	1.40%	0.13%	0.52%	0.0%	0.0%					
35	"18. ""ЛДПР"""	2234	147	62	94	134	74	150	17	59	64	138	103	80	56	104	90	32	10	15	22	44	19	18	97	11	36	10	171	26	14	42	14	12	183	29	19	38					
		14.92%	15.94%	15.01%	14.43%	14.98%	12.93%	11.78%	11.33%	17.71%	15.57%	23.95%	12.07%	9.54%	11.49%	9.92%	12.36%	18.28%	10.52%	11.11%	11.76%	26.66%	18.62%	14.4%	15.37%	6.50%	18.36%	9.25%	15.74%	25.49%	24.13%	22.58%	13.08%	16.90%	24.56%	15.26%	25.67%	32.75%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	293	17	7	22	15	16	29	1	16	15	9	28	18	11	22	2	6	1	4	3	6	0	0	7	3	1	1	12	1	1	5	1	0	9	1	2	1					
		1.95%	1.84%	1.69%	3.37%	1.67%	2.79%	2.27%	0.66%	4.80%	3.64%	1.56%	3.28%	2.14%	2.25%	2.09%	0.27%	3.42%	1.05%	2.96%	1.60%	3.63%	0.0%	0.0%	1.10%	1.77%	0.51%	0.92%	1.10%	0.98%	1.72%	2.68%	0.93%	0.0%	1.20%	0.52%	2.70%	0.86%					
37	"20. ""Политическая партия ""Единая Россия"""	4801	252	131	165	251	201	395	52	91	122	191	290	321	187	363	179	30	39	31	38	35	38	17	253	69	83	42	373	37	17	76	40	20	222	72	38	40					
		32.06%	27.33%	31.71%	25.34%	28.07%	35.13%	31.02%	34.66%	27.32%	29.68%	33.15%	33.99%	38.30%	38.39%	34.63%	24.58%	17.14%	41.05%	22.96%	20.32%	21.21%	37.25%	13.6%	40.09%	40.82%	42.34%	38.88%	34.34%	36.27%	29.31%	40.86%	37.38%	28.16%	29.79%	37.89%	51.35%	34.48%					
38	"21. ""Российская Конституционно-демократическая партия"""	27	0	1	2	5	0	3	0	2	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	3	2	0	1	0	0	0	0	0	2					
		0.18%	0.0%	0.24%	0.30%	0.55%	0.0%	0.23%	0.0%	0.60%	0.0%	0.0%	0.23%	0.11%	0.0%	0.09%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.27%	1.96%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	1.72%					
39	"22. ""Развитие предпринимательства"""	37	7	1	2	2	2	0	0	1	2	1	2	0	1	1	2	0	0	0	0	1	0	0	0	0	1	0	7	0	0	0	1	1	1	0	0	1					
		0.24%	0.75%	0.24%	0.30%	0.22%	0.34%	0.0%	0.0%	0.30%	0.48%	0.17%	0.23%	0.0%	0.20%	0.09%	0.27%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.64%	0.0%	0.0%	0.0%	0.93%	1.40%	0.13%	0.0%	0.0%	0.86%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3204	196	99	146	225	117	329	61	55	87	90	182	201	91	220	202	48	19	55	57	33	14	72	86	36	31	28	174	16	12	18	13	20	136	19	7	9					
		21.39%	21.25%	23.97%	22.42%	25.16%	20.45%	25.84%	40.66%	16.51%	21.16%	15.62%	21.33%	23.98%	18.68%	20.99%	27.74%	27.42%	20.0%	40.74%	30.48%	20.0%	13.72%	57.6%	13.62%	21.30%	15.81%	25.92%	16.02%	15.68%	20.68%	9.67%	12.14%	28.16%	18.25%	10.0%	9.45%	7.75%					
																																											
41	Против всех	548	39	12	31	32	13	46	5	17	23	17	25	36	27	34	4	8	4	7	3	5	8	3	21	14	9	6	38	1	2	11	8	4	21	5	1	8					
		3.66%	4.22%	2.90%	4.76%	3.57%	2.27%	3.61%	3.33%	5.10%	5.59%	2.95%	2.93%	4.29%	5.54%	3.24%	0.54%	4.57%	4.21%	5.18%	1.60%	3.03%	7.84%	2.4%	3.32%	8.28%	4.59%	5.55%	3.49%	0.98%	3.44%	5.91%	7.47%	5.63%	2.81%	2.63%	1.35%	6.89%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
