Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																															
Дата голосования: 04.12.2011																																																																															
																																																																															
Наименование Избирательной комиссии:    Королевская городская																																																																															
																																																																															
Сводная таблица результатов выборов																																																																															
																																																																															
		Сумма	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1583	32	20	21	21	21	46	16	27	35	15	17	22	17	21	15	26	12	33	19	25	14	28	15	16	13	27	18	31	30	25	30	22	19	22	22	39	17	30	18	36	30	28	32	37	13	34	32	26	25	28	24	22	22	22	1	0	0	31	33	8	14	13	5	42	19	23	13	2	2	19	23	27					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1758	12	40	22	18	31	15	21	15	23	11	40	22	21	19	198	45	14	10	17	16	11	11	11	9	19	16	17	20	8	23	11	19	23	10	14	30	33	19	13	12	16	15	33	28	9	8	13	10	26	22	62	48	72	84	9	12	8	15	24	13	12	32	33	21	21	37	22	41	23	14	11	25					
14	Число погашенных неиспользованных открепительных удостоверений	917	8	10	19	19	9	4	14	13	5	15	13	18	13	9	15	14	18	7	21	15	16	12	15	24	27	3	12	9	0	15	10	8	21	18	8	6	23	10	22	4	10	12	8	3	27	6	8	14	15	12	16	18	18	18	19	0	0	9	7	22	16	7	15	3	11	17	17	18	8	11	17	13					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	95	5	3	1	0	2	2	3	0	2	2	0	2	0	0	0	1	2	0	0	1	2	2	0	0	1	1	1	2	2	2	0	2	1	0	0	0	0	0	2	2	3	0	2	0	1	5	1	2	4	1	2	3	6	3	0	0	0	1	5	0	1	0	0	1	0	4	1	0	0	1	1	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	13308	80	153	195	187	130	221	144	191	306	74	146	169	145	119	162	180	127	247	250	241	201	244	191	217	191	230	189	245	231	224	270	121	174	214	196	267	196	241	173	280	284	211	265	322	194	239	274	250	253	288	216	282	257	203	26	39	32	217	225	104	130	72	51	166	125	166	88	20	16	129	179	223					
		19.17%	12.44%	18.70%	19.14%	20.48%	16.33%	18.74%	19.15%	18.42%	21.37%	15.58%	18.18%	17.70%	17.43%	18.80%	19.71%	16.74%	17.61%	19.87%	20.97%	21.37%	20.39%	19.84%	21.44%	22.65%	18.31%	22.59%	18.57%	20.05%	21.98%	19.21%	21.24%	17.19%	17.77%	20.74%	20.40%	20.57%	20.00%	16.91%	15.67%	22.65%	20.96%	20.27%	19.75%	21.27%	17.81%	19.72%	20.00%	21.29%	18.21%	21.16%	17.65%	17.50%	19.72%	14.99%	10.48%	16.25%	24.24%	19.17%	20.11%	18.02%	20.97%	19.30%	23.08%	17.26%	16.96%	16.27%	18.53%	14.39%	16.49%	17.53%	17.65%	18.48%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	10308	119	98	139	89	112	147	102	124	173	65	114	133	116	97	119	169	142	160	154	179	155	172	105	144	160	112	165	134	118	162	227	143	165	186	152	227	130	257	260	193	191	142	190	191	145	171	177	147	192	209	175	230	188	167	53	24	13	185	193	101	91	41	28	182	134	224	64	20	7	118	193	204					
		14.85%	18.51%	11.98%	13.64%	9.75%	14.07%	12.47%	13.56%	11.96%	12.08%	13.68%	14.20%	13.93%	13.94%	15.32%	14.48%	15.72%	19.69%	12.87%	12.92%	15.87%	15.72%	13.98%	11.78%	15.03%	15.34%	11.00%	16.21%	10.97%	11.23%	13.89%	17.86%	20.31%	16.85%	18.02%	15.82%	17.49%	13.27%	18.04%	23.55%	15.61%	14.10%	13.64%	14.16%	12.62%	13.31%	14.11%	12.92%	12.52%	13.82%	15.36%	14.30%	14.28%	14.43%	12.33%	21.37%	10.00%	9.85%	16.34%	17.25%	17.50%	14.68%	10.99%	12.67%	18.92%	18.18%	21.96%	13.47%	14.39%	7.22%	16.03%	19.03%	16.90%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1049	19	13	15	15	7	17	17	20	23	8	14	20	8	12	12	13	14	20	19	19	16	15	19	13	12	20	11	19	14	17	13	12	15	14	14	17	13	19	14	10	13	18	27	28	19	20	22	24	22	18	16	24	21	13	4	7	1	16	19	9	3	3	2	12	13	12	8	2	4	9	23	15					
		1.51%	2.95%	1.59%	1.47%	1.64%	0.88%	1.44%	2.26%	1.93%	1.61%	1.68%	1.74%	2.09%	0.96%	1.90%	1.46%	1.21%	1.94%	1.61%	1.59%	1.68%	1.62%	1.22%	2.13%	1.36%	1.15%	1.96%	1.08%	1.55%	1.33%	1.46%	1.02%	1.70%	1.53%	1.36%	1.46%	1.31%	1.33%	1.33%	1.27%	0.81%	0.96%	1.73%	2.01%	1.85%	1.74%	1.65%	1.61%	2.04%	1.58%	1.32%	1.31%	1.49%	1.61%	0.96%	1.61%	2.92%	0.76%	1.41%	1.70%	1.56%	0.48%	0.80%	0.90%	1.25%	1.76%	1.18%	1.68%	1.44%	4.12%	1.22%	2.27%	1.24%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	19580	203	254	292	267	252	337	192	316	422	146	221	298	201	169	200	312	173	356	298	286	261	379	284	248	333	313	291	367	341	350	353	190	229	279	280	353	258	406	282	334	410	302	394	472	365	385	410	392	431	365	321	456	361	348	41	59	27	341	329	179	158	95	57	263	183	237	107	32	24	213	260	237					
		28.20%	31.57%	31.05%	28.66%	29.24%	31.66%	28.58%	25.53%	30.47%	29.47%	30.74%	27.52%	31.20%	24.16%	26.70%	24.33%	29.02%	23.99%	28.64%	25.00%	25.35%	26.47%	30.81%	31.87%	25.89%	31.93%	30.75%	28.59%	30.03%	32.45%	30.02%	27.77%	26.99%	23.39%	27.03%	29.14%	27.20%	26.33%	28.49%	25.54%	27.02%	30.26%	29.01%	29.36%	31.18%	33.52%	31.77%	29.93%	33.39%	31.03%	26.82%	26.23%	28.31%	27.71%	25.70%	16.53%	24.58%	20.45%	30.12%	29.40%	31.02%	25.48%	25.47%	25.79%	27.34%	24.83%	23.24%	22.53%	23.02%	24.74%	28.94%	25.64%	19.64%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	7376	62	114	109	114	85	173	91	131	201	51	99	114	77	64	75	117	59	144	161	111	117	136	75	91	100	94	110	158	141	94	106	58	113	108	106	131	100	184	79	102	134	133	191	192	114	121	166	116	133	203	165	168	125	126	9	9	6	102	130	41	71	53	24	75	44	71	59	14	8	64	73	81					
		10.62%	9.64%	13.94%	10.70%	12.49%	10.68%	14.67%	12.10%	12.63%	14.04%	10.74%	12.33%	11.94%	9.25%	10.11%	9.12%	10.88%	8.18%	11.58%	13.51%	9.84%	11.87%	11.06%	8.42%	9.50%	9.59%	9.23%	10.81%	12.93%	13.42%	8.06%	8.34%	8.24%	11.54%	10.47%	11.03%	10.09%	10.20%	12.91%	7.16%	8.25%	9.89%	12.78%	14.23%	12.68%	10.47%	9.98%	12.12%	9.88%	9.58%	14.92%	13.48%	10.43%	9.59%	9.31%	3.63%	3.75%	4.55%	9.01%	11.62%	7.11%	11.45%	14.21%	10.86%	7.80%	5.97%	6.96%	12.42%	10.07%	8.25%	8.70%	7.20%	6.71%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15349	138	167	225	211	185	239	168	216	245	109	176	185	255	148	221	243	172	272	266	257	203	234	192	209	220	217	214	261	176	283	252	158	252	194	172	263	257	272	234	275	275	195	228	260	211	238	292	203	297	232	295	402	311	457	99	97	49	234	188	124	139	91	48	219	209	264	137	45	31	180	243	420					
		22.11%	21.46%	20.42%	22.08%	23.11%	23.24%	20.27%	22.34%	20.83%	17.11%	22.95%	21.92%	19.37%	30.65%	23.38%	26.89%	22.60%	23.86%	21.88%	22.32%	22.78%	20.59%	19.02%	21.55%	21.82%	21.09%	21.32%	21.02%	21.36%	16.75%	24.27%	19.83%	22.44%	25.74%	18.80%	17.90%	20.26%	26.22%	19.09%	21.20%	22.25%	20.30%	18.73%	16.99%	17.17%	19.38%	19.64%	21.31%	17.29%	21.38%	17.05%	24.10%	24.95%	23.87%	33.75%	39.92%	40.42%	37.12%	20.67%	16.80%	21.49%	22.42%	24.40%	21.72%	22.77%	28.36%	25.88%	28.84%	32.37%	31.96%	24.46%	23.96%	34.80%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	749	7	8	16	11	8	17	9	14	18	6	9	11	8	6	8	12	5	13	12	9	8	22	4	10	5	14	13	17	11	8	20	8	5	10	12	9	10	12	14	10	16	14	19	19	10	12	14	17	19	14	15	15	11	15	4	1	1	9	18	3	8	4	6	14	5	7	2	2	4	5	8	9					
		1.08%	1.09%	0.98%	1.57%	1.20%	1.01%	1.44%	1.20%	1.35%	1.26%	1.26%	1.12%	1.15%	0.96%	0.95%	0.97%	1.12%	0.69%	1.05%	1.01%	0.80%	0.81%	1.79%	0.45%	1.04%	0.48%	1.38%	1.28%	1.39%	1.05%	0.69%	1.57%	1.14%	0.51%	0.97%	1.25%	0.69%	1.02%	0.84%	1.27%	0.81%	1.18%	1.34%	1.42%	1.25%	0.92%	0.99%	1.02%	1.45%	1.37%	1.03%	1.23%	0.93%	0.84%	1.11%	1.61%	0.42%	0.76%	0.80%	1.61%	0.52%	1.29%	1.07%	2.71%	1.46%	0.68%	0.69%	0.42%	1.44%	4.12%	0.68%	0.79%	0.75%					
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
