Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																								
Дата голосования: 18.09.2016																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Новомосковская																																																																																								
																																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																								
																																																																																								
		Сумма	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1622	15	15	30	20	25	38	30	25	25	35	40	30	25	35	25	35	20	20	35	30	25	35	30	5	30	20	40	40	30	20	35	40	20	20	30	30	20	40	20	25	25	25	25	20	35	20	20	10	5	20	10	35	35	32	15	22	3	3	5	5	5	3	20	35	3	3	10	5	2	8	13	12	10	10	5	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1321	8	9	20	17	23	33	21	21	25	32	28	30	24	31	18	30	18	20	30	27	25	23	20	3	24	14	23	23	21	18	32	26	12	19	28	24	19	25	16	22	21	18	25	19	28	15	14	10	1	13	9	32	32	32	15	22	3	3	1	4	5	2	20	31	1	0	9	1	0	8	13	12	10	7	3	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	979	17	10	15	9	19	10	20	21	22	16	16	12	17	20	8	18	15	14	14	18	35	15	16	5	13	17	14	12	10	12	8	7	17	9	12	11	18	14	17	14	23	22	16	3	17	7	8	13	8	21	7	13	14	6	6	11	7	2	6	1	4	8	6	13	9	5	28	4	7	11	11	8	15	2	6	18	26									
14	Число погашенных неиспользованных открепительных удостоверений	301	7	6	10	3	2	5	9	4	0	3	12	0	1	4	7	5	2	0	5	3	0	12	10	2	6	6	17	17	9	2	3	14	8	1	2	6	1	15	4	3	4	7	0	1	7	5	6	0	4	7	1	3	3	0	0	0	0	0	4	1	0	1	0	4	2	3	1	4	2	0	0	0	0	3	2	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	274	1	3	5	6	5	1	3	5	0	2	6	10	4	5	6	14	4	5	4	9	3	2	6	0	7	3	6	6	7	3	3	4	4	4	3	5	8	1	3	6	6	3	0	4	6	5	10	1	0	3	2	9	8	6	3	5	0	1	0	0	2	0	3	2	3	0	0	0	0	0	3	3	3	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1489	15	19	52	31	21	30	55	67	29	32	26	30	37	40	28	25	19	22	25	48	21	23	14	6	56	31	23	22	24	24	31	27	24	30	17	25	27	19	18	24	23	16	23	15	16	49	27	7	4	19	6	14	13	16	9	8	2	2	1	5	4	2	25	15	3	1	8	3	0	0	1	3	9	0	1	2	0									
		2.86%	2.16%	5.43%	5.38%	3.22%	2.10%	3.61%	6.64%	6.47%	3.22%	3.34%	2.53%	2.94%	3.94%	3.37%	2.56%	2.19%	2.03%	2.43%	2.35%	4.40%	2.36%	3.39%	2.02%	4.05%	6.70%	4.92%	2.48%	2.65%	3.07%	3.64%	2.98%	3.51%	2.65%	3.45%	1.94%	2.96%	2.76%	2.17%	2.04%	2.11%	2.18%	1.78%	2.16%	2.16%	1.74%	5.89%	3.21%	1.42%	5.41%	2.47%	1.69%	1.78%	1.49%	2.18%	1.96%	1.49%	1.14%	1.54%	0.41%	2.10%	1.46%	1.98%	3.72%	2.12%	1.82%	0.67%	1.65%	2.54%	0.00%	0.00%	0.61%	0.85%	2.69%	0.00%	0.55%	0.43%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1232	20	11	30	25	25	15	15	25	27	19	15	13	21	37	26	25	22	21	35	18	19	17	22	1	15	7	22	18	19	20	25	19	27	21	5	12	18	11	19	28	27	28	26	21	22	17	23	8	3	14	13	32	35	10	16	9	3	2	9	6	2	6	26	19	4	3	11	6	1	2	3	12	8	5	1	7	2									
		2.37%	2.88%	3.14%	3.11%	2.59%	2.50%	1.81%	1.81%	2.41%	3.00%	1.98%	1.46%	1.28%	2.24%	3.12%	2.38%	2.19%	2.35%	2.32%	3.30%	1.65%	2.13%	2.50%	3.17%	0.68%	1.79%	1.11%	2.38%	2.17%	2.43%	3.03%	2.40%	2.47%	2.98%	2.42%	0.57%	1.42%	1.84%	1.25%	2.15%	2.47%	2.56%	3.11%	2.44%	3.02%	2.39%	2.04%	2.74%	1.62%	4.05%	1.82%	3.66%	4.07%	4.00%	1.36%	3.48%	1.68%	1.71%	1.54%	3.69%	2.52%	0.73%	5.94%	3.87%	2.69%	2.42%	2.00%	2.26%	5.08%	1.35%	2.08%	1.84%	3.38%	2.39%	3.05%	0.55%	1.50%	1.43%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1435	21	10	28	18	19	20	14	17	30	24	16	24	24	28	40	37	37	35	35	37	38	21	26	4	23	7	18	23	28	25	44	24	33	18	18	21	31	16	28	48	38	23	37	10	25	19	20	19	1	23	8	30	23	8	13	16	5	4	4	4	6	5	10	20	2	5	10	5	1	2	3	3	9	5	4	5	2									
		2.76%	3.02%	2.86%	2.90%	1.87%	1.90%	2.41%	1.69%	1.64%	3.33%	2.50%	1.55%	2.36%	2.56%	2.36%	3.66%	3.24%	3.95%	3.87%	3.30%	3.39%	4.26%	3.09%	3.75%	2.70%	2.75%	1.11%	1.94%	2.77%	3.58%	3.79%	4.22%	3.12%	3.64%	2.07%	2.05%	2.49%	3.17%	1.82%	3.17%	4.23%	3.60%	2.56%	3.47%	1.44%	2.72%	2.28%	2.38%	3.85%	1.35%	2.99%	2.25%	3.81%	2.63%	1.09%	2.83%	2.99%	2.86%	3.08%	1.64%	1.68%	2.19%	4.95%	1.49%	2.83%	1.21%	3.33%	2.06%	4.24%	1.35%	2.08%	1.84%	0.85%	2.69%	3.05%	2.21%	1.07%	1.43%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	24267	333	166	414	460	471	361	362	567	365	379	608	551	452	443	504	468	358	337	443	448	350	273	265	55	318	429	502	333	323	258	411	316	343	362	570	359	396	481	367	493	447	397	421	292	403	339	315	227	44	385	184	400	430	457	250	363	94	83	152	156	165	55	376	376	112	96	301	56	51	51	93	226	163	108	127	274	104									
		46.66%	47.91%	47.43%	42.86%	47.72%	47.05%	43.49%	43.72%	54.73%	40.56%	39.52%	59.09%	54.07%	48.14%	37.35%	46.07%	41.02%	38.25%	37.28%	41.71%	41.03%	39.28%	40.21%	38.24%	37.16%	38.04%	68.10%	54.21%	40.07%	41.25%	39.09%	39.44%	41.09%	37.82%	41.66%	65.07%	42.54%	40.53%	54.85%	41.52%	43.44%	42.37%	44.16%	39.49%	41.95%	43.85%	40.75%	37.50%	45.95%	59.46%	50.13%	51.83%	50.83%	49.14%	62.35%	54.35%	67.72%	53.71%	63.85%	62.30%	65.55%	60.22%	54.46%	55.95%	53.26%	67.88%	64.00%	61.93%	47.46%	68.92%	53.13%	57.06%	63.66%	48.66%	65.85%	70.17%	58.67%	74.29%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	551	2	4	11	10	7	10	16	5	8	12	8	14	12	24	18	14	12	8	11	17	17	7	7	2	10	3	3	12	13	11	5	8	13	7	9	11	13	9	11	19	9	9	14	9	14	8	14	8	3	6	2	2	5	6	2	2	0	0	1	1	3	2	5	5	0	0	3	3	0	0	0	0	0	0	1	1	0									
		1.06%	0.29%	1.14%	1.14%	1.04%	0.70%	1.20%	1.93%	0.48%	0.89%	1.25%	0.78%	1.37%	1.28%	2.02%	1.65%	1.23%	1.28%	0.88%	1.04%	1.56%	1.91%	1.03%	1.01%	1.35%	1.20%	0.48%	0.32%	1.44%	1.66%	1.67%	0.48%	1.04%	1.43%	0.81%	1.03%	1.30%	1.33%	1.03%	1.24%	1.67%	0.85%	1.00%	1.31%	1.29%	1.52%	0.96%	1.67%	1.62%	4.05%	0.78%	0.56%	0.25%	0.57%	0.82%	0.43%	0.37%	0.00%	0.00%	0.41%	0.42%	1.09%	1.98%	0.74%	0.71%	0.00%	0.00%	0.62%	2.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.21%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	92	2	0	1	4	3	1	4	0	1	1	3	0	2	1	2	5	3	2	1	4	2	3	2	0	1	1	1	1	2	0	2	1	0	6	2	0	1	3	2	1	0	0	3	2	2	1	1	0	0	4	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1									
		0.18%	0.29%	0.00%	0.10%	0.41%	0.30%	0.12%	0.48%	0.00%	0.11%	0.10%	0.29%	0.00%	0.21%	0.08%	0.18%	0.44%	0.32%	0.22%	0.09%	0.37%	0.22%	0.44%	0.29%	0.00%	0.12%	0.16%	0.11%	0.12%	0.26%	0.00%	0.19%	0.13%	0.00%	0.69%	0.23%	0.00%	0.10%	0.34%	0.23%	0.09%	0.00%	0.00%	0.28%	0.29%	0.22%	0.12%	0.12%	0.00%	0.00%	0.52%	0.56%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.73%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.55%	0.00%	0.71%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	8476	114	52	155	155	194	129	120	171	145	149	107	57	154	189	167	225	167	173	196	193	139	104	133	26	136	42	27	150	139	135	192	151	160	166	65	155	179	113	155	181	173	140	206	131	177	141	190	96	10	140	59	133	152	108	81	63	53	15	36	27	42	9	113	122	14	28	80	26	10	21	53	54	68	25	22	79	19									
		16.30%	16.40%	14.86%	16.05%	16.08%	19.38%	15.54%	14.49%	16.51%	16.11%	15.54%	10.40%	5.59%	16.40%	15.94%	15.27%	19.72%	17.84%	19.14%	18.46%	17.67%	15.60%	15.32%	19.19%	17.57%	16.27%	6.67%	2.92%	18.05%	17.75%	20.45%	18.43%	19.64%	17.64%	19.10%	7.42%	18.36%	18.32%	12.88%	17.53%	15.95%	16.40%	15.57%	19.32%	18.82%	19.26%	16.95%	22.62%	19.43%	13.51%	18.23%	16.62%	16.90%	17.37%	14.73%	17.61%	11.75%	30.29%	11.54%	14.75%	11.34%	15.33%	8.91%	16.82%	17.28%	8.48%	18.67%	16.46%	22.03%	13.51%	21.88%	32.52%	15.21%	20.30%	15.24%	12.15%	16.92%	13.57%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	555	7	1	22	12	16	7	4	9	15	23	7	16	14	26	12	24	12	14	15	17	17	19	6	0	8	3	11	13	6	6	17	9	4	10	9	2	13	8	5	16	6	11	6	5	13	10	9	7	0	5	1	2	3	0	1	1	0	0	2	0	1	0	6	0	1	1	2	0	0	0	0	2	2	1	0	1	1									
		1.07%	1.01%	0.29%	2.28%	1.24%	1.60%	0.84%	0.48%	0.87%	1.67%	2.40%	0.68%	1.57%	1.49%	2.19%	1.10%	2.10%	1.28%	1.55%	1.41%	1.56%	1.91%	2.80%	0.87%	0.00%	0.96%	0.48%	1.19%	1.56%	0.77%	0.91%	1.63%	1.17%	0.44%	1.15%	1.03%	0.24%	1.33%	0.91%	0.57%	1.41%	0.57%	1.22%	0.56%	0.72%	1.41%	1.20%	1.07%	1.42%	0.00%	0.65%	0.28%	0.25%	0.34%	0.00%	0.22%	0.19%	0.00%	0.00%	0.82%	0.00%	0.36%	0.00%	0.89%	0.00%	0.61%	0.67%	0.41%	0.00%	0.00%	0.00%	0.00%	0.56%	0.60%	0.61%	0.00%	0.21%	0.71%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	594	4	6	15	13	22	5	5	9	13	19	2	23	9	33	11	18	15	10	10	27	19	10	4	0	11	2	10	10	8	11	16	10	7	5	8	10	15	5	13	14	16	10	19	9	11	4	12	8	2	6	1	3	6	0	3	1	1	1	0	1	1	0	4	3	0	1	4	0	1	1	0	3	4	1	0	0	0									
		1.14%	0.58%	1.71%	1.55%	1.35%	2.20%	0.60%	0.60%	0.87%	1.44%	1.98%	0.19%	2.26%	0.96%	2.78%	1.01%	1.58%	1.60%	1.11%	0.94%	2.47%	2.13%	1.47%	0.58%	0.00%	1.32%	0.32%	1.08%	1.20%	1.02%	1.67%	1.54%	1.30%	0.77%	0.58%	0.91%	1.18%	1.54%	0.57%	1.47%	1.23%	1.52%	1.11%	1.78%	1.29%	1.20%	0.48%	1.43%	1.62%	2.70%	0.78%	0.28%	0.38%	0.69%	0.00%	0.65%	0.19%	0.57%	0.77%	0.00%	0.42%	0.36%	0.00%	0.60%	0.42%	0.00%	0.67%	0.82%	0.00%	1.35%	1.04%	0.00%	0.85%	1.19%	0.61%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	71	1	0	1	0	0	1	0	1	2	1	0	3	2	2	1	1	4	0	2	3	0	1	0	0	0	0	2	3	2	2	3	0	1	2	0	2	1	1	1	2	0	2	1	2	0	1	1	0	0	1	1	0	1	0	0	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	2	5	0	0	0									
		0.14%	0.14%	0.00%	0.10%	0.00%	0.00%	0.12%	0.00%	0.10%	0.22%	0.10%	0.00%	0.29%	0.21%	0.17%	0.09%	0.09%	0.43%	0.00%	0.19%	0.27%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.22%	0.36%	0.26%	0.30%	0.29%	0.00%	0.11%	0.23%	0.00%	0.24%	0.10%	0.11%	0.11%	0.18%	0.00%	0.22%	0.09%	0.29%	0.00%	0.12%	0.12%	0.00%	0.00%	0.13%	0.28%	0.00%	0.11%	0.00%	0.00%	0.00%	1.14%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.60%	3.05%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	896	16	11	17	12	28	16	19	5	27	28	19	20	12	41	18	27	33	20	14	29	25	23	17	3	15	9	13	20	17	15	23	14	19	12	5	9	14	13	13	26	19	19	23	12	14	10	9	3	0	11	1	1	4	9	8	3	1	0	1	0	3	1	3	3	0	1	6	0	0	1	0	4	6	0	0	1	2									
		1.72%	2.30%	3.14%	1.76%	1.24%	2.80%	1.93%	2.29%	0.48%	3.00%	2.92%	1.85%	1.96%	1.28%	3.46%	1.65%	2.37%	3.53%	2.21%	1.32%	2.66%	2.81%	3.39%	2.45%	2.03%	1.79%	1.43%	1.40%	2.41%	2.17%	2.27%	2.21%	1.82%	2.09%	1.38%	0.57%	1.07%	1.43%	1.48%	1.47%	2.29%	1.80%	2.11%	2.16%	1.72%	1.52%	1.20%	1.07%	0.61%	0.00%	1.43%	0.28%	0.13%	0.46%	1.23%	1.74%	0.56%	0.57%	0.00%	0.41%	0.00%	1.09%	0.99%	0.45%	0.42%	0.00%	0.67%	1.23%	0.00%	0.00%	1.04%	0.00%	1.13%	1.79%	0.00%	0.00%	0.21%	1.43%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	8059	117	45	143	142	132	157	134	99	138	179	139	171	117	198	162	178	163	172	165	164	154	124	110	33	158	51	149	118	116	80	159	128	182	169	130	150	182	132	180	196	187	167	194	107	139	163	136	78	2	93	52	132	158	92	59	58	10	17	26	32	32	14	71	121	21	12	42	15	8	12	9	36	50	8	16	69	5									
		15.49%	16.83%	12.86%	14.80%	14.73%	13.19%	18.92%	16.18%	9.56%	15.33%	18.67%	13.51%	16.78%	12.46%	16.69%	14.81%	15.60%	17.41%	19.03%	15.54%	15.02%	17.28%	18.26%	15.87%	22.30%	18.90%	8.10%	16.09%	14.20%	14.81%	12.12%	15.26%	16.64%	20.07%	19.45%	14.84%	17.77%	18.63%	15.05%	20.36%	17.27%	17.73%	18.58%	18.20%	15.37%	15.13%	19.59%	16.19%	15.79%	2.70%	12.11%	14.65%	16.77%	18.06%	12.55%	12.83%	10.82%	5.71%	13.08%	10.66%	13.45%	11.68%	13.86%	10.57%	17.14%	12.73%	8.00%	8.64%	12.71%	10.81%	12.50%	5.52%	10.14%	14.93%	4.88%	8.84%	14.78%	3.57%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	149	1	0	1	6	2	1	6	1	5	3	0	4	3	4	3	3	8	1	2	2	6	3	0	0	4	5	4	4	2	4	3	3	4	0	1	2	4	1	2	2	1	3	3	3	0	2	3	0	0	5	1	1	2	0	0	2	1	0	0	0	1	0	2	0	1	0	1	0	0	0	0	2	1	0	1	3	0									
		0.29%	0.14%	0.00%	0.10%	0.62%	0.20%	0.12%	0.72%	0.10%	0.56%	0.31%	0.00%	0.39%	0.32%	0.34%	0.27%	0.26%	0.85%	0.11%	0.19%	0.18%	0.67%	0.44%	0.00%	0.00%	0.48%	0.79%	0.43%	0.48%	0.26%	0.61%	0.29%	0.39%	0.44%	0.00%	0.11%	0.24%	0.41%	0.11%	0.23%	0.18%	0.09%	0.33%	0.28%	0.43%	0.00%	0.24%	0.36%	0.00%	0.00%	0.65%	0.28%	0.13%	0.23%	0.00%	0.00%	0.37%	0.57%	0.00%	0.00%	0.00%	0.36%	0.00%	0.30%	0.00%	0.61%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.56%	0.30%	0.00%	0.55%	0.64%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3158	26	19	57	61	52	57	61	54	76	69	66	83	69	90	69	64	68	68	71	75	63	43	67	15	59	23	102	84	69	54	78	46	69	45	37	65	71	47	53	68	89	61	71	52	63	41	60	21	5	41	16	25	24	21	14	8	2	3	5	3	8	6	20	19	3	2	12	2	2	2	1	6	9	2	4	19	3									
		6.07%	3.74%	5.43%	5.90%	6.33%	5.19%	6.87%	7.37%	5.21%	8.44%	7.19%	6.41%	8.15%	7.35%	7.59%	6.31%	5.61%	7.26%	7.52%	6.69%	6.87%	7.07%	6.33%	9.67%	10.14%	7.06%	3.65%	11.02%	10.11%	8.81%	8.18%	7.49%	5.98%	7.61%	5.18%	4.22%	7.70%	7.27%	5.36%	5.99%	5.99%	8.44%	6.79%	6.66%	7.47%	6.86%	4.93%	7.14%	4.25%	6.76%	5.34%	4.51%	3.18%	2.74%	2.86%	3.04%	1.49%	1.14%	2.31%	2.05%	1.26%	2.92%	5.94%	2.98%	2.69%	1.82%	1.33%	2.47%	1.69%	2.70%	2.08%	0.61%	1.69%	2.69%	1.22%	2.21%	4.07%	2.14%									
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
