Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Кадошкинская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	7	3	3	0	0	0	0	0	0	0	1	0	0	0	0									
		0.11%	0.29%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	246	35	51	82	6	12	3	9	7	11	18	2	5	0	5									
		3.98%	3.34%	4.53%	6.02%	1.89%	5.04%	3.00%	2.68%	1.39%	4.78%	4.70%	1.47%	2.92%	0.00%	6.33%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	6	0	2	0	2	0	0	0	0	0	2	0	0	0	0									
		0.10%	0.00%	0.18%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	51	10	22	3	4	1	1	3	1	3	1	0	1	0	1									
		0.83%	0.96%	1.95%	0.22%	1.26%	0.42%	1.00%	0.89%	0.20%	1.30%	0.26%	0.00%	0.58%	0.00%	1.27%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
