Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
Наименование Избирательной комиссии:    Сальская																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1440	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	5	0	25	5	5	5	20	40	25	40	40	10	20	10	10	25	20	5	25	20	25	10	20	10	5	15	10	10	25	10	10	20	15	40	25	10	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	458	11	11	12	12	11	11	20	17	15	8	13	8	14	17	15	11	12	8	8	24	3	0	25	5	0	1	2	13	7	16	10	0	3	2	0	25	1	1	8	2	25	10	2	0	0	1	0	4	6	1	1	2	2	8	5	1	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	256	14	5	5	0	8	6	2	13	11	6	2	9	2	0	4	4	6	6	15	5	0	53	5	7	0	4	0	2	6	4	7	4	5	1	6	6	2	1	5	0	0	0	3	0	0	1	2	0	4	0	0	1	1	2	0	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	982	29	29	28	28	29	29	20	23	25	32	27	32	26	23	25	29	28	32	32	16	2	0	0	0	5	4	18	27	18	24	30	10	17	8	10	0	19	4	17	18	0	0	18	10	5	14	10	6	19	9	9	18	13	32	20	9	17									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	75	0	3	7	2	1	5	4	3	3	1	0	2	4	4	3	3	4	3	1	3	0	0	1	0	1	0	0	1	2	3	0	0	0	0	3	1	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	341	8	5	23	10	22	14	9	4	16	13	14	8	3	1	15	13	3	13	15	18	0	1	0	1	1	0	2	11	7	17	4	2	10	4	5	4	6	0	0	2	3	2	5	0	0	4	3	1	0	0	2	2	1	7	7	0	0									
		0.61%	0.45%	0.36%	1.26%	0.55%	1.95%	1.37%	0.55%	0.35%	1.97%	1.16%	0.91%	1.12%	0.15%	0.06%	0.81%	0.82%	0.15%	0.89%	0.96%	0.79%	0.00%	0.43%	0.00%	0.37%	0.47%	0.00%	0.29%	0.90%	1.34%	2.16%	0.24%	0.72%	2.37%	1.48%	0.97%	0.34%	0.73%	0.00%	0.00%	0.27%	0.22%	0.50%	0.76%	0.00%	0.00%	0.53%	0.95%	0.25%	0.00%	0.00%	0.33%	0.21%	0.18%	0.33%	0.62%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	723	27	28	31	0	27	19	12	16	19	20	22	17	21	1	8	26	14	17	22	24	1	7	6	7	5	5	18	22	25	31	22	8	10	15	4	22	12	8	0	10	23	3	10	0	0	10	6	1	0	4	2	16	5	3	17	9	5									
		1.29%	1.50%	1.99%	1.70%	0.00%	2.39%	1.86%	0.74%	1.39%	2.34%	1.79%	1.44%	2.37%	1.06%	0.06%	0.43%	1.65%	0.71%	1.16%	1.41%	1.06%	0.36%	2.98%	0.45%	2.58%	2.34%	2.92%	2.59%	1.79%	4.79%	3.94%	1.31%	2.87%	2.37%	5.54%	0.78%	1.89%	1.45%	4.00%	0.00%	1.33%	1.72%	0.75%	1.51%	0.00%	0.00%	1.32%	1.90%	0.25%	0.00%	0.72%	0.33%	1.65%	0.89%	0.14%	1.52%	1.75%	0.54%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	669	18	34	20	57	34	6	4	10	2	12	17	21	52	1	47	16	5	13	12	36	28	5	0	5	0	2	6	15	10	10	28	9	3	4	8	20	10	5	0	4	3	5	10	0	0	12	6	1	0	0	9	7	1	4	7	4	11									
		1.19%	1.00%	2.42%	1.10%	3.16%	3.01%	0.59%	0.25%	0.87%	0.25%	1.07%	1.11%	2.93%	2.62%	0.06%	2.54%	1.01%	0.25%	0.89%	0.77%	1.59%	10.11%	2.13%	0.00%	1.85%	0.00%	1.17%	0.86%	1.22%	1.92%	1.27%	1.66%	3.23%	0.71%	1.48%	1.55%	1.72%	1.21%	2.50%	0.00%	0.53%	0.22%	1.25%	1.51%	0.00%	0.00%	1.59%	1.90%	0.25%	0.00%	0.00%	1.49%	0.72%	0.18%	0.19%	0.62%	0.78%	1.19%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	42244	1338	829	1292	1446	596	558	1340	932	445	674	1162	385	1515	1245	1480	1173	1467	1134	1161	1882	208	122	1225	199	187	133	570	839	206	529	1301	175	240	169	382	838	674	155	772	611	1084	351	461	383	121	629	174	303	843	508	556	747	496	1940	873	424	762									
		75.25%	74.46%	59.05%	70.91%	80.24%	52.79%	54.65%	82.61%	80.83%	54.87%	60.34%	75.80%	53.77%	76.28%	75.00%	79.96%	74.29%	74.54%	77.35%	74.42%	82.91%	75.09%	51.91%	91.55%	73.43%	87.38%	77.78%	82.13%	68.38%	39.46%	67.30%	77.26%	62.72%	56.87%	62.36%	74.03%	71.99%	81.50%	77.50%	61.81%	81.14%	81.26%	87.75%	69.74%	92.96%	92.37%	83.09%	55.24%	76.71%	86.28%	91.04%	91.90%	77.09%	88.26%	90.99%	77.81%	82.33%	82.38%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	167	4	17	10	10	7	2	3	3	2	6	4	8	6	1	2	2	1	3	10	12	1	2	0	0	0	0	2	3	7	6	1	2	1	3	1	3	0	0	0	2	3	2	0	0	0	5	1	0	0	0	1	0	0	2	2	0	4									
		0.30%	0.22%	1.21%	0.55%	0.55%	0.62%	0.20%	0.18%	0.26%	0.25%	0.54%	0.26%	1.12%	0.30%	0.06%	0.11%	0.13%	0.05%	0.20%	0.64%	0.53%	0.36%	0.85%	0.00%	0.00%	0.00%	0.00%	0.29%	0.24%	1.34%	0.76%	0.06%	0.72%	0.24%	1.11%	0.19%	0.26%	0.00%	0.00%	0.00%	0.27%	0.22%	0.50%	0.00%	0.00%	0.00%	0.66%	0.32%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.09%	0.18%	0.00%	0.43%									
24	"6. Политическая партия ""Гражданская Платформа"""	100	2	6	1	0	2	0	2	2	2	7	1	1	11	1	1	1	0	2	1	11	0	1	0	0	0	4	4	4	0	3	0	1	4	3	0	1	2	0	0	0	3	0	1	1	0	4	0	0	0	0	0	1	0	4	1	1	3									
		0.18%	0.11%	0.43%	0.05%	0.00%	0.18%	0.00%	0.12%	0.17%	0.25%	0.63%	0.07%	0.14%	0.55%	0.06%	0.05%	0.06%	0.00%	0.14%	0.06%	0.48%	0.00%	0.43%	0.00%	0.00%	0.00%	2.34%	0.58%	0.33%	0.00%	0.38%	0.00%	0.36%	0.95%	1.11%	0.00%	0.09%	0.24%	0.00%	0.00%	0.00%	0.22%	0.00%	0.15%	0.24%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.19%	0.09%	0.19%	0.32%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4384	194	200	147	96	183	168	60	41	98	218	138	77	130	66	85	172	61	111	155	99	17	60	34	45	11	15	20	117	101	57	121	32	84	31	53	122	47	12	100	61	73	3	82	16	4	26	43	5	50	20	22	120	34	43	88	36	80									
		7.81%	10.80%	14.25%	8.07%	5.33%	16.21%	16.45%	3.70%	3.56%	12.08%	19.52%	9.00%	10.75%	6.55%	3.98%	4.59%	10.89%	3.10%	7.57%	9.94%	4.36%	6.14%	25.53%	2.54%	16.61%	5.14%	8.77%	2.88%	9.54%	19.35%	7.25%	7.19%	11.47%	19.91%	11.44%	10.27%	10.48%	5.68%	6.00%	8.01%	8.10%	5.47%	0.75%	12.41%	3.88%	3.05%	3.43%	13.65%	1.27%	5.12%	3.58%	3.64%	12.38%	6.05%	2.02%	7.84%	6.99%	8.65%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	147	7	9	7	6	7	3	3	2	5	3	3	3	7	5	1	4	3	2	3	13	0	2	0	0	0	0	1	6	0	4	0	1	0	1	0	3	0	0	0	2	2	0	3	0	1	10	1	0	0	0	1	1	3	1	2	2	4									
		0.26%	0.39%	0.64%	0.38%	0.33%	0.62%	0.29%	0.18%	0.17%	0.62%	0.27%	0.20%	0.42%	0.35%	0.30%	0.05%	0.25%	0.15%	0.14%	0.19%	0.57%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.14%	0.49%	0.00%	0.51%	0.00%	0.36%	0.00%	0.37%	0.00%	0.26%	0.00%	0.00%	0.00%	0.27%	0.15%	0.00%	0.45%	0.00%	0.76%	1.32%	0.32%	0.00%	0.00%	0.00%	0.17%	0.10%	0.53%	0.05%	0.18%	0.39%	0.43%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	178	9	11	4	8	12	11	5	7	12	4	5	4	4	1	1	2	1	3	2	14	0	0	0	0	0	0	3	2	7	1	5	0	3	0	4	2	1	1	0	4	3	1	4	0	0	3	0	1	0	0	0	2	0	2	3	1	5									
		0.32%	0.50%	0.78%	0.22%	0.44%	1.06%	1.08%	0.31%	0.61%	1.48%	0.36%	0.33%	0.56%	0.20%	0.06%	0.05%	0.13%	0.05%	0.20%	0.13%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.16%	1.34%	0.13%	0.30%	0.00%	0.71%	0.00%	0.78%	0.17%	0.12%	0.50%	0.00%	0.53%	0.22%	0.25%	0.61%	0.00%	0.00%	0.40%	0.00%	0.25%	0.00%	0.00%	0.00%	0.21%	0.00%	0.09%	0.27%	0.19%	0.54%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	83	0	4	1	0	0	4	0	0	2	0	1	0	9	1	1	0	0	1	1	10	0	1	0	0	1	0	6	0	1	3	0	1	2	0	0	2	1	5	0	10	1	1	2	0	0	7	1	1	0	0	0	1	0	1	0	0	0									
		0.15%	0.00%	0.28%	0.05%	0.00%	0.00%	0.39%	0.00%	0.00%	0.25%	0.00%	0.07%	0.00%	0.45%	0.06%	0.05%	0.00%	0.00%	0.07%	0.06%	0.44%	0.00%	0.43%	0.00%	0.00%	0.47%	0.00%	0.86%	0.00%	0.19%	0.38%	0.00%	0.36%	0.47%	0.00%	0.00%	0.17%	0.12%	2.50%	0.00%	1.33%	0.07%	0.25%	0.30%	0.00%	0.00%	0.92%	0.32%	0.25%	0.00%	0.00%	0.00%	0.10%	0.00%	0.05%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	201	4	11	4	5	12	5	9	6	6	6	6	7	12	2	20	5	3	5	3	7	0	0	0	0	0	1	3	9	3	7	4	0	2	0	0	1	4	0	0	1	2	3	4	1	0	5	1	2	0	0	1	3	0	1	3	1	1									
		0.36%	0.22%	0.78%	0.22%	0.28%	1.06%	0.49%	0.55%	0.52%	0.74%	0.54%	0.39%	0.98%	0.60%	0.12%	1.08%	0.32%	0.15%	0.34%	0.19%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.43%	0.73%	0.57%	0.89%	0.24%	0.00%	0.47%	0.00%	0.00%	0.09%	0.48%	0.00%	0.00%	0.13%	0.15%	0.75%	0.61%	0.24%	0.00%	0.66%	0.32%	0.51%	0.00%	0.00%	0.17%	0.31%	0.00%	0.05%	0.27%	0.19%	0.11%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5481	142	186	237	125	138	181	157	97	149	128	127	164	202	253	95	130	354	122	144	103	20	28	61	10	8	7	38	151	114	98	145	33	37	37	37	123	58	12	377	35	108	24	51	8	5	19	70	75	76	19	9	52	19	110	109	27	37									
		9.76%	7.90%	13.25%	13.01%	6.94%	12.22%	17.73%	9.68%	8.41%	18.37%	11.46%	8.28%	22.91%	10.17%	15.24%	5.13%	8.23%	17.99%	8.32%	9.23%	4.54%	7.22%	11.91%	4.56%	3.69%	3.74%	4.09%	5.48%	12.31%	21.84%	12.47%	8.61%	11.83%	8.77%	13.65%	7.17%	10.57%	7.01%	6.00%	30.18%	4.65%	8.10%	6.00%	7.72%	1.94%	3.82%	2.51%	22.22%	18.99%	7.78%	3.41%	1.49%	5.37%	3.38%	5.16%	9.71%	5.24%	4.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	122	7	3	3	3	4	3	2	3	7	0	0	0	4	5	20	2	1	3	4	8	0	0	0	0	0	1	3	4	2	3	0	1	4	1	1	1	2	0	0	1	1	0	2	1	0	2	3	1	0	0	0	1	0	2	2	1	0									
		0.22%	0.39%	0.21%	0.16%	0.17%	0.35%	0.29%	0.12%	0.26%	0.86%	0.00%	0.00%	0.00%	0.20%	0.30%	1.08%	0.13%	0.05%	0.20%	0.26%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.43%	0.33%	0.38%	0.38%	0.00%	0.36%	0.95%	0.37%	0.19%	0.09%	0.24%	0.00%	0.00%	0.13%	0.07%	0.00%	0.30%	0.24%	0.00%	0.26%	0.95%	0.25%	0.00%	0.00%	0.00%	0.10%	0.00%	0.09%	0.18%	0.19%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	908	27	29	42	36	35	30	8	21	37	15	27	0	7	77	75	31	45	12	19	24	2	5	12	4	0	3	15	28	28	14	22	4	12	3	12	22	6	2	0	5	20	5	16	2	0	13	6	1	8	7	1	9	0	4	6	5	9									
		1.62%	1.50%	2.07%	2.31%	1.99%	3.10%	2.94%	0.49%	1.82%	4.56%	1.34%	1.76%	0.00%	0.35%	4.64%	4.05%	1.96%	2.29%	0.82%	1.22%	1.06%	0.72%	2.13%	0.90%	1.48%	0.00%	1.75%	2.16%	2.28%	5.36%	1.78%	1.31%	1.43%	2.84%	1.11%	2.33%	1.89%	0.73%	1.00%	0.00%	0.66%	1.50%	1.25%	2.42%	0.49%	0.00%	1.72%	1.90%	0.25%	0.82%	1.25%	0.17%	0.93%	0.00%	0.19%	0.53%	0.97%	0.97%									
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
																																																																				
