Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Кудымкарская городская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №5201	УИК №5202	УИК №5203	УИК №5204	УИК №5205	УИК №5206	УИК №5207	УИК №5208	УИК №5209	УИК №5210	УИК №5211	УИК №5212	УИК №5213	УИК №5214	УИК №5215	УИК №5216	УИК №5217									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	101	3	4	12	2	3	5	1	12	13	7	4	12	4	5	3	10	1									
		1.19%	0.49%	0.78%	1.80%	0.48%	2.50%	1.04%	0.16%	1.92%	2.02%	1.35%	0.92%	2.20%	0.69%	1.01%	0.52%	1.72%	1.89%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1095	74	73	86	55	12	84	112	69	107	51	42	93	72	61	59	41	4									
		12.91%	12.09%	14.17%	12.93%	13.10%	10.00%	17.43%	18.30%	11.02%	16.61%	9.83%	9.63%	17.03%	12.41%	12.37%	10.26%	7.04%	7.55%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	21	3	0	1	2	1	0	2	1	3	0	0	2	5	0	0	1	0									
		0.25%	0.49%	0.00%	0.15%	0.48%	0.83%	0.00%	0.33%	0.16%	0.47%	0.00%	0.00%	0.37%	0.86%	0.00%	0.00%	0.17%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	974	63	42	61	42	4	52	85	105	107	44	49	78	73	39	61	66	3									
		11.49%	10.29%	8.16%	9.17%	10.00%	3.33%	10.79%	13.89%	16.77%	16.61%	8.48%	11.24%	14.29%	12.59%	7.91%	10.61%	11.34%	5.66%									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
