Выборы Президента Российской Федерации																																																																		
																																																																		
Наименование Избирательной комиссии:    Стародубская																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008					
11	Число полученных открепительных  удостоверений	492	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	9	6	6	6	6	6	3	15	3	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	6	6	6	6	6	6	19	19	19	19	19	19	19	19	19	19					
12	Число выданных открепительных удостоверений	172	2	0	0	0	0	6	2	2	1	0	2	2	0	6	0	1	3	0	1	2	5	0	0	15	0	0	0	6	0	1	1	0	4	1	1	0	6	5	0	6	0	0	4	4	1	0	2	6	0	11	1	10	8	8	13	2	10	5	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	114	3	2	1	0	0	1	0	1	1	0	1	2	6	3	0	2	5	0	1	3	2	2	3	7	2	2	2	1	0	1	1	0	0	0	1	1	1	0	0	1	1	1	2	0	2	1	1	2	0	2	3	10	10	2	5	2	5	1	5					
14	Число неиспользованных открепительных удостоверений	320	4	6	6	6	6	0	4	4	5	6	4	4	6	0	6	5	6	6	5	4	1	6	3	0	3	6	6	0	6	5	5	6	2	5	5	6	0	1	6	0	6	6	4	2	5	6	4	0	6	8	18	9	11	11	6	17	9	14	13					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	2	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																		
18	. Глазьев Сергей Юрьевич	685	4	2	9	3	10	14	2	5	7	24	19	15	15	6	2	2	17	5	3	1	12	2	1	16	3	2	4	8	16	7	3	4	9	2	1	7	9	7	5	12	12	9	9	3	5	1	0	12	1	38	45	31	32	35	46	29	26	20	36					
		3.15%	1.36%	0.68%	3.66%	2.14%	5.41%	6.45%	0.78%	2.15%	3.32%	8.73%	6.17%	4.97%	3.35%	1.55%	0.85%	0.64%	2.62%	2.58%	0.98%	0.51%	2.46%	0.91%	0.79%	2.36%	2.29%	0.85%	1.99%	2.64%	6.72%	3.32%	1.09%	2.34%	1.97%	1.26%	0.45%	1.14%	2.54%	1.72%	5.10%	3.79%	5.26%	2.69%	1.33%	1.05%	1.53%	0.68%	0.00%	4.27%	0.35%	4.92%	5.97%	4.07%	3.59%	4.83%	5.87%	4.83%	3.85%	3.04%	4.57%					
19	. Малышкин Олег Александрович	504	5	4	5	5	3	14	7	4	3	5	0	6	4	7	2	5	10	4	4	3	7	7	5	16	1	6	10	6	6	4	5	3	9	16	5	15	5	8	1	9	5	9	14	9	6	3	2	6	2	30	25	20	26	24	12	17	13	16	21					
		2.32%	1.70%	1.35%	2.03%	3.57%	1.62%	6.45%	2.73%	1.72%	1.42%	1.82%	0.00%	1.99%	0.89%	1.81%	0.85%	1.61%	1.54%	2.06%	1.30%	1.54%	1.44%	3.20%	3.97%	2.36%	0.76%	2.55%	4.98%	1.98%	2.52%	1.90%	1.82%	1.75%	1.97%	10.06%	2.25%	2.45%	1.41%	1.97%	1.02%	2.84%	2.19%	2.69%	2.07%	3.14%	1.84%	2.05%	1.19%	2.14%	0.71%	3.89%	3.32%	2.63%	2.91%	3.31%	1.53%	2.83%	1.92%	2.44%	2.67%					
20	. Миронов Сергей Михайлович	197	4	2	1	0	1	2	2	1	0	4	2	2	3	2	0	4	6	2	4	4	1	1	0	3	0	0	3	2	0	0	3	1	4	3	1	4	6	2	1	1	4	9	6	0	3	7	1	2	3	4	11	7	7	10	11	10	10	5	5					
		0.91%	1.36%	0.68%	0.41%	0.00%	0.54%	0.92%	0.78%	0.43%	0.00%	1.45%	0.65%	0.66%	0.67%	0.52%	0.00%	1.29%	0.92%	1.03%	1.30%	2.05%	0.21%	0.46%	0.00%	0.44%	0.00%	0.00%	1.49%	0.66%	0.00%	0.00%	1.09%	0.58%	0.88%	1.89%	0.45%	0.65%	1.69%	0.49%	1.02%	0.32%	1.75%	2.69%	0.89%	0.00%	0.92%	4.79%	0.60%	0.71%	1.06%	0.52%	1.46%	0.92%	0.78%	1.38%	1.40%	1.66%	1.48%	0.76%	0.64%					
21	. Путин Владимир Владимирович	12712	202	80	56	43	34	137	86	128	127	162	136	146	235	279	157	231	474	153	222	104	308	163	54	391	45	167	150	178	104	119	96	80	232	85	106	396	221	232	56	170	110	121	486	231	170	69	103	180	248	448	440	473	560	411	478	350	421	402	466					
		58.51%	68.71%	27.03%	22.76%	30.71%	18.38%	63.13%	33.59%	54.94%	60.19%	58.91%	44.16%	48.34%	52.46%	72.28%	66.81%	74.28%	72.92%	78.87%	72.31%	53.33%	63.24%	74.43%	42.86%	57.67%	34.35%	71.06%	74.63%	58.75%	43.70%	56.40%	35.04%	46.78%	50.88%	53.46%	47.75%	64.71%	62.25%	57.00%	57.14%	53.63%	48.25%	36.23%	71.79%	80.49%	52.15%	47.26%	61.31%	64.06%	87.94%	58.03%	58.36%	62.16%	62.78%	56.77%	60.97%	58.24%	62.28%	61.19%	59.21%					
22	. Хакамада Ирина Муцуовна	354	3	6	6	5	3	2	2	8	2	2	6	2	3	1	8	7	3	2	3	1	2	4	1	10	1	1	2	3	1	0	2	2	12	1	2	15	7	9	0	4	2	10	9	3	3	4	4	11	3	14	14	17	26	19	11	9	17	13	11					
		1.63%	1.02%	2.03%	2.44%	3.57%	1.62%	0.92%	0.78%	3.43%	0.95%	0.73%	1.95%	0.66%	0.67%	0.26%	3.40%	2.25%	0.46%	1.03%	0.98%	0.51%	0.41%	1.83%	0.79%	1.47%	0.76%	0.43%	1.00%	0.99%	0.42%	0.00%	0.73%	1.17%	2.63%	0.63%	0.90%	2.45%	1.97%	2.21%	0.00%	1.26%	0.88%	2.99%	1.33%	1.05%	0.92%	2.74%	2.38%	3.91%	1.06%	1.81%	1.86%	2.23%	2.91%	2.62%	1.40%	1.50%	2.51%	1.98%	1.40%					
23	. Харитонов Николай Михайлович	6693	73	197	166	83	132	42	151	80	70	74	137	125	174	83	62	56	131	23	66	79	155	41	59	222	79	50	26	96	109	79	161	72	182	47	101	156	101	141	35	119	86	163	132	31	128	57	56	63	19	215	185	184	206	191	199	177	163	177	226					
		30.81%	24.83%	66.55%	67.48%	59.29%	71.35%	19.35%	58.98%	34.33%	33.18%	26.91%	44.48%	41.39%	38.84%	21.50%	26.38%	18.01%	20.15%	11.86%	21.50%	40.51%	31.83%	18.72%	46.83%	32.74%	60.31%	21.28%	12.94%	31.68%	45.80%	37.44%	58.76%	42.11%	39.91%	29.56%	45.50%	25.49%	28.45%	34.64%	35.71%	37.54%	37.72%	48.80%	19.50%	10.80%	39.26%	39.04%	33.33%	22.42%	6.74%	27.85%	24.54%	24.18%	23.09%	26.38%	25.38%	29.45%	24.11%	26.94%	28.72%					
																																																																		
24	Против всех	390	2	5	2	0	1	5	3	3	0	4	4	5	8	5	2	6	5	3	2	1	0	1	3	11	2	3	3	3	2	0	0	8	6	3	6	15	2	6	0	0	3	7	14	5	10	4	0	3	3	19	26	22	29	25	19	6	18	21	16					
		1.80%	0.68%	1.69%	0.81%	0.00%	0.54%	2.30%	1.17%	1.29%	0.00%	1.45%	1.30%	1.66%	1.79%	1.30%	0.85%	1.93%	0.77%	1.55%	0.65%	0.51%	0.00%	0.46%	2.38%	1.62%	1.53%	1.28%	1.49%	0.99%	0.84%	0.00%	0.00%	4.68%	1.32%	1.89%	2.70%	2.45%	0.56%	1.47%	0.00%	0.00%	1.32%	2.10%	2.07%	1.74%	3.07%	2.74%	0.00%	1.07%	1.06%	2.46%	3.45%	2.89%	3.25%	3.45%	2.42%	1.00%	2.66%	3.20%	2.03%					
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
