Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Ульяновская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК  659	УИК  660	УИК  661	УИК  662	УИК  663	УИК  664	УИК  665	УИК  666	УИК  667	УИК  668	УИК  669	УИК  670	УИК  671	УИК  672	УИК  673	УИК  674	УИК  675	УИК  676	УИК  677					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	18	0	1	2	1	0	0	0	0	0	1	2	2	5	1	0	1	0	1	1					
14	Число погашенных открепительных удостоверений	56	2	3	2	3	1	2	2	2	0	2	2	3	0	4	14	3	5	1	5					
15	Число открепительных удостоверений выданных ТИК	10	0	0	0	0	0	0	2	0	1	2	2	0	2	0	0	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
18	"1. ""ЕДИНЕНИЕ"""	39	0	0	0	4	1	1	0	2	1	2	0	7	9	1	8	1	2	0	0					
		0.95%	0.0%	0.0%	0.0%	2.83%	0.85%	1.0%	0.0%	1.03%	0.86%	1.48%	0.0%	1.33%	0.70%	0.60%	2.31%	1.31%	1.73%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	35	0	0	0	5	1	1	0	2	2	1	0	4	7	0	9	0	1	2	0					
		0.85%	0.0%	0.0%	0.0%	3.54%	0.85%	1.0%	0.0%	1.03%	1.72%	0.74%	0.0%	0.76%	0.54%	0.0%	2.60%	0.0%	0.86%	0.94%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	76	2	0	15	1	0	1	2	5	2	0	1	15	20	1	7	0	0	3	1					
		1.86%	4.0%	0.0%	13.63%	0.70%	0.0%	1.0%	2.27%	2.59%	1.72%	0.0%	0.91%	2.86%	1.56%	0.60%	2.02%	0.0%	0.0%	1.42%	0.95%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	44	0	0	1	1	3	0	0	3	4	1	0	7	16	0	2	0	1	3	2					
		1.07%	0.0%	0.0%	0.90%	0.70%	2.56%	0.0%	0.0%	1.55%	3.44%	0.74%	0.0%	1.33%	1.24%	0.0%	0.57%	0.0%	0.86%	1.42%	1.90%					
22	"5. ""За Русь Святую"""	39	0	1	0	2	3	0	0	2	0	0	1	2	20	1	4	0	0	1	2					
		0.95%	0.0%	1.01%	0.0%	1.41%	2.56%	0.0%	0.0%	1.03%	0.0%	0.0%	0.91%	0.38%	1.56%	0.60%	1.15%	0.0%	0.0%	0.47%	1.90%					
23	"6. ""Объединенная Российская партия ""Русь"""	13	0	0	0	0	1	0	0	0	1	0	0	1	3	0	5	0	1	0	1					
		0.31%	0.0%	0.0%	0.0%	0.0%	0.85%	0.0%	0.0%	0.0%	0.86%	0.0%	0.0%	0.19%	0.23%	0.0%	1.44%	0.0%	0.86%	0.0%	0.95%					
24	"7. ""Новый курс - Автомобильная Россия"""	11	0	0	0	1	0	0	0	0	1	0	0	1	8	0	0	0	0	0	0					
		0.26%	0.0%	0.0%	0.0%	0.70%	0.0%	0.0%	0.0%	0.0%	0.86%	0.0%	0.0%	0.19%	0.62%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	4	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0					
		0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.07%	0.60%	0.28%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	5	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0					
		0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.23%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	333	6	23	9	10	3	4	4	12	12	8	10	20	86	37	13	17	21	22	16					
		8.16%	12.0%	23.23%	8.18%	7.09%	2.56%	4.0%	4.54%	6.21%	10.34%	5.92%	9.17%	3.81%	6.71%	22.56%	3.75%	22.36%	18.26%	10.42%	15.23%					
28	"11. ""Истинные патриоты России"""	9	0	3	0	0	0	0	0	0	1	0	0	1	2	0	2	0	0	0	0					
		0.22%	0.0%	3.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%	0.0%	0.0%	0.19%	0.15%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	27	0	0	3	0	0	2	0	0	0	2	0	4	5	2	7	0	0	0	2					
		0.66%	0.0%	0.0%	2.72%	0.0%	0.0%	2.0%	0.0%	0.0%	0.0%	1.48%	0.0%	0.76%	0.39%	1.21%	2.02%	0.0%	0.0%	0.0%	1.90%					
30	"13. ""Демократическая партия России"""	11	1	0	0	0	1	0	0	1	0	0	1	1	4	0	1	0	0	1	0					
		0.26%	2.0%	0.0%	0.0%	0.0%	0.85%	0.0%	0.0%	0.51%	0.0%	0.0%	0.91%	0.19%	0.31%	0.0%	0.28%	0.0%	0.0%	0.47%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	7	1	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0					
		0.17%	2.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.15%	1.82%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	8	0	1	1	0	0	0	0	1	0	0	0	2	2	0	0	1	0	0	0					
		0.19%	0.0%	1.01%	0.90%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.38%	0.15%	0.0%	0.0%	1.31%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	245	0	1	2	5	4	6	1	6	6	0	6	45	123	0	19	1	4	9	7					
		6.00%	0.0%	1.01%	1.81%	3.54%	3.41%	6.0%	1.13%	3.10%	5.17%	0.0%	5.50%	8.58%	9.60%	0.0%	5.49%	1.31%	3.47%	4.26%	6.66%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	10	0	1	0	0	0	0	0	0	0	1	0	3	4	0	1	0	0	0	0					
		0.24%	0.0%	1.01%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.74%	0.0%	0.57%	0.31%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	481	6	1	18	15	13	2	3	38	16	22	13	89	143	10	26	4	17	38	7					
		11.78%	12.0%	1.01%	16.36%	10.63%	11.11%	2.0%	3.40%	19.68%	13.79%	16.29%	11.92%	16.98%	11.16%	6.09%	7.51%	5.26%	14.78%	18.00%	6.66%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	72	0	0	2	2	0	5	2	6	7	2	2	6	24	2	10	0	1	1	0					
		1.76%	0.0%	0.0%	1.81%	1.41%	0.0%	5.0%	2.27%	3.10%	6.03%	1.48%	1.83%	1.14%	1.87%	1.21%	2.89%	0.0%	0.86%	0.47%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	1869	25	49	34	65	78	75	41	82	32	83	65	174	583	92	172	33	44	88	54					
		45.80%	50.0%	49.49%	30.90%	46.09%	66.66%	75.0%	46.59%	42.48%	27.58%	61.48%	59.63%	33.20%	45.51%	56.09%	49.71%	43.42%	38.26%	41.70%	51.42%					
38	"21. ""Российская Конституционно-демократическая партия"""	4	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0					
		0.09%	0.0%	0.0%	0.90%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	1.31%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	7	0	0	1	1	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0					
		0.17%	0.0%	0.0%	0.90%	0.70%	0.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	583	7	15	20	28	8	3	33	30	23	9	10	104	154	10	42	16	22	37	12					
		14.28%	14.0%	15.15%	18.18%	19.85%	6.83%	3.0%	37.5%	15.54%	19.82%	6.66%	9.17%	19.84%	12.02%	6.09%	12.13%	21.05%	19.13%	17.53%	11.42%					
																										
41	Против всех	102	0	4	1	1	0	0	2	2	7	3	0	21	45	1	7	1	0	6	1					
		2.49%	0.0%	4.04%	0.90%	0.70%	0.0%	0.0%	2.27%	1.03%	6.03%	2.22%	0.0%	4.00%	3.51%	0.60%	2.02%	1.31%	0.0%	2.84%	0.95%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
