Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																			
Дата голосования: 02.12.2007																																																																																																																			
																																																																																																																			
Наименование Избирательной комиссии:    Ангарская																																																																																																																			
																																																																																																																			
Сводная таблица результатов выборов																																																																																																																			
																																																																																																																			
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №1648					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3230	30	30	30	30	70	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	40	30	30	50	30	30	30	30	40	30	30	30	30	30	30	30	30	30	30	50	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	40	30	180	30	30	30	30	30	30	30	30	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1859	16	14	12	10	53	18	11	9	13	22	12	8	22	17	11	17	8	9	15	13	21	16	16	8	9	18	24	13	17	15	19	14	22	8	7	11	5	36	16	28	38	10	10	20	16	23	25	18	20	22	28	10	24	20	12	15	42	30	12	14	19	13	10	22	22	21	15	25	23	13	22	28	28	18	12	28	25	22	15	29	8	14	23	7	25	18	20	18	38	17	113	9	9	10	21	15	17	6	19	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1229	12	5	17	11	21	10	7	10	7	14	12	18	21	10	7	7	10	8	11	4	9	3	12	10	16	12	10	23	12	10	11	5	3	8	8	9	33	10	15	11	10	9	29	19	11	5	7	10	17	8	13	2	15	16	15	15	10	13	2	7	12	5	14	10	16	9	15	9	4	7	10	8	15	11	8	15	15	11	13	4	11	13	13	7	10	14	9	11	16	7	27	21	5	7	23	4	16	9	11	5	2	0	5	5	0	7	0	75					
14	Число погашенных неиспользованных открепительных удостоверений	1371	14	16	18	20	17	12	19	21	17	8	18	22	8	13	19	13	22	21	15	17	9	14	14	22	21	12	6	17	13	15	11	16	8	22	23	19	25	4	14	2	12	20	20	10	14	17	5	12	10	8	2	20	6	10	18	15	8	0	18	16	11	17	20	8	8	9	15	5	7	17	8	2	2	12	18	2	5	8	15	1	22	16	7	23	5	12	10	12	2	13	67	21	21	20	9	15	13	24	11	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																			
18	1.Политическая партия «Аграрная партия России»	5158	25	37	20	42	24	61	21	43	57	55	56	56	60	66	41	59	62	38	32	41	50	51	42	39	61	53	43	18	54	78	50	55	58	43	31	55	38	44	46	63	55	41	38	56	47	58	73	38	69	44	63	45	56	50	62	53	35	38	76	65	46	41	58	58	52	75	62	78	55	64	45	73	70	73	57	61	60	64	66	64	50	36	53	38	56	61	31	43	58	44	40	35	92	159	33	51	33	8	44	6	5	2	6	3	1	8	7	3					
		4.12%	3.22%	4.24%	2.07%	3.98%	2.75%	3.96%	2.46%	4.24%	4.26%	3.74%	4.16%	5.05%	4.04%	4.91%	3.20%	4.25%	3.99%	3.39%	2.96%	3.50%	3.21%	4.33%	4.26%	3.83%	4.26%	3.35%	3.71%	2.25%	3.26%	4.63%	4.56%	3.49%	4.64%	4.12%	3.13%	5.01%	4.24%	3.09%	3.81%	5.33%	3.74%	4.54%	3.25%	4.15%	4.02%	3.58%	4.48%	3.26%	4.26%	2.83%	4.67%	4.03%	4.75%	3.52%	3.96%	5.88%	2.64%	3.30%	4.92%	4.03%	3.81%	3.95%	4.28%	4.43%	3.89%	5.32%	4.43%	5.09%	4.15%	4.09%	4.40%	4.43%	4.24%	4.94%	4.15%	3.97%	3.42%	3.88%	3.70%	4.28%	5.05%	2.90%	3.96%	3.91%	4.23%	4.42%	2.87%	3.53%	2.75%	2.97%	2.53%	5.12%	13.03%	35.41%	3.71%	9.60%	3.57%	3.45%	5.07%	4.96%	6.58%	3.03%	8.11%	3.03%	4.00%	4.35%	10.61%	0.68%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1115	2	7	7	13	9	11	12	8	15	20	11	10	12	20	15	16	39	20	12	12	22	7	15	13	11	15	12	4	8	16	9	18	10	5	4	11	4	16	11	7	14	8	5	15	14	16	14	4	10	8	8	11	9	17	11	8	12	27	7	7	8	10	10	10	5	9	12	15	14	15	7	28	18	7	7	19	10	12	7	22	6	3	7	14	11	8	15	10	13	12	7	7	1	1	4	4	10	3	8	0	1	1	0	3	1	3	0	3					
		0.89%	0.26%	0.80%	0.72%	1.23%	1.03%	0.71%	1.40%	0.79%	1.12%	1.36%	0.82%	0.90%	0.81%	1.49%	1.17%	1.15%	2.51%	1.78%	1.11%	1.03%	1.41%	0.59%	1.52%	1.28%	0.77%	0.95%	1.03%	0.50%	0.48%	0.95%	0.82%	1.14%	0.80%	0.48%	0.40%	1.00%	0.45%	1.12%	0.91%	0.59%	0.95%	0.88%	0.43%	1.11%	1.20%	0.99%	0.86%	0.34%	0.62%	0.51%	0.59%	0.99%	0.76%	1.20%	0.70%	0.89%	0.90%	2.34%	0.45%	0.43%	0.66%	0.96%	0.74%	0.76%	0.37%	0.64%	0.86%	0.98%	1.06%	0.96%	0.68%	1.70%	1.09%	0.47%	0.51%	1.24%	0.57%	0.73%	0.39%	1.47%	0.61%	0.24%	0.52%	1.44%	0.83%	0.58%	1.39%	0.82%	0.62%	0.81%	0.44%	1.02%	0.14%	0.22%	0.45%	0.75%	1.08%	1.29%	0.92%	0.00%	1.32%	1.52%	0.00%	3.03%	4.00%	1.63%	0.00%	0.68%					
20	3.Политическая партия «Демократическая партия России»	185	3	2	1	2	1	2	2	1	0	1	1	1	2	1	1	5	3	2	3	1	1	2	3	0	0	3	2	0	3	2	3	3	1	5	1	2	1	3	3	2	3	4	3	4	3	2	3	0	2	3	1	1	1	3	1	2	2	0	0	2	3	1	1	5	2	1	2	1	0	4	0	1	6	0	0	1	0	2	0	5	1	2	1	1	0	2	3	2	4	3	4	2	1	0	3	0	1	0	2	0	0	0	0	1	0	1	0	1					
		0.15%	0.39%	0.23%	0.10%	0.19%	0.11%	0.13%	0.23%	0.10%	0.00%	0.07%	0.07%	0.09%	0.13%	0.07%	0.08%	0.36%	0.19%	0.18%	0.28%	0.09%	0.06%	0.17%	0.30%	0.00%	0.00%	0.19%	0.17%	0.00%	0.18%	0.12%	0.27%	0.19%	0.08%	0.48%	0.10%	0.18%	0.11%	0.21%	0.25%	0.17%	0.20%	0.44%	0.26%	0.30%	0.26%	0.12%	0.18%	0.00%	0.12%	0.19%	0.07%	0.09%	0.08%	0.21%	0.06%	0.22%	0.15%	0.00%	0.00%	0.12%	0.25%	0.10%	0.07%	0.38%	0.15%	0.07%	0.14%	0.07%	0.00%	0.26%	0.00%	0.06%	0.36%	0.00%	0.00%	0.07%	0.00%	0.12%	0.00%	0.33%	0.10%	0.16%	0.07%	0.10%	0.00%	0.15%	0.28%	0.16%	0.19%	0.20%	0.25%	0.29%	0.14%	0.00%	0.34%	0.00%	0.11%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	1.01%	0.00%	0.54%	0.00%	0.23%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	12485	68	80	76	138	99	127	94	85	155	167	181	112	164	127	139	188	213	135	108	89	141	124	87	136	169	140	114	82	163	177	115	193	127	113	60	115	101	124	112	134	161	110	103	124	112	168	154	117	145	152	127	91	126	190	179	127	125	109	145	148	106	85	141	135	146	111	117	139	142	161	101	163	206	162	143	157	111	149	188	140	109	121	172	100	101	149	89	100	214	126	72	46	51	25	76	48	85	23	88	20	15	2	15	18	0	20	9	3					
		9.96%	8.75%	9.16%	7.86%	13.07%	11.34%	8.24%	10.99%	8.39%	11.59%	11.37%	13.44%	10.11%	11.04%	9.46%	10.86%	13.55%	13.71%	12.04%	9.98%	7.61%	9.06%	10.54%	8.82%	13.35%	11.80%	8.85%	9.83%	10.24%	9.85%	10.50%	10.48%	12.24%	10.16%	10.82%	6.07%	10.48%	11.27%	8.70%	9.27%	11.33%	10.95%	12.17%	8.82%	9.20%	9.58%	10.36%	9.45%	10.05%	8.95%	9.78%	9.41%	8.15%	10.69%	13.36%	11.42%	14.08%	9.43%	9.46%	9.39%	9.18%	8.79%	8.20%	10.41%	10.31%	10.92%	7.87%	8.36%	9.07%	10.73%	10.28%	9.87%	9.88%	12.49%	10.95%	10.42%	10.23%	6.34%	9.02%	10.54%	9.36%	11.01%	9.73%	12.86%	10.28%	7.62%	10.80%	8.24%	8.21%	10.16%	8.52%	4.55%	6.73%	7.22%	5.57%	8.55%	9.04%	9.19%	9.91%	10.15%	16.53%	19.74%	3.03%	20.27%	18.18%	0.00%	10.87%	13.64%	0.68%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2235	8	5	13	13	8	19	18	10	27	38	24	23	43	33	19	35	52	21	11	15	21	24	24	21	24	37	12	17	37	19	24	23	12	15	12	13	5	21	44	13	37	26	17	27	16	21	29	16	25	11	13	19	16	15	16	17	26	28	22	29	17	22	30	28	24	25	38	40	35	41	20	28	37	28	33	45	40	41	29	25	15	19	34	18	23	20	16	26	25	30	19	11	5	3	22	7	7	3	19	1	1	1	1	2	0	2	0	0					
		1.78%	1.03%	0.57%	1.34%	1.23%	0.92%	1.23%	2.11%	0.99%	2.02%	2.59%	1.78%	2.08%	2.90%	2.46%	1.48%	2.52%	3.35%	1.87%	1.02%	1.28%	1.35%	2.04%	2.43%	2.06%	1.68%	2.34%	1.03%	2.12%	2.24%	1.13%	2.19%	1.46%	0.96%	1.44%	1.21%	1.19%	0.56%	1.47%	3.64%	1.10%	2.52%	2.88%	1.46%	2.00%	1.37%	1.29%	1.78%	1.37%	1.54%	0.71%	0.96%	1.70%	1.36%	1.05%	1.02%	1.88%	1.96%	2.43%	1.42%	1.80%	1.41%	2.12%	2.21%	2.14%	1.80%	1.77%	2.71%	2.61%	2.64%	2.62%	1.96%	1.70%	2.24%	1.89%	2.41%	2.93%	2.28%	2.48%	1.63%	1.67%	1.52%	1.53%	2.54%	1.85%	1.74%	1.45%	1.48%	2.13%	1.19%	2.03%	1.20%	1.61%	0.71%	0.67%	2.47%	1.32%	0.76%	1.29%	2.19%	0.83%	1.32%	1.52%	1.35%	2.02%	0.00%	1.09%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	474	0	2	0	1	3	9	108	4	3	6	4	1	7	8	6	7	3	1	4	2	7	1	4	6	3	2	5	1	8	8	6	3	8	4	1	0	0	1	7	2	2	2	4	6	0	6	3	3	4	6	3	3	7	4	2	1	2	5	2	5	1	0	5	4	6	4	3	2	8	5	6	4	3	5	3	3	4	9	6	5	3	3	2	6	5	1	8	5	4	4	2	3	1	0	5	1	3	0	5	1	0	0	0	0	0	0	0	0					
		0.38%	0.00%	0.23%	0.00%	0.09%	0.34%	0.58%	12.63%	0.39%	0.22%	0.41%	0.30%	0.09%	0.47%	0.60%	0.47%	0.50%	0.19%	0.09%	0.37%	0.17%	0.45%	0.08%	0.41%	0.59%	0.21%	0.13%	0.43%	0.12%	0.48%	0.47%	0.55%	0.19%	0.64%	0.38%	0.10%	0.00%	0.00%	0.07%	0.58%	0.17%	0.14%	0.22%	0.34%	0.45%	0.00%	0.37%	0.18%	0.26%	0.25%	0.39%	0.22%	0.27%	0.59%	0.28%	0.13%	0.11%	0.15%	0.43%	0.13%	0.31%	0.08%	0.00%	0.37%	0.31%	0.45%	0.28%	0.21%	0.13%	0.60%	0.32%	0.59%	0.24%	0.18%	0.34%	0.22%	0.20%	0.23%	0.55%	0.34%	0.33%	0.30%	0.24%	0.15%	0.62%	0.38%	0.07%	0.74%	0.41%	0.19%	0.27%	0.13%	0.44%	0.14%	0.00%	0.56%	0.19%	0.32%	0.00%	0.58%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	15344	100	104	144	144	106	191	98	132	137	163	172	136	145	164	132	152	178	133	132	131	198	141	118	133	197	190	132	106	211	192	135	231	180	146	154	147	127	160	165	177	188	94	162	185	149	231	228	139	236	190	181	145	160	172	200	108	185	130	194	181	151	127	151	158	164	165	133	172	152	208	128	211	167	160	160	186	185	182	200	180	115	160	136	100	184	149	124	121	257	169	247	77	104	14	117	59	102	16	85	15	6	6	4	6	2	19	8	110					
		12.25%	12.87%	11.91%	14.89%	13.64%	12.14%	12.39%	11.46%	13.03%	10.25%	11.10%	12.77%	12.27%	9.76%	12.21%	10.31%	10.96%	11.45%	11.86%	12.20%	11.20%	12.72%	11.98%	11.97%	13.05%	13.76%	12.01%	11.38%	13.23%	12.75%	11.39%	12.31%	14.65%	14.40%	13.98%	15.57%	13.40%	14.17%	11.23%	13.66%	14.96%	12.79%	10.40%	13.87%	13.72%	12.75%	14.24%	13.99%	11.94%	14.56%	12.23%	13.41%	12.99%	13.57%	12.10%	12.76%	11.97%	13.95%	11.28%	12.56%	11.23%	12.52%	12.25%	11.14%	12.07%	12.27%	11.69%	9.50%	11.22%	11.48%	13.28%	12.51%	12.80%	10.13%	10.82%	11.66%	12.12%	10.56%	11.02%	11.21%	12.03%	11.62%	12.87%	10.17%	10.28%	13.89%	10.80%	11.48%	9.93%	12.20%	11.43%	15.59%	11.27%	14.73%	3.12%	13.16%	11.11%	11.03%	6.90%	9.80%	12.40%	7.89%	9.09%	5.41%	6.06%	8.00%	10.33%	12.12%	24.77%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	15599	58	69	73	135	80	177	2	135	179	169	169	155	210	169	147	192	219	166	147	135	190	177	125	149	208	224	140	102	148	193	149	184	159	151	106	142	115	187	155	122	184	108	142	166	130	209	234	165	187	193	152	134	140	146	256	111	188	171	211	247	160	140	215	181	186	230	185	197	164	213	119	202	214	224	217	194	254	202	243	192	119	183	187	117	128	173	160	169	209	237	85	48	48	22	74	43	99	12	91	16	9	3	12	5	3	17	5	7					
		12.45%	7.46%	7.90%	7.55%	12.78%	9.16%	11.48%	0.23%	13.33%	13.39%	11.50%	12.55%	13.99%	14.14%	12.58%	11.48%	13.84%	14.09%	14.81%	13.59%	11.54%	12.21%	15.04%	12.68%	14.62%	14.53%	14.16%	12.07%	12.73%	8.94%	11.45%	13.58%	11.67%	12.72%	14.46%	10.72%	12.94%	12.83%	13.12%	12.83%	10.31%	12.52%	11.95%	12.16%	12.31%	11.12%	12.89%	14.36%	14.18%	11.54%	12.42%	11.26%	12.01%	11.87%	10.27%	16.34%	12.31%	14.18%	14.84%	13.66%	15.32%	13.27%	13.50%	15.87%	13.83%	13.91%	16.30%	13.21%	12.85%	12.39%	13.60%	11.63%	12.25%	12.98%	15.15%	15.82%	12.64%	14.50%	12.24%	13.62%	12.83%	12.02%	14.72%	13.99%	12.02%	9.66%	12.55%	14.81%	13.88%	9.92%	16.02%	5.37%	7.03%	6.80%	4.90%	8.32%	8.10%	10.70%	5.17%	10.50%	13.22%	11.84%	4.55%	16.22%	5.05%	12.00%	9.24%	7.58%	1.58%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1094	6	9	10	16	7	23	8	11	15	25	7	7	20	18	10	15	12	8	5	4	10	11	12	7	11	14	8	6	14	7	9	13	14	18	5	7	3	16	9	7	17	5	8	8	11	11	16	8	19	8	9	7	8	16	8	9	12	9	18	9	7	12	12	8	8	9	8	11	14	10	11	13	17	17	14	11	18	12	17	11	7	13	20	7	28	13	12	15	19	23	12	4	1	5	3	3	3	1	9	0	1	0	0	2	0	0	0	0					
		0.87%	0.77%	1.03%	1.03%	1.52%	0.80%	1.49%	0.94%	1.09%	1.12%	1.70%	0.52%	0.63%	1.35%	1.34%	0.78%	1.08%	0.77%	0.71%	0.46%	0.34%	0.64%	0.93%	1.22%	0.69%	0.77%	0.88%	0.69%	0.75%	0.85%	0.42%	0.82%	0.82%	1.12%	1.72%	0.51%	0.64%	0.33%	1.12%	0.75%	0.59%	1.16%	0.55%	0.68%	0.59%	0.94%	0.68%	0.98%	0.69%	1.17%	0.51%	0.67%	0.63%	0.68%	1.13%	0.51%	0.99%	0.90%	0.78%	1.17%	0.56%	0.58%	1.16%	0.89%	0.61%	0.60%	0.64%	0.57%	0.72%	1.06%	0.64%	1.08%	0.79%	1.03%	1.15%	1.02%	0.72%	1.03%	0.73%	0.95%	0.74%	0.71%	1.05%	1.50%	0.72%	2.11%	0.94%	1.11%	1.23%	0.90%	1.56%	0.76%	0.59%	0.14%	1.11%	0.34%	0.56%	0.32%	0.43%	1.04%	0.00%	1.32%	0.00%	0.00%	2.02%	0.00%	0.00%	0.00%	0.00%					
