Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Кировская																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК  327	УИК  328	УИК  329	УИК  330	УИК  331	УИК  332	УИК  333	УИК  334	УИК  335	УИК  336	УИК  337	УИК  338	УИК  339	УИК  340	УИК  341	УИК  342	УИК  343	УИК  344	УИК  345	УИК  346	УИК  347	УИК  348	УИК  349	УИК  350	УИК  351	УИК  352	УИК  353	УИК  354	УИК  355	УИК  356	УИК  357					
37	"20. ""Политическая партия ""Единая Россия"""	6095	429	352	212	355	223	103	281	231	371	443	203	326	348	116	121	108	75	36	49	57	90	70	77	139	81	99	115	53	87	413	432					
		34.75%	33.93%	32.95%	29.94%	33.97%	38.18%	40.23%	31.89%	31.38%	30.83%	33.18%	29.12%	34.94%	31.15%	42.96%	47.08%	57.75%	39.47%	20.45%	36.84%	29.23%	37.03%	37.63%	43.25%	36.77%	36.81%	34.37%	43.39%	55.20%	37.5%	38.63%	37.66%					
38	"21. ""Российская Конституционно-демократическая партия"""	46	2	1	4	1	1	1	1	1	13	3	1	1	5	1	0	2	2	0	1	0	0	0	1	0	0	0	0	0	0	0	4					
		0.26%	0.15%	0.09%	0.56%	0.09%	0.17%	0.39%	0.11%	0.13%	1.08%	0.22%	0.14%	0.10%	0.44%	0.37%	0.0%	1.06%	1.05%	0.0%	0.75%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%					
39	"22. ""Развитие предпринимательства"""	29	3	4	0	2	0	1	1	2	1	1	2	1	2	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	3	1					
		0.16%	0.23%	0.37%	0.0%	0.19%	0.0%	0.39%	0.11%	0.27%	0.08%	0.07%	0.28%	0.10%	0.17%	0.37%	0.0%	0.0%	0.0%	0.56%	0.75%	0.51%	0.0%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.08%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3222	239	249	199	187	102	40	199	134	268	282	146	252	247	23	23	16	46	57	24	40	23	23	35	77	16	47	24	6	27	84	87					
		18.37%	18.90%	23.31%	28.10%	17.89%	17.46%	15.62%	22.58%	18.20%	22.27%	21.12%	20.94%	27.00%	22.11%	8.51%	8.94%	8.55%	24.21%	32.38%	18.04%	20.51%	9.46%	12.36%	19.66%	20.37%	7.27%	16.31%	9.05%	6.25%	11.63%	7.85%	7.58%					
																																						
41	Против всех	690	52	37	24	31	25	10	33	34	60	52	29	25	45	10	2	4	1	3	5	7	0	9	6	12	4	4	7	0	11	70	78					
		3.93%	4.11%	3.46%	3.38%	2.96%	4.28%	3.90%	3.74%	4.61%	4.98%	3.89%	4.16%	2.67%	4.02%	3.70%	0.77%	2.13%	0.52%	1.70%	3.75%	3.58%	0.0%	4.83%	3.37%	3.17%	1.81%	1.38%	2.64%	0.0%	4.74%	6.54%	6.80%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
