Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																														
Дата голосования: 04.12.2011																																																																																																														
																																																																																																														
"Наименование Избирательной комиссии:    Курск, Центральная"																																																																																																														
																																																																																																														
Сводная таблица результатов выборов																																																																																																														
																																																																																																														
		Сумма	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3271	22	28	35	50	20	27	49	30	50	30	60	45	15	30	20	20	35	41	50	40	30	42	20	55	45	60	35	40	20	40	45	45	35	35	50	30	45	50	55	45	65	30	25	25	25	20	45	40	20	25	30	31	20	55	20	40	40	75	27	30	10	20	35	25	30	35	35	47	40	41	35	20	39	47	10	40	45	30	10	25	0	30	20	65	80	10	50	40	60	90	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	3119	22	27	35	50	16	27	49	30	48	23	60	44	14	26	16	20	35	39	42	40	23	41	17	54	45	49	30	39	19	39	44	41	35	28	48	30	43	49	55	43	65	27	25	23	25	18	44	40	20	21	30	29	20	55	20	37	40	72	27	24	10	20	35	25	30	35	35	47	34	41	35	14	39	41	10	40	43	29	9	20	0	27	20	65	79	8	50	35	56	90	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	3143	38	13	56	77	12	21	17	17	48	102	312	11	9	35	14	10	119	38	64	12	9	14	6	16	16	10	17	38	16	8	6	76	0	14	29	13	19	13	17	49	11	10	14	8	9	18	38	9	13	25	30	9	58	28	10	18	19	19	16	59	18	5	11	14	23	14	46	17	77	24	42	7	36	21	12	15	13	25	2	27	37	11	46	26	24	46	26	16	17	43	4	8	349	0	28	55	2	7	33	26	38	17	3					
14	Число погашенных неиспользованных открепительных удостоверений	152	0	1	0	0	4	0	0	0	2	7	0	1	1	4	4	0	0	2	8	0	7	1	3	1	0	11	5	1	1	1	1	4	0	7	2	0	2	1	0	2	0	3	0	2	0	2	1	0	0	4	0	2	0	0	0	3	0	3	0	6	0	0	0	0	0	0	0	0	6	0	0	6	0	6	0	0	2	1	1	5	0	3	0	0	1	2	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	107	0	1	1	1	0	2	0	3	0	2	1	2	0	0	1	2	0	0	2	2	0	0	0	2	3	0	3	2	1	2	0	0	1	0	5	0	6	2	0	1	3	2	1	0	1	3	1	1	1	3	1	0	0	3	1	0	0	3	0	0	0	2	1	3	1	1	1	1	0	0	2	0	0	1	0	0	1	0	0	0	0	0	4	2	5	0	2	1	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	14364	44	98	162	265	102	110	167	145	244	124	233	202	105	150	50	196	262	217	181	224	103	177	37	183	188	155	162	152	140	194	158	161	172	104	211	185	200	196	248	192	200	105	221	175	148	69	103	151	53	106	157	82	106	221	106	185	166	259	147	161	108	105	161	138	132	143	146	222	177	251	175	117	188	219	62	193	166	187	93	137	13	99	113	230	238	51	189	112	198	187	13	4	89	52	26	13	11	14	6	11	37	7	11					
		16.55%	13.66%	15.12%	16.17%	18.94%	18.51%	15.21%	16.82%	15.52%	21.07%	8.35%	14.15%	18.33%	26.65%	17.12%	12.89%	21.83%	13.02%	21.70%	17.61%	18.35%	19.07%	17.51%	12.01%	15.89%	15.77%	15.93%	17.55%	17.78%	16.67%	17.59%	16.63%	15.60%	17.94%	17.78%	16.54%	14.92%	16.43%	16.84%	19.95%	18.71%	14.66%	17.50%	19.80%	19.06%	22.84%	17.21%	16.89%	14.63%	14.25%	16.01%	18.49%	14.83%	17.49%	16.26%	18.15%	15.88%	18.04%	17.04%	20.03%	11.58%	18.78%	17.68%	16.95%	15.32%	17.41%	15.99%	18.39%	18.30%	9.80%	19.69%	14.45%	15.62%	15.84%	17.66%	16.45%	17.20%	18.08%	18.76%	19.58%	12.31%	5.02%	15.16%	15.83%	16.42%	16.76%	18.48%	16.25%	17.15%	18.84%	15.09%	14.77%	15.38%	13.26%	20.55%	13.83%	10.48%	15.28%	20.59%	7.69%	9.24%	18.78%	15.22%	9.91%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	12958	72	94	186	159	93	114	169	160	150	443	227	191	51	122	47	127	388	128	172	193	68	156	67	169	181	141	143	138	130	186	149	163	182	105	206	211	216	202	225	157	208	92	184	145	85	44	71	105	38	78	73	72	89	170	80	182	90	170	81	174	63	86	108	116	103	145	97	162	436	174	177	149	180	172	46	103	125	118	48	96	7	99	106	240	206	40	216	102	82	219	10	3	73	22	33	9	8	6	7	13	15	6	20					
		14.93%	22.36%	14.51%	18.56%	11.37%	16.88%	15.77%	17.02%	17.13%	12.95%	29.83%	13.78%	17.33%	12.94%	13.93%	12.11%	14.14%	19.27%	12.80%	16.73%	15.81%	12.59%	15.43%	21.75%	14.67%	15.18%	14.49%	15.49%	16.14%	15.48%	16.86%	15.68%	15.79%	18.98%	17.95%	16.14%	17.02%	17.75%	17.35%	18.10%	15.30%	15.25%	15.33%	16.49%	15.80%	13.12%	10.97%	11.64%	10.17%	10.22%	11.78%	8.60%	13.02%	14.69%	12.51%	13.70%	15.62%	9.78%	11.18%	11.04%	12.52%	10.96%	14.48%	11.37%	12.87%	13.59%	16.22%	12.22%	13.36%	24.13%	13.65%	14.62%	19.89%	15.16%	13.87%	12.20%	9.18%	13.62%	11.84%	10.11%	8.63%	2.70%	15.16%	14.85%	17.13%	14.51%	14.49%	18.57%	15.62%	7.80%	17.68%	11.36%	11.54%	10.88%	8.70%	17.55%	7.26%	11.11%	8.82%	8.97%	10.92%	7.61%	13.04%	18.02%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1891	7	26	17	28	9	12	14	20	21	25	43	23	10	9	7	14	33	26	18	37	10	16	3	29	25	12	21	10	12	21	28	21	26	6	29	31	34	25	28	16	43	10	18	19	16	11	19	25	9	21	28	19	18	43	16	25	20	34	17	29	12	12	13	14	6	17	19	33	22	24	31	18	20	29	4	20	17	26	7	24	3	21	10	45	58	3	36	19	28	28	0	0	7	4	6	1	1	5	0	3	1	0	2					
		2.18%	2.17%	4.01%	1.70%	2.00%	1.63%	1.66%	1.41%	2.14%	1.81%	1.68%	2.61%	2.09%	2.54%	1.03%	1.80%	1.56%	1.64%	2.60%	1.75%	3.03%	1.85%	1.58%	0.97%	2.52%	2.10%	1.23%	2.28%	1.17%	1.43%	1.90%	2.95%	2.03%	2.71%	1.03%	2.27%	2.50%	2.79%	2.15%	2.25%	1.56%	3.15%	1.67%	1.61%	2.07%	2.47%	2.74%	3.11%	2.42%	2.42%	3.17%	3.30%	3.44%	2.97%	3.16%	2.74%	2.15%	2.17%	2.24%	2.32%	2.09%	2.09%	2.02%	1.37%	1.55%	0.79%	1.90%	2.39%	2.72%	1.22%	1.88%	2.56%	2.40%	1.68%	2.34%	1.06%	1.78%	1.85%	2.61%	1.47%	2.16%	1.16%	3.22%	1.40%	3.21%	4.08%	1.09%	3.10%	2.91%	2.66%	2.26%	0.00%	0.00%	1.04%	1.58%	3.19%	0.81%	1.39%	7.35%	0.00%	2.52%	0.51%	0.00%	1.80%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	22486	57	171	266	379	138	156	278	238	268	220	358	287	85	253	79	215	413	272	263	368	134	271	78	342	343	282	245	220	237	280	214	245	253	185	366	337	336	334	279	283	391	161	262	243	164	132	176	350	107	216	263	141	164	410	147	289	299	449	223	320	168	181	282	275	199	287	225	389	320	344	324	167	364	355	104	391	285	228	88	129	16	160	138	411	393	40	238	151	325	255	17	1	75	68	16	30	19	22	9	11	41	4	6					
		25.91%	17.70%	26.39%	26.55%	27.09%	25.05%	21.58%	27.99%	25.48%	23.14%	14.81%	21.74%	26.04%	21.57%	28.88%	20.36%	23.94%	20.52%	27.20%	25.58%	30.14%	24.81%	26.81%	25.32%	29.69%	28.78%	28.98%	26.54%	25.73%	28.21%	25.39%	22.53%	23.74%	26.38%	31.62%	28.68%	27.18%	27.61%	28.69%	22.45%	27.58%	28.67%	26.83%	23.48%	26.47%	25.31%	32.92%	28.85%	33.91%	28.76%	32.63%	30.98%	25.50%	27.06%	30.17%	25.17%	24.81%	32.50%	29.54%	30.38%	23.02%	29.22%	30.47%	29.68%	30.52%	26.25%	32.10%	28.34%	32.07%	17.71%	26.98%	26.75%	22.30%	30.67%	28.63%	27.59%	34.85%	31.05%	22.87%	18.53%	11.59%	6.18%	24.50%	19.33%	29.34%	27.68%	14.49%	20.46%	23.12%	30.92%	20.58%	19.32%	3.85%	11.18%	26.88%	8.51%	24.19%	26.39%	32.35%	11.54%	9.24%	20.81%	8.70%	5.41%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4134	19	45	55	66	39	31	45	57	56	23	64	53	6	55	8	38	61	42	46	38	16	39	8	43	52	48	44	33	45	54	25	44	21	26	48	58	43	56	69	46	73	25	39	30	17	30	49	82	20	38	66	53	31	114	29	41	70	99	54	35	31	25	52	41	37	61	51	62	24	69	46	35	69	64	25	83	63	80	11	38	2	48	39	76	96	2	55	32	97	28	1	0	12	3	3	0	1	1	2	2	5	1	1					
		4.76%	5.90%	6.94%	5.49%	4.72%	7.08%	4.29%	4.53%	6.10%	4.84%	1.55%	3.89%	4.81%	1.52%	6.28%	2.06%	4.23%	3.03%	4.20%	4.47%	3.11%	2.96%	3.86%	2.60%	3.73%	4.36%	4.93%	4.77%	3.86%	5.36%	4.90%	2.63%	4.26%	2.19%	4.44%	3.76%	4.68%	3.53%	4.81%	5.55%	4.48%	5.35%	4.17%	3.49%	3.27%	2.62%	7.48%	8.03%	7.95%	5.38%	5.74%	7.77%	9.58%	5.12%	8.39%	4.97%	3.52%	7.61%	6.51%	7.36%	2.52%	5.39%	4.21%	5.47%	4.55%	4.88%	6.82%	6.42%	5.11%	1.33%	5.41%	3.80%	4.67%	5.81%	5.16%	6.63%	7.40%	6.86%	8.02%	2.32%	3.41%	0.77%	7.35%	5.46%	5.42%	6.76%	0.72%	4.73%	4.90%	9.23%	2.26%	1.14%	0.00%	1.79%	1.19%	1.60%	0.00%	1.39%	1.47%	2.56%	1.68%	2.54%	2.17%	0.90%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	29052	113	196	300	463	154	282	300	296	395	584	686	320	126	272	190	291	796	296	324	344	196	332	105	367	380	315	296	286	250	342	359	382	281	148	397	388	358	328	367	308	426	200	371	290	207	100	171	295	135	184	240	171	187	367	185	416	262	479	197	648	183	169	312	295	268	227	243	319	786	396	428	253	333	363	125	295	242	333	219	685	216	215	283	374	383	132	409	229	294	501	47	18	404	99	100	66	30	16	54	75	93	26	70					
		33.47%	35.09%	30.25%	29.94%	33.10%	27.95%	39.00%	30.21%	31.69%	34.11%	39.33%	41.65%	29.04%	31.98%	31.05%	48.97%	32.41%	39.54%	29.60%	31.52%	28.17%	36.30%	32.84%	34.09%	31.86%	31.88%	32.37%	32.07%	33.45%	29.76%	31.01%	37.79%	37.02%	29.30%	25.30%	31.11%	31.29%	29.42%	28.18%	29.53%	30.02%	31.23%	33.33%	33.24%	31.59%	31.94%	24.94%	28.03%	28.59%	36.29%	27.79%	28.27%	30.92%	30.86%	27.01%	31.68%	35.71%	28.48%	31.51%	26.84%	46.62%	31.83%	28.45%	32.84%	32.74%	35.36%	25.39%	30.60%	26.30%	43.50%	31.06%	35.34%	33.78%	28.05%	29.27%	33.16%	26.29%	26.36%	33.40%	46.11%	61.55%	83.40%	32.92%	39.64%	26.70%	26.97%	47.83%	35.17%	35.07%	27.97%	40.44%	53.41%	69.23%	60.21%	39.13%	53.19%	53.23%	41.67%	23.53%	69.23%	63.03%	47.21%	56.52%	63.06%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	714	6	11	4	15	3	3	6	8	8	9	14	12	2	4	2	6	21	7	7	7	4	6	4	6	4	5	4	8	11	11	5	7	9	5	10	11	13	12	9	7	13	2	6	6	4	7	15	8	5	4	8	8	0	11	9	9	10	11	9	10	4	7	7	8	6	10	3	11	14	10	11	4	10	14	2	17	8	14	2	4	2	4	9	12	15	6	7	3	13	9	0	0	4	0	0	1	1	0	0	0	0	0	1					
		0.82%	1.86%	1.70%	0.40%	1.07%	0.54%	0.41%	0.60%	0.86%	0.69%	0.61%	0.85%	1.09%	0.51%	0.46%	0.52%	0.67%	1.04%	0.70%	0.68%	0.57%	0.74%	0.59%	1.30%	0.52%	0.34%	0.51%	0.43%	0.94%	1.31%	0.99%	0.53%	0.68%	0.94%	0.85%	0.78%	0.89%	1.07%	1.03%	0.72%	0.68%	0.95%	0.33%	0.54%	0.65%	0.62%	1.75%	2.46%	0.78%	1.34%	0.60%	0.94%	1.45%	0.00%	0.81%	1.54%	0.77%	1.09%	0.72%	1.23%	0.72%	0.70%	1.18%	0.74%	0.89%	0.79%	1.12%	0.38%	0.91%	0.77%	0.78%	0.91%	0.53%	0.84%	1.13%	0.53%	1.52%	0.87%	1.40%	0.42%	0.36%	0.77%	0.61%	1.26%	0.86%	1.06%	2.17%	0.60%	0.46%	1.24%	0.73%	0.00%	0.00%	0.60%	0.00%	0.00%	0.81%	1.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.90%					
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
																																																																																																														
