Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Кесовогорская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	5	4	1	0	3	1	0	0	0	0	0	0	1	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	37	11	9	4	0	0	0	4	0	1	0	0	0	1	0	2	0	5									
		1.28%	2.12%	2.26%	1.35%	0.00%	0.00%	0.00%	7.27%	0.00%	0.93%	0.00%	0.00%	0.00%	0.50%	0.00%	1.08%	0.00%	5.95%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	67	16	9	12	2	2	4	2	3	2	2	4	0	4	0	2	3	0									
		2.33%	3.08%	2.26%	4.05%	2.90%	1.46%	5.00%	3.64%	1.89%	1.85%	1.89%	2.31%	0.00%	2.00%	0.00%	1.08%	2.61%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	57	9	10	2	1	1	2	2	7	3	4	0	0	2	2	3	6	3									
		1.98%	1.73%	2.51%	0.68%	1.45%	0.73%	2.50%	3.64%	4.40%	2.78%	3.77%	0.00%	0.00%	1.00%	1.72%	1.62%	5.22%	3.57%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1304	211	138	100	45	66	37	24	62	50	41	112	44	103	62	103	70	36									
		45.26%	40.66%	34.59%	33.78%	65.22%	48.18%	46.25%	43.64%	38.99%	46.30%	38.68%	64.74%	55.00%	51.50%	53.45%	55.68%	60.87%	42.86%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	22	6	2	3	0	1	1	0	2	0	1	0	1	1	3	0	0	1									
		0.76%	1.16%	0.50%	1.01%	0.00%	0.73%	1.25%	0.00%	1.26%	0.00%	0.94%	0.00%	1.25%	0.50%	2.59%	0.00%	0.00%	1.19%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	1	0									
		0.21%	0.00%	0.00%	0.00%	0.00%	0.73%	0.00%	0.00%	0.00%	0.00%	0.94%	1.16%	1.25%	0.00%	0.00%	0.00%	0.87%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	495	74	73	59	14	22	11	12	38	23	22	23	23	23	26	21	13	18									
		17.18%	14.26%	18.30%	19.93%	20.29%	16.06%	13.75%	21.82%	23.90%	21.30%	20.75%	13.29%	28.75%	11.50%	22.41%	11.35%	11.30%	21.43%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	25	6	7	3	0	0	1	1	0	0	0	0	1	2	2	1	1	0									
		0.87%	1.16%	1.75%	1.01%	0.00%	0.00%	1.25%	1.82%	0.00%	0.00%	0.00%	0.00%	1.25%	1.00%	1.72%	0.54%	0.87%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	19	7	2	1	1	0	0	1	2	0	0	2	0	1	1	1	0	0									
		0.66%	1.35%	0.50%	0.34%	1.45%	0.00%	0.00%	1.82%	1.26%	0.00%	0.00%	1.16%	0.00%	0.50%	0.86%	0.54%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0									
		0.14%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.93%	0.94%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	32	4	4	8	0	0	1	0	4	0	1	3	0	1	1	4	0	1									
		1.11%	0.77%	1.00%	2.70%	0.00%	0.00%	1.25%	0.00%	2.52%	0.00%	0.94%	1.73%	0.00%	0.50%	0.86%	2.16%	0.00%	1.19%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	404	94	59	46	6	21	18	0	16	15	15	13	6	45	13	18	11	8									
		14.02%	18.11%	14.79%	15.54%	8.70%	15.33%	22.50%	0.00%	10.06%	13.89%	14.15%	7.51%	7.50%	22.50%	11.21%	9.73%	9.57%	9.52%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	12	2	2	2	0	0	0	0	2	1	0	0	0	0	0	1	1	1									
		0.42%	0.39%	0.50%	0.68%	0.00%	0.00%	0.00%	0.00%	1.26%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.87%	1.19%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	345	65	75	45	0	18	5	8	23	10	14	11	3	16	6	28	7	11									
		11.98%	12.52%	18.80%	15.20%	0.00%	13.14%	6.25%	14.55%	14.47%	9.26%	13.21%	6.36%	3.75%	8.00%	5.17%	15.14%	6.09%	13.10%									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
