Выборы Президента Российской Федерации																																																																		
																																																																		
"Наименование Избирательной комиссии:    Екатеринбург, Железнодорожная"																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383					
11	Число полученных открепительных  удостоверений	2325	40	45	35	20	25	45	35	45	35	45	45	35	45	55	120	10	35	25	35	45	55	45	45	45	45	55	45	55	55	35	45	55	45	55	55	45	45	55	45	25	55	25	55	55	55	45	35	35	35	35	45	10	20	25	25	0	0	0	0					
12	Число выданных открепительных удостоверений	908	15	18	19	6	3	10	16	29	15	8	16	15	33	14	99	2	7	1	11	15	20	12	25	13	9	25	11	10	21	14	11	21	16	37	7	22	30	22	25	7	23	25	24	13	28	15	12	12	5	10	11	0	1	9	10	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1141	11	11	6	17	13	12	17	10	7	41	13	82	16	31	29	6	10	0	6	13	11	6	3	7	2	11	3	12	8	10	14	18	10	10	8	19	11	13	29	31	23	21	39	2	21	7	8	10	9	11	11	7	7	2	10	8	5	16	337					
14	Число неиспользованных открепительных удостоверений	1417	25	27	16	14	22	35	19	16	20	37	29	20	12	41	21	8	28	24	24	30	35	33	20	32	36	30	34	45	34	21	34	34	29	18	48	23	15	33	20	18	32	0	31	42	27	30	23	23	30	25	34	10	19	16	15	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																		
18	. Глазьев Сергей Юрьевич	2627	64	47	75	42	47	67	51	78	57	18	90	64	59	53	51	6	16	15	22	51	80	63	45	50	67	59	64	73	74	40	34	56	65	45	54	50	51	51	57	20	53	32	49	40	76	63	36	29	21	31	46	8	10	11	34	1	2	1	13					
		4.29%	5.41%	3.89%	7.43%	6.72%	6.09%	5.11%	5.23%	5.26%	4.82%	4.14%	6.27%	5.97%	4.43%	3.84%	4.01%	6.82%	1.93%	2.84%	2.59%	4.66%	5.47%	5.90%	4.23%	4.29%	5.91%	4.37%	5.08%	5.12%	5.51%	3.03%	1.79%	3.90%	4.71%	3.62%	3.92%	4.64%	3.69%	3.70%	4.54%	3.22%	2.71%	2.48%	3.28%	3.07%	5.42%	5.70%	3.55%	3.69%	2.39%	3.15%	3.80%	10.00%	3.42%	2.21%	4.33%	3.57%	4.26%	1.54%	3.86%					
19	. Малышкин Олег Александрович	985	18	16	16	5	8	13	17	18	7	5	21	18	18	22	25	2	19	10	21	10	21	14	20	24	13	16	19	25	15	26	34	31	15	25	20	20	21	28	17	10	32	26	23	29	29	15	16	13	19	13	18	1	8	11	18	0	1	1	9					
		1.61%	1.52%	1.33%	1.59%	0.80%	1.04%	0.99%	1.74%	1.21%	0.59%	1.15%	1.46%	1.68%	1.35%	1.59%	1.97%	2.27%	2.29%	1.89%	2.47%	0.91%	1.44%	1.31%	1.88%	2.06%	1.15%	1.19%	1.51%	1.75%	1.12%	1.97%	1.79%	2.16%	1.09%	2.01%	1.45%	1.86%	1.52%	2.03%	1.35%	1.61%	1.64%	2.01%	1.54%	2.22%	2.07%	1.36%	1.58%	1.66%	2.17%	1.32%	1.49%	1.25%	2.74%	2.21%	2.29%	0.00%	2.13%	1.54%	2.67%					
20	. Миронов Сергей Михайлович	436	9	9	7	6	3	13	9	16	10	2	10	9	11	8	7	0	3	3	4	13	15	5	9	6	12	8	11	7	11	5	15	8	12	8	6	10	8	10	8	4	12	10	8	11	7	5	12	3	5	9	8	0	3	2	7	1	0	0	3					
		0.71%	0.76%	0.75%	0.69%	0.96%	0.39%	0.99%	0.92%	1.08%	0.85%	0.46%	0.70%	0.84%	0.83%	0.58%	0.55%	0.00%	0.36%	0.57%	0.47%	1.19%	1.03%	0.47%	0.85%	0.51%	1.06%	0.59%	0.87%	0.49%	0.82%	0.38%	0.79%	0.56%	0.87%	0.64%	0.44%	0.93%	0.58%	0.73%	0.64%	0.64%	0.61%	0.77%	0.54%	0.84%	0.50%	0.45%	1.18%	0.38%	0.57%	0.91%	0.66%	0.00%	1.03%	0.40%	0.89%	3.57%	0.00%	0.00%	0.89%					
21	. Путин Владимир Владимирович	45805	794	828	654	422	531	901	614	1011	791	337	974	704	977	1059	924	72	638	431	672	822	1116	802	771	844	801	1001	940	1082	984	1015	1572	1098	1037	959	1059	814	1049	1047	962	483	1561	1007	1184	1007	1068	856	804	628	686	789	952	68	225	429	600	20	33	51	245					
		74.78%	67.17%	68.60%	64.82%	67.52%	68.78%	68.78%	62.97%	68.22%	66.86%	77.47%	67.83%	65.67%	73.40%	76.63%	72.70%	81.82%	77.05%	81.47%	78.97%	75.07%	76.28%	75.09%	72.46%	72.38%	70.70%	74.15%	74.60%	75.93%	73.27%	76.95%	82.65%	76.41%	75.20%	77.21%	76.85%	75.51%	75.90%	76.03%	76.65%	77.78%	79.93%	77.94%	79.30%	77.16%	76.23%	77.47%	79.21%	80.00%	78.22%	80.18%	78.74%	85.00%	77.05%	86.32%	76.34%	71.43%	70.21%	78.46%	72.70%					
22	. Хакамада Ирина Муцуовна	5160	151	171	117	74	92	156	184	201	176	36	187	156	127	123	132	3	73	26	60	99	95	70	109	105	104	102	110	110	123	113	110	101	87	82	103	82	95	93	95	46	121	116	78	78	81	62	61	40	61	46	55	0	11	16	31	2	2	2	18					
		8.42%	12.77%	14.17%	11.60%	11.84%	11.92%	11.91%	18.87%	13.56%	14.88%	8.28%	13.02%	14.55%	9.54%	8.90%	10.39%	3.41%	8.82%	4.91%	7.05%	9.04%	6.49%	6.55%	10.24%	9.01%	9.18%	7.56%	8.73%	7.72%	9.16%	8.57%	5.78%	7.03%	6.31%	6.60%	7.47%	7.61%	6.87%	6.75%	7.57%	7.41%	6.20%	8.98%	5.22%	5.98%	5.78%	5.61%	6.01%	5.10%	6.96%	4.67%	4.55%	0.00%	3.77%	3.22%	3.94%	7.14%	4.26%	3.08%	5.34%					
23	. Харитонов Николай Михайлович	3860	97	84	96	50	51	106	58	96	92	22	103	83	99	75	63	4	54	17	48	61	87	68	78	81	84	101	70	81	69	64	70	96	102	74	82	59	105	102	63	23	92	48	95	94	94	69	53	40	59	53	83	2	18	19	69	1	8	8	37					
		6.30%	8.21%	6.96%	9.51%	8.00%	6.61%	8.09%	5.95%	6.48%	7.78%	5.06%	7.17%	7.74%	7.44%	5.43%	4.96%	4.55%	6.52%	3.21%	5.64%	5.57%	5.95%	6.37%	7.33%	6.95%	7.41%	7.48%	5.56%	5.68%	5.14%	4.85%	3.68%	6.68%	7.40%	5.96%	5.95%	5.47%	7.60%	7.41%	5.02%	3.70%	4.71%	3.72%	6.36%	7.20%	6.71%	6.24%	5.22%	5.10%	6.73%	5.39%	6.87%	2.50%	6.16%	3.82%	8.78%	3.57%	17.02%	12.31%	10.98%					
																																																																		
24	Против всех	1843	43	41	37	25	35	52	32	51	44	11	46	35	34	29	60	1	19	12	13	31	39	37	24	42	35	50	36	39	59	43	47	40	45	39	45	32	41	28	41	31	61	47	36	35	32	20	27	20	19	35	21	1	8	5	15	3	1	2	11					
		3.01%	3.64%	3.40%	3.67%	4.00%	4.53%	3.97%	3.28%	3.44%	3.72%	2.53%	3.20%	3.26%	2.55%	2.10%	4.72%	1.14%	2.29%	2.27%	1.53%	2.83%	2.67%	3.46%	2.26%	3.60%	3.09%	3.70%	2.86%	2.74%	4.39%	3.26%	2.47%	2.78%	3.26%	3.14%	3.27%	2.97%	2.97%	2.03%	3.27%	4.99%	3.12%	3.64%	2.41%	2.68%	2.28%	1.81%	2.66%	2.55%	2.17%	3.56%	1.74%	1.25%	2.74%	1.01%	1.91%	10.71%	2.13%	3.08%	3.26%					
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
