Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Медведевская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1554	37	20	26	27	22	21	50	32	20	20	30	30	40	35	30	15	10	40	40	37	27	35	12	4	29	60	85	62	80	60	50	30	50	25	40	30	45	35	30	6	18	7	14	40	23	10	11	14	40									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	936	30	13	15	27	11	10	16	61	12	4	8	9	20	15	5	11	8	14	11	28	19	14	7	8	239	50	27	9	6	10	15	11	11	11	2	6	9	15	15	12	7	37	5	7	7	9	11	12	17									
14	Число погашенных неиспользованных открепительных удостоверений	194	3	5	4	3	3	0	0	3	0	0	0	0	0	5	0	0	0	0	0	13	3	15	18	16	11	0	15	8	0	0	0	0	0	25	0	0	0	0	0	4	2	13	6	0	4	0	9	6	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	183	6	1	5	6	2	5	10	2	3	4	1	0	0	2	3	0	0	1	1	0	0	0	0	1	1	2	56	45	2	3	2	1	0	3	3	0	2	4	0	0	0	1	0	0	0	0	0	2	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	242	12	6	4	6	1	11	4	4	5	3	3	2	2	11	3	0	0	5	2	12	0	5	2	1	5	2	12	11	4	5	7	1	9	10	3	8	5	20	7	0	5	7	0	0	7	2	4	0	4									
		0.79%	0.90%	0.85%	0.62%	0.67%	0.14%	1.63%	0.55%	0.52%	0.99%	0.70%	0.49%	0.58%	0.30%	1.12%	0.62%	0.00%	0.00%	0.80%	0.86%	1.06%	0.00%	0.65%	0.56%	0.68%	0.38%	0.17%	0.73%	1.95%	0.79%	1.39%	0.88%	0.42%	1.35%	0.99%	0.48%	1.03%	0.49%	1.82%	1.16%	0.00%	1.43%	1.98%	0.00%	0.00%	0.87%	0.99%	1.22%	0.00%	0.50%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1102	42	35	38	25	30	27	27	40	22	12	17	23	25	39	24	7	7	38	10	60	3	39	6	3	28	10	34	21	18	16	14	6	26	41	16	29	18	47	29	8	13	14	9	10	30	6	7	10	43									
		3.60%	3.17%	4.93%	5.91%	2.78%	4.24%	3.99%	3.74%	5.21%	4.37%	2.79%	2.76%	6.73%	3.75%	3.98%	4.98%	4.05%	5.07%	6.05%	4.29%	5.28%	0.88%	5.06%	1.69%	2.03%	2.13%	0.87%	2.08%	3.72%	3.56%	4.44%	1.77%	2.54%	3.90%	4.08%	2.57%	3.75%	1.77%	4.28%	4.82%	4.40%	3.72%	3.97%	4.74%	2.78%	3.72%	2.99%	2.14%	3.06%	5.37%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	361	19	8	10	4	11	10	12	13	17	0	10	5	5	16	5	0	2	12	2	15	9	2	2	1	5	3	20	7	11	1	13	1	10	12	5	10	8	17	5	1	3	6	2	0	17	3	2	3	6									
		1.18%	1.43%	1.13%	1.56%	0.45%	1.56%	1.48%	1.66%	1.69%	3.37%	0.00%	1.62%	1.46%	0.75%	1.63%	1.04%	0.00%	1.45%	1.91%	0.86%	1.32%	2.65%	0.26%	0.56%	0.68%	0.38%	0.26%	1.22%	1.24%	2.17%	0.28%	1.64%	0.42%	1.50%	1.19%	0.80%	1.29%	0.79%	1.55%	0.83%	0.55%	0.86%	1.70%	1.05%	0.00%	2.11%	1.49%	0.61%	0.92%	0.75%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15033	475	268	212	408	240	196	235	305	174	237	286	146	313	501	176	81	62	291	132	505	277	346	192	93	918	730	941	230	243	188	324	154	315	481	442	365	823	481	257	118	187	148	110	222	353	99	213	147	393									
		49.08%	35.82%	37.75%	32.97%	45.43%	33.95%	28.99%	32.55%	39.71%	34.52%	55.12%	46.43%	42.69%	46.93%	51.07%	36.51%	46.82%	44.93%	46.34%	56.65%	44.42%	81.71%	44.94%	54.08%	62.84%	69.97%	63.53%	57.52%	40.78%	48.02%	52.22%	40.91%	65.25%	47.23%	47.86%	71.06%	47.22%	80.77%	43.85%	42.69%	64.84%	53.58%	41.93%	57.89%	61.67%	43.80%	49.25%	65.14%	44.95%	49.06%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	205	12	9	8	9	5	8	4	9	3	0	3	2	4	4	1	5	0	2	2	4	0	9	2	0	8	14	14	6	2	3	3	0	4	8	2	3	3	4	2	0	4	0	1	2	6	2	2	1	6									
		0.67%	0.90%	1.27%	1.24%	1.00%	0.71%	1.18%	0.55%	1.17%	0.60%	0.00%	0.49%	0.58%	0.60%	0.41%	0.21%	2.89%	0.00%	0.32%	0.86%	0.35%	0.00%	1.17%	0.56%	0.00%	0.61%	1.22%	0.86%	1.06%	0.40%	0.83%	0.38%	0.00%	0.60%	0.80%	0.32%	0.39%	0.29%	0.36%	0.33%	0.00%	1.15%	0.00%	0.53%	0.56%	0.74%	0.99%	0.61%	0.31%	0.75%									
24	"6. Политическая партия ""Гражданская Платформа"""	67	2	2	1	2	1	0	5	2	1	0	1	1	3	1	1	0	0	0	1	4	0	0	1	0	0	1	5	1	1	1	2	0	1	6	2	2	1	3	1	0	0	0	0	7	2	0	1	0	1									
		0.22%	0.15%	0.28%	0.16%	0.22%	0.14%	0.00%	0.69%	0.26%	0.20%	0.00%	0.16%	0.29%	0.45%	0.10%	0.21%	0.00%	0.00%	0.00%	0.43%	0.35%	0.00%	0.00%	0.28%	0.00%	0.00%	0.09%	0.31%	0.18%	0.20%	0.28%	0.25%	0.00%	0.15%	0.60%	0.32%	0.26%	0.10%	0.27%	0.17%	0.00%	0.00%	0.00%	0.00%	1.94%	0.25%	0.00%	0.31%	0.00%	0.12%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3582	153	92	83	104	97	133	101	96	81	48	88	45	88	113	66	22	25	62	34	125	11	120	47	25	99	98	238	95	51	53	83	7	77	124	29	145	21	124	81	16	26	41	14	19	91	30	27	44	90									
		11.69%	11.54%	12.96%	12.91%	11.58%	13.72%	19.67%	13.99%	12.50%	16.07%	11.16%	14.29%	13.16%	13.19%	11.52%	13.69%	12.72%	18.12%	9.87%	14.59%	10.99%	3.24%	15.58%	13.24%	16.89%	7.55%	8.53%	14.55%	16.84%	10.08%	14.72%	10.48%	2.97%	11.54%	12.34%	4.66%	18.76%	2.06%	11.30%	13.46%	8.79%	7.45%	11.61%	7.37%	5.28%	11.29%	14.93%	8.26%	13.46%	11.24%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	93	4	1	1	10	4	4	3	0	3	1	2	0	0	2	0	0	0	1	0	3	0	1	0	0	1	2	6	7	1	0	1	0	3	3	1	1	3	5	2	0	4	1	0	0	4	0	3	1	4									
		0.30%	0.30%	0.14%	0.16%	1.11%	0.57%	0.59%	0.42%	0.00%	0.60%	0.23%	0.32%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.16%	0.00%	0.26%	0.00%	0.13%	0.00%	0.00%	0.08%	0.17%	0.37%	1.24%	0.20%	0.00%	0.13%	0.00%	0.45%	0.30%	0.16%	0.13%	0.29%	0.46%	0.33%	0.00%	1.15%	0.28%	0.00%	0.00%	0.50%	0.00%	0.92%	0.31%	0.50%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	161	13	4	2	11	5	2	7	1	3	3	1	2	3	3	3	0	1	4	0	14	0	4	15	0	0	6	11	1	0	1	6	2	4	5	0	2	2	0	5	0	7	1	0	2	0	1	0	2	2									
		0.53%	0.98%	0.56%	0.31%	1.22%	0.71%	0.30%	0.97%	0.13%	0.60%	0.70%	0.16%	0.58%	0.45%	0.31%	0.62%	0.00%	0.72%	0.64%	0.00%	1.23%	0.00%	0.52%	4.23%	0.00%	0.00%	0.52%	0.67%	0.18%	0.00%	0.28%	0.76%	0.85%	0.60%	0.50%	0.00%	0.26%	0.20%	0.00%	0.83%	0.00%	2.01%	0.28%	0.00%	0.56%	0.00%	0.50%	0.00%	0.61%	0.25%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	26	0	1	0	0	2	1	0	0	1	0	2	0	0	2	1	0	0	1	0	0	0	1	0	0	1	0	3	2	0	0	0	0	1	1	0	0	0	0	3	0	0	0	1	0	1	0	0	1	0									
		0.08%	0.00%	0.14%	0.00%	0.00%	0.28%	0.15%	0.00%	0.00%	0.20%	0.00%	0.32%	0.00%	0.00%	0.20%	0.21%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.08%	0.00%	0.18%	0.35%	0.00%	0.00%	0.00%	0.00%	0.15%	0.10%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.53%	0.00%	0.12%	0.00%	0.00%	0.31%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	241	26	5	10	12	7	5	9	13	3	4	2	0	1	4	1	0	1	3	1	17	1	5	3	0	7	11	15	3	2	1	4	0	7	14	3	4	3	7	7	2	0	1	0	3	5	0	3	0	6									
		0.79%	1.96%	0.70%	1.56%	1.34%	0.99%	0.74%	1.25%	1.69%	0.60%	0.93%	0.32%	0.00%	0.15%	0.41%	0.21%	0.00%	0.72%	0.48%	0.43%	1.50%	0.29%	0.65%	0.85%	0.00%	0.53%	0.96%	0.92%	0.53%	0.40%	0.28%	0.51%	0.00%	1.05%	1.39%	0.48%	0.52%	0.29%	0.64%	1.16%	1.10%	0.00%	0.28%	0.00%	0.83%	0.62%	0.00%	0.92%	0.00%	0.75%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7858	470	212	209	231	240	221	259	223	154	102	173	98	178	234	183	55	37	177	37	300	36	194	81	19	185	245	281	158	153	69	300	60	184	258	111	165	105	316	161	36	76	107	38	81	238	43	51	98	216									
		25.66%	35.44%	29.86%	32.50%	25.72%	33.95%	32.69%	35.87%	29.04%	30.56%	23.72%	28.08%	28.65%	26.69%	23.85%	37.97%	31.79%	26.81%	28.18%	15.88%	26.39%	10.62%	25.19%	22.82%	12.84%	14.10%	21.32%	17.18%	28.01%	30.24%	19.17%	37.88%	25.42%	27.59%	25.67%	17.85%	21.35%	10.30%	28.81%	26.74%	19.78%	21.78%	30.31%	20.00%	22.50%	29.53%	21.39%	15.60%	29.97%	26.97%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	84	1	0	2	6	1	2	2	0	3	0	2	1	1	3	3	0	0	2	0	10	0	3	0	0	5	7	1	2	0	3	1	0	1	5	1	2	1	3	3	0	1	0	0	2	1	1	0	0	2									
		0.27%	0.08%	0.00%	0.31%	0.67%	0.14%	0.30%	0.28%	0.00%	0.60%	0.00%	0.32%	0.29%	0.15%	0.31%	0.62%	0.00%	0.00%	0.32%	0.00%	0.88%	0.00%	0.39%	0.00%	0.00%	0.38%	0.61%	0.06%	0.35%	0.00%	0.83%	0.13%	0.00%	0.15%	0.50%	0.16%	0.26%	0.10%	0.27%	0.50%	0.00%	0.29%	0.00%	0.00%	0.56%	0.12%	0.50%	0.00%	0.00%	0.25%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1114	73	57	51	58	47	41	47	48	29	20	19	12	26	30	7	0	1	30	6	42	2	30	0	4	28	20	45	15	9	13	20	5	18	24	7	22	15	23	31	1	23	16	12	3	41	8	9	10	16									
		3.64%	5.51%	8.03%	7.93%	6.46%	6.65%	6.07%	6.51%	6.25%	5.75%	4.65%	3.08%	3.51%	3.90%	3.06%	1.45%	0.00%	0.72%	4.78%	2.58%	3.69%	0.59%	3.90%	0.00%	2.70%	2.13%	1.74%	2.75%	2.66%	1.78%	3.61%	2.53%	2.12%	2.70%	2.39%	1.13%	2.85%	1.47%	2.10%	5.15%	0.55%	6.59%	4.53%	6.32%	0.83%	5.09%	3.98%	2.75%	3.06%	1.99%									
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
