Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																					
Дата голосования: 07.12.2003 0:00:00																																																					
																																																					
Наименование Избирательной комиссии:    Шилкинская																																																					
																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																					
																																																					
		Сумма	УИК  854	УИК  855	УИК  856	УИК  857	УИК  858	УИК  859	УИК  860	УИК  861	УИК  862	УИК  863	УИК  864	УИК  865	УИК  866	УИК  867	УИК  868	УИК  869	УИК  870	УИК  871	УИК  872	УИК  873	УИК  874	УИК  875	УИК  876	УИК  877	УИК  878	УИК  879	УИК  880	УИК  881	УИК  882	УИК  883	УИК  884	УИК  885	УИК  886	УИК  887	УИК  888	УИК  889	УИК  890	УИК  891	УИК  892	УИК  893	УИК  894	УИК  895	УИК  896	УИК  897	УИК  898	УИК  899					
		0.91%	0.94%	1.03%	0.74%	1.54%	1.67%	1.43%	0.98%	3.31%	0.99%	0.56%	1.11%	1.04%	0.82%	0.48%	0.0%	0.0%	1.85%	0.68%	1.25%	0.0%	0.0%	0.0%	0.0%	1.62%	1.81%	0.29%	0.0%	0.0%	0.0%	0.82%	0.46%	0.0%	0.0%	0.80%	1.12%	1.66%	0.42%	1.04%	0.0%	0.0%	0.25%	0.0%	0.0%	0.21%	0.70%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	557	15	28	20	16	22	17	0	29	11	42	36	28	46	26	6	5	2	21	10	3	11	2	6	3	2	12	1	11	2	21	12	1	4	6	1	1	13	4	8	7	7	2	4	15	9	9					
		3.22%	1.77%	3.22%	2.96%	2.47%	3.35%	3.04%	0.0%	3.10%	3.63%	3.92%	3.33%	2.91%	4.72%	3.17%	4.51%	4.27%	1.85%	2.41%	3.12%	3.33%	4.0%	2.19%	3.27%	1.62%	3.63%	3.51%	1.44%	2.81%	1.28%	5.80%	2.77%	0.67%	4.65%	2.40%	1.12%	0.83%	5.50%	4.16%	10.12%	5.73%	1.80%	2.53%	2.45%	3.15%	6.33%	8.65%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	455	20	12	27	24	15	15	0	27	6	48	41	57	36	39	8	6	4	16	2	0	7	4	2	0	1	4	0	5	1	2	12	0	0	0	1	0	2	2	1	0	2	0	1	3	0	2					
		2.63%	2.36%	1.38%	4.00%	3.70%	2.28%	2.68%	0.0%	2.88%	1.98%	4.49%	3.79%	5.93%	3.69%	4.76%	6.01%	5.12%	3.70%	1.83%	0.62%	0.0%	2.54%	4.39%	1.09%	0.0%	1.81%	1.17%	0.0%	1.27%	0.64%	0.55%	2.77%	0.0%	0.0%	0.0%	1.12%	0.0%	0.84%	2.08%	1.26%	0.0%	0.51%	0.0%	0.61%	0.63%	0.0%	1.92%					
22	"5. ""За Русь Святую"""	49	1	1	0	3	4	0	0	2	0	4	4	4	1	5	0	0	2	1	0	1	2	0	0	0	1	3	0	1	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	2	2	1					
		0.28%	0.11%	0.11%	0.0%	0.46%	0.60%	0.0%	0.0%	0.21%	0.0%	0.37%	0.37%	0.41%	0.10%	0.61%	0.0%	0.0%	1.85%	0.11%	0.0%	1.11%	0.72%	0.0%	0.0%	0.0%	1.81%	0.87%	0.0%	0.25%	0.0%	0.55%	0.0%	0.0%	1.16%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	1.40%	0.96%					
23	"6. ""Объединенная Российская партия ""Русь"""	30	0	1	1	0	2	1	0	1	0	0	0	1	1	3	0	1	1	4	0	0	0	0	0	1	0	0	0	2	0	0	3	0	1	1	0	1	0	0	0	1	0	0	0	1	0	2					
		0.17%	0.0%	0.11%	0.14%	0.0%	0.30%	0.17%	0.0%	0.10%	0.0%	0.0%	0.0%	0.10%	0.10%	0.36%	0.0%	0.85%	0.92%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.69%	0.0%	1.16%	0.40%	0.0%	0.83%	0.0%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.21%	0.0%	1.92%					
24	"7. ""Новый курс - Автомобильная Россия"""	81	3	1	4	4	5	0	0	6	1	9	3	8	4	3	0	1	0	3	0	1	0	4	2	1	0	0	2	1	1	5	3	2	0	0	0	1	0	1	0	0	1	0	0	0	1	0					
		0.46%	0.35%	0.11%	0.59%	0.61%	0.76%	0.0%	0.0%	0.64%	0.33%	0.84%	0.27%	0.83%	0.41%	0.36%	0.0%	0.85%	0.0%	0.34%	0.0%	1.11%	0.0%	4.39%	1.09%	0.54%	0.0%	0.0%	2.89%	0.25%	0.64%	1.38%	0.69%	1.35%	0.0%	0.0%	0.0%	0.83%	0.0%	1.04%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.70%	0.0%					
25	"8. ""Народно-республиканская партия России"""	25	1	0	0	2	1	0	0	3	0	0	1	1	1	2	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	2	1	0	0	1	0	0	0	1	0					
		0.14%	0.11%	0.0%	0.0%	0.30%	0.15%	0.0%	0.0%	0.32%	0.0%	0.0%	0.09%	0.10%	0.10%	0.24%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.36%	1.09%	0.54%	0.0%	0.0%	0.29%	0.0%	0.25%	0.0%	0.27%	0.0%	0.67%	0.0%	0.0%	0.0%	0.0%	0.84%	1.04%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.70%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	34	1	1	0	2	2	3	0	4	1	3	0	1	5	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	2	0	0	1	0	0					
		0.19%	0.11%	0.11%	0.0%	0.30%	0.30%	0.53%	0.0%	0.42%	0.33%	0.28%	0.0%	0.10%	0.51%	0.12%	0.0%	0.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.82%	0.0%	0.0%	0.0%	0.0%	1.12%	0.0%	0.0%	0.0%	0.0%	0.81%	0.51%	0.0%	0.0%	0.21%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1252	28	24	29	20	32	20	6	53	21	47	45	22	37	41	0	11	0	47	29	14	32	4	34	19	1	81	13	51	34	63	31	51	19	18	7	0	35	5	12	21	53	15	31	62	29	5					
		7.25%	3.31%	2.76%	4.30%	3.09%	4.87%	3.58%	5.88%	5.66%	6.93%	4.39%	4.16%	2.28%	3.79%	5.01%	0.0%	9.40%	0.0%	5.39%	9.06%	15.55%	11.63%	4.39%	18.57%	10.27%	1.81%	23.75%	18.84%	13.04%	21.79%	17.40%	7.17%	34.45%	22.09%	7.22%	7.86%	0.0%	14.83%	5.20%	15.18%	17.21%	13.69%	18.98%	19.01%	13.02%	20.42%	4.80%					
28	"11. ""Истинные патриоты России"""	5	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	151	5	7	6	4	3	4	0	8	4	11	9	8	10	10	0	1	4	7	6	2	5	2	0	2	1	4	1	3	0	3	3	1	3	1	0	0	0	1	0	1	0	0	0	8	0	3					
		0.87%	0.59%	0.80%	0.89%	0.61%	0.45%	0.71%	0.0%	0.85%	1.32%	1.02%	0.83%	0.83%	1.02%	1.22%	0.0%	0.85%	3.70%	0.80%	1.87%	2.22%	1.81%	2.19%	0.0%	1.08%	1.81%	1.17%	1.44%	0.76%	0.0%	0.82%	0.69%	0.67%	3.48%	0.40%	0.0%	0.0%	0.0%	1.04%	0.0%	0.81%	0.0%	0.0%	0.0%	1.68%	0.0%	2.88%					
30	"13. ""Демократическая партия России"""	33	0	2	2	0	5	0	0	0	0	2	0	2	2	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	1	0	0	6	1	1					
		0.19%	0.0%	0.23%	0.29%	0.0%	0.76%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.20%	0.20%	0.12%	0.0%	0.0%	0.0%	0.11%	0.31%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.84%	1.04%	0.0%	0.0%	0.25%	0.0%	0.0%	1.26%	0.70%	0.96%					
31	"14. ""Великая Россия - Евразийский Союз"""	23	1	2	1	0	0	0	0	1	0	1	0	2	1	3	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	1					
		0.13%	0.11%	0.23%	0.14%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.09%	0.0%	0.20%	0.10%	0.36%	0.0%	0.85%	0.0%	0.0%	1.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.40%	1.12%	0.0%	0.0%	1.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.96%					
32	"15. ""Партия СЛОН"""	21	0	0	1	0	1	0	0	2	1	5	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0					
		0.12%	0.0%	0.0%	0.14%	0.0%	0.15%	0.0%	0.0%	0.21%	0.33%	0.46%	0.09%	0.10%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.27%	0.0%	0.0%	1.16%	0.40%	0.0%	0.83%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1225	50	56	51	40	54	38	2	54	8	120	140	128	133	88	15	1	7	63	16	5	6	0	12	3	0	17	2	13	3	21	12	0	1	10	0	2	3	1	1	8	10	3	5	14	3	6					
		7.10%	5.92%	6.44%	7.56%	6.18%	8.23%	6.81%	1.96%	5.77%	2.64%	11.22%	12.95%	13.31%	13.65%	10.75%	11.27%	0.85%	6.48%	7.23%	5.0%	5.55%	2.18%	0.0%	6.55%	1.62%	0.0%	4.98%	2.89%	3.32%	1.92%	5.80%	2.77%	0.0%	1.16%	4.01%	0.0%	1.66%	1.27%	1.04%	1.26%	6.55%	2.58%	3.79%	3.06%	2.94%	2.11%	5.76%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	47	2	2	2	1	2	2	1	3	1	3	1	2	3	0	0	1	0	2	2	0	0	0	0	2	1	2	0	0	0	0	3	0	1	1	0	0	3	0	0	1	0	0	1	0	0	2					
		0.27%	0.23%	0.23%	0.29%	0.15%	0.30%	0.35%	0.98%	0.32%	0.33%	0.28%	0.09%	0.20%	0.30%	0.0%	0.0%	0.85%	0.0%	0.22%	0.62%	0.0%	0.0%	0.0%	0.0%	1.08%	1.81%	0.58%	0.0%	0.0%	0.0%	0.0%	0.69%	0.0%	1.16%	0.40%	0.0%	0.0%	1.27%	0.0%	0.0%	0.81%	0.0%	0.0%	0.61%	0.0%	0.0%	1.92%					
35	"18. ""ЛДПР"""	3209	201	232	124	138	121	135	25	218	56	159	170	157	175	140	34	17	16	166	52	39	49	18	29	47	15	75	9	64	40	59	70	8	14	42	20	23	26	15	16	24	42	16	18	70	20	5					
		18.60%	23.81%	26.69%	18.39%	21.32%	18.44%	24.19%	24.50%	23.31%	18.48%	14.87%	15.72%	16.33%	17.96%	17.11%	25.56%	14.52%	14.81%	19.05%	16.25%	43.33%	17.81%	19.78%	15.84%	25.40%	27.27%	21.99%	13.04%	16.36%	25.64%	16.29%	16.20%	5.40%	16.27%	16.86%	22.47%	19.16%	11.01%	15.62%	20.25%	19.67%	10.85%	20.25%	11.04%	14.70%	14.08%	4.80%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	363	19	17	18	12	8	12	6	23	11	17	25	26	15	16	4	3	2	17	12	1	16	3	4	9	0	6	0	10	5	6	6	1	0	0	1	1	0	2	0	5	4	1	3	9	4	3					
		2.10%	2.25%	1.95%	2.67%	1.85%	1.21%	2.15%	5.88%	2.45%	3.63%	1.59%	2.31%	2.70%	1.54%	1.95%	3.00%	2.56%	1.85%	1.95%	3.75%	1.11%	5.81%	3.29%	2.18%	4.86%	0.0%	1.75%	0.0%	2.55%	3.20%	1.65%	1.38%	0.67%	0.0%	0.0%	1.12%	0.83%	0.0%	2.08%	0.0%	4.09%	1.03%	1.26%	1.84%	1.89%	2.81%	2.88%					
37	"20. ""Политическая партия ""Единая Россия"""	6161	345	312	257	231	265	235	49	276	85	329	371	307	283	236	49	60	42	367	127	12	102	33	64	59	14	93	37	149	45	123	179	57	29	128	40	68	106	41	5	37	149	23	71	194	37	40					
		35.72%	40.87%	35.90%	38.13%	35.70%	40.39%	42.11%	48.03%	29.51%	28.05%	30.77%	34.32%	31.94%	29.05%	28.85%	36.84%	51.28%	38.88%	42.13%	39.68%	13.33%	37.09%	36.26%	34.97%	31.89%	25.45%	27.27%	53.62%	38.10%	28.84%	33.97%	41.43%	38.51%	33.72%	51.40%	44.94%	56.66%	44.91%	42.70%	6.32%	30.32%	38.50%	29.11%	43.55%	40.75%	26.05%	38.46%					
38	"21. ""Российская Конституционно-демократическая партия"""	34	0	1	0	2	1	0	0	4	1	0	3	0	4	0	0	0	0	2	0	0	2	2	1	0	0	0	0	1	0	1	3	0	1	0	0	0	0	2	0	0	0	0	1	2	0	0					
		0.19%	0.0%	0.11%	0.0%	0.30%	0.15%	0.0%	0.0%	0.42%	0.33%	0.0%	0.27%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.72%	2.19%	0.54%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.27%	0.69%	0.0%	1.16%	0.0%	0.0%	0.0%	0.0%	2.08%	0.0%	0.0%	0.0%	0.0%	0.61%	0.42%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	37	2	2	2	3	1	0	0	3	1	5	3	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	1	0	0	0	0	2	2	0	0	0	0	1	0	2	0	0					
		0.21%	0.23%	0.23%	0.29%	0.46%	0.15%	0.0%	0.0%	0.32%	0.33%	0.46%	0.27%	0.10%	0.0%	0.12%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.51%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	1.66%	0.84%	0.0%	0.0%	0.0%	0.0%	1.26%	0.0%	0.42%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2300	99	104	104	105	81	47	9	116	71	201	147	145	146	138	10	3	10	100	35	7	24	10	17	17	12	32	3	49	19	28	54	25	9	22	11	10	19	10	33	12	90	12	17	59	20	8					
		13.33%	11.72%	11.96%	15.43%	16.22%	12.34%	8.42%	8.82%	12.40%	23.43%	18.80%	13.59%	15.08%	14.98%	16.87%	7.51%	2.56%	9.25%	11.48%	10.93%	7.77%	8.72%	10.98%	9.28%	9.18%	21.81%	9.38%	4.34%	12.53%	12.17%	7.73%	12.5%	16.89%	10.46%	8.83%	12.35%	8.33%	8.05%	10.41%	41.77%	9.83%	23.25%	15.18%	10.42%	12.39%	14.08%	7.69%					
																																																					
41	Против всех	492	13	24	13	16	12	12	1	39	11	40	36	34	48	33	4	3	11	20	8	5	8	2	6	4	4	5	0	5	3	6	6	1	0	5	2	7	7	0	3	2	5	3	3	13	1	8					
		2.85%	1.54%	2.76%	1.92%	2.47%	1.82%	2.15%	0.98%	4.17%	3.63%	3.74%	3.33%	3.53%	4.92%	4.03%	3.00%	2.56%	10.18%	2.29%	2.5%	5.55%	2.90%	2.19%	3.27%	2.16%	7.27%	1.46%	0.0%	1.27%	1.92%	1.65%	1.38%	0.67%	0.0%	2.00%	2.24%	5.83%	2.96%	0.0%	3.79%	1.63%	1.29%	3.79%	1.84%	2.73%	0.70%	7.69%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
