Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																		
Дата голосования: 07.12.2003 0:00:00																		
																		
Наименование Избирательной комиссии:    Окинская																		
																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																		
																		
		Сумма	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	33	5	5	4	0	1	3	2	4	3	1	5					
		1.24%	1.46%	1.95%	1.53%	0.0%	0.52%	1.60%	0.90%	1.85%	1.36%	0.40%	1.66%					
37	"20. ""Политическая партия ""Единая Россия"""	1271	102	101	126	130	106	81	123	108	139	165	90					
		47.83%	29.91%	39.45%	48.27%	59.36%	56.08%	43.31%	55.65%	50.0%	63.18%	67.07%	29.90%					
38	"21. ""Российская Конституционно-демократическая партия"""	3	0	0	0	0	0	1	2	0	0	0	0					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.53%	0.90%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	10	0	2	0	1	2	0	2	2	0	1	0					
		0.37%	0.0%	0.78%	0.0%	0.45%	1.05%	0.0%	0.90%	0.92%	0.0%	0.40%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	231	40	38	27	10	21	11	20	18	21	7	18					
		8.69%	11.73%	14.84%	10.34%	4.56%	11.11%	5.88%	9.04%	8.33%	9.54%	2.84%	5.98%					
																		
41	Против всех	65	26	6	3	5	4	6	2	4	3	1	5					
		2.44%	7.62%	2.34%	1.14%	2.28%	2.11%	3.20%	0.90%	1.85%	1.36%	0.40%	1.66%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
