Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																									
Дата голосования: 18.09.2016																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Белорецкая																																																																																									
																																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																									
																																																																																									
		Сумма	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354									
		2.19%	2.30%	1.70%	2.12%	1.81%	1.65%	0.79%	2.92%	4.12%	2.13%	0.56%	1.27%	3.54%	1.22%	3.13%	0.28%	6.49%	1.12%	2.09%	2.33%	2.95%	1.03%	2.90%	0.98%	1.21%	5.33%	0.84%	1.83%	2.22%	1.70%	1.38%	2.13%	1.68%	1.95%	2.19%	2.51%	1.77%	3.64%	0.94%	0.00%	1.30%	0.00%	2.12%	0.91%	2.80%	1.85%	0.92%	1.48%	1.65%	1.02%	2.38%	0.00%	0.98%	0.00%	67.11%	1.89%	1.82%	3.05%	0.86%	3.46%	0.00%	0.00%	4.17%	1.89%	4.42%	1.78%	2.71%	1.56%	1.43%	1.23%	4.55%	4.62%	1.01%	1.41%	0.70%	0.59%	3.03%	2.05%	2.67%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	32558	977	600	688	519	664	1538	925	263	559	798	1538	475	503	380	757	693	375	375	187	429	106	762	1603	992	955	1432	532	358	309	96	98	110	179	129	327	193	174	131	152	193	131	894	106	130	300	281	580	290	674	205	141	301	94	5	163	234	216	1008	165	140	194	117	572	291	112	187	203	211	244	186	251	389	204	329	251	286	215	184									
		63.89%	64.28%	59.88%	58.45%	66.97%	60.92%	81.33%	64.42%	40.15%	45.89%	64.25%	77.95%	48.03%	67.97%	47.56%	69.96%	48.87%	60.00%	60.19%	48.32%	57.51%	54.36%	58.17%	78.77%	60.12%	69.71%	75.13%	69.36%	52.96%	58.52%	66.21%	52.13%	61.45%	58.31%	56.58%	68.41%	48.74%	70.45%	61.79%	49.03%	50.26%	76.16%	67.73%	48.18%	52.00%	69.44%	86.20%	61.44%	68.24%	85.97%	48.81%	89.24%	73.41%	46.08%	3.36%	51.42%	71.12%	59.83%	66.67%	63.46%	71.79%	86.22%	69.64%	59.96%	64.24%	66.27%	50.68%	52.86%	60.29%	59.80%	56.36%	52.73%	78.43%	71.83%	77.05%	73.82%	72.22%	63.05%	61.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	302	12	5	5	4	6	7	7	4	13	1	14	7	5	4	1	4	3	5	7	6	1	22	3	7	18	20	2	5	4	1	2	0	0	0	2	6	0	0	0	2	0	10	1	1	4	0	6	0	7	3	0	2	1	0	5	2	5	1	0	0	0	0	5	2	0	3	1	3	3	0	12	0	0	0	3	1	5	1									
		0.59%	0.79%	0.50%	0.42%	0.52%	0.55%	0.37%	0.49%	0.61%	1.07%	0.08%	0.71%	0.71%	0.68%	0.50%	0.09%	0.28%	0.48%	0.80%	1.81%	0.80%	0.51%	1.68%	0.15%	0.42%	1.31%	1.05%	0.26%	0.74%	0.76%	0.69%	1.06%	0.00%	0.00%	0.00%	0.42%	1.52%	0.00%	0.00%	0.00%	0.52%	0.00%	0.76%	0.45%	0.40%	0.93%	0.00%	0.64%	0.00%	0.89%	0.71%	0.00%	0.49%	0.49%	0.00%	1.58%	0.61%	1.39%	0.07%	0.00%	0.00%	0.00%	0.00%	0.52%	0.44%	0.00%	0.81%	0.26%	0.86%	0.74%	0.00%	2.52%	0.00%	0.00%	0.00%	0.88%	0.25%	1.47%	0.33%									
24	"6. Политическая партия ""Гражданская Платформа"""	167	1	1	2	5	3	3	1	0	46	5	3	2	1	4	1	2	4	1	0	3	2	5	2	7	3	0	0	3	2	0	1	1	0	0	1	2	0	1	0	1	1	3	0	3	6	0	2	1	0	1	0	2	0	9	0	0	1	0	0	0	0	0	6	0	2	0	0	1	0	1	1	2	0	0	1	1	1	3									
		0.33%	0.07%	0.10%	0.17%	0.65%	0.28%	0.16%	0.07%	0.00%	3.78%	0.40%	0.15%	0.20%	0.14%	0.50%	0.09%	0.14%	0.64%	0.16%	0.00%	0.40%	1.03%	0.38%	0.10%	0.42%	0.22%	0.00%	0.00%	0.44%	0.38%	0.00%	0.53%	0.56%	0.00%	0.00%	0.21%	0.51%	0.00%	0.47%	0.00%	0.26%	0.58%	0.23%	0.00%	1.20%	1.39%	0.00%	0.21%	0.24%	0.00%	0.24%	0.00%	0.49%	0.00%	6.04%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	1.18%	0.00%	0.00%	0.29%	0.00%	0.30%	0.21%	0.40%	0.00%	0.00%	0.29%	0.25%	0.29%	1.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5204	125	101	132	85	130	105	151	115	138	141	129	133	76	114	130	241	63	79	48	119	37	191	152	172	96	156	99	97	58	11	28	20	28	17	34	36	17	5	52	63	8	131	19	18	23	12	130	57	20	59	5	16	13	0	37	23	64	143	20	22	6	6	85	36	14	62	59	51	53	45	41	42	38	27	14	30	28	23									
		10.21%	8.22%	10.08%	11.21%	10.97%	11.93%	5.55%	10.52%	17.56%	11.33%	11.35%	6.54%	13.45%	10.27%	14.27%	12.01%	16.99%	10.08%	12.68%	12.40%	15.95%	18.97%	14.58%	7.47%	10.42%	7.01%	8.18%	12.91%	14.35%	10.98%	7.59%	14.89%	11.17%	9.12%	7.46%	7.11%	9.09%	6.88%	2.36%	16.77%	16.41%	4.65%	9.92%	8.64%	7.20%	5.32%	3.68%	13.77%	13.41%	2.55%	14.05%	3.16%	3.90%	6.37%	0.00%	11.67%	6.99%	17.73%	9.46%	7.69%	11.28%	2.67%	3.57%	8.91%	7.95%	8.28%	16.80%	15.36%	14.57%	12.99%	13.64%	8.61%	8.47%	13.38%	6.32%	4.12%	7.58%	8.21%	7.67%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	152	3	5	3	1	5	6	9	7	10	12	6	4	1	6	0	2	0	3	4	6	1	6	6	11	4	4	3	1	3	0	2	0	0	0	0	1	0	0	0	1	0	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	4	1	0	0	3	0	0	0	0	0	1	0	0									
		0.30%	0.20%	0.50%	0.25%	0.13%	0.46%	0.32%	0.63%	1.07%	0.82%	0.97%	0.30%	0.40%	0.14%	0.75%	0.00%	0.14%	0.00%	0.48%	1.03%	0.80%	0.51%	0.46%	0.29%	0.67%	0.29%	0.21%	0.39%	0.15%	0.57%	0.00%	1.06%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.26%	0.00%	0.15%	0.00%	0.40%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.08%	0.26%	0.00%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	255	18	11	8	1	5	7	15	10	27	8	6	12	1	12	1	3	15	1	2	4	1	14	7	4	1	8	2	14	5	0	2	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	3	1	2	4	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	3	5	1	0	0	0	1	1	1									
		0.50%	1.18%	1.10%	0.68%	0.13%	0.46%	0.37%	1.04%	1.53%	2.22%	0.64%	0.30%	1.21%	0.14%	1.50%	0.09%	0.21%	2.40%	0.16%	0.52%	0.54%	0.51%	1.07%	0.34%	0.24%	0.07%	0.42%	0.26%	2.07%	0.95%	0.00%	1.06%	0.56%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.45%	0.00%	0.00%	0.00%	0.32%	0.24%	0.26%	0.95%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.91%	1.05%	0.20%	0.00%	0.00%	0.00%	0.25%	0.29%	0.33%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	84	21	1	1	2	3	1	3	0	2	9	2	0	1	1	1	1	0	0	1	1	0	3	2	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	2	4	0	0	0	1	3	1									
		0.16%	1.38%	0.10%	0.08%	0.26%	0.28%	0.05%	0.21%	0.00%	0.16%	0.72%	0.10%	0.00%	0.14%	0.13%	0.09%	0.07%	0.00%	0.00%	0.26%	0.13%	0.00%	0.23%	0.10%	0.18%	0.00%	0.00%	0.00%	0.30%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.59%	0.00%	0.00%	0.29%	0.25%	0.00%	0.42%	0.81%	0.00%	0.00%	0.00%	0.25%	0.88%	0.33%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	472	115	12	4	5	10	6	16	10	11	24	9	5	3	13	2	36	9	8	6	3	1	12	5	5	6	3	4	12	7	1	0	4	2	0	1	3	1	0	26	2	0	9	3	1	3	0	7	1	3	0	0	3	1	1	2	0	0	1	1	4	0	0	1	2	0	3	3	0	4	0	7	1	1	0	0	2	3	3									
		0.93%	7.57%	1.20%	0.34%	0.65%	0.92%	0.32%	1.11%	1.53%	0.90%	1.93%	0.46%	0.51%	0.41%	1.63%	0.18%	2.54%	1.44%	1.28%	1.55%	0.40%	0.51%	0.92%	0.25%	0.30%	0.44%	0.16%	0.52%	1.78%	1.33%	0.69%	0.00%	2.23%	0.65%	0.00%	0.21%	0.76%	0.40%	0.00%	8.39%	0.52%	0.00%	0.68%	1.36%	0.40%	0.69%	0.00%	0.74%	0.24%	0.38%	0.00%	0.00%	0.73%	0.49%	0.67%	0.63%	0.00%	0.00%	0.07%	0.38%	2.05%	0.00%	0.00%	0.10%	0.44%	0.00%	0.81%	0.78%	0.00%	0.98%	0.00%	1.47%	0.20%	0.35%	0.00%	0.00%	0.51%	0.88%	1.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4781	1	95	130	86	108	78	99	71	143	124	107	143	66	106	108	229	49	65	42	68	18	108	111	213	125	109	48	82	71	21	21	14	50	43	32	83	20	44	76	64	15	86	55	51	46	15	95	36	32	73	6	25	45	19	27	18	25	78	21	8	12	10	116	43	17	44	76	35	41	37	72	30	26	46	32	25	30	42									
		9.38%	0.07%	9.48%	11.05%	11.10%	9.91%	4.12%	6.89%	10.84%	11.74%	9.98%	5.42%	14.46%	8.92%	13.27%	9.98%	16.15%	7.84%	10.43%	10.85%	9.12%	9.23%	8.24%	5.45%	12.91%	9.12%	5.72%	6.26%	12.13%	13.45%	14.48%	11.17%	7.82%	16.29%	18.86%	6.69%	20.96%	8.10%	20.75%	24.52%	16.67%	8.72%	6.52%	25.00%	20.40%	10.65%	4.60%	10.06%	8.47%	4.08%	17.38%	3.80%	6.10%	22.06%	12.75%	8.52%	5.47%	6.93%	5.16%	8.08%	4.10%	5.33%	5.95%	12.16%	9.49%	10.06%	11.92%	19.79%	10.00%	10.05%	11.21%	15.13%	6.05%	9.15%	10.77%	9.41%	6.31%	8.80%	14.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	300	136	2	4	1	1	0	2	6	3	18	1	3	7	4	1	4	1	3	2	2	0	4	1	4	2	1	0	1	2	2	1	1	0	0	1	0	1	0	0	1	0	4	0	0	2	0	2	2	2	0	0	3	0	0	0	1	1	4	1	2	0	0	40	1	0	1	0	4	1	2	1	0	1	0	0	1	1	0									
		0.59%	8.95%	0.20%	0.34%	0.13%	0.09%	0.00%	0.14%	0.92%	0.25%	1.45%	0.05%	0.30%	0.95%	0.50%	0.09%	0.28%	0.16%	0.48%	0.52%	0.27%	0.00%	0.31%	0.05%	0.24%	0.15%	0.05%	0.00%	0.15%	0.38%	1.38%	0.53%	0.56%	0.00%	0.00%	0.21%	0.00%	0.40%	0.00%	0.00%	0.26%	0.00%	0.30%	0.00%	0.00%	0.46%	0.00%	0.21%	0.47%	0.26%	0.00%	0.00%	0.73%	0.00%	0.00%	0.00%	0.30%	0.28%	0.26%	0.38%	1.03%	0.00%	0.00%	4.19%	0.22%	0.00%	0.27%	0.00%	1.14%	0.25%	0.61%	0.21%	0.00%	0.35%	0.00%	0.00%	0.25%	0.29%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2637	0	89	93	18	63	90	110	87	148	75	74	115	17	88	65	49	65	36	45	43	9	69	58	54	31	109	21	43	23	2	10	12	5	6	36	20	4	1	0	1	1	48	6	5	8	6	46	6	15	17	1	12	18	6	59	13	18	202	25	3	0	8	26	28	11	13	6	13	26	5	8	5	10	11	24	12	19	13									
		5.17%	0.00%	8.88%	7.90%	2.32%	5.78%	4.76%	7.66%	13.28%	12.15%	6.04%	3.75%	11.63%	2.30%	11.01%	6.01%	3.46%	10.40%	5.78%	11.63%	5.76%	4.62%	5.27%	2.85%	3.27%	2.26%	5.72%	2.74%	6.36%	4.36%	1.38%	5.32%	6.70%	1.63%	2.63%	7.53%	5.05%	1.62%	0.47%	0.00%	0.26%	0.58%	3.64%	2.73%	2.00%	1.85%	1.84%	4.87%	1.41%	1.91%	4.05%	0.63%	2.93%	8.82%	4.03%	18.61%	3.95%	4.99%	13.36%	9.62%	1.54%	0.00%	4.76%	2.73%	6.18%	6.51%	3.52%	1.56%	3.71%	6.37%	1.52%	1.68%	1.01%	3.52%	2.58%	7.06%	3.03%	5.57%	4.33%									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
