Выборы Президента Российской Федерации																																																																																			
																																																																																			
"Наименование Избирательной комиссии:    Краснодар, Прикубанская"																																																																																			
																																																																																			
Итоги голосования 																																																																																			
																																																																																			
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299					
11	Число полученных открепительных  удостоверений	5585	50	50	20	35	50	35	50	50	50	50	50	50	50	50	50	50	50	35	65	50	50	20	20	35	35	35	50	20	50	50	50	200	50	125	50	50	50	50	50	35	50	50	50	35	50	50	50	35	50	35	30	50	50	50	50	50	1600	600	50	50	50	50	50	50	50	50	50	50	50	35	50	0	0	0	0	0					
12	Число выданных открепительных удостоверений	1409	32	27	2	10	20	5	15	7	32	17	14	8	28	18	17	14	12	12	33	24	17	11	5	21	8	16	7	5	17	29	22	160	20	39	32	20	18	18	24	11	19	15	26	11	13	15	18	16	8	21	14	7	16	26	16	16	100	33	28	17	14	10	5	8	7	13	8	17	19	16	10	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	979	17	16	2	11	21	14	27	4	19	22	31	16	6	22	12	4	8	8	11	15	15	18	10	9	5	6	10	2	7	25	32	20	14	9	11	24	4	16	6	3	6	16	14	13	11	10	8	14	21	5	11	5	12	16	10	27	23	15	17	8	15	8	3	5	1	6	14	11	12	1	5	25	24	8	2	45					
14	Число неиспользованных открепительных удостоверений	4176	18	23	18	25	30	30	35	43	18	33	36	42	22	32	33	36	38	23	32	26	33	9	15	14	27	19	43	15	33	21	28	40	30	86	18	30	32	32	26	24	31	35	24	24	37	35	32	19	42	14	16	43	34	24	34	34	1500	567	22	33	36	40	45	42	43	37	42	33	31	19	40	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																			
18	. Глазьев Сергей Юрьевич	6308	141	138	41	45	100	51	86	56	90	101	80	80	78	66	68	97	113	55	135	108	97	33	15	105	106	39	76	26	47	131	115	80	86	99	131	86	119	91	101	92	91	95	119	97	83	125	97	85	62	101	46	52	80	80	126	91	135	208	132	146	87	74	80	55	68	67	76	69	107	55	50	3	23	10	21	8					
		5.82%	7.21%	7.21%	15.13%	4.17%	6.33%	4.56%	5.33%	3.99%	5.08%	5.87%	5.70%	6.66%	3.21%	3.63%	4.55%	4.68%	6.22%	4.85%	6.56%	6.38%	5.67%	3.97%	2.86%	7.21%	8.93%	3.26%	4.52%	3.42%	4.82%	7.39%	6.00%	4.57%	6.03%	4.02%	6.30%	5.35%	7.62%	5.20%	6.79%	6.02%	6.36%	7.03%	7.93%	7.48%	5.79%	9.23%	6.84%	6.55%	4.97%	7.55%	4.63%	3.54%	5.43%	5.78%	7.77%	5.54%	4.34%	8.98%	6.29%	10.00%	6.13%	4.81%	5.29%	4.46%	6.36%	5.28%	4.72%	4.66%	7.52%	6.63%	4.24%	3.06%	5.12%	6.21%	5.65%	3.29%					
19	. Малышкин Олег Александрович	1327	31	12	1	12	18	14	18	17	15	20	18	11	29	30	17	31	25	15	20	20	26	12	7	15	20	19	22	19	12	20	32	28	22	39	13	12	13	19	10	16	12	11	14	14	13	8	16	10	13	11	13	23	22	13	27	12	64	28	17	19	24	28	20	10	17	18	22	18	22	11	13	4	2	1	6	1					
		1.22%	1.59%	0.63%	0.37%	1.11%	1.14%	1.25%	1.12%	1.21%	0.85%	1.16%	1.28%	0.92%	1.19%	1.65%	1.14%	1.50%	1.38%	1.32%	0.97%	1.18%	1.52%	1.44%	1.33%	1.03%	1.68%	1.59%	1.31%	2.50%	1.23%	1.13%	1.67%	1.60%	1.54%	1.58%	0.63%	0.75%	0.83%	1.09%	0.67%	1.05%	0.84%	0.81%	0.93%	1.08%	0.91%	0.59%	1.13%	0.77%	1.04%	0.82%	1.31%	1.57%	1.49%	0.94%	1.66%	0.73%	2.06%	1.21%	0.81%	1.30%	1.69%	1.82%	1.32%	0.81%	1.59%	1.42%	1.37%	1.22%	1.55%	1.33%	1.10%	4.08%	0.45%	0.62%	1.61%	0.41%					
20	. Миронов Сергей Михайлович	830	7	8	1	11	17	2	9	11	14	12	16	7	16	11	12	9	15	3	14	17	16	3	8	8	2	6	11	5	10	14	13	17	13	15	12	14	18	21	10	18	11	11	16	16	14	10	14	9	15	17	3	9	14	21	8	8	19	21	19	12	8	16	14	6	7	8	15	12	10	4	5	0	4	3	3	2					
		0.77%	0.36%	0.42%	0.37%	1.02%	1.08%	0.18%	0.56%	0.78%	0.79%	0.70%	1.14%	0.58%	0.66%	0.60%	0.80%	0.43%	0.83%	0.26%	0.68%	1.00%	0.94%	0.36%	1.52%	0.55%	0.17%	0.50%	0.65%	0.66%	1.03%	0.79%	0.68%	0.97%	0.91%	0.61%	0.58%	0.87%	1.15%	1.20%	0.67%	1.18%	0.77%	0.81%	1.07%	1.23%	0.98%	0.74%	0.99%	0.69%	1.20%	1.27%	0.30%	0.61%	0.95%	1.52%	0.49%	0.49%	0.61%	0.91%	0.90%	0.82%	0.56%	1.04%	0.93%	0.49%	0.65%	0.63%	0.93%	0.81%	0.70%	0.48%	0.42%	0.00%	0.89%	1.86%	0.81%	0.82%					
21	. Путин Владимир Владимирович	74040	1323	1312	147	756	1053	762	1049	947	1286	1162	1014	811	1879	1342	1102	1432	1246	778	1442	1142	1109	549	378	1023	830	846	1175	549	682	1236	1369	1201	940	1939	1453	1128	1042	1206	922	982	917	881	936	795	1001	868	936	857	868	900	725	998	978	929	1054	1145	2335	1500	1460	888	945	1017	1027	805	698	798	1002	985	913	550	824	78	333	107	270	173					
		68.34%	67.67%	68.51%	54.24%	70.00%	66.69%	68.16%	65.07%	67.55%	72.61%	67.56%	72.22%	67.53%	77.42%	73.74%	73.66%	69.08%	68.54%	68.61%	70.10%	67.45%	64.85%	66.06%	72.00%	70.26%	69.92%	70.62%	69.90%	72.24%	69.95%	69.75%	71.45%	68.59%	65.87%	78.79%	69.89%	70.15%	66.75%	68.95%	61.96%	64.27%	64.08%	65.16%	62.40%	61.34%	69.80%	64.06%	66.01%	66.02%	69.61%	67.31%	73.01%	67.94%	66.40%	67.12%	64.98%	69.69%	75.06%	64.74%	69.52%	60.82%	66.60%	66.17%	67.88%	65.29%	65.29%	62.83%	62.20%	66.51%	64.21%	66.27%	69.95%	79.59%	74.16%	66.46%	72.58%	71.19%					
22	. Хакамада Ирина Муцуовна	4521	85	132	3	51	71	53	86	49	78	90	97	50	82	86	40	101	77	36	122	84	95	19	24	35	15	37	48	19	29	84	71	63	61	61	59	60	84	98	82	72	69	63	85	81	79	83	65	63	51	53	54	47	72	41	63	71	81	132	131	67	49	27	45	32	23	39	54	47	51	33	54	0	11	5	4	7					
		4.17%	4.35%	6.89%	1.11%	4.72%	4.50%	4.74%	5.33%	3.50%	4.40%	5.23%	6.91%	4.16%	3.38%	4.73%	2.67%	4.87%	4.24%	3.17%	5.93%	4.96%	5.56%	2.29%	4.57%	2.40%	1.26%	3.09%	2.86%	2.50%	2.97%	4.74%	3.71%	3.60%	4.27%	2.48%	2.84%	3.73%	5.38%	5.60%	5.51%	4.71%	4.82%	4.66%	5.67%	6.25%	5.51%	6.13%	4.58%	4.85%	4.09%	3.96%	5.44%	3.20%	4.89%	2.96%	3.88%	4.32%	2.60%	5.70%	6.24%	4.59%	3.45%	1.76%	2.97%	2.60%	2.15%	3.07%	3.35%	3.17%	3.59%	3.98%	4.58%	0.00%	2.45%	3.11%	1.08%	2.88%					
23	. Харитонов Николай Михайлович	16616	293	245	59	162	239	163	295	262	187	215	115	186	243	225	198	328	259	197	231	259	295	165	76	221	161	197	284	121	157	205	198	293	259	191	350	262	220	228	301	286	262	233	248	238	184	191	237	234	189	216	117	280	236	259	280	243	235	304	257	274	281	320	262	288	215	281	375	298	255	145	188	9	60	28	19	44					
		15.34%	14.99%	12.79%	21.77%	15.00%	15.14%	14.58%	18.30%	18.69%	10.56%	12.50%	8.19%	15.49%	10.01%	12.36%	13.24%	15.82%	14.25%	17.37%	11.23%	15.30%	17.25%	19.86%	14.48%	15.18%	13.56%	16.44%	16.89%	15.92%	16.10%	11.57%	10.33%	16.73%	18.15%	7.76%	16.84%	16.29%	14.09%	13.04%	20.23%	18.72%	18.31%	17.23%	16.53%	18.36%	12.83%	14.10%	16.71%	18.03%	15.16%	16.16%	11.78%	19.06%	16.02%	18.71%	17.26%	14.79%	7.55%	13.12%	12.24%	18.77%	19.80%	20.82%	17.32%	23.36%	20.11%	22.13%	23.28%	20.12%	17.93%	17.47%	15.96%	9.18%	13.36%	17.39%	5.11%	18.11%					
																																																																																			
24	Против всех	3964	73	63	14	32	72	63	63	44	92	115	58	49	85	47	46	61	65	38	83	44	58	42	13	41	42	31	53	18	31	76	112	53	34	107	50	40	61	78	57	52	59	52	66	45	52	60	49	35	38	33	31	48	64	31	48	60	238	111	73	45	21	41	50	30	30	41	51	36	58	29	32	2	14	6	21	8					
		3.66%	3.73%	3.29%	5.17%	2.96%	4.56%	5.64%	3.91%	3.14%	5.19%	6.69%	4.13%	4.08%	3.50%	2.58%	3.07%	2.94%	3.58%	3.35%	4.04%	2.60%	3.39%	5.05%	2.48%	2.82%	3.54%	2.59%	3.15%	2.37%	3.18%	4.29%	5.85%	3.03%	2.38%	4.35%	2.41%	2.49%	3.91%	4.46%	3.83%	3.40%	4.12%	3.85%	4.40%	3.47%	3.63%	4.43%	3.46%	2.70%	3.05%	2.47%	3.12%	3.27%	4.34%	2.24%	2.96%	3.65%	7.65%	4.79%	3.48%	3.08%	1.48%	2.67%	3.30%	2.43%	2.81%	3.23%	3.17%	2.43%	4.08%	3.49%	2.72%	2.04%	3.12%	3.73%	5.65%	3.29%					
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
