Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
Наименование Избирательной комиссии:    Среднеахтубинская																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №3701	УИК №3702	УИК №3703	УИК №3704	УИК №3705	УИК №3706	УИК №3707	УИК №3708	УИК №3709	УИК №3710	УИК №3711	УИК №3712	УИК №3713	УИК №3714	УИК №3715	УИК №3716	УИК №3717	УИК №3718	УИК №3719	УИК №3720	УИК №3721	УИК №3722	УИК №3723	УИК №3724	УИК №3725	УИК №3726	УИК №3727	УИК №3728	УИК №3729	УИК №3730	УИК №3731	УИК №3732	УИК №3733	УИК №3734	УИК №3735	УИК №3736	УИК №3737	УИК №3738	УИК №3739	УИК №3740	УИК №3741	УИК №3742	УИК №3743	УИК №3744	УИК №3745	УИК №3746	УИК №3747	УИК №3748	УИК №3749	УИК №3750	УИК №3751	УИК №3752	УИК №3753	УИК №3754	УИК №3755	УИК №3756									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	670	10	20	15	20	20	10	10	10	20	10	10	10	20	10	10	20	10	20	15	10	10	10	10	10	10	10	15	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	20	15	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	348	6	5	15	12	6	10	5	8	5	4	9	10	11	8	5	6	1	17	15	0	4	2	1	4	4	10	9	1	10	1	0	3	1	16	4	10	3	0	1	3	8	0	10	10	2	9	6	11	13	10	10	2	4	5	2	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	268	19	9	1	4	1	8	6	3	2	2	8	5	3	5	3	1	58	1	3	2	3	5	1	6	1	0	8	2	10	1	0	4	6	14	3	4	4	3	4	4	2	0	1	2	3	2	0	0	3	2	3	10	2	5	3	3									
14	Число погашенных неиспользованных открепительных удостоверений	322	4	15	0	8	14	0	5	2	15	6	1	0	9	2	5	14	9	3	0	10	6	8	9	6	6	0	6	9	0	9	10	7	9	4	6	0	7	10	9	7	2	10	0	0	8	1	4	9	2	0	0	8	6	5	8	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	1	0	2	2	0	0	2	1	0	0	1	2	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	178	7	7	8	8	6	6	7	1	1	3	5	3	4	3	5	0	5	3	5	1	4	8	1	6	4	1	0	0	2	1	0	1	0	8	0	1	1	3	2	1	5	4	2	3	4	2	1	7	3	7	0	1	3	3	0	1									
		1.08%	1.71%	1.38%	1.26%	1.27%	1.92%	1.47%	1.70%	0.27%	0.58%	1.35%	1.25%	0.70%	0.81%	0.54%	1.53%	0.00%	1.02%	0.49%	0.99%	0.74%	0.96%	4.30%	0.57%	2.80%	1.54%	1.18%	0.00%	0.00%	1.09%	0.83%	0.00%	0.77%	0.00%	0.97%	0.00%	0.65%	0.44%	2.61%	1.79%	0.97%	2.42%	2.84%	1.61%	0.76%	1.57%	0.89%	0.81%	0.87%	1.38%	2.93%	0.00%	0.26%	1.32%	0.83%	0.00%	1.52%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	395	8	19	16	18	6	14	8	9	5	6	6	6	9	9	9	5	5	15	9	3	2	4	3	3	6	1	6	5	3	2	1	1	3	29	3	2	2	3	2	5	4	8	2	7	3	10	1	38	3	7	5	9	4	16	4	3									
		2.40%	1.95%	3.73%	2.52%	2.87%	1.92%	3.44%	1.95%	2.40%	2.89%	2.70%	1.50%	1.39%	1.83%	1.61%	2.76%	1.79%	1.02%	2.43%	1.78%	2.22%	0.48%	2.15%	1.70%	1.40%	2.31%	1.18%	1.90%	3.62%	1.64%	1.65%	1.33%	0.77%	2.42%	3.51%	1.30%	1.30%	0.88%	2.61%	1.79%	4.85%	1.93%	5.67%	1.61%	1.77%	1.18%	4.44%	0.81%	4.74%	1.38%	2.93%	5.38%	2.35%	1.76%	4.41%	3.33%	4.55%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	270	12	6	18	13	8	7	7	9	2	1	7	12	7	7	6	2	8	8	9	2	5	2	2	0	4	2	5	4	7	2	0	3	2	7	1	2	3	4	4	0	3	2	5	3	4	3	0	10	5	4	3	9	2	4	3	0									
		1.64%	2.93%	1.18%	2.83%	2.07%	2.56%	1.72%	1.70%	2.40%	1.16%	0.45%	1.75%	2.78%	1.42%	1.25%	1.84%	0.72%	1.63%	1.30%	1.78%	1.48%	1.20%	1.08%	1.14%	0.00%	1.54%	2.35%	1.59%	2.90%	3.83%	1.65%	0.00%	2.31%	1.61%	0.85%	0.43%	1.30%	1.33%	3.48%	3.57%	0.00%	1.45%	1.42%	4.03%	0.76%	1.57%	1.33%	0.00%	1.25%	2.30%	1.67%	3.23%	2.35%	0.88%	1.10%	2.50%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8839	201	258	339	326	157	182	216	234	95	160	196	207	239	290	132	140	268	318	241	68	230	67	112	134	162	62	182	73	102	58	40	76	74	432	147	99	119	48	58	49	120	81	73	220	140	127	92	425	125	129	66	223	108	204	72	43									
		53.62%	49.02%	50.69%	53.30%	51.91%	50.16%	44.72%	52.55%	62.40%	54.91%	72.07%	49.00%	48.03%	48.48%	51.97%	40.49%	50.18%	54.58%	51.54%	47.63%	50.37%	55.42%	36.02%	63.64%	62.62%	62.31%	72.94%	57.78%	52.90%	55.74%	47.93%	53.33%	58.46%	59.68%	52.30%	63.91%	64.29%	52.65%	41.74%	51.79%	47.57%	57.97%	57.45%	58.87%	55.70%	55.12%	56.44%	74.80%	53.06%	57.60%	53.97%	70.97%	58.22%	47.58%	56.20%	60.00%	65.15%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	106	1	4	6	7	2	5	6	3	1	1	3	0	7	5	2	0	4	4	2	2	2	4	1	1	0	0	0	0	3	2	0	0	0	3	0	0	3	1	0	0	3	0	0	3	2	0	0	5	3	0	0	1	2	1	1	0									
		0.64%	0.24%	0.79%	0.94%	1.11%	0.64%	1.23%	1.46%	0.80%	0.58%	0.45%	0.75%	0.00%	1.42%	0.90%	0.61%	0.00%	0.81%	0.65%	0.40%	1.48%	0.48%	2.15%	0.57%	0.47%	0.00%	0.00%	0.00%	0.00%	1.64%	1.65%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	1.33%	0.87%	0.00%	0.00%	1.45%	0.00%	0.00%	0.76%	0.79%	0.00%	0.00%	0.62%	1.38%	0.00%	0.00%	0.26%	0.88%	0.28%	0.83%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	28	1	0	0	0	0	0	0	0	2	1	0	0	1	1	0	1	0	1	1	0	2	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	2	1	0	1	0	2	2	0	0	1									
		0.17%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.16%	0.45%	0.00%	0.00%	0.20%	0.18%	0.00%	0.36%	0.00%	0.16%	0.20%	0.00%	0.48%	1.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.71%	0.00%	0.51%	0.00%	0.00%	1.63%	0.12%	0.00%	0.42%	0.00%	0.52%	0.88%	0.00%	0.00%	1.52%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3200	92	86	105	135	62	93	73	58	15	21	82	107	124	114	76	61	99	121	106	31	105	60	23	40	48	12	53	39	25	38	22	28	17	164	43	14	60	23	28	20	46	26	17	76	41	38	13	136	39	46	5	56	59	54	16	9									
		19.41%	22.44%	16.90%	16.51%	21.50%	19.81%	22.85%	17.76%	15.47%	8.67%	9.46%	20.50%	24.83%	25.15%	20.43%	23.31%	21.86%	20.16%	19.61%	20.95%	22.96%	25.30%	32.26%	13.07%	18.69%	18.46%	14.12%	16.83%	28.26%	13.66%	31.40%	29.33%	21.54%	13.71%	19.85%	18.70%	9.09%	26.55%	20.00%	25.00%	19.42%	22.22%	18.44%	13.71%	19.24%	16.14%	16.89%	10.57%	16.98%	17.97%	19.25%	5.38%	14.62%	25.99%	14.88%	13.33%	13.64%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	94	3	1	9	8	1	5	1	0	0	2	2	8	1	2	3	4	5	8	3	0	1	4	1	0	1	0	1	1	1	0	0	1	0	4	0	0	0	1	0	0	1	0	0	4	1	0	0	0	1	0	0	0	2	2	1	0									
		0.57%	0.73%	0.20%	1.42%	1.27%	0.32%	1.23%	0.24%	0.00%	0.00%	0.90%	0.50%	1.86%	0.20%	0.36%	0.92%	1.43%	1.02%	1.30%	0.59%	0.00%	0.24%	2.15%	0.57%	0.00%	0.38%	0.00%	0.32%	0.72%	0.55%	0.00%	0.00%	0.77%	0.00%	0.48%	0.00%	0.00%	0.00%	0.87%	0.00%	0.00%	0.48%	0.00%	0.00%	1.01%	0.39%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.88%	0.55%	0.83%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	142	9	2	8	6	7	8	2	4	3	1	2	3	4	5	0	4	4	1	3	3	11	7	4	3	1	0	0	1	0	0	1	0	0	5	2	0	1	1	0	0	3	1	0	1	3	3	0	2	0	1	0	5	3	4	0	0									
		0.86%	2.20%	0.39%	1.26%	0.96%	2.24%	1.97%	0.49%	1.07%	1.73%	0.45%	0.50%	0.70%	0.81%	0.90%	0.00%	1.43%	0.81%	0.16%	0.59%	2.22%	2.65%	3.76%	2.27%	1.40%	0.38%	0.00%	0.00%	0.72%	0.00%	0.00%	1.33%	0.00%	0.00%	0.61%	0.87%	0.00%	0.44%	0.87%	0.00%	0.00%	1.45%	0.71%	0.00%	0.25%	1.18%	1.33%	0.00%	0.25%	0.00%	0.42%	0.00%	1.31%	1.32%	1.10%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	18	0	3	0	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0									
		0.11%	0.00%	0.59%	0.00%	0.16%	0.00%	0.25%	0.24%	0.00%	0.00%	0.00%	0.25%	0.23%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.20%	0.74%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.46%	0.00%	0.00%	0.26%	0.44%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	247	12	14	10	9	4	2	13	7	7	0	2	6	12	5	3	5	11	10	11	1	5	5	3	0	0	0	1	1	3	2	0	0	2	4	2	1	2	0	1	0	0	0	6	15	4	3	4	8	6	5	1	7	2	7	2	1									
		1.50%	2.93%	2.75%	1.57%	1.43%	1.28%	0.49%	3.16%	1.87%	4.05%	0.00%	0.50%	1.39%	2.43%	0.90%	0.92%	1.79%	2.24%	1.62%	2.17%	0.74%	1.20%	2.69%	1.70%	0.00%	0.00%	0.00%	0.32%	0.72%	1.64%	1.65%	0.00%	0.00%	1.61%	0.48%	0.87%	0.65%	0.88%	0.00%	0.89%	0.00%	0.00%	0.00%	4.84%	3.80%	1.57%	1.33%	3.25%	0.99%	2.76%	2.09%	1.08%	1.83%	0.88%	1.93%	1.67%	1.52%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2128	45	88	85	71	49	69	56	38	28	17	45	55	60	73	53	39	64	92	81	14	26	15	14	20	21	3	54	11	20	12	9	10	17	114	26	28	22	29	13	24	22	13	9	50	41	32	6	136	23	22	4	55	26	56	16	7									
		12.91%	10.98%	17.29%	13.36%	11.31%	15.65%	16.95%	13.63%	10.13%	16.18%	7.66%	11.25%	12.76%	12.17%	13.08%	16.26%	13.98%	13.03%	14.91%	16.01%	10.37%	6.27%	8.06%	7.95%	9.35%	8.08%	3.53%	17.14%	7.97%	10.93%	9.92%	12.00%	7.69%	13.71%	13.80%	11.30%	18.18%	9.73%	25.22%	11.61%	23.30%	10.63%	9.22%	7.26%	12.66%	16.14%	14.22%	4.88%	16.98%	10.60%	9.21%	4.30%	14.36%	11.45%	15.43%	13.33%	10.61%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	65	1	2	0	3	2	4	0	3	0	1	4	4	3	2	2	1	2	1	7	0	2	1	0	0	2	0	0	0	2	0	0	0	1	4	0	0	1	0	0	0	0	0	1	1	1	0	0	3	1	1	1	0	1	0	0	0									
		0.39%	0.24%	0.39%	0.00%	0.48%	0.64%	0.98%	0.00%	0.80%	0.00%	0.45%	1.00%	0.93%	0.61%	0.36%	0.61%	0.36%	0.41%	0.16%	1.38%	0.00%	0.48%	0.54%	0.00%	0.00%	0.77%	0.00%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	0.81%	0.48%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.25%	0.39%	0.00%	0.00%	0.37%	0.46%	0.42%	1.08%	0.00%	0.44%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	518	13	12	15	16	6	9	14	5	11	3	32	13	12	37	29	11	14	22	24	7	12	5	6	4	3	2	10	2	10	3	0	3	4	32	3	6	8	1	2	1	0	5	6	5	8	6	3	14	4	14	4	10	5	11	1	0									
		3.14%	3.17%	2.36%	2.36%	2.55%	1.92%	2.21%	3.41%	1.33%	6.36%	1.35%	8.00%	3.02%	2.43%	6.63%	8.90%	3.94%	2.85%	3.57%	4.74%	5.19%	2.89%	2.69%	3.41%	1.87%	1.15%	2.35%	3.17%	1.45%	5.46%	2.48%	0.00%	2.31%	3.23%	3.87%	1.30%	3.90%	3.54%	0.87%	1.79%	0.97%	0.00%	3.55%	4.84%	1.27%	3.15%	2.67%	2.44%	1.75%	1.84%	5.86%	4.30%	2.61%	2.20%	3.03%	0.83%	0.00%									
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
