Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																										
Дата голосования: 02.12.2007																																																																										
																																																																										
Наименование Избирательной комиссии:    Минераловодская																																																																										
																																																																										
Сводная таблица результатов выборов																																																																										
																																																																										
		Сумма	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	996	10	15	15	15	15	10	20	25	20	15	20	30	15	15	20	24	15	15	20	20	20	25	18	15	15	15	15	15	16	10	25	20	20	15	10	23	10	5	10	10	15	5	5	10	10	20	10	20	15	20	15	20	5	15	25	5	15	15	10	15	15	10	5	5	10	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	733	3	11	9	13	7	2	17	17	13	12	16	29	15	14	14	24	14	15	20	20	20	25	17	7	11	3	8	15	16	2	25	13	20	9	4	23	3	5	4	2	15	5	5	6	2	12	2	20	13	20	6	18	5	15	15	1	5	15	4	7	11	0	0	2	2	5	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	607	4	7	5	21	11	6	2	16	19	8	6	43	13	17	11	9	9	8	10	8	12	20	3	13	49	9	8	17	11	11	11	5	10	8	3	8	7	9	3	2	4	7	1	5	10	8	2	38	12	4	2	6	2	6	1	7	4	4	0	7	11	2	0	2	5	5	0					
14	Число погашенных неиспользованных открепительных удостоверений	263	7	4	6	2	8	8	3	8	7	3	4	1	0	1	6	0	1	0	0	0	0	0	1	8	4	12	7	0	0	8	0	7	0	6	6	0	7	0	6	8	0	0	0	4	8	8	8	0	2	0	9	2	0	0	10	4	10	0	6	8	4	10	5	3	8	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																										
18	1.Политическая партия «Аграрная партия России»	738	6	4	7	16	11	20	8	14	14	0	15	30	14	14	30	23	10	30	14	25	17	31	4	10	13	3	6	24	8	2	18	7	0	15	8	17	1	8	3	3	13	0	1	21	1	12	11	19	13	13	8	19	4	16	13	2	9	9	7	7	19	3	0	0	7	3	5					
		1.19%	0.67%	0.45%	0.96%	1.40%	1.05%	2.46%	0.59%	0.76%	1.29%	0.00%	0.88%	2.36%	1.11%	1.53%	2.62%	1.49%	0.77%	1.88%	0.97%	1.93%	1.03%	1.71%	0.34%	0.98%	1.03%	0.52%	0.54%	1.65%	0.83%	0.51%	1.33%	0.47%	0.00%	1.10%	1.17%	1.19%	0.42%	3.96%	0.55%	0.79%	1.38%	0.00%	0.49%	2.91%	0.20%	1.21%	2.08%	2.06%	1.44%	0.86%	1.18%	1.14%	1.76%	1.65%	1.55%	1.38%	1.25%	0.89%	1.17%	0.92%	2.26%	1.14%	0.00%	0.00%	1.78%	0.68%	2.39%					
19	2.Всероссийская политическая партия «Гражданская Сила»	347	0	1	1	6	4	4	8	6	8	0	12	18	6	6	13	13	12	3	9	6	17	29	6	7	3	5	1	11	5	1	12	3	0	3	0	10	0	1	6	0	2	0	0	5	0	4	1	4	4	12	2	29	1	4	1	1	2	7	1	5	3	2	0	0	1	0	0					
		0.56%	0.00%	0.11%	0.14%	0.53%	0.38%	0.49%	0.59%	0.32%	0.74%	0.00%	0.71%	1.42%	0.48%	0.66%	1.14%	0.84%	0.92%	0.19%	0.62%	0.46%	1.03%	1.60%	0.51%	0.69%	0.24%	0.87%	0.09%	0.76%	0.52%	0.25%	0.89%	0.20%	0.00%	0.22%	0.00%	0.70%	0.00%	0.50%	1.09%	0.00%	0.21%	0.00%	0.00%	0.69%	0.00%	0.40%	0.19%	0.43%	0.44%	0.79%	0.30%	1.74%	0.44%	0.41%	0.12%	0.69%	0.28%	0.69%	0.17%	0.66%	0.36%	0.76%	0.00%	0.00%	0.25%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	68	0	3	1	0	0	2	3	0	5	0	1	5	0	2	2	5	4	2	0	1	2	0	0	1	3	1	1	2	0	0	3	0	0	0	0	0	1	0	1	1	0	0	0	1	0	2	1	0	1	2	0	2	0	0	1	0	0	0	0	1	1	0	0	0	2	1	1					
		0.11%	0.00%	0.34%	0.14%	0.00%	0.00%	0.25%	0.22%	0.00%	0.46%	0.00%	0.06%	0.39%	0.00%	0.22%	0.17%	0.32%	0.31%	0.13%	0.00%	0.08%	0.12%	0.00%	0.00%	0.10%	0.24%	0.17%	0.09%	0.14%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.18%	0.26%	0.00%	0.00%	0.00%	0.14%	0.00%	0.20%	0.19%	0.00%	0.11%	0.13%	0.00%	0.12%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.13%	0.12%	0.00%	0.00%	0.00%	0.51%	0.23%	0.48%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	6365	50	108	104	104	124	57	99	177	152	50	148	151	134	93	153	140	116	137	179	151	176	141	73	88	122	82	79	170	68	27	160	127	123	96	55	136	39	25	89	66	118	15	15	46	89	122	70	84	145	143	73	160	31	97	113	10	112	92	62	103	137	21	5	10	51	47	25					
		10.23%	5.58%	12.09%	14.29%	9.12%	11.82%	7.02%	7.35%	9.55%	14.05%	5.20%	8.73%	11.90%	10.63%	10.16%	13.39%	9.07%	8.88%	8.59%	12.34%	11.69%	10.70%	7.76%	6.20%	8.66%	9.62%	14.31%	7.14%	11.71%	7.04%	6.84%	11.84%	8.58%	7.96%	7.05%	8.02%	9.54%	16.39%	12.38%	16.24%	17.41%	12.50%	7.21%	7.35%	6.37%	18.24%	12.31%	13.21%	9.10%	16.06%	9.45%	10.80%	9.63%	13.66%	9.99%	13.45%	6.90%	15.51%	9.08%	10.40%	13.50%	16.29%	7.95%	5.32%	10.75%	12.94%	10.63%	11.96%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	310	0	1	4	10	4	4	6	4	1	10	8	6	6	8	3	6	8	17	2	2	5	9	4	2	8	3	15	14	4	1	13	5	8	4	6	7	0	1	6	4	2	1	0	4	10	1	1	5	4	7	2	5	7	10	1	0	1	0	6	8	1	0	0	0	1	3	1					
		0.50%	0.00%	0.11%	0.55%	0.88%	0.38%	0.49%	0.45%	0.22%	0.09%	1.04%	0.47%	0.47%	0.48%	0.87%	0.26%	0.39%	0.61%	1.07%	0.14%	0.15%	0.30%	0.50%	0.34%	0.20%	0.63%	0.52%	1.36%	0.96%	0.41%	0.25%	0.96%	0.34%	0.52%	0.29%	0.87%	0.49%	0.00%	0.50%	1.09%	1.06%	0.21%	0.48%	0.00%	0.55%	2.05%	0.10%	0.19%	0.54%	0.44%	0.46%	0.30%	0.30%	3.08%	1.03%	0.12%	0.00%	0.14%	0.00%	1.01%	1.05%	0.12%	0.00%	0.00%	0.00%	0.25%	0.68%	0.48%					
23	6.Политическая партия «Партия социальной справедливости»	92	0	2	1	1	4	0	1	1	2	10	3	1	0	1	1	2	3	3	3	1	4	3	1	0	2	0	1	2	2	0	0	0	0	0	4	1	0	0	1	0	1	0	0	0	0	0	0	4	0	3	2	4	1	1	3	0	0	0	0	6	1	0	1	0	2	1	1					
		0.15%	0.00%	0.22%	0.14%	0.09%	0.38%	0.00%	0.07%	0.05%	0.18%	1.04%	0.18%	0.08%	0.00%	0.11%	0.09%	0.13%	0.23%	0.19%	0.21%	0.08%	0.24%	0.17%	0.08%	0.00%	0.16%	0.00%	0.09%	0.14%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.07%	0.00%	0.00%	0.18%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.20%	0.30%	0.24%	0.44%	0.10%	0.36%	0.00%	0.00%	0.00%	0.00%	0.79%	0.12%	0.00%	1.06%	0.00%	0.51%	0.23%	0.48%					
24	7.Политическая партия «Либерально-демократическая партия России»	3568	42	31	59	46	54	54	63	91	75	48	98	86	56	55	98	76	67	70	98	68	72	98	50	44	78	39	66	101	41	27	97	86	75	62	22	87	12	17	42	27	74	16	11	42	10	68	26	125	69	134	39	89	19	61	22	21	31	57	7	38	39	28	3	9	22	17	13					
		5.73%	4.69%	3.47%	8.10%	4.04%	5.15%	6.65%	4.68%	4.91%	6.93%	4.99%	5.78%	6.78%	4.44%	6.01%	8.57%	4.93%	5.13%	4.39%	6.76%	5.26%	4.38%	5.39%	4.24%	4.33%	6.15%	6.81%	5.97%	6.96%	4.24%	6.84%	7.18%	5.81%	4.85%	4.55%	3.21%	6.11%	5.04%	8.42%	7.66%	7.12%	7.84%	7.69%	5.39%	5.82%	2.05%	6.86%	4.91%	13.54%	7.64%	8.85%	5.77%	5.35%	8.37%	6.28%	2.62%	14.48%	4.29%	5.63%	1.17%	4.98%	4.64%	10.61%	3.19%	9.68%	5.58%	3.85%	6.22%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	8957	80	78	95	108	108	91	177	227	226	188	236	285	208	124	256	185	164	272	279	251	215	200	114	141	159	101	139	163	124	56	320	153	305	196	79	212	43	38	83	23	149	37	19	51	54	118	97	171	208	183	74	235	28	189	140	20	65	75	51	210	93	7	1	3	61	95	21					
		14.39%	8.93%	8.73%	13.05%	9.47%	10.30%	11.21%	13.14%	12.25%	20.89%	19.56%	13.92%	22.46%	16.51%	13.55%	22.40%	11.99%	12.55%	17.06%	19.24%	19.43%	13.07%	11.01%	9.68%	13.88%	12.54%	17.63%	12.57%	11.23%	12.84%	14.18%	23.69%	10.34%	19.74%	14.39%	11.52%	14.88%	18.07%	18.81%	15.15%	6.07%	15.78%	17.79%	9.31%	7.06%	11.07%	11.91%	18.30%	18.53%	23.03%	12.09%	10.95%	14.14%	12.33%	19.46%	16.67%	13.79%	9.00%	7.40%	8.56%	27.52%	11.06%	2.65%	1.06%	3.23%	15.48%	21.49%	10.05%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	416	3	5	5	8	6	4	2	6	13	20	6	18	10	9	11	12	6	10	8	12	18	11	6	5	8	5	5	15	5	1	10	13	0	9	4	16	1	2	1	3	2	0	1	3	1	8	4	4	1	5	4	13	2	7	11	1	4	6	7	4	6	1	0	0	2	5	2					
		0.67%	0.33%	0.56%	0.69%	0.70%	0.57%	0.49%	0.15%	0.32%	1.20%	2.08%	0.35%	1.42%	0.79%	0.98%	0.96%	0.78%	0.46%	0.63%	0.55%	0.93%	1.09%	0.61%	0.51%	0.49%	0.63%	0.87%	0.45%	1.03%	0.52%	0.25%	0.74%	0.88%	0.00%	0.66%	0.58%	1.12%	0.42%	0.99%	0.18%	0.79%	0.21%	0.00%	0.49%	0.42%	0.20%	0.81%	0.75%	0.43%	0.11%	0.33%	0.59%	0.78%	0.88%	0.72%	1.31%	0.69%	0.55%	0.59%	1.17%	0.52%	0.71%	0.38%	0.00%	0.00%	0.51%	1.13%	0.96%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	40446	706	650	439	827	723	575	968	1310	567	599	1159	633	813	597	557	1051	899	1017	840	760	1083	1262	906	701	855	322	783	928	700	274	695	1052	1014	959	501	932	140	108	304	246	570	137	153	542	313	640	310	501	404	991	461	1086	130	577	511	90	488	757	449	370	528	199	81	71	238	266	128					
		64.98%	78.79%	72.79%	60.30%	72.54%	68.92%	70.81%	71.86%	70.70%	52.40%	62.33%	68.38%	49.88%	64.52%	65.25%	48.73%	68.11%	68.78%	63.80%	57.93%	58.82%	65.84%	69.46%	76.91%	68.99%	67.43%	56.20%	70.80%	63.91%	72.46%	69.37%	51.44%	71.08%	65.63%	70.41%	73.03%	65.40%	58.82%	53.47%	55.47%	64.91%	60.38%	65.87%	75.00%	75.07%	64.14%	64.58%	58.49%	54.28%	44.74%	65.46%	68.20%	65.34%	57.27%	59.42%	60.83%	62.07%	67.59%	74.73%	75.34%	48.49%	62.78%	75.38%	86.17%	76.34%	60.41%	60.18%	61.24%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	436	4	5	4	9	3	1	2	6	12	25	6	16	12	6	14	13	11	20	7	11	18	26	6	13	8	5	3	10	2	3	12	4	3	4	3	5	1	1	7	1	1	1	1	2	1	2	3	6	11	10	3	13	3	2	14	0	6	3	4	4	6	2	0	0	6	1	9					
		0.70%	0.45%	0.56%	0.55%	0.79%	0.29%	0.12%	0.15%	0.32%	1.11%	2.60%	0.35%	1.26%	0.95%	0.66%	1.22%	0.84%	0.84%	1.25%	0.48%	0.85%	1.09%	1.43%	0.51%	1.28%	0.63%	0.87%	0.27%	0.69%	0.21%	0.76%	0.89%	0.27%	0.19%	0.29%	0.44%	0.35%	0.42%	0.50%	1.28%	0.26%	0.11%	0.48%	0.49%	0.28%	0.20%	0.20%	0.57%	0.65%	1.22%	0.66%	0.44%	0.78%	1.32%	0.21%	1.67%	0.00%	0.83%	0.30%	0.67%	0.52%	0.71%	0.76%	0.00%	0.00%	1.52%	0.23%	4.31%					
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
