Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Козьмодемьянская городская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258	УИК  259	УИК  260	УИК  261	УИК  262	УИК  263	УИК  264	УИК  265					
18	"1. ""ЕДИНЕНИЕ"""	137	12	9	4	9	7	12	6	11	11	6	7	8	4	2	5	7	16	1					
		1.37%	2.25%	1.31%	0.78%	1.32%	0.98%	1.51%	0.95%	1.54%	1.86%	1.19%	1.47%	1.25%	1.77%	0.64%	1.05%	1.77%	2.29%	0.23%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	211	21	18	10	14	12	14	12	18	7	9	13	15	3	3	10	5	16	11					
		2.11%	3.95%	2.62%	1.96%	2.06%	1.68%	1.76%	1.91%	2.53%	1.18%	1.78%	2.73%	2.35%	1.33%	0.96%	2.11%	1.26%	2.29%	2.59%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	229	8	15	12	15	8	15	18	24	19	15	13	15	2	5	10	5	13	17					
		2.29%	1.50%	2.18%	2.36%	2.21%	1.12%	1.89%	2.87%	3.38%	3.22%	2.98%	2.73%	2.35%	0.88%	1.60%	2.11%	1.26%	1.86%	4.00%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	208	13	10	9	8	20	16	15	12	13	7	17	14	8	5	8	7	16	10					
		2.08%	2.44%	1.45%	1.77%	1.17%	2.80%	2.01%	2.39%	1.69%	2.20%	1.39%	3.57%	2.19%	3.55%	1.60%	1.69%	1.77%	2.29%	2.35%					
22	"5. ""За Русь Святую"""	64	1	7	5	2	4	8	4	9	6	2	2	2	3	0	3	2	3	1					
		0.64%	0.18%	1.02%	0.98%	0.29%	0.56%	1.00%	0.63%	1.26%	1.01%	0.39%	0.42%	0.31%	1.33%	0.0%	0.63%	0.50%	0.43%	0.23%					
23	"6. ""Объединенная Российская партия ""Русь"""	17	1	0	2	1	1	2	2	0	0	3	1	2	0	0	0	0	1	1					
		0.17%	0.18%	0.0%	0.39%	0.14%	0.14%	0.25%	0.31%	0.0%	0.0%	0.59%	0.21%	0.31%	0.0%	0.0%	0.0%	0.0%	0.14%	0.23%					
24	"7. ""Новый курс - Автомобильная Россия"""	60	5	5	1	3	3	4	5	3	8	2	2	3	0	1	3	6	2	4					
		0.60%	0.94%	0.72%	0.19%	0.44%	0.42%	0.50%	0.79%	0.42%	1.35%	0.39%	0.42%	0.47%	0.0%	0.32%	0.63%	1.51%	0.28%	0.94%					
25	"8. ""Народно-республиканская партия России"""	11	0	1	1	0	2	2	0	0	0	0	0	0	0	1	0	0	4	0					
		0.11%	0.0%	0.14%	0.19%	0.0%	0.28%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.57%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	38	2	2	2	2	2	1	3	2	3	2	1	3	4	3	3	1	1	1					
		0.38%	0.37%	0.29%	0.39%	0.29%	0.28%	0.12%	0.47%	0.28%	0.50%	0.39%	0.21%	0.47%	1.77%	0.96%	0.63%	0.25%	0.14%	0.23%					
27	"10. ""Аграрная партия России"""	469	21	32	31	44	44	39	32	47	38	23	12	12	12	11	15	12	20	24					
		4.70%	3.95%	4.67%	6.10%	6.48%	6.16%	4.91%	5.11%	6.61%	6.45%	4.57%	2.52%	1.88%	5.33%	3.53%	3.17%	3.03%	2.86%	5.66%					
28	"11. ""Истинные патриоты России"""	8	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	2	0					
		0.08%	0.0%	0.14%	0.19%	0.14%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.25%	0.28%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	156	9	10	7	10	4	12	7	12	9	9	6	6	3	3	9	8	20	12					
		1.56%	1.69%	1.45%	1.37%	1.47%	0.56%	1.51%	1.11%	1.69%	1.52%	1.78%	1.26%	0.94%	1.33%	0.96%	1.90%	2.02%	2.86%	2.83%					
30	"13. ""Демократическая партия России"""	31	1	2	1	3	1	5	2	1	0	5	3	5	0	0	1	0	1	0					
		0.31%	0.18%	0.29%	0.19%	0.44%	0.14%	0.63%	0.31%	0.14%	0.0%	0.99%	0.63%	0.78%	0.0%	0.0%	0.21%	0.0%	0.14%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	20	3	3	1	1	3	1	1	0	0	0	0	1	2	0	1	0	2	1					
		0.20%	0.56%	0.43%	0.19%	0.14%	0.42%	0.12%	0.15%	0.0%	0.0%	0.0%	0.0%	0.15%	0.88%	0.0%	0.21%	0.0%	0.28%	0.23%					
32	"15. ""Партия СЛОН"""	14	0	0	1	2	1	2	0	0	2	1	0	0	0	0	2	0	2	1					
		0.14%	0.0%	0.0%	0.19%	0.29%	0.14%	0.25%	0.0%	0.0%	0.33%	0.19%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.28%	0.23%					
33	"16. ""Родина"" (народно-патриотический союз)"""	795	41	61	44	46	61	61	61	72	52	39	29	66	6	26	21	30	46	33					
		7.97%	7.72%	8.90%	8.66%	6.78%	8.54%	7.69%	9.74%	10.14%	8.82%	7.75%	6.09%	10.36%	2.66%	8.36%	4.44%	7.59%	6.59%	7.78%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	26	0	2	0	2	4	3	2	1	0	4	2	0	1	1	1	2	0	1					
		0.26%	0.0%	0.29%	0.0%	0.29%	0.56%	0.37%	0.31%	0.14%	0.0%	0.79%	0.42%	0.0%	0.44%	0.32%	0.21%	0.50%	0.0%	0.23%					
35	"18. ""ЛДПР"""	1176	58	73	63	87	86	95	54	83	85	54	37	72	24	39	62	47	99	58					
		11.79%	10.92%	10.65%	12.40%	12.83%	12.04%	11.97%	8.62%	11.69%	14.43%	10.73%	7.77%	11.30%	10.66%	12.54%	13.13%	11.89%	14.20%	13.67%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	216	16	13	10	20	15	18	20	8	15	5	8	17	1	7	8	12	12	11					
		2.16%	3.01%	1.89%	1.96%	2.94%	2.10%	2.26%	3.19%	1.12%	2.54%	0.99%	1.68%	2.66%	0.44%	2.25%	1.69%	3.03%	1.72%	2.59%					
37	"20. ""Политическая партия ""Единая Россия"""	3858	219	284	194	277	269	319	205	232	201	198	199	243	100	135	206	157	264	156					
		38.68%	41.24%	41.45%	38.18%	40.85%	37.67%	40.22%	32.74%	32.67%	34.12%	39.36%	41.80%	38.14%	44.44%	43.40%	43.64%	39.74%	37.87%	36.79%					
38	"21. ""Российская Конституционно-демократическая партия"""	9	1	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1	1	0					
		0.09%	0.18%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.14%	0.16%	0.19%	0.21%	0.15%	0.0%	0.0%	0.0%	0.25%	0.14%	0.0%					
39	"22. ""Развитие предпринимательства"""	26	0	2	0	0	1	2	2	5	1	2	1	2	0	0	1	2	3	2					
		0.26%	0.0%	0.29%	0.0%	0.0%	0.14%	0.25%	0.31%	0.70%	0.16%	0.39%	0.21%	0.31%	0.0%	0.0%	0.21%	0.50%	0.43%	0.47%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1425	64	85	74	91	110	92	119	111	77	68	90	96	26	49	65	50	106	52					
		14.28%	12.05%	12.40%	14.56%	13.42%	15.40%	11.60%	19.00%	15.63%	13.07%	13.51%	18.90%	15.07%	11.55%	15.75%	13.77%	12.65%	15.20%	12.26%					
																									
41	Против всех	618	30	45	27	36	47	55	42	51	34	36	27	43	16	11	30	32	33	23					
		6.19%	5.64%	6.56%	5.31%	5.30%	6.58%	6.93%	6.70%	7.18%	5.77%	7.15%	5.67%	6.75%	7.11%	3.53%	6.35%	8.10%	4.73%	5.42%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
