Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																														
Дата голосования: 07.12.2003 0:00:00																																																																																																																														
																																																																																																																														
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская (судовая)																																																																																																																														
																																																																																																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																														
																																																																																																																														
		Сумма	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №188	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №199	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №211	УИК №213	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №237	УИК №238	УИК №240	УИК №241	УИК №242	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №251	УИК №252	УИК №254	УИК №255	УИК №256	УИК №257	УИК №259	УИК №263	УИК №264	УИК №267	УИК №272	УИК №273	УИК №274	УИК №275	УИК №280	УИК №281	УИК №285	УИК №288	УИК №294	УИК №295	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №311	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №330	УИК №333	УИК №336	УИК №337	УИК №338	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №350	УИК №352	УИК №357	УИК №359	УИК №360					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																																														
18	"1. ""ЕДИНЕНИЕ"""	104	0	2	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	2	0	1	1	0	0	2	1	2	0	0	0	2	1	0	0	0	2	0	0	0	0	3	0	0	1	0	0	0	0	3	0	0	0	5	4	0	2	0	0	1	1	1	0	0	0	0	1	4	0	1	2	1	5	0	1	1	1	0	10	3	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	2	0	0	0	1	2	4	3	0	0	0	0	0	0	0	0	3	0	1	3	2	0	4	2					
		2.37%	0.0%	7.40%	0.0%	3.70%	0.0%	0.0%	4.16%	0.0%	0.0%	0.0%	3.84%	2.0%	0.0%	0.0%	0.0%	0.0%	3.70%	3.70%	0.0%	14.28%	0.0%	1.51%	3.44%	0.0%	0.0%	8.69%	6.25%	6.45%	0.0%	0.0%	0.0%	4.25%	5.0%	0.0%	0.0%	0.0%	3.84%	0.0%	0.0%	0.0%	0.0%	3.44%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	15.0%	0.0%	0.0%	0.0%	5.88%	4.70%	0.0%	2.46%	0.0%	0.0%	2.56%	1.09%	1.85%	0.0%	0.0%	0.0%	0.0%	3.84%	13.79%	0.0%	4.34%	6.45%	4.16%	22.72%	0.0%	3.03%	3.84%	3.44%	0.0%	10.98%	3.61%	0.0%	0.0%	3.57%	0.0%	3.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.57%	0.0%	3.22%	4.87%	0.0%	0.0%	0.0%	0.70%	2.38%	7.14%	14.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.10%	0.0%	1.81%	3.75%	1.70%	0.0%	8.51%	6.06%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	104	1	0	0	1	1	1	0	1	2	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	3	0	1	2	1	1	0	0	2	1	0	0	3	1	0	2	1	0	0	0	0	0	1	3	1	1	4	2	2	4	1	0	2	2	5	2	0	0	0	0	1	0	1	0	1	0	2	2	2	0	0	1	3	0	0	0	2	1	0	0	0	0	2	0	0	0	1	2	2	1	0	0	2	0	3	0	3	0	0	1	0	1	0	0	1	1	3	1	1	1	1	0					
		2.37%	3.70%	0.0%	0.0%	3.70%	3.70%	3.57%	0.0%	3.70%	7.14%	0.0%	0.0%	2.0%	2.04%	1.81%	1.88%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.51%	0.0%	0.0%	0.0%	0.0%	6.25%	9.67%	0.0%	2.12%	9.09%	2.12%	5.0%	0.0%	0.0%	3.33%	1.92%	0.0%	0.0%	17.64%	5.55%	0.0%	2.29%	2.63%	0.0%	0.0%	0.0%	0.0%	0.0%	5.0%	7.31%	3.57%	3.57%	4.70%	2.35%	2.5%	4.93%	1.33%	0.0%	5.12%	2.19%	9.25%	7.14%	0.0%	0.0%	0.0%	0.0%	3.44%	0.0%	4.34%	0.0%	4.16%	0.0%	8.33%	6.06%	7.69%	0.0%	0.0%	1.09%	3.61%	0.0%	0.0%	0.0%	6.89%	3.57%	0.0%	0.0%	0.0%	0.0%	8.0%	0.0%	0.0%	0.0%	1.21%	6.45%	4.87%	5.26%	0.0%	0.0%	1.40%	0.0%	5.35%	0.0%	11.53%	0.0%	0.0%	5.55%	0.0%	5.0%	0.0%	0.0%	1.36%	3.57%	5.45%	1.25%	0.85%	3.84%	2.12%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	129	0	0	1	1	0	1	0	0	0	1	0	1	0	0	2	0	0	3	0	0	0	4	0	0	0	0	0	1	0	0	1	2	0	1	0	7	3	2	0	0	0	3	14	0	1	0	0	0	0	2	1	0	1	6	6	1	9	2	0	0	2	1	0	0	0	0	0	0	2	0	2	1	0	1	4	0	0	0	0	2	0	4	1	0	0	1	0	2	0	1	0	2	1	2	0	1	1	0	1	2	0	1	0	1	2	1	0	0	3	1	5	0	0	0	1	1	0	2	0					
		2.95%	0.0%	0.0%	4.0%	3.70%	0.0%	3.57%	0.0%	0.0%	0.0%	3.70%	0.0%	2.0%	0.0%	0.0%	3.77%	0.0%	0.0%	11.11%	0.0%	0.0%	0.0%	6.06%	0.0%	0.0%	0.0%	0.0%	0.0%	3.22%	0.0%	0.0%	4.54%	4.25%	0.0%	5.26%	0.0%	11.66%	5.76%	7.14%	0.0%	0.0%	0.0%	3.44%	16.09%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	10.0%	2.43%	0.0%	3.57%	7.05%	7.05%	1.25%	11.11%	2.66%	0.0%	0.0%	2.19%	1.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	8.33%	0.0%	6.45%	4.16%	0.0%	4.16%	12.12%	0.0%	0.0%	0.0%	0.0%	2.40%	0.0%	18.18%	3.57%	0.0%	0.0%	5.0%	0.0%	10.0%	0.0%	4.0%	0.0%	6.89%	3.57%	2.43%	0.0%	2.43%	5.26%	0.0%	4.16%	1.40%	0.0%	1.78%	0.0%	3.84%	10.52%	5.0%	0.0%	0.0%	15.0%	5.55%	19.23%	0.0%	0.0%	0.0%	1.25%	0.85%	0.0%	4.25%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	310	2	1	0	2	0	0	2	3	6	8	2	2	3	1	1	4	3	1	1	0	0	9	2	1	0	1	1	2	0	3	1	2	1	0	0	5	1	3	2	0	0	8	5	4	0	4	0	1	0	0	5	2	1	9	6	3	6	4	1	1	8	0	0	2	0	2	0	0	0	1	1	3	0	2	0	1	4	0	7	4	0	1	4	2	0	1	1	1	0	0	1	1	1	5	5	0	0	1	0	6	59	6	4	4	2	1	0	3	4	0	1	4	4	4	1	2	2	7	1					
		7.09%	7.40%	3.70%	0.0%	7.40%	0.0%	0.0%	8.33%	11.11%	21.42%	29.62%	7.69%	4.0%	6.12%	1.81%	1.88%	7.54%	11.11%	3.70%	3.44%	0.0%	0.0%	13.63%	6.89%	25.0%	0.0%	4.34%	6.25%	6.45%	0.0%	6.38%	4.54%	4.25%	5.0%	0.0%	0.0%	8.33%	1.92%	10.71%	6.89%	0.0%	0.0%	9.19%	5.74%	10.52%	0.0%	13.33%	0.0%	6.25%	0.0%	0.0%	12.19%	7.14%	3.57%	10.58%	7.05%	3.75%	7.40%	5.33%	2.56%	2.56%	8.79%	0.0%	0.0%	7.14%	0.0%	8.0%	0.0%	0.0%	0.0%	4.34%	3.22%	12.5%	0.0%	8.33%	0.0%	3.84%	13.79%	0.0%	7.69%	4.81%	0.0%	4.54%	14.28%	6.89%	0.0%	5.0%	4.76%	5.0%	0.0%	0.0%	4.0%	3.44%	3.57%	6.09%	16.12%	0.0%	0.0%	6.66%	0.0%	4.22%	70.23%	10.71%	19.04%	15.38%	10.52%	5.0%	0.0%	20.0%	20.0%	0.0%	3.84%	5.47%	14.28%	7.27%	1.25%	1.70%	7.69%	14.89%	3.03%					
22	"5. ""За Русь Святую"""	24	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1					
		0.54%	3.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.92%	3.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.25%	0.0%	0.0%	0.0%	0.0%	4.39%	0.0%	7.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.16%	0.0%	0.0%	0.0%	0.0%	0.0%	1.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.21%	3.22%	0.0%	0.0%	0.0%	0.0%	0.70%	0.0%	1.78%	4.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.73%	0.0%	3.63%	0.0%	0.0%	0.0%	0.0%	3.03%					
23	"6. ""Объединенная Российская партия ""Русь"""	24	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0					
		0.54%	0.0%	0.0%	8.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.81%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.54%	0.0%	5.0%	0.0%	0.0%	1.66%	0.0%	0.0%	3.44%	5.88%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.03%	0.0%	0.0%	0.0%	1.09%	0.0%	0.0%	0.0%	3.57%	0.0%	3.57%	0.0%	0.0%	0.0%	0.0%	0.0%	8.0%	3.44%	0.0%	0.0%	3.22%	2.43%	0.0%	0.0%	0.0%	1.40%	1.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.55%	0.0%	0.0%	3.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	74	0	0	0	0	2	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	0	1	2	4	0	0	0	0	0	2	0	0	0	0	4	3	1	2	0	0	1	5	0	1	0	0	0	0	2	0	0	1	0	0	3	0	0	1	0	0	3	0	0	2	0	0	1	1	0	0	1	0	1	0	0	1	3	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	4	0					
		1.69%	0.0%	0.0%	0.0%	0.0%	7.40%	0.0%	0.0%	3.70%	0.0%	3.70%	0.0%	0.0%	0.0%	0.0%	1.88%	0.0%	0.0%	3.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.33%	1.92%	3.57%	6.89%	0.0%	5.55%	2.29%	4.59%	0.0%	0.0%	0.0%	0.0%	0.0%	7.69%	0.0%	0.0%	0.0%	0.0%	4.70%	3.52%	1.25%	2.46%	0.0%	0.0%	2.56%	5.49%	0.0%	3.57%	0.0%	0.0%	0.0%	0.0%	6.89%	0.0%	0.0%	3.22%	0.0%	0.0%	12.5%	0.0%	0.0%	3.44%	0.0%	0.0%	3.61%	0.0%	0.0%	7.14%	0.0%	0.0%	5.0%	4.76%	0.0%	0.0%	4.0%	0.0%	3.44%	0.0%	0.0%	3.22%	7.31%	0.0%	0.0%	0.0%	3.52%	0.0%	5.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.36%	0.0%	0.0%	2.5%	0.85%	0.0%	8.51%	0.0%					
25	"8. ""Народно-республиканская партия России"""	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0					
		0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.12%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	54	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	0	1	0	1	1	4	1	1	0	0	0	0	1	3	0	0	3	1	1	3	0	2	0	2	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1					
