Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Уваровская городская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №926									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	30	1	0	3	0	0	1	2	0	3	4	4	2	6	3	1									
		0.33%	0.17%	0.00%	0.50%	0.00%	0.00%	0.31%	0.65%	0.00%	0.50%	0.59%	0.47%	0.24%	1.14%	0.51%	0.42%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	0	0	1	1	0	1	0	0	0	1	1	3	1	1	0									
		0.11%	0.00%	0.00%	0.17%	0.15%	0.00%	0.31%	0.00%	0.00%	0.00%	0.15%	0.12%	0.36%	0.19%	0.17%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	67	3	3	3	8	3	4	1	4	3	8	4	14	4	5	0									
		0.75%	0.51%	0.50%	0.50%	1.20%	0.37%	1.23%	0.32%	0.53%	0.50%	1.18%	0.47%	1.66%	0.76%	0.85%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1408	28	109	98	126	102	64	58	81	100	153	164	155	81	69	20									
		15.67%	4.75%	18.05%	16.33%	18.92%	12.55%	19.69%	18.77%	10.83%	16.56%	22.50%	19.23%	18.43%	15.34%	11.77%	8.40%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	17	2	0	1	0	2	0	1	0	1	2	1	5	1	1	0									
		0.19%	0.34%	0.00%	0.17%	0.00%	0.25%	0.00%	0.32%	0.00%	0.17%	0.29%	0.12%	0.59%	0.19%	0.17%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	465	14	54	17	42	24	12	7	18	57	57	76	44	17	19	7									
		5.18%	2.38%	8.94%	2.83%	6.31%	2.95%	3.69%	2.27%	2.41%	9.44%	8.38%	8.91%	5.23%	3.22%	3.24%	2.94%									
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
